st	accession	sp	gn
Abditibacterium_utsteinense	GCF_002973605.1	Abditibacterium utsteinense	Abditibacterium
Abiotrophia_defectiva_ATCC_49176	GCF_000160075.2	Abiotrophia defectiva	Abiotrophia
Absiella_dolichum_DSM_3991	GCF_000154285.1	Absiella dolichum	Absiella
Abyssibacter_profundi	GCF_003151135.1	Abyssibacter profundi	Abyssibacter
Abyssicoccus_albus	GCF_003815035.1	Abyssicoccus albus	Abyssicoccus
Acaricomes_phytoseiuli_DSM_14247	GCF_000376245.1	Acaricomes phytoseiuli	Acaricomes
Acaryochloris_marina_MBIC11017	GCF_000018105.1	Acaryochloris marina	Acaryochloris
Acetanaerobacterium_elongatum	GCF_900103835.1	Acetanaerobacterium elongatum	Acetanaerobacterium
Acetatifactor_muris	GCF_900248245.1	Acetatifactor muris	Acetatifactor
Acetitomaculum_ruminis_DSM_5522	GCF_900112085.1	Acetitomaculum ruminis	Acetitomaculum
Acetivibrio_ethanolgignens	GCF_001461035.1	Acetivibrio ethanolgignens	Acetivibrio
Acetoanaerobium_sticklandii	GCF_000196455.1	Acetoanaerobium sticklandii	Acetoanaerobium
Acetobacter_senegalensis	GCF_001499615.1	Acetobacter senegalensis	Acetobacter
Acetobacteraceae_bacterium_DB1506	GCF_003258945.1	Acetobacteraceae bacterium	Acetobacteraceae
Acetobacterium_bakii	GCF_001263355.1	Acetobacterium bakii	Acetobacterium
Acetohalobium_arabaticum_DSM_5501	GCF_000144695.1	Acetohalobium arabaticum	Acetohalobium
Acetomicrobium_hydrogeniformans_ATCC_BAA-1850	GCF_000160455.2	Acetomicrobium hydrogeniformans	Acetomicrobium
Acetonema_longum_DSM_6540	GCF_000219125.1	Acetonema longum	Acetonema
Acholeplasma_granularum_ATCC_19168	GCF_000526235.1	Acholeplasma granularum	Acholeplasma
Achromobacter_xylosoxidans	GCF_001457475.1	Achromobacter xylosoxidans	Achromobacter
Acidaminobacter_hydrogenoformans_DSM_2784	GCF_900103005.1	Acidaminobacter hydrogenoformans	Acidaminobacter
Acidaminococcus_timonensis	GCF_900106585.1	Acidaminococcus timonensis	Acidaminococcus
Acidibacillus_ferrooxidans	GCF_001642725.1	Acidibacillus ferrooxidans	Acidibacillus
Acidiferrobacter_thiooxydans	GCF_001705075.1	Acidiferrobacter thiooxydans	Acidiferrobacter
Acidihalobacter_ferrooxidans	GCF_001975725.1	Acidihalobacter ferrooxidans	Acidihalobacter
Acidimicrobium_ferrooxidans_DSM_10331	GCF_000023265.1	Acidimicrobium ferrooxidans	Acidimicrobium
Acidiphilium_multivorum_AIU301	GCF_000202835.1	Acidiphilium multivorum	Acidiphilium
Acidipila_sp._4G-K13	GCF_003428625.1	Acidipila sp.	Acidipila
Acidipropionibacterium_jensenii_DSM_20535	GCF_000425285.1	Acidipropionibacterium jensenii	Acidipropionibacterium
Acidisphaera_rubrifaciens_HS-AP3	GCF_000964365.1	Acidisphaera rubrifaciens	Acidisphaera
Acidithiobacillus_thiooxidans_ATCC_19377	GCF_000227215.1	Acidithiobacillus thiooxidans	Acidithiobacillus
Acidithrix_ferrooxidans	GCF_000949295.1	Acidithrix ferrooxidans	Acidithrix
Acidobacteria_bacterium_KBS_146	GCF_000688615.1	Acidobacteria bacterium	Acidobacteria
Acidobacteriaceae_bacterium_URHE0068	GCF_000620725.1	Acidobacteriaceae bacterium	Acidobacteriaceae
Acidobacterium_capsulatum_ATCC_51196	GCF_000022565.1	Acidobacterium capsulatum	Acidobacterium
Acidocella_facilis_ATCC_35904	GCF_000687875.1	Acidocella facilis	Acidocella
Acidomonas_methanolica_NBRC_104435	GCF_000617865.1	Acidomonas methanolica	Acidomonas
Acidothermus_cellulolyticus_11B	GCF_000015025.1	Acidothermus cellulolyticus	Acidothermus
Acidovorax_konjaci	GCF_900112675.1	Acidovorax konjaci	Acidovorax
Acinetobacter_radioresistens_DSM_6976_=_NBRC_102413_=_CIP_103788	GCF_000368905.1	Acinetobacter radioresistens	Acinetobacter
Actibacterium_mucosum_KCTC_23349	GCF_000647975.1	Actibacterium mucosum	Actibacterium
Actinoalloteichus_hoggarensis	GCF_002234535.1	Actinoalloteichus hoggarensis	Actinoalloteichus
Actinobacillus_succinogenes_130Z	GCF_000017245.1	Actinobacillus succinogenes	Actinobacillus
Actinobacteria_bacterium_IMCC26207	GCF_001025035.1	Actinobacteria bacterium	Actinobacteria
Actinobaculum_suis	GCF_900102025.1	Actinobaculum suis	Actinobaculum
Actinocatenispora_sera	GCF_000720965.1	Actinocatenispora sera	Actinocatenispora
Actinocorallia_populi	GCF_002995495.1	Actinocorallia populi	Actinocorallia
Actinokineospora_inagensis_DSM_44258	GCF_000482865.1	Actinokineospora inagensis	Actinokineospora
Actinomadura_rifamycini_DSM_43936	GCF_000425065.1	Actinomadura rifamycini	Actinomadura
Actinomyces_oris	GCF_001553935.1	Actinomyces oris	Actinomyces
Actinomycetaceae_bacterium_sk1b4	GCF_003123745.1	Actinomycetaceae bacterium	Actinomycetaceae
Actinomycetales_bacterium_SN12	GCF_002837415.1	Actinomycetales bacterium	Actinomycetales
Actinomycetospora_chiangmaiensis_DSM_45062	GCF_000379625.1	Actinomycetospora chiangmaiensis	Actinomycetospora
Actinophytocola_xanthii	GCF_001921205.1	Actinophytocola xanthii	Actinophytocola
Actinoplanes_rectilineatus	GCF_000962825.1	Actinoplanes rectilineatus	Actinoplanes
Actinopolymorpha_alba_DSM_45243	GCF_000373925.1	Actinopolymorpha alba	Actinopolymorpha
Actinopolyspora_mortivallis_DSM_44261	GCF_000384035.1	Actinopolyspora mortivallis	Actinopolyspora
