substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Acetobacter_senegalensis
2	10fthf	thf	10fthf___thf	Acetobacter_senegalensis
3	12dgr160	adp	12dgr160___adp	Acetobacter_senegalensis
4	12dgr160	h	12dgr160___h	Acetobacter_senegalensis
5	12dgr160	pa160	12dgr160___pa160	Acetobacter_senegalensis
6	12ppd__S	h	12ppd__S___h	Acetobacter_senegalensis
7	12ppd__S	lald__L	12ppd__S___lald__L	Acetobacter_senegalensis
8	12ppd__S	nadh	12ppd__S___nadh	Acetobacter_senegalensis
9	13dpg	3pg	13dpg___3pg	Acetobacter_senegalensis
10	13dpg	atp	13dpg___atp	Acetobacter_senegalensis
11	1ddecg3p	ACP	1ddecg3p___ACP	Acetobacter_senegalensis
12	1ddecg3p	pa120	1ddecg3p___pa120	Acetobacter_senegalensis
13	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Acetobacter_senegalensis
14	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Acetobacter_senegalensis
15	1hdecg3p	ACP	1hdecg3p___ACP	Acetobacter_senegalensis
16	1hdecg3p	pa160	1hdecg3p___pa160	Acetobacter_senegalensis
17	1odec11eg3p	ACP	1odec11eg3p___ACP	Acetobacter_senegalensis
18	1odec11eg3p	pa181	1odec11eg3p___pa181	Acetobacter_senegalensis
19	1odecg3p	ACP	1odecg3p___ACP	Acetobacter_senegalensis
20	1odecg3p	pa180	1odecg3p___pa180	Acetobacter_senegalensis
21	1pyr5c	nadp	1pyr5c___nadp	Acetobacter_senegalensis
22	1pyr5c	pro__L	1pyr5c___pro__L	Acetobacter_senegalensis
23	1tdecg3p	ACP	1tdecg3p___ACP	Acetobacter_senegalensis
24	1tdecg3p	pa140	1tdecg3p___pa140	Acetobacter_senegalensis
25	23dhdp	nadp	23dhdp___nadp	Acetobacter_senegalensis
26	23dhdp	thdp	23dhdp___thdp	Acetobacter_senegalensis
27	23dhmp	3mop	23dhmp___3mop	Acetobacter_senegalensis
28	23dhmp	h2o	23dhmp___h2o	Acetobacter_senegalensis
29	25aics	aicar	25aics___aicar	Acetobacter_senegalensis
30	25aics	fum	25aics___fum	Acetobacter_senegalensis
31	25dhpp	5apru	25dhpp___5apru	Acetobacter_senegalensis
32	25dhpp	nh4	25dhpp___nh4	Acetobacter_senegalensis
33	26dap_	adp	26dap____adp	Acetobacter_senegalensis
34	26dap_	co2	26dap____co2	Acetobacter_senegalensis
35	26dap_	h	26dap____h	Acetobacter_senegalensis
36	26dap_	lys__L	26dap____lys__L	Acetobacter_senegalensis
37	26dap_	pi	26dap____pi	Acetobacter_senegalensis
38	26dap_	ugmd	26dap____ugmd	Acetobacter_senegalensis
39	26dap_LL	26dap_	26dap_LL___26dap_	Acetobacter_senegalensis
40	2ahbut	23dhmp	2ahbut___23dhmp	Acetobacter_senegalensis
41	2ahbut	nadp	2ahbut___nadp	Acetobacter_senegalensis
42	2ahhmp	dhpt	2ahhmp___dhpt	Acetobacter_senegalensis
43	2ahhmp	h2o	2ahhmp___h2o	Acetobacter_senegalensis
44	2amsa	nadp	2amsa___nadp	Acetobacter_senegalensis
45	2amsa	ser__L	2amsa___ser__L	Acetobacter_senegalensis
46	2aobut	athr__L	2aobut___athr__L	Acetobacter_senegalensis
47	2aobut	nadp	2aobut___nadp	Acetobacter_senegalensis
48	2cpr5p	3ig3p	2cpr5p___3ig3p	Acetobacter_senegalensis
49	2cpr5p	co2	2cpr5p___co2	Acetobacter_senegalensis
50	2cpr5p	h2o	2cpr5p___h2o	Acetobacter_senegalensis
51	2dda7p	3dhq	2dda7p___3dhq	Acetobacter_senegalensis
52	2dda7p	pi	2dda7p___pi	Acetobacter_senegalensis
53	2dhglcn	6p2dhglcn	2dhglcn___6p2dhglcn	Acetobacter_senegalensis
54	2dhglcn	adp	2dhglcn___adp	Acetobacter_senegalensis
55	2dhp	nadp	2dhp___nadp	Acetobacter_senegalensis
56	2dhp	pant__R	2dhp___pant__R	Acetobacter_senegalensis
57	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Acetobacter_senegalensis
58	2dmmq8	nad	2dmmq8___nad	Acetobacter_senegalensis
59	2dmmql8	ahcys	2dmmql8___ahcys	Acetobacter_senegalensis
60	2dmmql8	h	2dmmql8___h	Acetobacter_senegalensis
61	2dmmql8	mql8	2dmmql8___mql8	Acetobacter_senegalensis
62	2fe1s	adp	2fe1s___adp	Acetobacter_senegalensis
63	2fe1s	h	2fe1s___h	Acetobacter_senegalensis
64	2fe1s	iscs	2fe1s___iscs	Acetobacter_senegalensis
65	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Acetobacter_senegalensis
66	2fe1s	pi	2fe1s___pi	Acetobacter_senegalensis
67	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Acetobacter_senegalensis
68	2fe1s	sufse	2fe1s___sufse	Acetobacter_senegalensis
69	2fe2s	2fe1s	2fe2s___2fe1s	Acetobacter_senegalensis
