substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Actinopolymorpha_alba
2	10fthf	thf	10fthf___thf	Actinopolymorpha_alba
3	12dgr120	adp	12dgr120___adp	Actinopolymorpha_alba
4	12dgr120	h	12dgr120___h	Actinopolymorpha_alba
5	12dgr120	pa120	12dgr120___pa120	Actinopolymorpha_alba
6	12dgr140	adp	12dgr140___adp	Actinopolymorpha_alba
7	12dgr140	h	12dgr140___h	Actinopolymorpha_alba
8	12dgr140	pa140	12dgr140___pa140	Actinopolymorpha_alba
9	12dgr141	adp	12dgr141___adp	Actinopolymorpha_alba
10	12dgr141	h	12dgr141___h	Actinopolymorpha_alba
11	12dgr141	pa141	12dgr141___pa141	Actinopolymorpha_alba
12	12dgr160	adp	12dgr160___adp	Actinopolymorpha_alba
13	12dgr160	h	12dgr160___h	Actinopolymorpha_alba
14	12dgr160	pa160	12dgr160___pa160	Actinopolymorpha_alba
15	12dgr161	adp	12dgr161___adp	Actinopolymorpha_alba
16	12dgr161	h	12dgr161___h	Actinopolymorpha_alba
17	12dgr161	pa161	12dgr161___pa161	Actinopolymorpha_alba
18	12dgr180	adp	12dgr180___adp	Actinopolymorpha_alba
19	12dgr180	h	12dgr180___h	Actinopolymorpha_alba
20	12dgr180	pa180	12dgr180___pa180	Actinopolymorpha_alba
21	12dgr181	adp	12dgr181___adp	Actinopolymorpha_alba
22	12dgr181	h	12dgr181___h	Actinopolymorpha_alba
23	12dgr181	pa181	12dgr181___pa181	Actinopolymorpha_alba
24	13dpg	3pg	13dpg___3pg	Actinopolymorpha_alba
25	13dpg	atp	13dpg___atp	Actinopolymorpha_alba
26	1hdecg3p	ACP	1hdecg3p___ACP	Actinopolymorpha_alba
27	1hdecg3p	pa160	1hdecg3p___pa160	Actinopolymorpha_alba
28	1odec11eg3p	ACP	1odec11eg3p___ACP	Actinopolymorpha_alba
29	1odec11eg3p	pa181	1odec11eg3p___pa181	Actinopolymorpha_alba
30	1odecg3p	ACP	1odecg3p___ACP	Actinopolymorpha_alba
31	1odecg3p	pa180	1odecg3p___pa180	Actinopolymorpha_alba
32	1pyr5c	nad	1pyr5c___nad	Actinopolymorpha_alba
33	1pyr5c	nadp	1pyr5c___nadp	Actinopolymorpha_alba
34	1pyr5c	pro__L	1pyr5c___pro__L	Actinopolymorpha_alba
35	23dhdp	nadp	23dhdp___nadp	Actinopolymorpha_alba
36	23dhdp	thdp	23dhdp___thdp	Actinopolymorpha_alba
37	23dhmb	alac__S	23dhmb___alac__S	Actinopolymorpha_alba
38	23dhmb	h	23dhmb___h	Actinopolymorpha_alba
39	23dhmb	nadph	23dhmb___nadph	Actinopolymorpha_alba
40	23dhmp	3mop	23dhmp___3mop	Actinopolymorpha_alba
41	23dhmp	h2o	23dhmp___h2o	Actinopolymorpha_alba
42	25aics	aicar	25aics___aicar	Actinopolymorpha_alba
43	25aics	fum	25aics___fum	Actinopolymorpha_alba
44	25dhpp	5apru	25dhpp___5apru	Actinopolymorpha_alba
45	25dhpp	nh4	25dhpp___nh4	Actinopolymorpha_alba
46	26dap_	adp	26dap____adp	Actinopolymorpha_alba
47	26dap_	co2	26dap____co2	Actinopolymorpha_alba
48	26dap_	h	26dap____h	Actinopolymorpha_alba
49	26dap_	lys__L	26dap____lys__L	Actinopolymorpha_alba
50	26dap_	pi	26dap____pi	Actinopolymorpha_alba
51	26dap_	ugmd	26dap____ugmd	Actinopolymorpha_alba
52	26dap_LL	26dap_	26dap_LL___26dap_	Actinopolymorpha_alba
53	2agpe120	amp	2agpe120___amp	Actinopolymorpha_alba
54	2agpe120	pe120	2agpe120___pe120	Actinopolymorpha_alba
55	2agpe120	ppi	2agpe120___ppi	Actinopolymorpha_alba
56	2agpe140	amp	2agpe140___amp	Actinopolymorpha_alba
57	2agpe140	pe140	2agpe140___pe140	Actinopolymorpha_alba
58	2agpe140	ppi	2agpe140___ppi	Actinopolymorpha_alba
59	2agpe141	amp	2agpe141___amp	Actinopolymorpha_alba
60	2agpe141	pe141	2agpe141___pe141	Actinopolymorpha_alba
61	2agpe141	ppi	2agpe141___ppi	Actinopolymorpha_alba
62	2agpe160	amp	2agpe160___amp	Actinopolymorpha_alba
63	2agpe160	pe160	2agpe160___pe160	Actinopolymorpha_alba
64	2agpe160	ppi	2agpe160___ppi	Actinopolymorpha_alba
65	2agpe180	amp	2agpe180___amp	Actinopolymorpha_alba
66	2agpe180	pe180	2agpe180___pe180	Actinopolymorpha_alba
67	2agpe180	ppi	2agpe180___ppi	Actinopolymorpha_alba
68	2agpe181	amp	2agpe181___amp	Actinopolymorpha_alba
69	2agpe181	pe181	2agpe181___pe181	Actinopolymorpha_alba
70	2agpe181	ppi	2agpe181___ppi	Actinopolymorpha_alba
71	2agpg120	amp	2agpg120___amp	Actinopolymorpha_alba
72	2agpg120	pg120	2agpg120___pg120	Actinopolymorpha_alba
73	2agpg120	ppi	2agpg120___ppi	Actinopolymorpha_alba
74	2agpg140	amp	2agpg140___amp	Actinopolymorpha_alba
75	2agpg140	pg140	2agpg140___pg140	Actinopolymorpha_alba
76	2agpg140	ppi	2agpg140___ppi	Actinopolymorpha_alba
77	2agpg141	amp	2agpg141___amp	Actinopolymorpha_alba
78	2agpg141	pg141	2agpg141___pg141	Actinopolymorpha_alba
79	2agpg141	ppi	2agpg141___ppi	Actinopolymorpha_alba
80	2agpg160	amp	2agpg160___amp	Actinopolymorpha_alba
81	2agpg160	pg160	2agpg160___pg160	Actinopolymorpha_alba
82	2agpg160	ppi	2agpg160___ppi	Actinopolymorpha_alba
83	2agpg161	amp	2agpg161___amp	Actinopolymorpha_alba
84	2agpg161	pg161	2agpg161___pg161	Actinopolymorpha_alba
85	2agpg161	ppi	2agpg161___ppi	Actinopolymorpha_alba
86	2agpg180	amp	2agpg180___amp	Actinopolymorpha_alba
87	2agpg180	pg180	2agpg180___pg180	Actinopolymorpha_alba
88	2agpg180	ppi	2agpg180___ppi	Actinopolymorpha_alba
89	2agpg181	amp	2agpg181___amp	Actinopolymorpha_alba
90	2agpg181	pg181	2agpg181___pg181	Actinopolymorpha_alba
91	2agpg181	ppi	2agpg181___ppi	Actinopolymorpha_alba
92	2ahbut	23dhmp	2ahbut___23dhmp	Actinopolymorpha_alba
93	2ahbut	nadp	2ahbut___nadp	Actinopolymorpha_alba
94	2ahhmp	dhpt	2ahhmp___dhpt	Actinopolymorpha_alba
95	2ahhmp	h2o	2ahhmp___h2o	Actinopolymorpha_alba
96	2amsa	nadp	2amsa___nadp	Actinopolymorpha_alba
