substrate	product	rxn	taxon
1	10fthf	thf	10fthf___thf	Actinosynnema_mirum
2	12dgr160	adp	12dgr160___adp	Actinosynnema_mirum
3	12dgr160	h	12dgr160___h	Actinosynnema_mirum
4	12dgr160	pa160	12dgr160___pa160	Actinosynnema_mirum
5	13dpg	3pg	13dpg___3pg	Actinosynnema_mirum
6	13dpg	atp	13dpg___atp	Actinosynnema_mirum
7	1ddecg3p	ACP	1ddecg3p___ACP	Actinosynnema_mirum
8	1ddecg3p	pa120	1ddecg3p___pa120	Actinosynnema_mirum
9	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Actinosynnema_mirum
10	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Actinosynnema_mirum
11	1hdecg3p	ACP	1hdecg3p___ACP	Actinosynnema_mirum
12	1hdecg3p	pa160	1hdecg3p___pa160	Actinosynnema_mirum
13	1odec11eg3p	ACP	1odec11eg3p___ACP	Actinosynnema_mirum
14	1odec11eg3p	pa181	1odec11eg3p___pa181	Actinosynnema_mirum
15	1odecg3p	ACP	1odecg3p___ACP	Actinosynnema_mirum
16	1odecg3p	pa180	1odecg3p___pa180	Actinosynnema_mirum
17	1pyr5c	nad	1pyr5c___nad	Actinosynnema_mirum
18	1pyr5c	nadp	1pyr5c___nadp	Actinosynnema_mirum
19	1pyr5c	pro__L	1pyr5c___pro__L	Actinosynnema_mirum
20	1tdecg3p	ACP	1tdecg3p___ACP	Actinosynnema_mirum
21	1tdecg3p	pa140	1tdecg3p___pa140	Actinosynnema_mirum
22	23dhdp	nadp	23dhdp___nadp	Actinosynnema_mirum
23	23dhdp	thdp	23dhdp___thdp	Actinosynnema_mirum
24	23dhmp	3mop	23dhmp___3mop	Actinosynnema_mirum
25	23dhmp	h2o	23dhmp___h2o	Actinosynnema_mirum
26	25aics	aicar	25aics___aicar	Actinosynnema_mirum
27	25aics	fum	25aics___fum	Actinosynnema_mirum
28	25dhpp	5apru	25dhpp___5apru	Actinosynnema_mirum
29	25dhpp	nh4	25dhpp___nh4	Actinosynnema_mirum
30	26dap_	adp	26dap____adp	Actinosynnema_mirum
31	26dap_	co2	26dap____co2	Actinosynnema_mirum
32	26dap_	h	26dap____h	Actinosynnema_mirum
33	26dap_	lys__L	26dap____lys__L	Actinosynnema_mirum
34	26dap_	pi	26dap____pi	Actinosynnema_mirum
35	26dap_	ugmd	26dap____ugmd	Actinosynnema_mirum
36	26dap_LL	26dap_	26dap_LL___26dap_	Actinosynnema_mirum
37	2agpe120	amp	2agpe120___amp	Actinosynnema_mirum
38	2agpe120	pe120	2agpe120___pe120	Actinosynnema_mirum
39	2agpe120	ppi	2agpe120___ppi	Actinosynnema_mirum
40	2agpe140	amp	2agpe140___amp	Actinosynnema_mirum
41	2agpe140	pe140	2agpe140___pe140	Actinosynnema_mirum
42	2agpe140	ppi	2agpe140___ppi	Actinosynnema_mirum
43	2agpe141	amp	2agpe141___amp	Actinosynnema_mirum
44	2agpe141	pe141	2agpe141___pe141	Actinosynnema_mirum
45	2agpe141	ppi	2agpe141___ppi	Actinosynnema_mirum
46	2agpe160	amp	2agpe160___amp	Actinosynnema_mirum
47	2agpe160	pe160	2agpe160___pe160	Actinosynnema_mirum
48	2agpe160	ppi	2agpe160___ppi	Actinosynnema_mirum
