substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Afifella_marina
2	10fthf	thf	10fthf___thf	Afifella_marina
3	12dgr120	adp	12dgr120___adp	Afifella_marina
4	12dgr120	h	12dgr120___h	Afifella_marina
5	12dgr120	pa120	12dgr120___pa120	Afifella_marina
6	12dgr140	adp	12dgr140___adp	Afifella_marina
7	12dgr140	h	12dgr140___h	Afifella_marina
8	12dgr140	pa140	12dgr140___pa140	Afifella_marina
9	12dgr141	adp	12dgr141___adp	Afifella_marina
10	12dgr141	h	12dgr141___h	Afifella_marina
11	12dgr141	pa141	12dgr141___pa141	Afifella_marina
12	12dgr160	adp	12dgr160___adp	Afifella_marina
13	12dgr160	h	12dgr160___h	Afifella_marina
14	12dgr160	pa160	12dgr160___pa160	Afifella_marina
15	12dgr161	adp	12dgr161___adp	Afifella_marina
16	12dgr161	h	12dgr161___h	Afifella_marina
17	12dgr161	pa161	12dgr161___pa161	Afifella_marina
18	12dgr180	adp	12dgr180___adp	Afifella_marina
19	12dgr180	h	12dgr180___h	Afifella_marina
20	12dgr180	pa180	12dgr180___pa180	Afifella_marina
21	12dgr181	adp	12dgr181___adp	Afifella_marina
22	12dgr181	h	12dgr181___h	Afifella_marina
23	12dgr181	pa181	12dgr181___pa181	Afifella_marina
24	13dpg	3pg	13dpg___3pg	Afifella_marina
25	13dpg	atp	13dpg___atp	Afifella_marina
26	1ddecg3p	ACP	1ddecg3p___ACP	Afifella_marina
27	1ddecg3p	pa120	1ddecg3p___pa120	Afifella_marina
28	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Afifella_marina
29	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Afifella_marina
30	1hdecg3p	ACP	1hdecg3p___ACP	Afifella_marina
31	1hdecg3p	pa160	1hdecg3p___pa160	Afifella_marina
32	1odec11eg3p	ACP	1odec11eg3p___ACP	Afifella_marina
33	1odec11eg3p	pa181	1odec11eg3p___pa181	Afifella_marina
34	1odecg3p	ACP	1odecg3p___ACP	Afifella_marina
35	1odecg3p	pa180	1odecg3p___pa180	Afifella_marina
36	1pyr5c	nad	1pyr5c___nad	Afifella_marina
37	1pyr5c	nadp	1pyr5c___nadp	Afifella_marina
38	1pyr5c	pro__L	1pyr5c___pro__L	Afifella_marina
39	1tdecg3p	ACP	1tdecg3p___ACP	Afifella_marina
40	1tdecg3p	pa140	1tdecg3p___pa140	Afifella_marina
41	23dhdp	nadp	23dhdp___nadp	Afifella_marina
42	23dhdp	thdp	23dhdp___thdp	Afifella_marina
43	23dhmp	3mop	23dhmp___3mop	Afifella_marina
44	23dhmp	h2o	23dhmp___h2o	Afifella_marina
45	25aics	aicar	25aics___aicar	Afifella_marina
46	25aics	fum	25aics___fum	Afifella_marina
47	25dhpp	5apru	25dhpp___5apru	Afifella_marina
48	25dhpp	nh4	25dhpp___nh4	Afifella_marina
49	26dap_	adp	26dap____adp	Afifella_marina
50	26dap_	co2	26dap____co2	Afifella_marina
51	26dap_	h	26dap____h	Afifella_marina
52	26dap_	lys__L	26dap____lys__L	Afifella_marina
53	26dap_	pi	26dap____pi	Afifella_marina
54	26dap_	ugmd	26dap____ugmd	Afifella_marina
55	26dap_LL	26dap_	26dap_LL___26dap_	Afifella_marina
56	2agpe120	amp	2agpe120___amp	Afifella_marina
57	2agpe120	pe120	2agpe120___pe120	Afifella_marina
58	2agpe120	ppi	2agpe120___ppi	Afifella_marina
59	2agpe140	amp	2agpe140___amp	Afifella_marina
60	2agpe140	pe140	2agpe140___pe140	Afifella_marina
61	2agpe140	ppi	2agpe140___ppi	Afifella_marina
62	2agpe141	amp	2agpe141___amp	Afifella_marina
63	2agpe141	pe141	2agpe141___pe141	Afifella_marina
64	2agpe141	ppi	2agpe141___ppi	Afifella_marina
65	2agpe160	amp	2agpe160___amp	Afifella_marina
66	2agpe160	pe160	2agpe160___pe160	Afifella_marina
67	2agpe160	ppi	2agpe160___ppi	Afifella_marina
68	2agpe180	amp	2agpe180___amp	Afifella_marina
69	2agpe180	pe180	2agpe180___pe180	Afifella_marina
70	2agpe180	ppi	2agpe180___ppi	Afifella_marina
71	2agpe181	amp	2agpe181___amp	Afifella_marina
72	2agpe181	g3pe	2agpe181___g3pe	Afifella_marina
73	2agpe181	h	2agpe181___h	Afifella_marina
74	2agpe181	ocdcea	2agpe181___ocdcea	Afifella_marina
75	2agpe181	pe181	2agpe181___pe181	Afifella_marina
76	2agpe181	ppi	2agpe181___ppi	Afifella_marina
77	2agpg120	amp	2agpg120___amp	Afifella_marina
78	2agpg120	ddca	2agpg120___ddca	Afifella_marina
79	2agpg120	g3pg	2agpg120___g3pg	Afifella_marina
80	2agpg120	h	2agpg120___h	Afifella_marina
81	2agpg120	pg120	2agpg120___pg120	Afifella_marina
82	2agpg120	ppi	2agpg120___ppi	Afifella_marina
83	2agpg140	amp	2agpg140___amp	Afifella_marina
84	2agpg140	g3pg	2agpg140___g3pg	Afifella_marina
85	2agpg140	h	2agpg140___h	Afifella_marina
86	2agpg140	pg140	2agpg140___pg140	Afifella_marina
87	2agpg140	ppi	2agpg140___ppi	Afifella_marina
88	2agpg140	ttdca	2agpg140___ttdca	Afifella_marina
89	2agpg141	amp	2agpg141___amp	Afifella_marina
90	2agpg141	pg141	2agpg141___pg141	Afifella_marina
91	2agpg141	ppi	2agpg141___ppi	Afifella_marina
92	2agpg160	amp	2agpg160___amp	Afifella_marina
93	2agpg160	g3pg	2agpg160___g3pg	Afifella_marina
94	2agpg160	h	2agpg160___h	Afifella_marina
95	2agpg160	hdca	2agpg160___hdca	Afifella_marina
96	2agpg160	pg160	2agpg160___pg160	Afifella_marina
97	2agpg160	ppi	2agpg160___ppi	Afifella_marina
98	2agpg161	amp	2agpg161___amp	Afifella_marina
99	2agpg161	g3pg	2agpg161___g3pg	Afifella_marina
100	2agpg161	h	2agpg161___h	Afifella_marina
101	2agpg161	hdcea	2agpg161___hdcea	Afifella_marina
102	2agpg161	pg161	2agpg161___pg161	Afifella_marina
103	2agpg161	ppi	2agpg161___ppi	Afifella_marina
104	2agpg180	amp	2agpg180___amp	Afifella_marina
105	2agpg180	g3pg	2agpg180___g3pg	Afifella_marina
106	2agpg180	h	2agpg180___h	Afifella_marina
107	2agpg180	ocdca	2agpg180___ocdca	Afifella_marina
108	2agpg180	pg180	2agpg180___pg180	Afifella_marina
109	2agpg180	ppi	2agpg180___ppi	Afifella_marina
110	2agpg181	amp	2agpg181___amp	Afifella_marina
111	2agpg181	g3pg	2agpg181___g3pg	Afifella_marina
112	2agpg181	h	2agpg181___h	Afifella_marina
113	2agpg181	ocdcea	2agpg181___ocdcea	Afifella_marina
114	2agpg181	pg181	2agpg181___pg181	Afifella_marina
115	2agpg181	ppi	2agpg181___ppi	Afifella_marina
116	2ahbut	23dhmp	2ahbut___23dhmp	Afifella_marina
117	2ahbut	nadp	2ahbut___nadp	Afifella_marina
118	2amsa	nadp	2amsa___nadp	Afifella_marina
119	2aobut	athr__L	2aobut___athr__L	Afifella_marina
120	2aobut	nadp	2aobut___nadp	Afifella_marina
121	2cpr5p	3ig3p	2cpr5p___3ig3p	Afifella_marina
122	2cpr5p	co2	2cpr5p___co2	Afifella_marina
123	2cpr5p	h2o	2cpr5p___h2o	Afifella_marina
124	2dda7p	3dhq	2dda7p___3dhq	Afifella_marina
125	2dda7p	pi	2dda7p___pi	Afifella_marina
126	2ddg6p	g3p	2ddg6p___g3p	Afifella_marina
127	2ddg6p	pyr	2ddg6p___pyr	Afifella_marina
