substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Algicola_sagamiensis
2	10fthf	thf	10fthf___thf	Algicola_sagamiensis
3	12ppd__S	h	12ppd__S___h	Algicola_sagamiensis
4	12ppd__S	lald__L	12ppd__S___lald__L	Algicola_sagamiensis
5	12ppd__S	nadh	12ppd__S___nadh	Algicola_sagamiensis
6	13dpg	3pg	13dpg___3pg	Algicola_sagamiensis
7	13dpg	atp	13dpg___atp	Algicola_sagamiensis
8	14glucan	malthx	14glucan___malthx	Algicola_sagamiensis
9	1ddecg3p	ACP	1ddecg3p___ACP	Algicola_sagamiensis
10	1ddecg3p	pa120	1ddecg3p___pa120	Algicola_sagamiensis
11	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Algicola_sagamiensis
12	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Algicola_sagamiensis
13	1hdecg3p	ACP	1hdecg3p___ACP	Algicola_sagamiensis
14	1hdecg3p	pa160	1hdecg3p___pa160	Algicola_sagamiensis
15	1odec11eg3p	ACP	1odec11eg3p___ACP	Algicola_sagamiensis
16	1odec11eg3p	pa181	1odec11eg3p___pa181	Algicola_sagamiensis
17	1odecg3p	ACP	1odecg3p___ACP	Algicola_sagamiensis
18	1odecg3p	pa180	1odecg3p___pa180	Algicola_sagamiensis
19	1pyr5c	nadp	1pyr5c___nadp	Algicola_sagamiensis
20	1pyr5c	pro__L	1pyr5c___pro__L	Algicola_sagamiensis
21	1tdecg3p	ACP	1tdecg3p___ACP	Algicola_sagamiensis
22	1tdecg3p	pa140	1tdecg3p___pa140	Algicola_sagamiensis
23	23dhdp	nadp	23dhdp___nadp	Algicola_sagamiensis
24	23dhdp	thdp	23dhdp___thdp	Algicola_sagamiensis
25	23dhmb	alac__S	23dhmb___alac__S	Algicola_sagamiensis
26	23dhmb	h	23dhmb___h	Algicola_sagamiensis
27	23dhmb	nadph	23dhmb___nadph	Algicola_sagamiensis
28	23dhmp	3mop	23dhmp___3mop	Algicola_sagamiensis
29	23dhmp	h2o	23dhmp___h2o	Algicola_sagamiensis
30	25aics	aicar	25aics___aicar	Algicola_sagamiensis
31	25aics	fum	25aics___fum	Algicola_sagamiensis
32	25dhpp	5apru	25dhpp___5apru	Algicola_sagamiensis
33	25dhpp	nh4	25dhpp___nh4	Algicola_sagamiensis
34	26dap_	adp	26dap____adp	Algicola_sagamiensis
35	26dap_	co2	26dap____co2	Algicola_sagamiensis
36	26dap_	h	26dap____h	Algicola_sagamiensis
37	26dap_	lys__L	26dap____lys__L	Algicola_sagamiensis
38	26dap_	pi	26dap____pi	Algicola_sagamiensis
39	26dap_	ugmd	26dap____ugmd	Algicola_sagamiensis
40	26dap_LL	26dap_	26dap_LL___26dap_	Algicola_sagamiensis
41	2agpe120	amp	2agpe120___amp	Algicola_sagamiensis
42	2agpe120	pe120	2agpe120___pe120	Algicola_sagamiensis
43	2agpe120	ppi	2agpe120___ppi	Algicola_sagamiensis
44	2agpe140	amp	2agpe140___amp	Algicola_sagamiensis
45	2agpe140	pe140	2agpe140___pe140	Algicola_sagamiensis
46	2agpe140	ppi	2agpe140___ppi	Algicola_sagamiensis
47	2agpe141	amp	2agpe141___amp	Algicola_sagamiensis
48	2agpe141	pe141	2agpe141___pe141	Algicola_sagamiensis
49	2agpe141	ppi	2agpe141___ppi	Algicola_sagamiensis
50	2agpe160	amp	2agpe160___amp	Algicola_sagamiensis
51	2agpe160	pe160	2agpe160___pe160	Algicola_sagamiensis
52	2agpe160	ppi	2agpe160___ppi	Algicola_sagamiensis
53	2agpe180	amp	2agpe180___amp	Algicola_sagamiensis
54	2agpe180	pe180	2agpe180___pe180	Algicola_sagamiensis
55	2agpe180	ppi	2agpe180___ppi	Algicola_sagamiensis
56	2agpe181	amp	2agpe181___amp	Algicola_sagamiensis
57	2agpe181	g3pe	2agpe181___g3pe	Algicola_sagamiensis
58	2agpe181	h	2agpe181___h	Algicola_sagamiensis
59	2agpe181	ocdcea	2agpe181___ocdcea	Algicola_sagamiensis
60	2agpe181	pe181	2agpe181___pe181	Algicola_sagamiensis
61	2agpe181	ppi	2agpe181___ppi	Algicola_sagamiensis
