substrate	product	rxn	taxon
1	10fthf	thf	10fthf___thf	Amantichitinum_ursilacus
2	12dgr120	adp	12dgr120___adp	Amantichitinum_ursilacus
3	12dgr120	h	12dgr120___h	Amantichitinum_ursilacus
4	12dgr120	pa120	12dgr120___pa120	Amantichitinum_ursilacus
5	12dgr140	adp	12dgr140___adp	Amantichitinum_ursilacus
6	12dgr140	h	12dgr140___h	Amantichitinum_ursilacus
7	12dgr140	pa140	12dgr140___pa140	Amantichitinum_ursilacus
8	12dgr141	adp	12dgr141___adp	Amantichitinum_ursilacus
9	12dgr141	h	12dgr141___h	Amantichitinum_ursilacus
10	12dgr141	pa141	12dgr141___pa141	Amantichitinum_ursilacus
11	12dgr160	adp	12dgr160___adp	Amantichitinum_ursilacus
12	12dgr160	h	12dgr160___h	Amantichitinum_ursilacus
13	12dgr160	pa160	12dgr160___pa160	Amantichitinum_ursilacus
14	12dgr161	adp	12dgr161___adp	Amantichitinum_ursilacus
15	12dgr161	h	12dgr161___h	Amantichitinum_ursilacus
16	12dgr161	pa161	12dgr161___pa161	Amantichitinum_ursilacus
17	12dgr180	adp	12dgr180___adp	Amantichitinum_ursilacus
18	12dgr180	h	12dgr180___h	Amantichitinum_ursilacus
19	12dgr180	pa180	12dgr180___pa180	Amantichitinum_ursilacus
20	12dgr181	adp	12dgr181___adp	Amantichitinum_ursilacus
21	12dgr181	h	12dgr181___h	Amantichitinum_ursilacus
22	12dgr181	pa181	12dgr181___pa181	Amantichitinum_ursilacus
23	13dpg	3pg	13dpg___3pg	Amantichitinum_ursilacus
24	13dpg	atp	13dpg___atp	Amantichitinum_ursilacus
25	14glucan	malthx	14glucan___malthx	Amantichitinum_ursilacus
26	1ddecg3p	ACP	1ddecg3p___ACP	Amantichitinum_ursilacus
27	1ddecg3p	pa120	1ddecg3p___pa120	Amantichitinum_ursilacus
28	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Amantichitinum_ursilacus
29	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Amantichitinum_ursilacus
30	1hdecg3p	ACP	1hdecg3p___ACP	Amantichitinum_ursilacus
31	1hdecg3p	pa160	1hdecg3p___pa160	Amantichitinum_ursilacus
32	1odec11eg3p	ACP	1odec11eg3p___ACP	Amantichitinum_ursilacus
33	1odec11eg3p	pa181	1odec11eg3p___pa181	Amantichitinum_ursilacus
34	1odecg3p	ACP	1odecg3p___ACP	Amantichitinum_ursilacus
35	1odecg3p	pa180	1odecg3p___pa180	Amantichitinum_ursilacus
36	1pyr5c	nad	1pyr5c___nad	Amantichitinum_ursilacus
37	1pyr5c	nadp	1pyr5c___nadp	Amantichitinum_ursilacus
38	1pyr5c	pro__L	1pyr5c___pro__L	Amantichitinum_ursilacus
39	1tdecg3p	ACP	1tdecg3p___ACP	Amantichitinum_ursilacus
40	1tdecg3p	pa140	1tdecg3p___pa140	Amantichitinum_ursilacus
41	23dhdp	nadp	23dhdp___nadp	Amantichitinum_ursilacus
42	23dhdp	thdp	23dhdp___thdp	Amantichitinum_ursilacus
43	23dhmp	3mop	23dhmp___3mop	Amantichitinum_ursilacus
44	23dhmp	h2o	23dhmp___h2o	Amantichitinum_ursilacus
45	25aics	aicar	25aics___aicar	Amantichitinum_ursilacus
46	25aics	fum	25aics___fum	Amantichitinum_ursilacus
47	25dhpp	5apru	25dhpp___5apru	Amantichitinum_ursilacus
48	25dhpp	nh4	25dhpp___nh4	Amantichitinum_ursilacus
49	26dap_	adp	26dap____adp	Amantichitinum_ursilacus
50	26dap_	co2	26dap____co2	Amantichitinum_ursilacus
51	26dap_	h	26dap____h	Amantichitinum_ursilacus
52	26dap_	lys__L	26dap____lys__L	Amantichitinum_ursilacus
53	26dap_	pi	26dap____pi	Amantichitinum_ursilacus
54	26dap_	ugmd	26dap____ugmd	Amantichitinum_ursilacus
55	26dap_LL	26dap_	26dap_LL___26dap_	Amantichitinum_ursilacus
56	2agpe120	amp	2agpe120___amp	Amantichitinum_ursilacus
57	2agpe120	pe120	2agpe120___pe120	Amantichitinum_ursilacus
58	2agpe120	ppi	2agpe120___ppi	Amantichitinum_ursilacus
59	2agpe140	amp	2agpe140___amp	Amantichitinum_ursilacus
60	2agpe140	pe140	2agpe140___pe140	Amantichitinum_ursilacus
61	2agpe140	ppi	2agpe140___ppi	Amantichitinum_ursilacus
62	2agpe141	amp	2agpe141___amp	Amantichitinum_ursilacus
63	2agpe141	pe141	2agpe141___pe141	Amantichitinum_ursilacus
64	2agpe141	ppi	2agpe141___ppi	Amantichitinum_ursilacus
65	2agpe160	amp	2agpe160___amp	Amantichitinum_ursilacus
66	2agpe160	pe160	2agpe160___pe160	Amantichitinum_ursilacus
67	2agpe160	ppi	2agpe160___ppi	Amantichitinum_ursilacus
68	2agpe180	amp	2agpe180___amp	Amantichitinum_ursilacus
69	2agpe180	pe180	2agpe180___pe180	Amantichitinum_ursilacus
70	2agpe180	ppi	2agpe180___ppi	Amantichitinum_ursilacus
71	2agpe181	amp	2agpe181___amp	Amantichitinum_ursilacus
72	2agpe181	pe181	2agpe181___pe181	Amantichitinum_ursilacus
73	2agpe181	ppi	2agpe181___ppi	Amantichitinum_ursilacus
74	2agpg120	amp	2agpg120___amp	Amantichitinum_ursilacus
75	2agpg120	pg120	2agpg120___pg120	Amantichitinum_ursilacus
76	2agpg120	ppi	2agpg120___ppi	Amantichitinum_ursilacus
77	2agpg140	amp	2agpg140___amp	Amantichitinum_ursilacus
78	2agpg140	pg140	2agpg140___pg140	Amantichitinum_ursilacus
79	2agpg140	ppi	2agpg140___ppi	Amantichitinum_ursilacus
80	2agpg141	amp	2agpg141___amp	Amantichitinum_ursilacus
81	2agpg141	pg141	2agpg141___pg141	Amantichitinum_ursilacus
82	2agpg141	ppi	2agpg141___ppi	Amantichitinum_ursilacus
83	2agpg160	amp	2agpg160___amp	Amantichitinum_ursilacus
84	2agpg160	pg160	2agpg160___pg160	Amantichitinum_ursilacus
85	2agpg160	ppi	2agpg160___ppi	Amantichitinum_ursilacus
86	2agpg161	amp	2agpg161___amp	Amantichitinum_ursilacus
87	2agpg161	pg161	2agpg161___pg161	Amantichitinum_ursilacus
88	2agpg161	ppi	2agpg161___ppi	Amantichitinum_ursilacus
89	2agpg180	amp	2agpg180___amp	Amantichitinum_ursilacus
90	2agpg180	pg180	2agpg180___pg180	Amantichitinum_ursilacus
91	2agpg180	ppi	2agpg180___ppi	Amantichitinum_ursilacus
92	2agpg181	amp	2agpg181___amp	Amantichitinum_ursilacus
93	2agpg181	pg181	2agpg181___pg181	Amantichitinum_ursilacus
94	2agpg181	ppi	2agpg181___ppi	Amantichitinum_ursilacus
95	2ahbut	23dhmp	2ahbut___23dhmp	Amantichitinum_ursilacus
96	2ahbut	nadp	2ahbut___nadp	Amantichitinum_ursilacus
97	2ahhmp	dhpt	2ahhmp___dhpt	Amantichitinum_ursilacus
98	2ahhmp	h2o	2ahhmp___h2o	Amantichitinum_ursilacus
99	2amsa	nadp	2amsa___nadp	Amantichitinum_ursilacus
100	2aobut	athr__L	2aobut___athr__L	Amantichitinum_ursilacus
101	2aobut	nadp	2aobut___nadp	Amantichitinum_ursilacus
102	2cpr5p	3ig3p	2cpr5p___3ig3p	Amantichitinum_ursilacus
103	2cpr5p	co2	2cpr5p___co2	Amantichitinum_ursilacus
104	2cpr5p	h2o	2cpr5p___h2o	Amantichitinum_ursilacus
105	2dda7p	3dhq	2dda7p___3dhq	Amantichitinum_ursilacus
106	2dda7p	pi	2dda7p___pi	Amantichitinum_ursilacus
107	2ddg6p	g3p	2ddg6p___g3p	Amantichitinum_ursilacus
108	2ddg6p	pyr	2ddg6p___pyr	Amantichitinum_ursilacus
109	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Amantichitinum_ursilacus
110	2ddglcn	adp	2ddglcn___adp	Amantichitinum_ursilacus
111	2ddglcn	h	2ddglcn___h	Amantichitinum_ursilacus
112	2dhp	nadp	2dhp___nadp	Amantichitinum_ursilacus
113	2dhp	pant__R	2dhp___pant__R	Amantichitinum_ursilacus
114	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Amantichitinum_ursilacus
115	2dmmq8	nad	2dmmq8___nad	Amantichitinum_ursilacus
116	2dmmql8	2dmmq8	2dmmql8___2dmmq8	Amantichitinum_ursilacus
117	2dmmql8	ahcys	2dmmql8___ahcys	Amantichitinum_ursilacus
118	2dmmql8	h	2dmmql8___h	Amantichitinum_ursilacus
119	2dmmql8	mql8	2dmmql8___mql8	Amantichitinum_ursilacus
120	2dmmql8	succ	2dmmql8___succ	Amantichitinum_ursilacus
121	2dr1p	2dr5p	2dr1p___2dr5p	Amantichitinum_ursilacus
122	2dr5p	acald	2dr5p___acald	Amantichitinum_ursilacus
123	2dr5p	g3p	2dr5p___g3p	Amantichitinum_ursilacus
124	2fe1s	adp	2fe1s___adp	Amantichitinum_ursilacus
125	2fe1s	h	2fe1s___h	Amantichitinum_ursilacus
126	2fe1s	iscs	2fe1s___iscs	Amantichitinum_ursilacus
127	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Amantichitinum_ursilacus
128	2fe1s	pi	2fe1s___pi	Amantichitinum_ursilacus
129	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Amantichitinum_ursilacus
130	2fe1s	sufse	2fe1s___sufse	Amantichitinum_ursilacus
131	2fe2s	2fe1s	2fe2s___2fe1s	Amantichitinum_ursilacus
132	2fe2s	btn	2fe2s___btn	Amantichitinum_ursilacus
133	2fe2s	dad_5	2fe2s___dad_5	Amantichitinum_ursilacus
134	2fe2s	h	2fe2s___h	Amantichitinum_ursilacus
135	2fe2s	met__L	2fe2s___met__L	Amantichitinum_ursilacus
136	2h3opp	glyc__R	2h3opp___glyc__R	Amantichitinum_ursilacus
137	2h3opp	nad	2h3opp___nad	Amantichitinum_ursilacus
138	2ins	adp	2ins___adp	Amantichitinum_ursilacus
139	2ins	dhap	2ins___dhap	Amantichitinum_ursilacus
140	2ins	h	2ins___h	Amantichitinum_ursilacus
141	2ins	msa	2ins___msa	Amantichitinum_ursilacus
142	2ippm	3c2hmp	2ippm___3c2hmp	Amantichitinum_ursilacus
143	2kmb	akg	2kmb___akg	Amantichitinum_ursilacus
