substrate	product	rxn	taxon
1	10fthf	thf	10fthf___thf	Amycolatopsis_australiensis
2	12dgr120	adp	12dgr120___adp	Amycolatopsis_australiensis
3	12dgr120	h	12dgr120___h	Amycolatopsis_australiensis
4	12dgr120	pa120	12dgr120___pa120	Amycolatopsis_australiensis
5	12dgr140	adp	12dgr140___adp	Amycolatopsis_australiensis
6	12dgr140	h	12dgr140___h	Amycolatopsis_australiensis
7	12dgr140	pa140	12dgr140___pa140	Amycolatopsis_australiensis
8	12dgr141	adp	12dgr141___adp	Amycolatopsis_australiensis
9	12dgr141	h	12dgr141___h	Amycolatopsis_australiensis
10	12dgr141	pa141	12dgr141___pa141	Amycolatopsis_australiensis
11	12dgr160	adp	12dgr160___adp	Amycolatopsis_australiensis
12	12dgr160	h	12dgr160___h	Amycolatopsis_australiensis
13	12dgr160	pa160	12dgr160___pa160	Amycolatopsis_australiensis
14	12dgr161	adp	12dgr161___adp	Amycolatopsis_australiensis
15	12dgr161	h	12dgr161___h	Amycolatopsis_australiensis
16	12dgr161	pa161	12dgr161___pa161	Amycolatopsis_australiensis
17	12dgr180	adp	12dgr180___adp	Amycolatopsis_australiensis
18	12dgr180	h	12dgr180___h	Amycolatopsis_australiensis
19	12dgr180	pa180	12dgr180___pa180	Amycolatopsis_australiensis
20	12dgr181	adp	12dgr181___adp	Amycolatopsis_australiensis
21	12dgr181	h	12dgr181___h	Amycolatopsis_australiensis
22	12dgr181	pa181	12dgr181___pa181	Amycolatopsis_australiensis
23	13dpg	3pg	13dpg___3pg	Amycolatopsis_australiensis
24	13dpg	atp	13dpg___atp	Amycolatopsis_australiensis
25	1ddecg3p	ACP	1ddecg3p___ACP	Amycolatopsis_australiensis
26	1ddecg3p	pa120	1ddecg3p___pa120	Amycolatopsis_australiensis
27	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Amycolatopsis_australiensis
28	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Amycolatopsis_australiensis
29	1hdecg3p	ACP	1hdecg3p___ACP	Amycolatopsis_australiensis
30	1hdecg3p	pa160	1hdecg3p___pa160	Amycolatopsis_australiensis
31	1odec11eg3p	ACP	1odec11eg3p___ACP	Amycolatopsis_australiensis
32	1odec11eg3p	pa181	1odec11eg3p___pa181	Amycolatopsis_australiensis
33	1odecg3p	ACP	1odecg3p___ACP	Amycolatopsis_australiensis
34	1odecg3p	pa180	1odecg3p___pa180	Amycolatopsis_australiensis
35	1pyr5c	nad	1pyr5c___nad	Amycolatopsis_australiensis
36	1pyr5c	nadp	1pyr5c___nadp	Amycolatopsis_australiensis
37	1pyr5c	pro__L	1pyr5c___pro__L	Amycolatopsis_australiensis
38	1tdecg3p	ACP	1tdecg3p___ACP	Amycolatopsis_australiensis
39	1tdecg3p	pa140	1tdecg3p___pa140	Amycolatopsis_australiensis
40	23dhdp	nadp	23dhdp___nadp	Amycolatopsis_australiensis
41	23dhdp	thdp	23dhdp___thdp	Amycolatopsis_australiensis
42	23dhmp	3mop	23dhmp___3mop	Amycolatopsis_australiensis
43	23dhmp	h2o	23dhmp___h2o	Amycolatopsis_australiensis
44	25aics	aicar	25aics___aicar	Amycolatopsis_australiensis
45	25aics	fum	25aics___fum	Amycolatopsis_australiensis
46	25dhpp	5apru	25dhpp___5apru	Amycolatopsis_australiensis
47	25dhpp	nh4	25dhpp___nh4	Amycolatopsis_australiensis
48	26dap_	adp	26dap____adp	Amycolatopsis_australiensis
49	26dap_	co2	26dap____co2	Amycolatopsis_australiensis
50	26dap_	h	26dap____h	Amycolatopsis_australiensis
51	26dap_	lys__L	26dap____lys__L	Amycolatopsis_australiensis
52	26dap_	pi	26dap____pi	Amycolatopsis_australiensis
53	26dap_	ugmd	26dap____ugmd	Amycolatopsis_australiensis
54	26dap_LL	26dap_	26dap_LL___26dap_	Amycolatopsis_australiensis
55	2agpe120	amp	2agpe120___amp	Amycolatopsis_australiensis
56	2agpe120	pe120	2agpe120___pe120	Amycolatopsis_australiensis
57	2agpe120	ppi	2agpe120___ppi	Amycolatopsis_australiensis
58	2agpe140	amp	2agpe140___amp	Amycolatopsis_australiensis
59	2agpe140	pe140	2agpe140___pe140	Amycolatopsis_australiensis
60	2agpe140	ppi	2agpe140___ppi	Amycolatopsis_australiensis
61	2agpe141	amp	2agpe141___amp	Amycolatopsis_australiensis
62	2agpe141	pe141	2agpe141___pe141	Amycolatopsis_australiensis
63	2agpe141	ppi	2agpe141___ppi	Amycolatopsis_australiensis
64	2agpe160	amp	2agpe160___amp	Amycolatopsis_australiensis
65	2agpe160	pe160	2agpe160___pe160	Amycolatopsis_australiensis
66	2agpe160	ppi	2agpe160___ppi	Amycolatopsis_australiensis
67	2agpe180	amp	2agpe180___amp	Amycolatopsis_australiensis
68	2agpe180	pe180	2agpe180___pe180	Amycolatopsis_australiensis
69	2agpe180	ppi	2agpe180___ppi	Amycolatopsis_australiensis
70	2agpe181	amp	2agpe181___amp	Amycolatopsis_australiensis
71	2agpe181	pe181	2agpe181___pe181	Amycolatopsis_australiensis
72	2agpe181	ppi	2agpe181___ppi	Amycolatopsis_australiensis
73	2agpg120	amp	2agpg120___amp	Amycolatopsis_australiensis
74	2agpg120	pg120	2agpg120___pg120	Amycolatopsis_australiensis
75	2agpg120	ppi	2agpg120___ppi	Amycolatopsis_australiensis
76	2agpg140	amp	2agpg140___amp	Amycolatopsis_australiensis
77	2agpg140	pg140	2agpg140___pg140	Amycolatopsis_australiensis
78	2agpg140	ppi	2agpg140___ppi	Amycolatopsis_australiensis
79	2agpg141	amp	2agpg141___amp	Amycolatopsis_australiensis
80	2agpg141	pg141	2agpg141___pg141	Amycolatopsis_australiensis
81	2agpg141	ppi	2agpg141___ppi	Amycolatopsis_australiensis
82	2agpg160	amp	2agpg160___amp	Amycolatopsis_australiensis
83	2agpg160	pg160	2agpg160___pg160	Amycolatopsis_australiensis
84	2agpg160	ppi	2agpg160___ppi	Amycolatopsis_australiensis
85	2agpg161	amp	2agpg161___amp	Amycolatopsis_australiensis
86	2agpg161	pg161	2agpg161___pg161	Amycolatopsis_australiensis
87	2agpg161	ppi	2agpg161___ppi	Amycolatopsis_australiensis
88	2agpg180	amp	2agpg180___amp	Amycolatopsis_australiensis
89	2agpg180	pg180	2agpg180___pg180	Amycolatopsis_australiensis
90	2agpg180	ppi	2agpg180___ppi	Amycolatopsis_australiensis
91	2agpg181	amp	2agpg181___amp	Amycolatopsis_australiensis
92	2agpg181	pg181	2agpg181___pg181	Amycolatopsis_australiensis
93	2agpg181	ppi	2agpg181___ppi	Amycolatopsis_australiensis
94	2ahbut	23dhmp	2ahbut___23dhmp	Amycolatopsis_australiensis
95	2ahbut	nadp	2ahbut___nadp	Amycolatopsis_australiensis
96	2amsa	nadp	2amsa___nadp	Amycolatopsis_australiensis
97	2aobut	athr__L	2aobut___athr__L	Amycolatopsis_australiensis
98	2aobut	nadp	2aobut___nadp	Amycolatopsis_australiensis
99	2cpr5p	3ig3p	2cpr5p___3ig3p	Amycolatopsis_australiensis
100	2cpr5p	co2	2cpr5p___co2	Amycolatopsis_australiensis
101	2cpr5p	h2o	2cpr5p___h2o	Amycolatopsis_australiensis
