substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Arabia_massiliensis
2	10fthf	thf	10fthf___thf	Arabia_massiliensis
3	12dgr120	adp	12dgr120___adp	Arabia_massiliensis
4	12dgr120	h	12dgr120___h	Arabia_massiliensis
5	12dgr120	pa120	12dgr120___pa120	Arabia_massiliensis
6	12dgr140	adp	12dgr140___adp	Arabia_massiliensis
7	12dgr140	h	12dgr140___h	Arabia_massiliensis
8	12dgr140	pa140	12dgr140___pa140	Arabia_massiliensis
9	12dgr141	adp	12dgr141___adp	Arabia_massiliensis
10	12dgr141	h	12dgr141___h	Arabia_massiliensis
11	12dgr141	pa141	12dgr141___pa141	Arabia_massiliensis
12	12dgr160	adp	12dgr160___adp	Arabia_massiliensis
13	12dgr160	h	12dgr160___h	Arabia_massiliensis
14	12dgr160	pa160	12dgr160___pa160	Arabia_massiliensis
15	12dgr161	adp	12dgr161___adp	Arabia_massiliensis
16	12dgr161	h	12dgr161___h	Arabia_massiliensis
17	12dgr161	pa161	12dgr161___pa161	Arabia_massiliensis
18	12dgr180	adp	12dgr180___adp	Arabia_massiliensis
19	12dgr180	h	12dgr180___h	Arabia_massiliensis
20	12dgr180	pa180	12dgr180___pa180	Arabia_massiliensis
21	12dgr181	adp	12dgr181___adp	Arabia_massiliensis
22	12dgr181	h	12dgr181___h	Arabia_massiliensis
23	12dgr181	pa181	12dgr181___pa181	Arabia_massiliensis
24	12ppd__S	h	12ppd__S___h	Arabia_massiliensis
25	12ppd__S	lald__L	12ppd__S___lald__L	Arabia_massiliensis
26	12ppd__S	nadh	12ppd__S___nadh	Arabia_massiliensis
27	13dpg	3pg	13dpg___3pg	Arabia_massiliensis
28	13dpg	atp	13dpg___atp	Arabia_massiliensis
29	1ddecg3p	ACP	1ddecg3p___ACP	Arabia_massiliensis
30	1ddecg3p	pa120	1ddecg3p___pa120	Arabia_massiliensis
31	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Arabia_massiliensis
32	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Arabia_massiliensis
33	1hdecg3p	ACP	1hdecg3p___ACP	Arabia_massiliensis
34	1hdecg3p	pa160	1hdecg3p___pa160	Arabia_massiliensis
35	1odec11eg3p	ACP	1odec11eg3p___ACP	Arabia_massiliensis
36	1odec11eg3p	pa181	1odec11eg3p___pa181	Arabia_massiliensis
37	1odecg3p	ACP	1odecg3p___ACP	Arabia_massiliensis
38	1odecg3p	pa180	1odecg3p___pa180	Arabia_massiliensis
39	1pyr5c	nad	1pyr5c___nad	Arabia_massiliensis
40	1pyr5c	nadp	1pyr5c___nadp	Arabia_massiliensis
41	1pyr5c	pro__L	1pyr5c___pro__L	Arabia_massiliensis
42	1tdecg3p	ACP	1tdecg3p___ACP	Arabia_massiliensis
43	1tdecg3p	pa140	1tdecg3p___pa140	Arabia_massiliensis
44	23dhdp	nadp	23dhdp___nadp	Arabia_massiliensis
45	23dhdp	thdp	23dhdp___thdp	Arabia_massiliensis
46	23dhmb	alac__S	23dhmb___alac__S	Arabia_massiliensis
47	23dhmb	h	23dhmb___h	Arabia_massiliensis
48	23dhmb	nadph	23dhmb___nadph	Arabia_massiliensis
49	23dhmp	3mop	23dhmp___3mop	Arabia_massiliensis
50	23dhmp	h2o	23dhmp___h2o	Arabia_massiliensis
51	25aics	aicar	25aics___aicar	Arabia_massiliensis
52	25aics	fum	25aics___fum	Arabia_massiliensis
53	26dap_	adp	26dap____adp	Arabia_massiliensis
54	26dap_	co2	26dap____co2	Arabia_massiliensis
55	26dap_	h	26dap____h	Arabia_massiliensis
56	26dap_	lys__L	26dap____lys__L	Arabia_massiliensis
57	26dap_	pi	26dap____pi	Arabia_massiliensis
58	26dap_	ugmd	26dap____ugmd	Arabia_massiliensis
59	26dap_LL	26dap_	26dap_LL___26dap_	Arabia_massiliensis
60	2agpe120	amp	2agpe120___amp	Arabia_massiliensis
61	2agpe120	pe120	2agpe120___pe120	Arabia_massiliensis
62	2agpe120	ppi	2agpe120___ppi	Arabia_massiliensis
63	2agpe140	amp	2agpe140___amp	Arabia_massiliensis
64	2agpe140	pe140	2agpe140___pe140	Arabia_massiliensis
65	2agpe140	ppi	2agpe140___ppi	Arabia_massiliensis
66	2agpe141	amp	2agpe141___amp	Arabia_massiliensis
67	2agpe141	pe141	2agpe141___pe141	Arabia_massiliensis
68	2agpe141	ppi	2agpe141___ppi	Arabia_massiliensis
69	2agpe160	amp	2agpe160___amp	Arabia_massiliensis
70	2agpe160	pe160	2agpe160___pe160	Arabia_massiliensis
71	2agpe160	ppi	2agpe160___ppi	Arabia_massiliensis
72	2agpe180	amp	2agpe180___amp	Arabia_massiliensis
73	2agpe180	pe180	2agpe180___pe180	Arabia_massiliensis
74	2agpe180	ppi	2agpe180___ppi	Arabia_massiliensis
75	2agpe181	amp	2agpe181___amp	Arabia_massiliensis
76	2agpe181	pe181	2agpe181___pe181	Arabia_massiliensis
77	2agpe181	ppi	2agpe181___ppi	Arabia_massiliensis
78	2agpg141	amp	2agpg141___amp	Arabia_massiliensis
79	2agpg141	pg141	2agpg141___pg141	Arabia_massiliensis
80	2agpg141	ppi	2agpg141___ppi	Arabia_massiliensis
81	2agpg180	amp	2agpg180___amp	Arabia_massiliensis
82	2agpg180	pg180	2agpg180___pg180	Arabia_massiliensis
