substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Asaccharobacter_celatus
2	10fthf	thf	10fthf___thf	Asaccharobacter_celatus
3	12dgr120	adp	12dgr120___adp	Asaccharobacter_celatus
4	12dgr120	h	12dgr120___h	Asaccharobacter_celatus
5	12dgr120	pa120	12dgr120___pa120	Asaccharobacter_celatus
6	12dgr140	adp	12dgr140___adp	Asaccharobacter_celatus
7	12dgr140	h	12dgr140___h	Asaccharobacter_celatus
8	12dgr140	pa140	12dgr140___pa140	Asaccharobacter_celatus
9	12dgr141	adp	12dgr141___adp	Asaccharobacter_celatus
10	12dgr141	h	12dgr141___h	Asaccharobacter_celatus
11	12dgr141	pa141	12dgr141___pa141	Asaccharobacter_celatus
12	12dgr160	adp	12dgr160___adp	Asaccharobacter_celatus
13	12dgr160	h	12dgr160___h	Asaccharobacter_celatus
14	12dgr160	pa160	12dgr160___pa160	Asaccharobacter_celatus
15	12dgr161	adp	12dgr161___adp	Asaccharobacter_celatus
16	12dgr161	h	12dgr161___h	Asaccharobacter_celatus
17	12dgr161	pa161	12dgr161___pa161	Asaccharobacter_celatus
18	12dgr180	adp	12dgr180___adp	Asaccharobacter_celatus
19	12dgr180	h	12dgr180___h	Asaccharobacter_celatus
20	12dgr180	pa180	12dgr180___pa180	Asaccharobacter_celatus
21	12dgr181	adp	12dgr181___adp	Asaccharobacter_celatus
22	12dgr181	h	12dgr181___h	Asaccharobacter_celatus
23	12dgr181	pa181	12dgr181___pa181	Asaccharobacter_celatus
24	13dpg	3pg	13dpg___3pg	Asaccharobacter_celatus
25	13dpg	atp	13dpg___atp	Asaccharobacter_celatus
26	1ddecg3p	ACP	1ddecg3p___ACP	Asaccharobacter_celatus
27	1ddecg3p	pa120	1ddecg3p___pa120	Asaccharobacter_celatus
28	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Asaccharobacter_celatus
29	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Asaccharobacter_celatus
30	1hdecg3p	ACP	1hdecg3p___ACP	Asaccharobacter_celatus
31	1hdecg3p	pa160	1hdecg3p___pa160	Asaccharobacter_celatus
32	1odec11eg3p	ACP	1odec11eg3p___ACP	Asaccharobacter_celatus
33	1odec11eg3p	pa181	1odec11eg3p___pa181	Asaccharobacter_celatus
34	1odecg3p	ACP	1odecg3p___ACP	Asaccharobacter_celatus
35	1odecg3p	pa180	1odecg3p___pa180	Asaccharobacter_celatus
36	1pyr5c	nadp	1pyr5c___nadp	Asaccharobacter_celatus
37	1pyr5c	pro__L	1pyr5c___pro__L	Asaccharobacter_celatus
38	1tdecg3p	ACP	1tdecg3p___ACP	Asaccharobacter_celatus
39	1tdecg3p	pa140	1tdecg3p___pa140	Asaccharobacter_celatus
40	23dhdp	nadp	23dhdp___nadp	Asaccharobacter_celatus
41	23dhdp	thdp	23dhdp___thdp	Asaccharobacter_celatus
42	23dhmb	alac__S	23dhmb___alac__S	Asaccharobacter_celatus
43	23dhmb	h	23dhmb___h	Asaccharobacter_celatus
44	23dhmb	nadph	23dhmb___nadph	Asaccharobacter_celatus
45	23dhmp	3mop	23dhmp___3mop	Asaccharobacter_celatus
46	23dhmp	h2o	23dhmp___h2o	Asaccharobacter_celatus
47	25aics	aicar	25aics___aicar	Asaccharobacter_celatus
48	25aics	fum	25aics___fum	Asaccharobacter_celatus
49	25dhpp	5apru	25dhpp___5apru	Asaccharobacter_celatus
50	25dhpp	nh4	25dhpp___nh4	Asaccharobacter_celatus
51	26dap_	adp	26dap____adp	Asaccharobacter_celatus
52	26dap_	co2	26dap____co2	Asaccharobacter_celatus
53	26dap_	h	26dap____h	Asaccharobacter_celatus
54	26dap_	lys__L	26dap____lys__L	Asaccharobacter_celatus
55	26dap_	pi	26dap____pi	Asaccharobacter_celatus
56	26dap_	ugmd	26dap____ugmd	Asaccharobacter_celatus
57	26dap_LL	26dap_	26dap_LL___26dap_	Asaccharobacter_celatus
58	2agpe120	amp	2agpe120___amp	Asaccharobacter_celatus
59	2agpe120	pe120	2agpe120___pe120	Asaccharobacter_celatus
60	2agpe120	ppi	2agpe120___ppi	Asaccharobacter_celatus
61	2agpe140	amp	2agpe140___amp	Asaccharobacter_celatus
62	2agpe140	pe140	2agpe140___pe140	Asaccharobacter_celatus
63	2agpe140	ppi	2agpe140___ppi	Asaccharobacter_celatus
64	2agpe141	amp	2agpe141___amp	Asaccharobacter_celatus
65	2agpe141	pe141	2agpe141___pe141	Asaccharobacter_celatus
66	2agpe141	ppi	2agpe141___ppi	Asaccharobacter_celatus
67	2agpe160	amp	2agpe160___amp	Asaccharobacter_celatus
68	2agpe160	pe160	2agpe160___pe160	Asaccharobacter_celatus
69	2agpe160	ppi	2agpe160___ppi	Asaccharobacter_celatus
70	2agpe180	amp	2agpe180___amp	Asaccharobacter_celatus
71	2agpe180	pe180	2agpe180___pe180	Asaccharobacter_celatus
72	2agpe180	ppi	2agpe180___ppi	Asaccharobacter_celatus
73	2agpe181	amp	2agpe181___amp	Asaccharobacter_celatus
74	2agpe181	pe181	2agpe181___pe181	Asaccharobacter_celatus
75	2agpe181	ppi	2agpe181___ppi	Asaccharobacter_celatus
76	2agpg120	amp	2agpg120___amp	Asaccharobacter_celatus
77	2agpg120	ddca	2agpg120___ddca	Asaccharobacter_celatus
