substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Ascidiaceihabitans_donghaensis
2	10fthf	thf	10fthf___thf	Ascidiaceihabitans_donghaensis
3	12ppd__S	h	12ppd__S___h	Ascidiaceihabitans_donghaensis
4	12ppd__S	lald__L	12ppd__S___lald__L	Ascidiaceihabitans_donghaensis
5	12ppd__S	nadh	12ppd__S___nadh	Ascidiaceihabitans_donghaensis
6	13dpg	3pg	13dpg___3pg	Ascidiaceihabitans_donghaensis
7	13dpg	atp	13dpg___atp	Ascidiaceihabitans_donghaensis
8	14glucan	malthx	14glucan___malthx	Ascidiaceihabitans_donghaensis
9	1ddecg3p	ACP	1ddecg3p___ACP	Ascidiaceihabitans_donghaensis
10	1ddecg3p	pa120	1ddecg3p___pa120	Ascidiaceihabitans_donghaensis
11	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Ascidiaceihabitans_donghaensis
12	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Ascidiaceihabitans_donghaensis
13	1hdecg3p	ACP	1hdecg3p___ACP	Ascidiaceihabitans_donghaensis
14	1hdecg3p	pa160	1hdecg3p___pa160	Ascidiaceihabitans_donghaensis
15	1odec11eg3p	ACP	1odec11eg3p___ACP	Ascidiaceihabitans_donghaensis
16	1odec11eg3p	pa181	1odec11eg3p___pa181	Ascidiaceihabitans_donghaensis
17	1odecg3p	ACP	1odecg3p___ACP	Ascidiaceihabitans_donghaensis
18	1odecg3p	pa180	1odecg3p___pa180	Ascidiaceihabitans_donghaensis
19	1pyr5c	nadp	1pyr5c___nadp	Ascidiaceihabitans_donghaensis
20	1pyr5c	pro__L	1pyr5c___pro__L	Ascidiaceihabitans_donghaensis
21	1tdecg3p	ACP	1tdecg3p___ACP	Ascidiaceihabitans_donghaensis
22	1tdecg3p	pa140	1tdecg3p___pa140	Ascidiaceihabitans_donghaensis
23	23dhdp	nadp	23dhdp___nadp	Ascidiaceihabitans_donghaensis
24	23dhdp	thdp	23dhdp___thdp	Ascidiaceihabitans_donghaensis
25	23dhmb	alac__S	23dhmb___alac__S	Ascidiaceihabitans_donghaensis
26	23dhmb	h	23dhmb___h	Ascidiaceihabitans_donghaensis
27	23dhmb	nadph	23dhmb___nadph	Ascidiaceihabitans_donghaensis
28	23dhmp	3mop	23dhmp___3mop	Ascidiaceihabitans_donghaensis
29	23dhmp	h2o	23dhmp___h2o	Ascidiaceihabitans_donghaensis
30	25aics	aicar	25aics___aicar	Ascidiaceihabitans_donghaensis
31	25aics	fum	25aics___fum	Ascidiaceihabitans_donghaensis
32	25dhpp	5apru	25dhpp___5apru	Ascidiaceihabitans_donghaensis
33	25dhpp	nh4	25dhpp___nh4	Ascidiaceihabitans_donghaensis
34	26dap_	adp	26dap____adp	Ascidiaceihabitans_donghaensis
35	26dap_	co2	26dap____co2	Ascidiaceihabitans_donghaensis
36	26dap_	h	26dap____h	Ascidiaceihabitans_donghaensis
37	26dap_	lys__L	26dap____lys__L	Ascidiaceihabitans_donghaensis
38	26dap_	pi	26dap____pi	Ascidiaceihabitans_donghaensis
39	26dap_	ugmd	26dap____ugmd	Ascidiaceihabitans_donghaensis
40	26dap_LL	26dap_	26dap_LL___26dap_	Ascidiaceihabitans_donghaensis
41	2ahbut	23dhmp	2ahbut___23dhmp	Ascidiaceihabitans_donghaensis
42	2ahbut	nadp	2ahbut___nadp	Ascidiaceihabitans_donghaensis
43	2ahhmp	dhpt	2ahhmp___dhpt	Ascidiaceihabitans_donghaensis
44	2ahhmp	h2o	2ahhmp___h2o	Ascidiaceihabitans_donghaensis
45	2amsa	nadp	2amsa___nadp	Ascidiaceihabitans_donghaensis
46	2amsa	ser__L	2amsa___ser__L	Ascidiaceihabitans_donghaensis
47	2aobut	athr__L	2aobut___athr__L	Ascidiaceihabitans_donghaensis
48	2aobut	nadp	2aobut___nadp	Ascidiaceihabitans_donghaensis
49	2cpr5p	3ig3p	2cpr5p___3ig3p	Ascidiaceihabitans_donghaensis
50	2cpr5p	co2	2cpr5p___co2	Ascidiaceihabitans_donghaensis
51	2cpr5p	h2o	2cpr5p___h2o	Ascidiaceihabitans_donghaensis
52	2dda7p	3dhq	2dda7p___3dhq	Ascidiaceihabitans_donghaensis
53	2dda7p	pi	2dda7p___pi	Ascidiaceihabitans_donghaensis
54	2ddg6p	g3p	2ddg6p___g3p	Ascidiaceihabitans_donghaensis
55	2ddg6p	pyr	2ddg6p___pyr	Ascidiaceihabitans_donghaensis
56	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Ascidiaceihabitans_donghaensis
57	2ddglcn	adp	2ddglcn___adp	Ascidiaceihabitans_donghaensis
58	2ddglcn	h	2ddglcn___h	Ascidiaceihabitans_donghaensis
59	2dhp	nadp	2dhp___nadp	Ascidiaceihabitans_donghaensis
60	2dhp	pant__R	2dhp___pant__R	Ascidiaceihabitans_donghaensis
61	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Ascidiaceihabitans_donghaensis
62	2dmmq8	nad	2dmmq8___nad	Ascidiaceihabitans_donghaensis
63	2dmmql8	2dmmq8	2dmmql8___2dmmq8	Ascidiaceihabitans_donghaensis
64	2dmmql8	ahcys	2dmmql8___ahcys	Ascidiaceihabitans_donghaensis
65	2dmmql8	h	2dmmql8___h	Ascidiaceihabitans_donghaensis
66	2dmmql8	mql8	2dmmql8___mql8	Ascidiaceihabitans_donghaensis
67	2dmmql8	succ	2dmmql8___succ	Ascidiaceihabitans_donghaensis
68	2dr5p	acald	2dr5p___acald	Ascidiaceihabitans_donghaensis
69	2dr5p	g3p	2dr5p___g3p	Ascidiaceihabitans_donghaensis
70	2fe1s	adp	2fe1s___adp	Ascidiaceihabitans_donghaensis
71	2fe1s	h	2fe1s___h	Ascidiaceihabitans_donghaensis
72	2fe1s	iscs	2fe1s___iscs	Ascidiaceihabitans_donghaensis
73	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Ascidiaceihabitans_donghaensis
74	2fe1s	pi	2fe1s___pi	Ascidiaceihabitans_donghaensis
75	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Ascidiaceihabitans_donghaensis
76	2fe1s	sufse	2fe1s___sufse	Ascidiaceihabitans_donghaensis
