substrate	product	rxn	taxon
1	12dgr120	adp	12dgr120___adp	Atopococcus_tabaci
2	12dgr120	h	12dgr120___h	Atopococcus_tabaci
3	12dgr120	pa120	12dgr120___pa120	Atopococcus_tabaci
4	12dgr140	adp	12dgr140___adp	Atopococcus_tabaci
5	12dgr140	h	12dgr140___h	Atopococcus_tabaci
6	12dgr140	pa140	12dgr140___pa140	Atopococcus_tabaci
7	12dgr141	adp	12dgr141___adp	Atopococcus_tabaci
8	12dgr141	h	12dgr141___h	Atopococcus_tabaci
9	12dgr141	pa141	12dgr141___pa141	Atopococcus_tabaci
10	12dgr160	adp	12dgr160___adp	Atopococcus_tabaci
11	12dgr160	h	12dgr160___h	Atopococcus_tabaci
12	12dgr160	pa160	12dgr160___pa160	Atopococcus_tabaci
13	12dgr161	adp	12dgr161___adp	Atopococcus_tabaci
14	12dgr161	h	12dgr161___h	Atopococcus_tabaci
15	12dgr161	pa161	12dgr161___pa161	Atopococcus_tabaci
16	12dgr180	adp	12dgr180___adp	Atopococcus_tabaci
17	12dgr180	h	12dgr180___h	Atopococcus_tabaci
18	12dgr180	pa180	12dgr180___pa180	Atopococcus_tabaci
19	12dgr181	adp	12dgr181___adp	Atopococcus_tabaci
20	12dgr181	h	12dgr181___h	Atopococcus_tabaci
21	12dgr181	pa181	12dgr181___pa181	Atopococcus_tabaci
22	12ppd__S	h	12ppd__S___h	Atopococcus_tabaci
23	12ppd__S	lald__L	12ppd__S___lald__L	Atopococcus_tabaci
24	12ppd__S	nadh	12ppd__S___nadh	Atopococcus_tabaci
25	13dpg	3pg	13dpg___3pg	Atopococcus_tabaci
26	13dpg	atp	13dpg___atp	Atopococcus_tabaci
27	14glucan	malthx	14glucan___malthx	Atopococcus_tabaci
28	1ddecg3p	ACP	1ddecg3p___ACP	Atopococcus_tabaci
29	1ddecg3p	pa120	1ddecg3p___pa120	Atopococcus_tabaci
30	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Atopococcus_tabaci
31	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Atopococcus_tabaci
32	1hdecg3p	ACP	1hdecg3p___ACP	Atopococcus_tabaci
33	1hdecg3p	pa160	1hdecg3p___pa160	Atopococcus_tabaci
34	1odec11eg3p	ACP	1odec11eg3p___ACP	Atopococcus_tabaci
35	1odec11eg3p	pa181	1odec11eg3p___pa181	Atopococcus_tabaci
36	1odecg3p	ACP	1odecg3p___ACP	Atopococcus_tabaci
37	1odecg3p	pa180	1odecg3p___pa180	Atopococcus_tabaci
38	1pyr5c	nad	1pyr5c___nad	Atopococcus_tabaci
39	1pyr5c	nadp	1pyr5c___nadp	Atopococcus_tabaci
40	1pyr5c	pro__L	1pyr5c___pro__L	Atopococcus_tabaci
41	1tdecg3p	ACP	1tdecg3p___ACP	Atopococcus_tabaci
42	1tdecg3p	pa140	1tdecg3p___pa140	Atopococcus_tabaci
43	23dhdp	nadp	23dhdp___nadp	Atopococcus_tabaci
44	23dhdp	thdp	23dhdp___thdp	Atopococcus_tabaci
45	25aics	aicar	25aics___aicar	Atopococcus_tabaci
46	25aics	fum	25aics___fum	Atopococcus_tabaci
47	25dhpp	5apru	25dhpp___5apru	Atopococcus_tabaci
48	25dhpp	nh4	25dhpp___nh4	Atopococcus_tabaci
49	26dap_	adp	26dap____adp	Atopococcus_tabaci
50	26dap_	co2	26dap____co2	Atopococcus_tabaci
51	26dap_	h	26dap____h	Atopococcus_tabaci
52	26dap_	lys__L	26dap____lys__L	Atopococcus_tabaci
53	26dap_	pi	26dap____pi	Atopococcus_tabaci
54	26dap_	ugmd	26dap____ugmd	Atopococcus_tabaci
55	26dap_LL	26dap_	26dap_LL___26dap_	Atopococcus_tabaci
56	2agpe140	amp	2agpe140___amp	Atopococcus_tabaci
57	2agpe140	pe140	2agpe140___pe140	Atopococcus_tabaci
58	2agpe140	ppi	2agpe140___ppi	Atopococcus_tabaci
59	2agpe141	amp	2agpe141___amp	Atopococcus_tabaci
60	2agpe141	pe141	2agpe141___pe141	Atopococcus_tabaci
61	2agpe141	ppi	2agpe141___ppi	Atopococcus_tabaci
62	2agpe160	amp	2agpe160___amp	Atopococcus_tabaci
63	2agpe160	pe160	2agpe160___pe160	Atopococcus_tabaci
64	2agpe160	ppi	2agpe160___ppi	Atopococcus_tabaci
65	2agpe180	amp	2agpe180___amp	Atopococcus_tabaci
66	2agpe180	pe180	2agpe180___pe180	Atopococcus_tabaci
67	2agpe180	ppi	2agpe180___ppi	Atopococcus_tabaci
68	2agpg141	amp	2agpg141___amp	Atopococcus_tabaci
69	2agpg141	pg141	2agpg141___pg141	Atopococcus_tabaci
70	2agpg141	ppi	2agpg141___ppi	Atopococcus_tabaci
71	2agpg160	amp	2agpg160___amp	Atopococcus_tabaci
72	2agpg160	pg160	2agpg160___pg160	Atopococcus_tabaci
73	2agpg160	ppi	2agpg160___ppi	Atopococcus_tabaci
74	2agpg181	g3pg	2agpg181___g3pg	Atopococcus_tabaci
75	2agpg181	h	2agpg181___h	Atopococcus_tabaci
76	2agpg181	ocdcea	2agpg181___ocdcea	Atopococcus_tabaci
77	2ahhmp	dhpt	2ahhmp___dhpt	Atopococcus_tabaci
78	2ahhmp	h2o	2ahhmp___h2o	Atopococcus_tabaci
79	2amsa	nadp	2amsa___nadp	Atopococcus_tabaci
80	2ddg6p	g3p	2ddg6p___g3p	Atopococcus_tabaci
81	2ddg6p	pyr	2ddg6p___pyr	Atopococcus_tabaci
82	2dhp	nadp	2dhp___nadp	Atopococcus_tabaci
83	2dhp	pant__R	2dhp___pant__R	Atopococcus_tabaci
84	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Atopococcus_tabaci
