substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Aulosira_laxa
2	10fthf	thf	10fthf___thf	Aulosira_laxa
3	12dgr120	adp	12dgr120___adp	Aulosira_laxa
4	12dgr120	h	12dgr120___h	Aulosira_laxa
5	12dgr120	pa120	12dgr120___pa120	Aulosira_laxa
6	12dgr140	adp	12dgr140___adp	Aulosira_laxa
7	12dgr140	h	12dgr140___h	Aulosira_laxa
8	12dgr140	pa140	12dgr140___pa140	Aulosira_laxa
9	12dgr141	adp	12dgr141___adp	Aulosira_laxa
10	12dgr141	h	12dgr141___h	Aulosira_laxa
11	12dgr141	pa141	12dgr141___pa141	Aulosira_laxa
12	12dgr160	adp	12dgr160___adp	Aulosira_laxa
13	12dgr160	h	12dgr160___h	Aulosira_laxa
14	12dgr160	pa160	12dgr160___pa160	Aulosira_laxa
15	12dgr161	adp	12dgr161___adp	Aulosira_laxa
16	12dgr161	h	12dgr161___h	Aulosira_laxa
17	12dgr161	pa161	12dgr161___pa161	Aulosira_laxa
18	12dgr180	adp	12dgr180___adp	Aulosira_laxa
19	12dgr180	h	12dgr180___h	Aulosira_laxa
20	12dgr180	pa180	12dgr180___pa180	Aulosira_laxa
21	12dgr181	adp	12dgr181___adp	Aulosira_laxa
22	12dgr181	h	12dgr181___h	Aulosira_laxa
23	12dgr181	pa181	12dgr181___pa181	Aulosira_laxa
24	12ppd__S	h	12ppd__S___h	Aulosira_laxa
25	12ppd__S	lald__L	12ppd__S___lald__L	Aulosira_laxa
26	12ppd__S	nadh	12ppd__S___nadh	Aulosira_laxa
27	13dpg	3pg	13dpg___3pg	Aulosira_laxa
28	13dpg	atp	13dpg___atp	Aulosira_laxa
29	14glucan	malthx	14glucan___malthx	Aulosira_laxa
30	1ddecg3p	ACP	1ddecg3p___ACP	Aulosira_laxa
31	1ddecg3p	pa120	1ddecg3p___pa120	Aulosira_laxa
32	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Aulosira_laxa
33	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Aulosira_laxa
34	1hdecg3p	ACP	1hdecg3p___ACP	Aulosira_laxa
35	1hdecg3p	pa160	1hdecg3p___pa160	Aulosira_laxa
36	1odec11eg3p	ACP	1odec11eg3p___ACP	Aulosira_laxa
37	1odec11eg3p	pa181	1odec11eg3p___pa181	Aulosira_laxa
38	1odecg3p	ACP	1odecg3p___ACP	Aulosira_laxa
39	1odecg3p	pa180	1odecg3p___pa180	Aulosira_laxa
40	1pyr5c	nad	1pyr5c___nad	Aulosira_laxa
