substrate	product	rxn	taxon
1	10fthf	thf	10fthf___thf	Bordetella_pertussis
2	12dgr120	adp	12dgr120___adp	Bordetella_pertussis
3	12dgr120	h	12dgr120___h	Bordetella_pertussis
4	12dgr120	pa120	12dgr120___pa120	Bordetella_pertussis
5	12dgr140	adp	12dgr140___adp	Bordetella_pertussis
6	12dgr140	h	12dgr140___h	Bordetella_pertussis
7	12dgr140	pa140	12dgr140___pa140	Bordetella_pertussis
8	12dgr141	adp	12dgr141___adp	Bordetella_pertussis
9	12dgr141	h	12dgr141___h	Bordetella_pertussis
10	12dgr141	pa141	12dgr141___pa141	Bordetella_pertussis
11	12dgr160	adp	12dgr160___adp	Bordetella_pertussis
12	12dgr160	h	12dgr160___h	Bordetella_pertussis
13	12dgr160	pa160	12dgr160___pa160	Bordetella_pertussis
14	12dgr180	adp	12dgr180___adp	Bordetella_pertussis
15	12dgr180	h	12dgr180___h	Bordetella_pertussis
16	12dgr180	pa180	12dgr180___pa180	Bordetella_pertussis
17	12dgr181	adp	12dgr181___adp	Bordetella_pertussis
18	12dgr181	h	12dgr181___h	Bordetella_pertussis
19	12dgr181	pa181	12dgr181___pa181	Bordetella_pertussis
20	12ppd__S	h	12ppd__S___h	Bordetella_pertussis
21	12ppd__S	lald__L	12ppd__S___lald__L	Bordetella_pertussis
22	12ppd__S	nadh	12ppd__S___nadh	Bordetella_pertussis
23	13dpg	3pg	13dpg___3pg	Bordetella_pertussis
24	13dpg	atp	13dpg___atp	Bordetella_pertussis
25	1ddecg3p	ACP	1ddecg3p___ACP	Bordetella_pertussis
26	1ddecg3p	pa120	1ddecg3p___pa120	Bordetella_pertussis
27	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Bordetella_pertussis
28	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Bordetella_pertussis
29	1hdecg3p	ACP	1hdecg3p___ACP	Bordetella_pertussis
30	1hdecg3p	pa160	1hdecg3p___pa160	Bordetella_pertussis
31	1odec11eg3p	ACP	1odec11eg3p___ACP	Bordetella_pertussis
32	1odec11eg3p	pa181	1odec11eg3p___pa181	Bordetella_pertussis
33	1odecg3p	ACP	1odecg3p___ACP	Bordetella_pertussis
34	1odecg3p	pa180	1odecg3p___pa180	Bordetella_pertussis
35	1pyr5c	nadp	1pyr5c___nadp	Bordetella_pertussis
36	1pyr5c	pro__L	1pyr5c___pro__L	Bordetella_pertussis
37	1tdecg3p	ACP	1tdecg3p___ACP	Bordetella_pertussis
38	1tdecg3p	pa140	1tdecg3p___pa140	Bordetella_pertussis
39	23dhdp	nadp	23dhdp___nadp	Bordetella_pertussis
40	23dhdp	thdp	23dhdp___thdp	Bordetella_pertussis
41	23dhmp	3mop	23dhmp___3mop	Bordetella_pertussis
42	23dhmp	h2o	23dhmp___h2o	Bordetella_pertussis
43	25aics	aicar	25aics___aicar	Bordetella_pertussis
44	25aics	fum	25aics___fum	Bordetella_pertussis
45	25dhpp	5apru	25dhpp___5apru	Bordetella_pertussis
46	25dhpp	nh4	25dhpp___nh4	Bordetella_pertussis
47	26dap_	adp	26dap____adp	Bordetella_pertussis
48	26dap_	co2	26dap____co2	Bordetella_pertussis
49	26dap_	h	26dap____h	Bordetella_pertussis
50	26dap_	lys__L	26dap____lys__L	Bordetella_pertussis
51	26dap_	pi	26dap____pi	Bordetella_pertussis
52	26dap_	ugmd	26dap____ugmd	Bordetella_pertussis
53	26dap_LL	26dap_	26dap_LL___26dap_	Bordetella_pertussis
54	2agpe140	amp	2agpe140___amp	Bordetella_pertussis
55	2agpe140	pe140	2agpe140___pe140	Bordetella_pertussis
56	2agpe140	ppi	2agpe140___ppi	Bordetella_pertussis
57	2agpe141	amp	2agpe141___amp	Bordetella_pertussis
58	2agpe141	pe141	2agpe141___pe141	Bordetella_pertussis
59	2agpe141	ppi	2agpe141___ppi	Bordetella_pertussis
60	2agpe160	amp	2agpe160___amp	Bordetella_pertussis
61	2agpe160	pe160	2agpe160___pe160	Bordetella_pertussis
62	2agpe160	ppi	2agpe160___ppi	Bordetella_pertussis
63	2agpe180	amp	2agpe180___amp	Bordetella_pertussis
64	2agpe180	pe180	2agpe180___pe180	Bordetella_pertussis
65	2agpe180	ppi	2agpe180___ppi	Bordetella_pertussis
66	2agpe181	amp	2agpe181___amp	Bordetella_pertussis
67	2agpe181	pe181	2agpe181___pe181	Bordetella_pertussis
68	2agpe181	ppi	2agpe181___ppi	Bordetella_pertussis
69	2agpg120	amp	2agpg120___amp	Bordetella_pertussis
70	2agpg120	pg120	2agpg120___pg120	Bordetella_pertussis
71	2agpg120	ppi	2agpg120___ppi	Bordetella_pertussis
72	2agpg140	amp	2agpg140___amp	Bordetella_pertussis
73	2agpg140	pg140	2agpg140___pg140	Bordetella_pertussis
74	2agpg140	ppi	2agpg140___ppi	Bordetella_pertussis
75	2agpg141	amp	2agpg141___amp	Bordetella_pertussis
76	2agpg141	pg141	2agpg141___pg141	Bordetella_pertussis
77	2agpg141	ppi	2agpg141___ppi	Bordetella_pertussis
78	2agpg160	amp	2agpg160___amp	Bordetella_pertussis
79	2agpg160	pg160	2agpg160___pg160	Bordetella_pertussis
80	2agpg160	ppi	2agpg160___ppi	Bordetella_pertussis
81	2agpg161	amp	2agpg161___amp	Bordetella_pertussis
82	2agpg161	pg161	2agpg161___pg161	Bordetella_pertussis
83	2agpg161	ppi	2agpg161___ppi	Bordetella_pertussis
84	2agpg180	amp	2agpg180___amp	Bordetella_pertussis
85	2agpg180	pg180	2agpg180___pg180	Bordetella_pertussis
86	2agpg180	ppi	2agpg180___ppi	Bordetella_pertussis
87	2agpg181	amp	2agpg181___amp	Bordetella_pertussis
88	2agpg181	pg181	2agpg181___pg181	Bordetella_pertussis
89	2agpg181	ppi	2agpg181___ppi	Bordetella_pertussis
90	2ahbut	23dhmp	2ahbut___23dhmp	Bordetella_pertussis
91	2ahbut	nadp	2ahbut___nadp	Bordetella_pertussis
92	2ahhmp	dhpt	2ahhmp___dhpt	Bordetella_pertussis
93	2ahhmp	h2o	2ahhmp___h2o	Bordetella_pertussis
94	2amsa	nadp	2amsa___nadp	Bordetella_pertussis
95	2amsa	ser__L	2amsa___ser__L	Bordetella_pertussis
96	2aobut	athr__L	2aobut___athr__L	Bordetella_pertussis
97	2aobut	nadp	2aobut___nadp	Bordetella_pertussis
98	2cpr5p	3ig3p	2cpr5p___3ig3p	Bordetella_pertussis
99	2cpr5p	co2	2cpr5p___co2	Bordetella_pertussis
100	2cpr5p	h2o	2cpr5p___h2o	Bordetella_pertussis
101	2dda7p	3dhq	2dda7p___3dhq	Bordetella_pertussis
102	2dda7p	pi	2dda7p___pi	Bordetella_pertussis
103	2dhp	nadp	2dhp___nadp	Bordetella_pertussis
104	2dhp	pant__R	2dhp___pant__R	Bordetella_pertussis
105	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Bordetella_pertussis
106	2dmmq8	nad	2dmmq8___nad	Bordetella_pertussis
107	2dmmql8	ahcys	2dmmql8___ahcys	Bordetella_pertussis
108	2dmmql8	h	2dmmql8___h	Bordetella_pertussis
109	2dmmql8	mql8	2dmmql8___mql8	Bordetella_pertussis
110	2fe1s	h	2fe1s___h	Bordetella_pertussis
111	2fe1s	iscs	2fe1s___iscs	Bordetella_pertussis
112	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Bordetella_pertussis
113	2fe2s	2fe1s	2fe2s___2fe1s	Bordetella_pertussis
114	2fe2s	btn	2fe2s___btn	Bordetella_pertussis
115	2fe2s	dad_5	2fe2s___dad_5	Bordetella_pertussis
116	2fe2s	h	2fe2s___h	Bordetella_pertussis
117	2fe2s	met__L	2fe2s___met__L	Bordetella_pertussis
118	2h3opp	glyc__R	2h3opp___glyc__R	Bordetella_pertussis
119	2h3opp	nad	2h3opp___nad	Bordetella_pertussis
120	2ins	adp	2ins___adp	Bordetella_pertussis
121	2ins	dhap	2ins___dhap	Bordetella_pertussis
122	2ins	h	2ins___h	Bordetella_pertussis
123	2ins	msa	2ins___msa	Bordetella_pertussis
124	2ippm	3c2hmp	2ippm___3c2hmp	Bordetella_pertussis
125	2kmb	akg	2kmb___akg	Bordetella_pertussis
126	2kmb	met__L	2kmb___met__L	Bordetella_pertussis
127	2mahmp	ppi	2mahmp___ppi	Bordetella_pertussis
128	2mahmp	thmmp	2mahmp___thmmp	Bordetella_pertussis
129	2me4p	4c2me	2me4p___4c2me	Bordetella_pertussis
130	2me4p	ppi	2me4p___ppi	Bordetella_pertussis
131	2mecdp	h2mb4p	2mecdp___h2mb4p	Bordetella_pertussis
132	2mecdp	h2o	2mecdp___h2o	Bordetella_pertussis
133	2obut	2ahbut	2obut___2ahbut	Bordetella_pertussis
134	2obut	co2	2obut___co2	Bordetella_pertussis
135	2p4c2me	2mecdp	2p4c2me___2mecdp	Bordetella_pertussis
136	2p4c2me	cmp	2p4c2me___cmp	Bordetella_pertussis
137	2pg	h2o	2pg___h2o	Bordetella_pertussis
138	2pg	pep	2pg___pep	Bordetella_pertussis
139	2pglyc	glyclt	2pglyc___glyclt	Bordetella_pertussis
140	2pglyc	pi	2pglyc___pi	Bordetella_pertussis
141	34dhbz	CCbuttc	34dhbz___CCbuttc	Bordetella_pertussis
142	34dhbz	h	34dhbz___h	Bordetella_pertussis
143	34hpp	akg	34hpp___akg	Bordetella_pertussis
144	34hpp	tyr__L	34hpp___tyr__L	Bordetella_pertussis
145	3c2hmp	3c4mop	3c2hmp___3c4mop	Bordetella_pertussis
146	3c2hmp	h	3c2hmp___h	Bordetella_pertussis
147	3c2hmp	nadh	3c2hmp___nadh	Bordetella_pertussis
148	3c3hmp	2ippm	3c3hmp___2ippm	Bordetella_pertussis
149	3c3hmp	h2o	3c3hmp___h2o	Bordetella_pertussis
150	3c4mop	4mop	3c4mop___4mop	Bordetella_pertussis
151	3c4mop	co2	3c4mop___co2	Bordetella_pertussis
152	3dhq	3dhsk	3dhq___3dhsk	Bordetella_pertussis
153	3dhq	h2o	3dhq___h2o	Bordetella_pertussis
154	3dhsk	nadp	3dhsk___nadp	Bordetella_pertussis
155	3dhsk	skm	3dhsk___skm	Bordetella_pertussis
156	3haACP	but2eACP	3haACP___but2eACP	Bordetella_pertussis
157	3haACP	h2o	3haACP___h2o	Bordetella_pertussis
158	3hcddec5eACP	h2o	3hcddec5eACP___h2o	Bordetella_pertussis
159	3hcddec5eACP	t3c5ddeceACP	3hcddec5eACP___t3c5ddeceACP	Bordetella_pertussis
160	3hcmrs7eACP	h2o	3hcmrs7eACP___h2o	Bordetella_pertussis
161	3hcmrs7eACP	t3c7mrseACP	3hcmrs7eACP___t3c7mrseACP	Bordetella_pertussis
162	3hcpalm9eACP	h2o	3hcpalm9eACP___h2o	Bordetella_pertussis
163	3hcpalm9eACP	t3c9palmeACP	3hcpalm9eACP___t3c9palmeACP	Bordetella_pertussis
164	3hcvac11eACP	h2o	3hcvac11eACP___h2o	Bordetella_pertussis
165	3hcvac11eACP	t3c11vaceACP	3hcvac11eACP___t3c11vaceACP	Bordetella_pertussis
166	3hddecACP	h2o	3hddecACP___h2o	Bordetella_pertussis
167	3hddecACP	tddec2eACP	3hddecACP___tddec2eACP	Bordetella_pertussis
168	3hdecACP	h2o	3hdecACP___h2o	Bordetella_pertussis
169	3hdecACP	tdec2eACP	3hdecACP___tdec2eACP	Bordetella_pertussis
170	3hhexACP	h2o	3hhexACP___h2o	Bordetella_pertussis
171	3hhexACP	thex2eACP	3hhexACP___thex2eACP	Bordetella_pertussis
172	3hmrsACP	ACP	3hmrsACP___ACP	Bordetella_pertussis
173	3hmrsACP	h	3hmrsACP___h	Bordetella_pertussis
174	3hmrsACP	h2o	3hmrsACP___h2o	Bordetella_pertussis
175	3hmrsACP	tmrs2eACP	3hmrsACP___tmrs2eACP	Bordetella_pertussis
176	3hmrsACP	u23ga	3hmrsACP___u23ga	Bordetella_pertussis
177	3hmrsACP	u3aga	3hmrsACP___u3aga	Bordetella_pertussis
178	3hoctaACP	h2o	3hoctaACP___h2o	Bordetella_pertussis
179	3hoctaACP	toctd2eACP	3hoctaACP___toctd2eACP	Bordetella_pertussis
180	3hoctACP	h2o	3hoctACP___h2o	Bordetella_pertussis
181	3hoctACP	toct2eACP	3hoctACP___toct2eACP	Bordetella_pertussis
182	3hpalmACP	h2o	3hpalmACP___h2o	Bordetella_pertussis
183	3hpalmACP	tpalm2eACP	3hpalmACP___tpalm2eACP	Bordetella_pertussis
184	3ig3p	g3p	3ig3p___g3p	Bordetella_pertussis
185	3ig3p	h2o	3ig3p___h2o	Bordetella_pertussis
186	3ig3p	indole	3ig3p___indole	Bordetella_pertussis
187	3ig3p	trp__L	3ig3p___trp__L	Bordetella_pertussis
188	3mob	2dhp	3mob___2dhp	Bordetella_pertussis
189	3mob	3c3hmp	3mob___3c3hmp	Bordetella_pertussis
190	3mob	co2	3mob___co2	Bordetella_pertussis
191	3mob	coa	3mob___coa	Bordetella_pertussis
192	3mob	h	3mob___h	Bordetella_pertussis
193	3mob	ibcoa	3mob___ibcoa	Bordetella_pertussis
194	3mob	nadh	3mob___nadh	Bordetella_pertussis
195	3mob	thf	3mob___thf	Bordetella_pertussis
196	3mop	2mbcoa	3mop___2mbcoa	Bordetella_pertussis
197	3mop	akg	3mop___akg	Bordetella_pertussis
198	3mop	co2	3mop___co2	Bordetella_pertussis
199	3mop	ile__L	3mop___ile__L	Bordetella_pertussis
