substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Bryobacter_aggregatus
2	10fthf	thf	10fthf___thf	Bryobacter_aggregatus
3	12dgr120	adp	12dgr120___adp	Bryobacter_aggregatus
4	12dgr120	h	12dgr120___h	Bryobacter_aggregatus
5	12dgr120	pa120	12dgr120___pa120	Bryobacter_aggregatus
6	12dgr140	adp	12dgr140___adp	Bryobacter_aggregatus
7	12dgr140	h	12dgr140___h	Bryobacter_aggregatus
8	12dgr140	pa140	12dgr140___pa140	Bryobacter_aggregatus
9	12dgr141	adp	12dgr141___adp	Bryobacter_aggregatus
10	12dgr141	h	12dgr141___h	Bryobacter_aggregatus
11	12dgr141	pa141	12dgr141___pa141	Bryobacter_aggregatus
12	12dgr160	adp	12dgr160___adp	Bryobacter_aggregatus
13	12dgr160	h	12dgr160___h	Bryobacter_aggregatus
14	12dgr160	pa160	12dgr160___pa160	Bryobacter_aggregatus
15	12dgr161	adp	12dgr161___adp	Bryobacter_aggregatus
16	12dgr161	h	12dgr161___h	Bryobacter_aggregatus
17	12dgr161	pa161	12dgr161___pa161	Bryobacter_aggregatus
18	12dgr180	adp	12dgr180___adp	Bryobacter_aggregatus
19	12dgr180	h	12dgr180___h	Bryobacter_aggregatus
20	12dgr180	pa180	12dgr180___pa180	Bryobacter_aggregatus
21	13dpg	3pg	13dpg___3pg	Bryobacter_aggregatus
22	13dpg	atp	13dpg___atp	Bryobacter_aggregatus
23	1ddecg3p	ACP	1ddecg3p___ACP	Bryobacter_aggregatus
24	1ddecg3p	pa120	1ddecg3p___pa120	Bryobacter_aggregatus
25	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Bryobacter_aggregatus
26	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Bryobacter_aggregatus
27	1hdecg3p	ACP	1hdecg3p___ACP	Bryobacter_aggregatus
28	1hdecg3p	pa160	1hdecg3p___pa160	Bryobacter_aggregatus
29	1odec11eg3p	ACP	1odec11eg3p___ACP	Bryobacter_aggregatus
30	1odec11eg3p	pa181	1odec11eg3p___pa181	Bryobacter_aggregatus
31	1odecg3p	ACP	1odecg3p___ACP	Bryobacter_aggregatus
32	1odecg3p	pa180	1odecg3p___pa180	Bryobacter_aggregatus
33	1pyr5c	nad	1pyr5c___nad	Bryobacter_aggregatus
34	1pyr5c	nadp	1pyr5c___nadp	Bryobacter_aggregatus
35	1pyr5c	pro__L	1pyr5c___pro__L	Bryobacter_aggregatus
36	1tdecg3p	ACP	1tdecg3p___ACP	Bryobacter_aggregatus
37	1tdecg3p	pa140	1tdecg3p___pa140	Bryobacter_aggregatus
38	23dhdp	nadp	23dhdp___nadp	Bryobacter_aggregatus
39	23dhdp	thdp	23dhdp___thdp	Bryobacter_aggregatus
40	23dhmb	alac__S	23dhmb___alac__S	Bryobacter_aggregatus
41	23dhmb	h	23dhmb___h	Bryobacter_aggregatus
42	23dhmb	nadph	23dhmb___nadph	Bryobacter_aggregatus
43	23dhmp	3mop	23dhmp___3mop	Bryobacter_aggregatus
44	23dhmp	h2o	23dhmp___h2o	Bryobacter_aggregatus
45	25aics	aicar	25aics___aicar	Bryobacter_aggregatus
46	25aics	fum	25aics___fum	Bryobacter_aggregatus
47	25dhpp	5apru	25dhpp___5apru	Bryobacter_aggregatus
48	25dhpp	nh4	25dhpp___nh4	Bryobacter_aggregatus
49	26dap_	adp	26dap____adp	Bryobacter_aggregatus
50	26dap_	co2	26dap____co2	Bryobacter_aggregatus
51	26dap_	h	26dap____h	Bryobacter_aggregatus
52	26dap_	lys__L	26dap____lys__L	Bryobacter_aggregatus
53	26dap_	pi	26dap____pi	Bryobacter_aggregatus
54	26dap_	ugmd	26dap____ugmd	Bryobacter_aggregatus
55	26dap_LL	26dap_	26dap_LL___26dap_	Bryobacter_aggregatus
56	2agpe160	amp	2agpe160___amp	Bryobacter_aggregatus
57	2agpe160	pe160	2agpe160___pe160	Bryobacter_aggregatus
58	2agpe160	ppi	2agpe160___ppi	Bryobacter_aggregatus
59	2agpe180	amp	2agpe180___amp	Bryobacter_aggregatus
60	2agpe180	pe180	2agpe180___pe180	Bryobacter_aggregatus
61	2agpe180	ppi	2agpe180___ppi	Bryobacter_aggregatus
62	2ahbut	23dhmp	2ahbut___23dhmp	Bryobacter_aggregatus
63	2ahbut	nadp	2ahbut___nadp	Bryobacter_aggregatus
64	2amsa	nadp	2amsa___nadp	Bryobacter_aggregatus
65	2aobut	athr__L	2aobut___athr__L	Bryobacter_aggregatus
66	2aobut	nadp	2aobut___nadp	Bryobacter_aggregatus
67	2cpr5p	3ig3p	2cpr5p___3ig3p	Bryobacter_aggregatus
68	2cpr5p	co2	2cpr5p___co2	Bryobacter_aggregatus
69	2cpr5p	h2o	2cpr5p___h2o	Bryobacter_aggregatus
70	2dda7p	3dhq	2dda7p___3dhq	Bryobacter_aggregatus
71	2dda7p	pi	2dda7p___pi	Bryobacter_aggregatus
72	2ddg6p	g3p	2ddg6p___g3p	Bryobacter_aggregatus
73	2ddg6p	pyr	2ddg6p___pyr	Bryobacter_aggregatus
74	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Bryobacter_aggregatus
75	2ddglcn	adp	2ddglcn___adp	Bryobacter_aggregatus
76	2ddglcn	h	2ddglcn___h	Bryobacter_aggregatus
77	2dhglcn	6p2dhglcn	2dhglcn___6p2dhglcn	Bryobacter_aggregatus
78	2dhglcn	adp	2dhglcn___adp	Bryobacter_aggregatus
79	2dhp	nadp	2dhp___nadp	Bryobacter_aggregatus
80	2dhp	pant__R	2dhp___pant__R	Bryobacter_aggregatus
81	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Bryobacter_aggregatus
82	2dmmq8	nad	2dmmq8___nad	Bryobacter_aggregatus
83	2dmmql8	ahcys	2dmmql8___ahcys	Bryobacter_aggregatus
84	2dmmql8	h	2dmmql8___h	Bryobacter_aggregatus
85	2dmmql8	mql8	2dmmql8___mql8	Bryobacter_aggregatus
86	2dr1p	2dr5p	2dr1p___2dr5p	Bryobacter_aggregatus
87	2dr5p	acald	2dr5p___acald	Bryobacter_aggregatus
88	2dr5p	g3p	2dr5p___g3p	Bryobacter_aggregatus
89	2fe1s	h	2fe1s___h	Bryobacter_aggregatus
90	2fe1s	iscs	2fe1s___iscs	Bryobacter_aggregatus
91	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Bryobacter_aggregatus
92	2fe2s	2fe1s	2fe2s___2fe1s	Bryobacter_aggregatus
93	2fe2s	btn	2fe2s___btn	Bryobacter_aggregatus
94	2fe2s	dad_5	2fe2s___dad_5	Bryobacter_aggregatus
95	2fe2s	h	2fe2s___h	Bryobacter_aggregatus
96	2fe2s	met__L	2fe2s___met__L	Bryobacter_aggregatus
97	2h3opp	glyc__R	2h3opp___glyc__R	Bryobacter_aggregatus
98	2h3opp	nad	2h3opp___nad	Bryobacter_aggregatus
99	2ins	adp	2ins___adp	Bryobacter_aggregatus
100	2ins	dhap	2ins___dhap	Bryobacter_aggregatus
101	2ins	h	2ins___h	Bryobacter_aggregatus
102	2ins	msa	2ins___msa	Bryobacter_aggregatus
103	2ippm	3c2hmp	2ippm___3c2hmp	Bryobacter_aggregatus
104	2kmb	akg	2kmb___akg	Bryobacter_aggregatus
105	2kmb	met__L	2kmb___met__L	Bryobacter_aggregatus
106	2mahmp	ppi	2mahmp___ppi	Bryobacter_aggregatus
107	2mahmp	thmmp	2mahmp___thmmp	Bryobacter_aggregatus
108	2me4p	4c2me	2me4p___4c2me	Bryobacter_aggregatus
109	2me4p	ppi	2me4p___ppi	Bryobacter_aggregatus
110	2mecdp	h2mb4p	2mecdp___h2mb4p	Bryobacter_aggregatus
111	2mecdp	h2o	2mecdp___h2o	Bryobacter_aggregatus
112	2obut	2ahbut	2obut___2ahbut	Bryobacter_aggregatus
113	2obut	co2	2obut___co2	Bryobacter_aggregatus
114	2obut	for	2obut___for	Bryobacter_aggregatus
115	2obut	nadh	2obut___nadh	Bryobacter_aggregatus
