substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Burkholderia_pseudomallei
2	10fthf	thf	10fthf___thf	Burkholderia_pseudomallei
3	12dgr120	adp	12dgr120___adp	Burkholderia_pseudomallei
4	12dgr120	h	12dgr120___h	Burkholderia_pseudomallei
5	12dgr120	pa120	12dgr120___pa120	Burkholderia_pseudomallei
6	12dgr140	adp	12dgr140___adp	Burkholderia_pseudomallei
7	12dgr140	h	12dgr140___h	Burkholderia_pseudomallei
8	12dgr140	pa140	12dgr140___pa140	Burkholderia_pseudomallei
9	12dgr141	adp	12dgr141___adp	Burkholderia_pseudomallei
10	12dgr141	h	12dgr141___h	Burkholderia_pseudomallei
11	12dgr141	pa141	12dgr141___pa141	Burkholderia_pseudomallei
12	12dgr160	adp	12dgr160___adp	Burkholderia_pseudomallei
13	12dgr160	h	12dgr160___h	Burkholderia_pseudomallei
14	12dgr160	pa160	12dgr160___pa160	Burkholderia_pseudomallei
15	12dgr161	adp	12dgr161___adp	Burkholderia_pseudomallei
16	12dgr161	h	12dgr161___h	Burkholderia_pseudomallei
17	12dgr161	pa161	12dgr161___pa161	Burkholderia_pseudomallei
18	12dgr180	adp	12dgr180___adp	Burkholderia_pseudomallei
19	12dgr180	h	12dgr180___h	Burkholderia_pseudomallei
20	12dgr180	pa180	12dgr180___pa180	Burkholderia_pseudomallei
21	12dgr181	adp	12dgr181___adp	Burkholderia_pseudomallei
22	12dgr181	h	12dgr181___h	Burkholderia_pseudomallei
23	12dgr181	pa181	12dgr181___pa181	Burkholderia_pseudomallei
24	12ppd__S	h	12ppd__S___h	Burkholderia_pseudomallei
25	12ppd__S	lald__L	12ppd__S___lald__L	Burkholderia_pseudomallei
26	12ppd__S	nadh	12ppd__S___nadh	Burkholderia_pseudomallei
27	13dpg	3pg	13dpg___3pg	Burkholderia_pseudomallei
28	13dpg	atp	13dpg___atp	Burkholderia_pseudomallei
29	1ddecg3p	ACP	1ddecg3p___ACP	Burkholderia_pseudomallei
30	1ddecg3p	pa120	1ddecg3p___pa120	Burkholderia_pseudomallei
31	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Burkholderia_pseudomallei
32	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Burkholderia_pseudomallei
33	1hdecg3p	ACP	1hdecg3p___ACP	Burkholderia_pseudomallei
34	1hdecg3p	pa160	1hdecg3p___pa160	Burkholderia_pseudomallei
35	1odec11eg3p	ACP	1odec11eg3p___ACP	Burkholderia_pseudomallei
36	1odec11eg3p	pa181	1odec11eg3p___pa181	Burkholderia_pseudomallei
37	1odecg3p	ACP	1odecg3p___ACP	Burkholderia_pseudomallei
38	1odecg3p	pa180	1odecg3p___pa180	Burkholderia_pseudomallei
39	1pyr5c	nadp	1pyr5c___nadp	Burkholderia_pseudomallei
40	1pyr5c	pro__L	1pyr5c___pro__L	Burkholderia_pseudomallei
41	1tdecg3p	ACP	1tdecg3p___ACP	Burkholderia_pseudomallei
42	1tdecg3p	pa140	1tdecg3p___pa140	Burkholderia_pseudomallei
43	23dhdp	nadp	23dhdp___nadp	Burkholderia_pseudomallei
44	23dhdp	thdp	23dhdp___thdp	Burkholderia_pseudomallei
45	23dhmb	alac__S	23dhmb___alac__S	Burkholderia_pseudomallei
46	23dhmb	h	23dhmb___h	Burkholderia_pseudomallei
47	23dhmb	nadph	23dhmb___nadph	Burkholderia_pseudomallei
48	23dhmp	3mop	23dhmp___3mop	Burkholderia_pseudomallei
49	23dhmp	h2o	23dhmp___h2o	Burkholderia_pseudomallei
50	25aics	aicar	25aics___aicar	Burkholderia_pseudomallei
51	25aics	fum	25aics___fum	Burkholderia_pseudomallei
52	25dhpp	5apru	25dhpp___5apru	Burkholderia_pseudomallei
53	25dhpp	nh4	25dhpp___nh4	Burkholderia_pseudomallei
54	26dap_	adp	26dap____adp	Burkholderia_pseudomallei
55	26dap_	co2	26dap____co2	Burkholderia_pseudomallei
56	26dap_	h	26dap____h	Burkholderia_pseudomallei
57	26dap_	lys__L	26dap____lys__L	Burkholderia_pseudomallei
58	26dap_	pi	26dap____pi	Burkholderia_pseudomallei
59	26dap_	ugmd	26dap____ugmd	Burkholderia_pseudomallei
60	26dap_LL	26dap_	26dap_LL___26dap_	Burkholderia_pseudomallei
61	2agpe120	amp	2agpe120___amp	Burkholderia_pseudomallei
62	2agpe120	pe120	2agpe120___pe120	Burkholderia_pseudomallei
63	2agpe120	ppi	2agpe120___ppi	Burkholderia_pseudomallei
64	2agpe140	amp	2agpe140___amp	Burkholderia_pseudomallei
65	2agpe140	pe140	2agpe140___pe140	Burkholderia_pseudomallei
66	2agpe140	ppi	2agpe140___ppi	Burkholderia_pseudomallei
67	2agpe141	amp	2agpe141___amp	Burkholderia_pseudomallei
68	2agpe141	pe141	2agpe141___pe141	Burkholderia_pseudomallei
69	2agpe141	ppi	2agpe141___ppi	Burkholderia_pseudomallei
70	2agpe160	amp	2agpe160___amp	Burkholderia_pseudomallei
71	2agpe160	pe160	2agpe160___pe160	Burkholderia_pseudomallei
72	2agpe160	ppi	2agpe160___ppi	Burkholderia_pseudomallei
73	2agpe180	amp	2agpe180___amp	Burkholderia_pseudomallei
74	2agpe180	pe180	2agpe180___pe180	Burkholderia_pseudomallei
75	2agpe180	ppi	2agpe180___ppi	Burkholderia_pseudomallei
76	2agpe181	amp	2agpe181___amp	Burkholderia_pseudomallei
77	2agpe181	pe181	2agpe181___pe181	Burkholderia_pseudomallei
78	2agpe181	ppi	2agpe181___ppi	Burkholderia_pseudomallei
79	2agpg120	amp	2agpg120___amp	Burkholderia_pseudomallei
80	2agpg120	pg120	2agpg120___pg120	Burkholderia_pseudomallei
81	2agpg120	ppi	2agpg120___ppi	Burkholderia_pseudomallei
82	2agpg140	amp	2agpg140___amp	Burkholderia_pseudomallei
83	2agpg140	pg140	2agpg140___pg140	Burkholderia_pseudomallei
84	2agpg140	ppi	2agpg140___ppi	Burkholderia_pseudomallei
85	2agpg141	amp	2agpg141___amp	Burkholderia_pseudomallei
86	2agpg141	pg141	2agpg141___pg141	Burkholderia_pseudomallei
87	2agpg141	ppi	2agpg141___ppi	Burkholderia_pseudomallei
88	2agpg160	amp	2agpg160___amp	Burkholderia_pseudomallei
89	2agpg160	pg160	2agpg160___pg160	Burkholderia_pseudomallei
90	2agpg160	ppi	2agpg160___ppi	Burkholderia_pseudomallei
91	2agpg161	amp	2agpg161___amp	Burkholderia_pseudomallei
92	2agpg161	pg161	2agpg161___pg161	Burkholderia_pseudomallei
93	2agpg161	ppi	2agpg161___ppi	Burkholderia_pseudomallei
94	2agpg180	amp	2agpg180___amp	Burkholderia_pseudomallei
95	2agpg180	pg180	2agpg180___pg180	Burkholderia_pseudomallei
96	2agpg180	ppi	2agpg180___ppi	Burkholderia_pseudomallei
97	2agpg181	amp	2agpg181___amp	Burkholderia_pseudomallei
98	2agpg181	pg181	2agpg181___pg181	Burkholderia_pseudomallei
99	2agpg181	ppi	2agpg181___ppi	Burkholderia_pseudomallei
100	2ahbut	23dhmp	2ahbut___23dhmp	Burkholderia_pseudomallei
101	2ahbut	nadp	2ahbut___nadp	Burkholderia_pseudomallei
102	2ahhmp	dhpt	2ahhmp___dhpt	Burkholderia_pseudomallei
103	2ahhmp	h2o	2ahhmp___h2o	Burkholderia_pseudomallei
104	2amsa	nadp	2amsa___nadp	Burkholderia_pseudomallei
105	2aobut	athr__L	2aobut___athr__L	Burkholderia_pseudomallei
106	2aobut	nadp	2aobut___nadp	Burkholderia_pseudomallei
107	2cpr5p	3ig3p	2cpr5p___3ig3p	Burkholderia_pseudomallei
108	2cpr5p	co2	2cpr5p___co2	Burkholderia_pseudomallei
109	2cpr5p	h2o	2cpr5p___h2o	Burkholderia_pseudomallei
110	2dda7p	3dhq	2dda7p___3dhq	Burkholderia_pseudomallei
111	2dda7p	pi	2dda7p___pi	Burkholderia_pseudomallei
112	2ddg6p	g3p	2ddg6p___g3p	Burkholderia_pseudomallei
113	2ddg6p	pyr	2ddg6p___pyr	Burkholderia_pseudomallei
114	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Burkholderia_pseudomallei
115	2ddglcn	adp	2ddglcn___adp	Burkholderia_pseudomallei
116	2ddglcn	h	2ddglcn___h	Burkholderia_pseudomallei
117	2dhglcn	6p2dhglcn	2dhglcn___6p2dhglcn	Burkholderia_pseudomallei
118	2dhglcn	adp	2dhglcn___adp	Burkholderia_pseudomallei
119	2dhp	nadp	2dhp___nadp	Burkholderia_pseudomallei
120	2dhp	pant__R	2dhp___pant__R	Burkholderia_pseudomallei
121	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Burkholderia_pseudomallei
122	2dmmq8	dhap	2dmmq8___dhap	Burkholderia_pseudomallei
123	2dmmq8	nad	2dmmq8___nad	Burkholderia_pseudomallei
124	2dmmql8	ahcys	2dmmql8___ahcys	Burkholderia_pseudomallei
125	2dmmql8	h	2dmmql8___h	Burkholderia_pseudomallei
126	2dmmql8	mql8	2dmmql8___mql8	Burkholderia_pseudomallei
127	2dr1p	2dr5p	2dr1p___2dr5p	Burkholderia_pseudomallei
128	2dr5p	acald	2dr5p___acald	Burkholderia_pseudomallei
129	2dr5p	g3p	2dr5p___g3p	Burkholderia_pseudomallei
130	2fe1s	adp	2fe1s___adp	Burkholderia_pseudomallei
131	2fe1s	h	2fe1s___h	Burkholderia_pseudomallei
132	2fe1s	iscs	2fe1s___iscs	Burkholderia_pseudomallei
133	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Burkholderia_pseudomallei
134	2fe1s	pi	2fe1s___pi	Burkholderia_pseudomallei
135	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Burkholderia_pseudomallei
136	2fe1s	sufse	2fe1s___sufse	Burkholderia_pseudomallei
137	2fe2s	2fe1s	2fe2s___2fe1s	Burkholderia_pseudomallei
138	2fe2s	btn	2fe2s___btn	Burkholderia_pseudomallei
139	2fe2s	dad_5	2fe2s___dad_5	Burkholderia_pseudomallei
140	2fe2s	h	2fe2s___h	Burkholderia_pseudomallei
141	2fe2s	met__L	2fe2s___met__L	Burkholderia_pseudomallei
142	2h3opp	glyc__R	2h3opp___glyc__R	Burkholderia_pseudomallei
143	2h3opp	nad	2h3opp___nad	Burkholderia_pseudomallei
144	2hh24dd	4h2kpi	2hh24dd___4h2kpi	Burkholderia_pseudomallei
145	2ins	adp	2ins___adp	Burkholderia_pseudomallei
146	2ins	dhap	2ins___dhap	Burkholderia_pseudomallei
147	2ins	h	2ins___h	Burkholderia_pseudomallei
148	2ins	msa	2ins___msa	Burkholderia_pseudomallei
149	2ippm	3c2hmp	2ippm___3c2hmp	Burkholderia_pseudomallei
150	2kmb	akg	2kmb___akg	Burkholderia_pseudomallei
151	2kmb	met__L	2kmb___met__L	Burkholderia_pseudomallei
152	2mahmp	4ampm	2mahmp___4ampm	Burkholderia_pseudomallei
153	2mahmp	h	2mahmp___h	Burkholderia_pseudomallei
154	2mahmp	pi	2mahmp___pi	Burkholderia_pseudomallei
155	2mahmp	ppi	2mahmp___ppi	Burkholderia_pseudomallei
156	2mahmp	thmmp	2mahmp___thmmp	Burkholderia_pseudomallei
157	2me4p	4c2me	2me4p___4c2me	Burkholderia_pseudomallei
158	2me4p	ppi	2me4p___ppi	Burkholderia_pseudomallei
159	2mecdp	h2mb4p	2mecdp___h2mb4p	Burkholderia_pseudomallei
160	2mecdp	h2o	2mecdp___h2o	Burkholderia_pseudomallei
161	2obut	2ahbut	2obut___2ahbut	Burkholderia_pseudomallei
162	2obut	co2	2obut___co2	Burkholderia_pseudomallei
163	2p4c2me	2mecdp	2p4c2me___2mecdp	Burkholderia_pseudomallei
164	2p4c2me	cmp	2p4c2me___cmp	Burkholderia_pseudomallei
165	2pg	h2o	2pg___h2o	Burkholderia_pseudomallei
166	2pg	pep	2pg___pep	Burkholderia_pseudomallei
167	2pglyc	glyclt	2pglyc___glyclt	Burkholderia_pseudomallei
168	2pglyc	pi	2pglyc___pi	Burkholderia_pseudomallei
169	34dhbz	CCbuttc	34dhbz___CCbuttc	Burkholderia_pseudomallei
