substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Calderihabitans_maritimus
2	10fthf	thf	10fthf___thf	Calderihabitans_maritimus
3	12dgr120	adp	12dgr120___adp	Calderihabitans_maritimus
4	12dgr120	h	12dgr120___h	Calderihabitans_maritimus
5	12dgr120	pa120	12dgr120___pa120	Calderihabitans_maritimus
6	12dgr140	adp	12dgr140___adp	Calderihabitans_maritimus
7	12dgr140	h	12dgr140___h	Calderihabitans_maritimus
8	12dgr140	pa140	12dgr140___pa140	Calderihabitans_maritimus
9	12dgr160	adp	12dgr160___adp	Calderihabitans_maritimus
10	12dgr160	h	12dgr160___h	Calderihabitans_maritimus
11	12dgr160	pa160	12dgr160___pa160	Calderihabitans_maritimus
12	12dgr161	adp	12dgr161___adp	Calderihabitans_maritimus
13	12dgr161	h	12dgr161___h	Calderihabitans_maritimus
14	12dgr161	pa161	12dgr161___pa161	Calderihabitans_maritimus
15	12dgr180	adp	12dgr180___adp	Calderihabitans_maritimus
16	12dgr180	h	12dgr180___h	Calderihabitans_maritimus
17	12dgr180	pa180	12dgr180___pa180	Calderihabitans_maritimus
18	12dgr181	adp	12dgr181___adp	Calderihabitans_maritimus
19	12dgr181	h	12dgr181___h	Calderihabitans_maritimus
20	12dgr181	pa181	12dgr181___pa181	Calderihabitans_maritimus
21	13dpg	3pg	13dpg___3pg	Calderihabitans_maritimus
22	13dpg	atp	13dpg___atp	Calderihabitans_maritimus
23	1ddecg3p	ACP	1ddecg3p___ACP	Calderihabitans_maritimus
24	1ddecg3p	pa120	1ddecg3p___pa120	Calderihabitans_maritimus
25	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Calderihabitans_maritimus
26	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Calderihabitans_maritimus
27	1hdecg3p	ACP	1hdecg3p___ACP	Calderihabitans_maritimus
28	1hdecg3p	pa160	1hdecg3p___pa160	Calderihabitans_maritimus
29	1odec11eg3p	ACP	1odec11eg3p___ACP	Calderihabitans_maritimus
30	1odec11eg3p	pa181	1odec11eg3p___pa181	Calderihabitans_maritimus
31	1odecg3p	ACP	1odecg3p___ACP	Calderihabitans_maritimus
32	1odecg3p	pa180	1odecg3p___pa180	Calderihabitans_maritimus
33	1pyr5c	nad	1pyr5c___nad	Calderihabitans_maritimus
34	1pyr5c	nadp	1pyr5c___nadp	Calderihabitans_maritimus
35	1pyr5c	pro__L	1pyr5c___pro__L	Calderihabitans_maritimus
36	1tdecg3p	ACP	1tdecg3p___ACP	Calderihabitans_maritimus
37	1tdecg3p	pa140	1tdecg3p___pa140	Calderihabitans_maritimus
38	23dhdp	nadp	23dhdp___nadp	Calderihabitans_maritimus
39	23dhdp	thdp	23dhdp___thdp	Calderihabitans_maritimus
40	23dhmb	alac__S	23dhmb___alac__S	Calderihabitans_maritimus
41	23dhmb	h	23dhmb___h	Calderihabitans_maritimus
42	23dhmb	nadph	23dhmb___nadph	Calderihabitans_maritimus
43	23dhmp	3mop	23dhmp___3mop	Calderihabitans_maritimus
44	23dhmp	h2o	23dhmp___h2o	Calderihabitans_maritimus
45	25aics	aicar	25aics___aicar	Calderihabitans_maritimus
46	25aics	fum	25aics___fum	Calderihabitans_maritimus
47	25dhpp	5apru	25dhpp___5apru	Calderihabitans_maritimus
48	25dhpp	nh4	25dhpp___nh4	Calderihabitans_maritimus
49	26dap_	adp	26dap____adp	Calderihabitans_maritimus
50	26dap_	co2	26dap____co2	Calderihabitans_maritimus
51	26dap_	h	26dap____h	Calderihabitans_maritimus
52	26dap_	lys__L	26dap____lys__L	Calderihabitans_maritimus
53	26dap_	pi	26dap____pi	Calderihabitans_maritimus
54	26dap_	ugmd	26dap____ugmd	Calderihabitans_maritimus
55	26dap_LL	26dap_	26dap_LL___26dap_	Calderihabitans_maritimus
56	2agpg161	g3pg	2agpg161___g3pg	Calderihabitans_maritimus
57	2agpg161	h	2agpg161___h	Calderihabitans_maritimus
58	2agpg161	hdcea	2agpg161___hdcea	Calderihabitans_maritimus
59	2ahbut	23dhmp	2ahbut___23dhmp	Calderihabitans_maritimus
60	2ahbut	nadp	2ahbut___nadp	Calderihabitans_maritimus
61	2ahhmp	dhpt	2ahhmp___dhpt	Calderihabitans_maritimus
62	2ahhmp	h2o	2ahhmp___h2o	Calderihabitans_maritimus
63	2cpr5p	3ig3p	2cpr5p___3ig3p	Calderihabitans_maritimus
64	2cpr5p	co2	2cpr5p___co2	Calderihabitans_maritimus
65	2cpr5p	h2o	2cpr5p___h2o	Calderihabitans_maritimus
66	2dda7p	3dhq	2dda7p___3dhq	Calderihabitans_maritimus
67	2dda7p	pi	2dda7p___pi	Calderihabitans_maritimus
68	2ddg6p	g3p	2ddg6p___g3p	Calderihabitans_maritimus
69	2ddg6p	pyr	2ddg6p___pyr	Calderihabitans_maritimus
70	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Calderihabitans_maritimus
71	2ddglcn	adp	2ddglcn___adp	Calderihabitans_maritimus
72	2ddglcn	h	2ddglcn___h	Calderihabitans_maritimus
73	2dhp	nadp	2dhp___nadp	Calderihabitans_maritimus
74	2dhp	pant__R	2dhp___pant__R	Calderihabitans_maritimus
75	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Calderihabitans_maritimus
76	2dmmq8	nad	2dmmq8___nad	Calderihabitans_maritimus
77	2dmmql8	2dmmq8	2dmmql8___2dmmq8	Calderihabitans_maritimus
78	2dmmql8	ahcys	2dmmql8___ahcys	Calderihabitans_maritimus
79	2dmmql8	h	2dmmql8___h	Calderihabitans_maritimus
80	2dmmql8	mql8	2dmmql8___mql8	Calderihabitans_maritimus
81	2dmmql8	succ	2dmmql8___succ	Calderihabitans_maritimus
82	2dr1p	2dr5p	2dr1p___2dr5p	Calderihabitans_maritimus
83	2dr5p	acald	2dr5p___acald	Calderihabitans_maritimus
84	2dr5p	g3p	2dr5p___g3p	Calderihabitans_maritimus
