substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Celeribacter_marinus
2	10fthf	thf	10fthf___thf	Celeribacter_marinus
3	12dgr120	adp	12dgr120___adp	Celeribacter_marinus
4	12dgr120	h	12dgr120___h	Celeribacter_marinus
5	12dgr120	pa120	12dgr120___pa120	Celeribacter_marinus
6	12dgr140	adp	12dgr140___adp	Celeribacter_marinus
7	12dgr140	h	12dgr140___h	Celeribacter_marinus
8	12dgr140	pa140	12dgr140___pa140	Celeribacter_marinus
9	12dgr160	adp	12dgr160___adp	Celeribacter_marinus
10	12dgr160	h	12dgr160___h	Celeribacter_marinus
11	12dgr160	pa160	12dgr160___pa160	Celeribacter_marinus
12	12dgr180	adp	12dgr180___adp	Celeribacter_marinus
13	12dgr180	h	12dgr180___h	Celeribacter_marinus
14	12dgr180	pa180	12dgr180___pa180	Celeribacter_marinus
15	12dgr181	adp	12dgr181___adp	Celeribacter_marinus
16	12dgr181	h	12dgr181___h	Celeribacter_marinus
17	12dgr181	pa181	12dgr181___pa181	Celeribacter_marinus
18	13dpg	3pg	13dpg___3pg	Celeribacter_marinus
19	13dpg	atp	13dpg___atp	Celeribacter_marinus
20	1ddecg3p	ACP	1ddecg3p___ACP	Celeribacter_marinus
21	1ddecg3p	pa120	1ddecg3p___pa120	Celeribacter_marinus
22	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Celeribacter_marinus
23	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Celeribacter_marinus
24	1hdecg3p	ACP	1hdecg3p___ACP	Celeribacter_marinus
25	1hdecg3p	pa160	1hdecg3p___pa160	Celeribacter_marinus
26	1odec11eg3p	ACP	1odec11eg3p___ACP	Celeribacter_marinus
27	1odec11eg3p	pa181	1odec11eg3p___pa181	Celeribacter_marinus
28	1odecg3p	ACP	1odecg3p___ACP	Celeribacter_marinus
29	1odecg3p	pa180	1odecg3p___pa180	Celeribacter_marinus
30	1pyr5c	nadp	1pyr5c___nadp	Celeribacter_marinus
31	1pyr5c	pro__L	1pyr5c___pro__L	Celeribacter_marinus
32	1tdecg3p	ACP	1tdecg3p___ACP	Celeribacter_marinus
33	1tdecg3p	pa140	1tdecg3p___pa140	Celeribacter_marinus
34	23dhdp	nadp	23dhdp___nadp	Celeribacter_marinus
35	23dhdp	thdp	23dhdp___thdp	Celeribacter_marinus
36	23dhmp	3mop	23dhmp___3mop	Celeribacter_marinus
37	23dhmp	h2o	23dhmp___h2o	Celeribacter_marinus
38	25aics	aicar	25aics___aicar	Celeribacter_marinus
39	25aics	fum	25aics___fum	Celeribacter_marinus
40	25dhpp	5apru	25dhpp___5apru	Celeribacter_marinus
41	25dhpp	nh4	25dhpp___nh4	Celeribacter_marinus
42	26dap_	adp	26dap____adp	Celeribacter_marinus
43	26dap_	co2	26dap____co2	Celeribacter_marinus
44	26dap_	h	26dap____h	Celeribacter_marinus
45	26dap_	lys__L	26dap____lys__L	Celeribacter_marinus
46	26dap_	pi	26dap____pi	Celeribacter_marinus
47	26dap_	ugmd	26dap____ugmd	Celeribacter_marinus
48	26dap_LL	26dap_	26dap_LL___26dap_	Celeribacter_marinus
49	2agpe120	amp	2agpe120___amp	Celeribacter_marinus
50	2agpe120	pe120	2agpe120___pe120	Celeribacter_marinus
51	2agpe120	ppi	2agpe120___ppi	Celeribacter_marinus
52	2agpe140	amp	2agpe140___amp	Celeribacter_marinus
53	2agpe140	pe140	2agpe140___pe140	Celeribacter_marinus
54	2agpe140	ppi	2agpe140___ppi	Celeribacter_marinus
55	2agpe181	amp	2agpe181___amp	Celeribacter_marinus
56	2agpe181	pe181	2agpe181___pe181	Celeribacter_marinus
57	2agpe181	ppi	2agpe181___ppi	Celeribacter_marinus
58	2ahbut	23dhmp	2ahbut___23dhmp	Celeribacter_marinus
59	2ahbut	nadp	2ahbut___nadp	Celeribacter_marinus
60	2ahhmp	dhpt	2ahhmp___dhpt	Celeribacter_marinus
61	2ahhmp	h2o	2ahhmp___h2o	Celeribacter_marinus
62	2aobut	athr__L	2aobut___athr__L	Celeribacter_marinus
63	2aobut	nadp	2aobut___nadp	Celeribacter_marinus
64	2cpr5p	3ig3p	2cpr5p___3ig3p	Celeribacter_marinus
65	2cpr5p	co2	2cpr5p___co2	Celeribacter_marinus
66	2cpr5p	h2o	2cpr5p___h2o	Celeribacter_marinus
67	2dda7p	3dhq	2dda7p___3dhq	Celeribacter_marinus
68	2dda7p	pi	2dda7p___pi	Celeribacter_marinus
69	2ddg6p	g3p	2ddg6p___g3p	Celeribacter_marinus
70	2ddg6p	pyr	2ddg6p___pyr	Celeribacter_marinus
71	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Celeribacter_marinus
72	2ddglcn	adp	2ddglcn___adp	Celeribacter_marinus
73	2ddglcn	h	2ddglcn___h	Celeribacter_marinus
74	2dhp	nadp	2dhp___nadp	Celeribacter_marinus
75	2dhp	pant__R	2dhp___pant__R	Celeribacter_marinus
76	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Celeribacter_marinus
77	2dmmq8	nad	2dmmq8___nad	Celeribacter_marinus
78	2dmmql8	ahcys	2dmmql8___ahcys	Celeribacter_marinus
79	2dmmql8	h	2dmmql8___h	Celeribacter_marinus
80	2dmmql8	mql8	2dmmql8___mql8	Celeribacter_marinus
81	2dr5p	acald	2dr5p___acald	Celeribacter_marinus
82	2dr5p	g3p	2dr5p___g3p	Celeribacter_marinus
83	2fe1s	adp	2fe1s___adp	Celeribacter_marinus
84	2fe1s	h	2fe1s___h	Celeribacter_marinus
85	2fe1s	iscs	2fe1s___iscs	Celeribacter_marinus
86	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Celeribacter_marinus
87	2fe1s	pi	2fe1s___pi	Celeribacter_marinus
88	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Celeribacter_marinus
89	2fe1s	sufse	2fe1s___sufse	Celeribacter_marinus
90	2fe2s	2fe1s	2fe2s___2fe1s	Celeribacter_marinus
91	2fe2s	btn	2fe2s___btn	Celeribacter_marinus
92	2fe2s	dad_5	2fe2s___dad_5	Celeribacter_marinus
93	2fe2s	h	2fe2s___h	Celeribacter_marinus
94	2fe2s	met__L	2fe2s___met__L	Celeribacter_marinus
95	2h3opp	glyc__R	2h3opp___glyc__R	Celeribacter_marinus
96	2h3opp	nad	2h3opp___nad	Celeribacter_marinus
97	2ins	adp	2ins___adp	Celeribacter_marinus
98	2ins	dhap	2ins___dhap	Celeribacter_marinus
99	2ins	h	2ins___h	Celeribacter_marinus
100	2ins	msa	2ins___msa	Celeribacter_marinus
101	2ippm	3c2hmp	2ippm___3c2hmp	Celeribacter_marinus
102	2me4p	4c2me	2me4p___4c2me	Celeribacter_marinus
103	2me4p	ppi	2me4p___ppi	Celeribacter_marinus
104	2mecdp	h2mb4p	2mecdp___h2mb4p	Celeribacter_marinus
105	2mecdp	h2o	2mecdp___h2o	Celeribacter_marinus
106	2obut	2ahbut	2obut___2ahbut	Celeribacter_marinus
107	2obut	co2	2obut___co2	Celeribacter_marinus
108	2p4c2me	2mecdp	2p4c2me___2mecdp	Celeribacter_marinus
109	2p4c2me	cmp	2p4c2me___cmp	Celeribacter_marinus
110	2pg	h2o	2pg___h2o	Celeribacter_marinus
111	2pg	pep	2pg___pep	Celeribacter_marinus
112	2pglyc	glyclt	2pglyc___glyclt	Celeribacter_marinus
113	2pglyc	pi	2pglyc___pi	Celeribacter_marinus
114	34dhpha	5cmhmsa	34dhpha___5cmhmsa	Celeribacter_marinus
115	34dhpha	h	34dhpha___h	Celeribacter_marinus
116	34hpp	akg	34hpp___akg	Celeribacter_marinus
117	34hpp	tyr__L	34hpp___tyr__L	Celeribacter_marinus
118	3amp	adn	3amp___adn	Celeribacter_marinus
119	3amp	pi	3amp___pi	Celeribacter_marinus
120	3c2hmp	3c4mop	3c2hmp___3c4mop	Celeribacter_marinus
121	3c2hmp	h	3c2hmp___h	Celeribacter_marinus
122	3c2hmp	nadh	3c2hmp___nadh	Celeribacter_marinus
123	3c3hmp	2ippm	3c3hmp___2ippm	Celeribacter_marinus
124	3c3hmp	h2o	3c3hmp___h2o	Celeribacter_marinus
125	3c4mop	4mop	3c4mop___4mop	Celeribacter_marinus
126	3c4mop	co2	3c4mop___co2	Celeribacter_marinus
127	3cmp	cytd	3cmp___cytd	Celeribacter_marinus
128	3cmp	pi	3cmp___pi	Celeribacter_marinus
129	3dhq	3dhsk	3dhq___3dhsk	Celeribacter_marinus
130	3dhq	h2o	3dhq___h2o	Celeribacter_marinus
131	3dhsk	34dhbz	3dhsk___34dhbz	Celeribacter_marinus
132	3dhsk	h2o	3dhsk___h2o	Celeribacter_marinus
133	3dhsk	nadp	3dhsk___nadp	Celeribacter_marinus
134	3dhsk	skm	3dhsk___skm	Celeribacter_marinus
135	3gmp	gsn	3gmp___gsn	Celeribacter_marinus
136	3gmp	pi	3gmp___pi	Celeribacter_marinus
137	3haACP	but2eACP	3haACP___but2eACP	Celeribacter_marinus
138	3haACP	h2o	3haACP___h2o	Celeribacter_marinus
139	3hcddec5eACP	h2o	3hcddec5eACP___h2o	Celeribacter_marinus
140	3hcddec5eACP	t3c5ddeceACP	3hcddec5eACP___t3c5ddeceACP	Celeribacter_marinus
141	3hcmrs7eACP	h2o	3hcmrs7eACP___h2o	Celeribacter_marinus
142	3hcmrs7eACP	t3c7mrseACP	3hcmrs7eACP___t3c7mrseACP	Celeribacter_marinus
143	3hcpalm9eACP	h2o	3hcpalm9eACP___h2o	Celeribacter_marinus
144	3hcpalm9eACP	t3c9palmeACP	3hcpalm9eACP___t3c9palmeACP	Celeribacter_marinus
145	3hcvac11eACP	h2o	3hcvac11eACP___h2o	Celeribacter_marinus
146	3hcvac11eACP	t3c11vaceACP	3hcvac11eACP___t3c11vaceACP	Celeribacter_marinus
147	3hddecACP	h2o	3hddecACP___h2o	Celeribacter_marinus
148	3hddecACP	tddec2eACP	3hddecACP___tddec2eACP	Celeribacter_marinus
149	3hdecACP	h2o	3hdecACP___h2o	Celeribacter_marinus
150	3hdecACP	tdec2eACP	3hdecACP___tdec2eACP	Celeribacter_marinus
