substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Chromohalobacter_salexigens
2	10fthf	thf	10fthf___thf	Chromohalobacter_salexigens
3	12dgr120	adp	12dgr120___adp	Chromohalobacter_salexigens
4	12dgr120	h	12dgr120___h	Chromohalobacter_salexigens
5	12dgr120	pa120	12dgr120___pa120	Chromohalobacter_salexigens
6	12dgr140	adp	12dgr140___adp	Chromohalobacter_salexigens
7	12dgr140	h	12dgr140___h	Chromohalobacter_salexigens
8	12dgr140	pa140	12dgr140___pa140	Chromohalobacter_salexigens
9	12dgr141	adp	12dgr141___adp	Chromohalobacter_salexigens
10	12dgr141	h	12dgr141___h	Chromohalobacter_salexigens
11	12dgr141	pa141	12dgr141___pa141	Chromohalobacter_salexigens
12	12dgr160	adp	12dgr160___adp	Chromohalobacter_salexigens
13	12dgr160	h	12dgr160___h	Chromohalobacter_salexigens
14	12dgr160	pa160	12dgr160___pa160	Chromohalobacter_salexigens
15	12dgr161	adp	12dgr161___adp	Chromohalobacter_salexigens
16	12dgr161	h	12dgr161___h	Chromohalobacter_salexigens
17	12dgr161	pa161	12dgr161___pa161	Chromohalobacter_salexigens
18	12dgr180	adp	12dgr180___adp	Chromohalobacter_salexigens
19	12dgr180	h	12dgr180___h	Chromohalobacter_salexigens
20	12dgr180	pa180	12dgr180___pa180	Chromohalobacter_salexigens
21	12dgr181	adp	12dgr181___adp	Chromohalobacter_salexigens
22	12dgr181	h	12dgr181___h	Chromohalobacter_salexigens
23	12dgr181	pa181	12dgr181___pa181	Chromohalobacter_salexigens
24	12ppd__S	h	12ppd__S___h	Chromohalobacter_salexigens
25	12ppd__S	lald__L	12ppd__S___lald__L	Chromohalobacter_salexigens
26	12ppd__S	nadh	12ppd__S___nadh	Chromohalobacter_salexigens
27	13dpg	3pg	13dpg___3pg	Chromohalobacter_salexigens
28	13dpg	atp	13dpg___atp	Chromohalobacter_salexigens
29	14glucan	malthx	14glucan___malthx	Chromohalobacter_salexigens
30	1ddecg3p	ACP	1ddecg3p___ACP	Chromohalobacter_salexigens
31	1ddecg3p	pa120	1ddecg3p___pa120	Chromohalobacter_salexigens
32	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Chromohalobacter_salexigens
33	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Chromohalobacter_salexigens
34	1hdecg3p	ACP	1hdecg3p___ACP	Chromohalobacter_salexigens
35	1hdecg3p	pa160	1hdecg3p___pa160	Chromohalobacter_salexigens
36	1odec11eg3p	ACP	1odec11eg3p___ACP	Chromohalobacter_salexigens
37	1odec11eg3p	pa181	1odec11eg3p___pa181	Chromohalobacter_salexigens
38	1odecg3p	ACP	1odecg3p___ACP	Chromohalobacter_salexigens
