substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Chroococcidiopsis_thermalis
2	10fthf	thf	10fthf___thf	Chroococcidiopsis_thermalis
3	12dgr120	adp	12dgr120___adp	Chroococcidiopsis_thermalis
4	12dgr120	h	12dgr120___h	Chroococcidiopsis_thermalis
5	12dgr120	pa120	12dgr120___pa120	Chroococcidiopsis_thermalis
6	12dgr140	adp	12dgr140___adp	Chroococcidiopsis_thermalis
7	12dgr140	h	12dgr140___h	Chroococcidiopsis_thermalis
8	12dgr140	pa140	12dgr140___pa140	Chroococcidiopsis_thermalis
9	12dgr141	adp	12dgr141___adp	Chroococcidiopsis_thermalis
10	12dgr141	h	12dgr141___h	Chroococcidiopsis_thermalis
11	12dgr141	pa141	12dgr141___pa141	Chroococcidiopsis_thermalis
12	12dgr160	adp	12dgr160___adp	Chroococcidiopsis_thermalis
13	12dgr160	h	12dgr160___h	Chroococcidiopsis_thermalis
14	12dgr160	pa160	12dgr160___pa160	Chroococcidiopsis_thermalis
15	12dgr161	adp	12dgr161___adp	Chroococcidiopsis_thermalis
16	12dgr161	h	12dgr161___h	Chroococcidiopsis_thermalis
17	12dgr161	pa161	12dgr161___pa161	Chroococcidiopsis_thermalis
18	12dgr180	adp	12dgr180___adp	Chroococcidiopsis_thermalis
19	12dgr180	h	12dgr180___h	Chroococcidiopsis_thermalis
20	12dgr180	pa180	12dgr180___pa180	Chroococcidiopsis_thermalis
21	12dgr181	adp	12dgr181___adp	Chroococcidiopsis_thermalis
22	12dgr181	h	12dgr181___h	Chroococcidiopsis_thermalis
23	12dgr181	pa181	12dgr181___pa181	Chroococcidiopsis_thermalis
24	12ppd__S	h	12ppd__S___h	Chroococcidiopsis_thermalis
25	12ppd__S	lald__L	12ppd__S___lald__L	Chroococcidiopsis_thermalis
26	12ppd__S	nadh	12ppd__S___nadh	Chroococcidiopsis_thermalis
27	13dpg	3pg	13dpg___3pg	Chroococcidiopsis_thermalis
28	13dpg	atp	13dpg___atp	Chroococcidiopsis_thermalis
29	14glucan	malthx	14glucan___malthx	Chroococcidiopsis_thermalis
30	1ddecg3p	ACP	1ddecg3p___ACP	Chroococcidiopsis_thermalis
31	1ddecg3p	pa120	1ddecg3p___pa120	Chroococcidiopsis_thermalis
32	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Chroococcidiopsis_thermalis
33	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Chroococcidiopsis_thermalis
34	1hdecg3p	ACP	1hdecg3p___ACP	Chroococcidiopsis_thermalis
35	1hdecg3p	pa160	1hdecg3p___pa160	Chroococcidiopsis_thermalis
36	1odec11eg3p	ACP	1odec11eg3p___ACP	Chroococcidiopsis_thermalis
37	1odec11eg3p	pa181	1odec11eg3p___pa181	Chroococcidiopsis_thermalis
38	1odecg3p	ACP	1odecg3p___ACP	Chroococcidiopsis_thermalis
39	1odecg3p	pa180	1odecg3p___pa180	Chroococcidiopsis_thermalis
40	1pyr5c	nad	1pyr5c___nad	Chroococcidiopsis_thermalis
41	1pyr5c	nadp	1pyr5c___nadp	Chroococcidiopsis_thermalis
42	1pyr5c	pro__L	1pyr5c___pro__L	Chroococcidiopsis_thermalis
43	1tdecg3p	ACP	1tdecg3p___ACP	Chroococcidiopsis_thermalis
44	1tdecg3p	pa140	1tdecg3p___pa140	Chroococcidiopsis_thermalis
45	23dhdp	nadp	23dhdp___nadp	Chroococcidiopsis_thermalis
46	23dhdp	thdp	23dhdp___thdp	Chroococcidiopsis_thermalis
47	23dhmb	alac__S	23dhmb___alac__S	Chroococcidiopsis_thermalis
48	23dhmb	h	23dhmb___h	Chroococcidiopsis_thermalis
49	23dhmb	nadph	23dhmb___nadph	Chroococcidiopsis_thermalis
50	23dhmp	3mop	23dhmp___3mop	Chroococcidiopsis_thermalis
51	23dhmp	h2o	23dhmp___h2o	Chroococcidiopsis_thermalis
52	25aics	aicar	25aics___aicar	Chroococcidiopsis_thermalis
53	25aics	fum	25aics___fum	Chroococcidiopsis_thermalis
54	25dhpp	5apru	25dhpp___5apru	Chroococcidiopsis_thermalis
55	25dhpp	nh4	25dhpp___nh4	Chroococcidiopsis_thermalis
56	26dap_	adp	26dap____adp	Chroococcidiopsis_thermalis
57	26dap_	co2	26dap____co2	Chroococcidiopsis_thermalis
58	26dap_	h	26dap____h	Chroococcidiopsis_thermalis
59	26dap_	lys__L	26dap____lys__L	Chroococcidiopsis_thermalis
60	26dap_	pi	26dap____pi	Chroococcidiopsis_thermalis
61	26dap_	ugmd	26dap____ugmd	Chroococcidiopsis_thermalis
62	26dap_LL	26dap_	26dap_LL___26dap_	Chroococcidiopsis_thermalis
63	2agpe120	amp	2agpe120___amp	Chroococcidiopsis_thermalis
64	2agpe120	pe120	2agpe120___pe120	Chroococcidiopsis_thermalis
65	2agpe120	ppi	2agpe120___ppi	Chroococcidiopsis_thermalis
66	2agpe140	amp	2agpe140___amp	Chroococcidiopsis_thermalis
67	2agpe140	pe140	2agpe140___pe140	Chroococcidiopsis_thermalis
68	2agpe140	ppi	2agpe140___ppi	Chroococcidiopsis_thermalis
69	2agpe141	amp	2agpe141___amp	Chroococcidiopsis_thermalis
70	2agpe141	pe141	2agpe141___pe141	Chroococcidiopsis_thermalis
71	2agpe141	ppi	2agpe141___ppi	Chroococcidiopsis_thermalis
72	2agpe160	amp	2agpe160___amp	Chroococcidiopsis_thermalis
73	2agpe160	pe160	2agpe160___pe160	Chroococcidiopsis_thermalis
74	2agpe160	ppi	2agpe160___ppi	Chroococcidiopsis_thermalis
75	2agpe180	amp	2agpe180___amp	Chroococcidiopsis_thermalis
76	2agpe180	pe180	2agpe180___pe180	Chroococcidiopsis_thermalis
77	2agpe180	ppi	2agpe180___ppi	Chroococcidiopsis_thermalis
78	2agpg120	amp	2agpg120___amp	Chroococcidiopsis_thermalis
79	2agpg120	pg120	2agpg120___pg120	Chroococcidiopsis_thermalis
80	2agpg120	ppi	2agpg120___ppi	Chroococcidiopsis_thermalis
81	2agpg140	amp	2agpg140___amp	Chroococcidiopsis_thermalis
82	2agpg140	pg140	2agpg140___pg140	Chroococcidiopsis_thermalis
83	2agpg140	ppi	2agpg140___ppi	Chroococcidiopsis_thermalis
84	2agpg141	amp	2agpg141___amp	Chroococcidiopsis_thermalis
85	2agpg141	pg141	2agpg141___pg141	Chroococcidiopsis_thermalis
86	2agpg141	ppi	2agpg141___ppi	Chroococcidiopsis_thermalis
87	2agpg161	amp	2agpg161___amp	Chroococcidiopsis_thermalis
88	2agpg161	pg161	2agpg161___pg161	Chroococcidiopsis_thermalis
89	2agpg161	ppi	2agpg161___ppi	Chroococcidiopsis_thermalis
90	2agpg181	amp	2agpg181___amp	Chroococcidiopsis_thermalis
91	2agpg181	pg181	2agpg181___pg181	Chroococcidiopsis_thermalis
92	2agpg181	ppi	2agpg181___ppi	Chroococcidiopsis_thermalis
93	2ahbut	23dhmp	2ahbut___23dhmp	Chroococcidiopsis_thermalis
94	2ahbut	nadp	2ahbut___nadp	Chroococcidiopsis_thermalis
95	2amsa	nadp	2amsa___nadp	Chroococcidiopsis_thermalis
96	2amsa	ser__L	2amsa___ser__L	Chroococcidiopsis_thermalis
97	2aobut	athr__L	2aobut___athr__L	Chroococcidiopsis_thermalis
98	2aobut	nadp	2aobut___nadp	Chroococcidiopsis_thermalis
99	2cpr5p	3ig3p	2cpr5p___3ig3p	Chroococcidiopsis_thermalis
100	2cpr5p	co2	2cpr5p___co2	Chroococcidiopsis_thermalis
101	2cpr5p	h2o	2cpr5p___h2o	Chroococcidiopsis_thermalis
102	2dda7p	3dhq	2dda7p___3dhq	Chroococcidiopsis_thermalis
103	2dda7p	pi	2dda7p___pi	Chroococcidiopsis_thermalis
104	2dhp	nadp	2dhp___nadp	Chroococcidiopsis_thermalis
105	2dhp	pant__R	2dhp___pant__R	Chroococcidiopsis_thermalis
106	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Chroococcidiopsis_thermalis
107	2dmmq8	nad	2dmmq8___nad	Chroococcidiopsis_thermalis
108	2dmmql8	ahcys	2dmmql8___ahcys	Chroococcidiopsis_thermalis
109	2dmmql8	h	2dmmql8___h	Chroococcidiopsis_thermalis
110	2dmmql8	mql8	2dmmql8___mql8	Chroococcidiopsis_thermalis
111	2dr5p	acald	2dr5p___acald	Chroococcidiopsis_thermalis
112	2dr5p	g3p	2dr5p___g3p	Chroococcidiopsis_thermalis
113	2fe1s	adp	2fe1s___adp	Chroococcidiopsis_thermalis
114	2fe1s	h	2fe1s___h	Chroococcidiopsis_thermalis
