substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Chryseolinea_serpens
2	10fthf	thf	10fthf___thf	Chryseolinea_serpens
3	12dgr120	adp	12dgr120___adp	Chryseolinea_serpens
4	12dgr120	h	12dgr120___h	Chryseolinea_serpens
5	12dgr120	pa120	12dgr120___pa120	Chryseolinea_serpens
6	12dgr140	adp	12dgr140___adp	Chryseolinea_serpens
7	12dgr140	h	12dgr140___h	Chryseolinea_serpens
8	12dgr140	pa140	12dgr140___pa140	Chryseolinea_serpens
9	12dgr141	adp	12dgr141___adp	Chryseolinea_serpens
10	12dgr141	h	12dgr141___h	Chryseolinea_serpens
11	12dgr141	pa141	12dgr141___pa141	Chryseolinea_serpens
12	12dgr160	adp	12dgr160___adp	Chryseolinea_serpens
13	12dgr160	h	12dgr160___h	Chryseolinea_serpens
14	12dgr160	pa160	12dgr160___pa160	Chryseolinea_serpens
15	12dgr161	adp	12dgr161___adp	Chryseolinea_serpens
16	12dgr161	h	12dgr161___h	Chryseolinea_serpens
17	12dgr161	pa161	12dgr161___pa161	Chryseolinea_serpens
18	12dgr180	adp	12dgr180___adp	Chryseolinea_serpens
19	12dgr180	h	12dgr180___h	Chryseolinea_serpens
20	12dgr180	pa180	12dgr180___pa180	Chryseolinea_serpens
21	12dgr181	adp	12dgr181___adp	Chryseolinea_serpens
22	12dgr181	h	12dgr181___h	Chryseolinea_serpens
23	12dgr181	pa181	12dgr181___pa181	Chryseolinea_serpens
24	12ppd__S	h	12ppd__S___h	Chryseolinea_serpens
25	12ppd__S	lald__L	12ppd__S___lald__L	Chryseolinea_serpens
26	12ppd__S	nadh	12ppd__S___nadh	Chryseolinea_serpens
27	13dpg	3pg	13dpg___3pg	Chryseolinea_serpens
28	13dpg	atp	13dpg___atp	Chryseolinea_serpens
29	1ddecg3p	ACP	1ddecg3p___ACP	Chryseolinea_serpens
30	1ddecg3p	pa120	1ddecg3p___pa120	Chryseolinea_serpens
31	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Chryseolinea_serpens
32	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Chryseolinea_serpens
33	1hdecg3p	ACP	1hdecg3p___ACP	Chryseolinea_serpens
34	1hdecg3p	pa160	1hdecg3p___pa160	Chryseolinea_serpens
35	1odec11eg3p	ACP	1odec11eg3p___ACP	Chryseolinea_serpens
36	1odec11eg3p	pa181	1odec11eg3p___pa181	Chryseolinea_serpens
37	1odecg3p	ACP	1odecg3p___ACP	Chryseolinea_serpens
38	1odecg3p	pa180	1odecg3p___pa180	Chryseolinea_serpens
39	1pyr5c	nad	1pyr5c___nad	Chryseolinea_serpens
40	1pyr5c	nadp	1pyr5c___nadp	Chryseolinea_serpens
41	1pyr5c	pro__L	1pyr5c___pro__L	Chryseolinea_serpens
42	1tdecg3p	ACP	1tdecg3p___ACP	Chryseolinea_serpens
43	1tdecg3p	pa140	1tdecg3p___pa140	Chryseolinea_serpens
44	23dhdp	nadp	23dhdp___nadp	Chryseolinea_serpens
45	23dhdp	thdp	23dhdp___thdp	Chryseolinea_serpens
46	23dhmp	3mop	23dhmp___3mop	Chryseolinea_serpens
47	23dhmp	h2o	23dhmp___h2o	Chryseolinea_serpens
48	25aics	aicar	25aics___aicar	Chryseolinea_serpens
49	25aics	fum	25aics___fum	Chryseolinea_serpens
50	25dhpp	5apru	25dhpp___5apru	Chryseolinea_serpens
51	25dhpp	nh4	25dhpp___nh4	Chryseolinea_serpens
52	26dap_	adp	26dap____adp	Chryseolinea_serpens
53	26dap_	co2	26dap____co2	Chryseolinea_serpens
54	26dap_	h	26dap____h	Chryseolinea_serpens
55	26dap_	lys__L	26dap____lys__L	Chryseolinea_serpens
56	26dap_	pi	26dap____pi	Chryseolinea_serpens
57	26dap_	ugmd	26dap____ugmd	Chryseolinea_serpens
58	26dap_LL	26dap_	26dap_LL___26dap_	Chryseolinea_serpens
59	2ahbut	23dhmp	2ahbut___23dhmp	Chryseolinea_serpens
60	2ahbut	nadp	2ahbut___nadp	Chryseolinea_serpens
61	2ahhmp	dhpt	2ahhmp___dhpt	Chryseolinea_serpens
62	2ahhmp	h2o	2ahhmp___h2o	Chryseolinea_serpens
63	2amsa	nadp	2amsa___nadp	Chryseolinea_serpens
64	2amsa	ser__L	2amsa___ser__L	Chryseolinea_serpens
65	2aobut	athr__L	2aobut___athr__L	Chryseolinea_serpens
66	2aobut	nadp	2aobut___nadp	Chryseolinea_serpens
67	2cpr5p	3ig3p	2cpr5p___3ig3p	Chryseolinea_serpens
68	2cpr5p	co2	2cpr5p___co2	Chryseolinea_serpens
69	2cpr5p	h2o	2cpr5p___h2o	Chryseolinea_serpens
70	2dda7p	3dhq	2dda7p___3dhq	Chryseolinea_serpens
71	2dda7p	pi	2dda7p___pi	Chryseolinea_serpens
72	2ddg6p	g3p	2ddg6p___g3p	Chryseolinea_serpens
73	2ddg6p	pyr	2ddg6p___pyr	Chryseolinea_serpens
74	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Chryseolinea_serpens
75	2ddglcn	adp	2ddglcn___adp	Chryseolinea_serpens
76	2ddglcn	h	2ddglcn___h	Chryseolinea_serpens
77	2dhglcn	6p2dhglcn	2dhglcn___6p2dhglcn	Chryseolinea_serpens
78	2dhglcn	adp	2dhglcn___adp	Chryseolinea_serpens
79	2dhp	nadp	2dhp___nadp	Chryseolinea_serpens
80	2dhp	pant__R	2dhp___pant__R	Chryseolinea_serpens
81	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Chryseolinea_serpens
82	2dmmq8	dhap	2dmmq8___dhap	Chryseolinea_serpens
83	2dmmq8	nad	2dmmq8___nad	Chryseolinea_serpens
84	2dmmql8	2dmmq8	2dmmql8___2dmmq8	Chryseolinea_serpens
85	2dmmql8	ahcys	2dmmql8___ahcys	Chryseolinea_serpens
86	2dmmql8	h	2dmmql8___h	Chryseolinea_serpens
87	2dmmql8	mql8	2dmmql8___mql8	Chryseolinea_serpens
88	2dmmql8	succ	2dmmql8___succ	Chryseolinea_serpens
89	2dr5p	acald	2dr5p___acald	Chryseolinea_serpens
90	2dr5p	g3p	2dr5p___g3p	Chryseolinea_serpens
91	2fe1s	adp	2fe1s___adp	Chryseolinea_serpens
92	2fe1s	h	2fe1s___h	Chryseolinea_serpens
93	2fe1s	iscs	2fe1s___iscs	Chryseolinea_serpens
94	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Chryseolinea_serpens
95	2fe1s	pi	2fe1s___pi	Chryseolinea_serpens
96	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Chryseolinea_serpens
97	2fe1s	sufse	2fe1s___sufse	Chryseolinea_serpens
98	2fe2s	2fe1s	2fe2s___2fe1s	Chryseolinea_serpens
99	2fe2s	btn	2fe2s___btn	Chryseolinea_serpens
100	2fe2s	dad_5	2fe2s___dad_5	Chryseolinea_serpens
101	2fe2s	h	2fe2s___h	Chryseolinea_serpens
102	2fe2s	met__L	2fe2s___met__L	Chryseolinea_serpens
103	2hh24dd	4h2kpi	2hh24dd___4h2kpi	Chryseolinea_serpens
104	2ippm	3c2hmp	2ippm___3c2hmp	Chryseolinea_serpens
105	2mahmp	4ampm	2mahmp___4ampm	Chryseolinea_serpens
106	2mahmp	h	2mahmp___h	Chryseolinea_serpens
107	2mahmp	pi	2mahmp___pi	Chryseolinea_serpens
108	2mahmp	ppi	2mahmp___ppi	Chryseolinea_serpens
109	2mahmp	thmmp	2mahmp___thmmp	Chryseolinea_serpens
110	2me4p	4c2me	2me4p___4c2me	Chryseolinea_serpens
111	2me4p	ppi	2me4p___ppi	Chryseolinea_serpens
112	2mecdp	h2mb4p	2mecdp___h2mb4p	Chryseolinea_serpens
113	2mecdp	h2o	2mecdp___h2o	Chryseolinea_serpens
114	2obut	2ahbut	2obut___2ahbut	Chryseolinea_serpens
115	2obut	co2	2obut___co2	Chryseolinea_serpens
116	2obut	nadh	2obut___nadh	Chryseolinea_serpens
117	2obut	ppcoa	2obut___ppcoa	Chryseolinea_serpens
118	2p4c2me	2mecdp	2p4c2me___2mecdp	Chryseolinea_serpens
119	2p4c2me	cmp	2p4c2me___cmp	Chryseolinea_serpens
120	2pg	h2o	2pg___h2o	Chryseolinea_serpens
121	2pg	pep	2pg___pep	Chryseolinea_serpens
122	2pglyc	glyclt	2pglyc___glyclt	Chryseolinea_serpens
123	2pglyc	pi	2pglyc___pi	Chryseolinea_serpens
124	2shchc	h2o	2shchc___h2o	Chryseolinea_serpens
125	2shchc	sucbz	2shchc___sucbz	Chryseolinea_serpens
126	34dhbz	CCbuttc	34dhbz___CCbuttc	Chryseolinea_serpens
127	34dhbz	h	34dhbz___h	Chryseolinea_serpens
128	34dhpha	5cmhmsa	34dhpha___5cmhmsa	Chryseolinea_serpens
129	34dhpha	h	34dhpha___h	Chryseolinea_serpens
130	34hpp	akg	34hpp___akg	Chryseolinea_serpens
131	34hpp	tyr__L	34hpp___tyr__L	Chryseolinea_serpens
132	3c2hmp	3c4mop	3c2hmp___3c4mop	Chryseolinea_serpens
133	3c2hmp	h	3c2hmp___h	Chryseolinea_serpens
134	3c2hmp	nadh	3c2hmp___nadh	Chryseolinea_serpens
135	3c3hmp	2ippm	3c3hmp___2ippm	Chryseolinea_serpens
136	3c3hmp	h2o	3c3hmp___h2o	Chryseolinea_serpens
137	3c4mop	4mop	3c4mop___4mop	Chryseolinea_serpens
138	3c4mop	co2	3c4mop___co2	Chryseolinea_serpens
139	3dhq	3dhsk	3dhq___3dhsk	Chryseolinea_serpens
140	3dhq	h2o	3dhq___h2o	Chryseolinea_serpens
141	3dhsk	nadp	3dhsk___nadp	Chryseolinea_serpens
142	3dhsk	skm	3dhsk___skm	Chryseolinea_serpens
143	3haACP	but2eACP	3haACP___but2eACP	Chryseolinea_serpens
144	3haACP	h2o	3haACP___h2o	Chryseolinea_serpens
145	3hcddec5eACP	h2o	3hcddec5eACP___h2o	Chryseolinea_serpens
146	3hcddec5eACP	t3c5ddeceACP	3hcddec5eACP___t3c5ddeceACP	Chryseolinea_serpens
147	3hcmrs7eACP	h2o	3hcmrs7eACP___h2o	Chryseolinea_serpens
148	3hcmrs7eACP	t3c7mrseACP	3hcmrs7eACP___t3c7mrseACP	Chryseolinea_serpens
149	3hcpalm9eACP	h2o	3hcpalm9eACP___h2o	Chryseolinea_serpens
150	3hcpalm9eACP	t3c9palmeACP	3hcpalm9eACP___t3c9palmeACP	Chryseolinea_serpens
151	3hcvac11eACP	h2o	3hcvac11eACP___h2o	Chryseolinea_serpens
152	3hcvac11eACP	t3c11vaceACP	3hcvac11eACP___t3c11vaceACP	Chryseolinea_serpens
153	3hddecACP	h2o	3hddecACP___h2o	Chryseolinea_serpens
154	3hddecACP	tddec2eACP	3hddecACP___tddec2eACP	Chryseolinea_serpens
155	3hdecACP	h2o	3hdecACP___h2o	Chryseolinea_serpens
156	3hdecACP	tdec2eACP	3hdecACP___tdec2eACP	Chryseolinea_serpens
157	3hhexACP	h2o	3hhexACP___h2o	Chryseolinea_serpens
158	3hhexACP	thex2eACP	3hhexACP___thex2eACP	Chryseolinea_serpens
159	3hmrsACP	ACP	3hmrsACP___ACP	Chryseolinea_serpens
160	3hmrsACP	h	3hmrsACP___h	Chryseolinea_serpens
161	3hmrsACP	h2o	3hmrsACP___h2o	Chryseolinea_serpens
162	3hmrsACP	tmrs2eACP	3hmrsACP___tmrs2eACP	Chryseolinea_serpens
163	3hmrsACP	u23ga	3hmrsACP___u23ga	Chryseolinea_serpens
164	3hmrsACP	u3aga	3hmrsACP___u3aga	Chryseolinea_serpens
165	3hoctaACP	h2o	3hoctaACP___h2o	Chryseolinea_serpens
166	3hoctaACP	toctd2eACP	3hoctaACP___toctd2eACP	Chryseolinea_serpens
167	3hoctACP	h2o	3hoctACP___h2o	Chryseolinea_serpens
168	3hoctACP	toct2eACP	3hoctACP___toct2eACP	Chryseolinea_serpens
169	3hoxpac	34dhpha	3hoxpac___34dhpha	Chryseolinea_serpens
170	3hoxpac	h2o	3hoxpac___h2o	Chryseolinea_serpens
171	3hoxpac	nad	3hoxpac___nad	Chryseolinea_serpens
172	3hpalmACP	h2o	3hpalmACP___h2o	Chryseolinea_serpens
173	3hpalmACP	tpalm2eACP	3hpalmACP___tpalm2eACP	Chryseolinea_serpens
174	3ig3p	g3p	3ig3p___g3p	Chryseolinea_serpens
175	3ig3p	h2o	3ig3p___h2o	Chryseolinea_serpens
176	3ig3p	indole	3ig3p___indole	Chryseolinea_serpens
177	3ig3p	trp__L	3ig3p___trp__L	Chryseolinea_serpens
178	3mob	2dhp	3mob___2dhp	Chryseolinea_serpens
179	3mob	3c3hmp	3mob___3c3hmp	Chryseolinea_serpens
180	3mob	co2	3mob___co2	Chryseolinea_serpens
181	3mob	coa	3mob___coa	Chryseolinea_serpens
182	3mob	h	3mob___h	Chryseolinea_serpens
183	3mob	ibcoa	3mob___ibcoa	Chryseolinea_serpens
184	3mob	nadh	3mob___nadh	Chryseolinea_serpens
185	3mob	thf	3mob___thf	Chryseolinea_serpens
186	3mop	2mbcoa	3mop___2mbcoa	Chryseolinea_serpens
187	3mop	akg	3mop___akg	Chryseolinea_serpens
188	3mop	co2	3mop___co2	Chryseolinea_serpens
189	3mop	ile__L	3mop___ile__L	Chryseolinea_serpens
190	3mop	nadh	3mop___nadh	Chryseolinea_serpens
191	3ocddec5eACP	3hcddec5eACP	3ocddec5eACP___3hcddec5eACP	Chryseolinea_serpens
192	3ocddec5eACP	nadp	3ocddec5eACP___nadp	Chryseolinea_serpens
193	3ocmrs7eACP	3hcmrs7eACP	3ocmrs7eACP___3hcmrs7eACP	Chryseolinea_serpens
194	3ocmrs7eACP	nadp	3ocmrs7eACP___nadp	Chryseolinea_serpens
195	3ocpalm9eACP	3hcpalm9eACP	3ocpalm9eACP___3hcpalm9eACP	Chryseolinea_serpens
196	3ocpalm9eACP	nadp	3ocpalm9eACP___nadp	Chryseolinea_serpens
197	3ocvac11eACP	3hcvac11eACP	3ocvac11eACP___3hcvac11eACP	Chryseolinea_serpens
198	3ocvac11eACP	nadp	3ocvac11eACP___nadp	Chryseolinea_serpens
199	3oddcoa	accoa	3oddcoa___accoa	Chryseolinea_serpens
200	3oddcoa	dccoa	3oddcoa___dccoa	Chryseolinea_serpens
201	3oddecACP	3hddecACP	3oddecACP___3hddecACP	Chryseolinea_serpens
202	3oddecACP	nadp	3oddecACP___nadp	Chryseolinea_serpens
203	3odecACP	3hdecACP	3odecACP___3hdecACP	Chryseolinea_serpens
204	3odecACP	nadp	3odecACP___nadp	Chryseolinea_serpens
205	3ohcoa	accoa	3ohcoa___accoa	Chryseolinea_serpens
206	3ohcoa	btcoa	3ohcoa___btcoa	Chryseolinea_serpens
207	3ohdcoa	accoa	3ohdcoa___accoa	Chryseolinea_serpens
208	3ohdcoa	tdcoa	3ohdcoa___tdcoa	Chryseolinea_serpens
209	3ohexACP	3hhexACP	3ohexACP___3hhexACP	Chryseolinea_serpens
210	3ohexACP	nadp	3ohexACP___nadp	Chryseolinea_serpens
211	3omrsACP	3hmrsACP	3omrsACP___3hmrsACP	Chryseolinea_serpens
212	3omrsACP	nadp	3omrsACP___nadp	Chryseolinea_serpens
213	3ooctACP	3hoctACP	3ooctACP___3hoctACP	Chryseolinea_serpens
214	3ooctACP	nadp	3ooctACP___nadp	Chryseolinea_serpens
215	3ooctdACP	3hoctaACP	3ooctdACP___3hoctaACP	Chryseolinea_serpens
216	3ooctdACP	nadp	3ooctdACP___nadp	Chryseolinea_serpens
217	3opalmACP	3hpalmACP	3opalmACP___3hpalmACP	Chryseolinea_serpens
218	3opalmACP	nadp	3opalmACP___nadp	Chryseolinea_serpens
219	3pg	2pg	3pg___2pg	Chryseolinea_serpens
220	3pg	3php	3pg___3php	Chryseolinea_serpens
221	3pg	h	3pg___h	Chryseolinea_serpens
222	3pg	nadh	3pg___nadh	Chryseolinea_serpens
223	3php	akg	3php___akg	Chryseolinea_serpens
224	3php	pser__L	3php___pser__L	Chryseolinea_serpens
225	3psme	chor	3psme___chor	Chryseolinea_serpens
226	3psme	pi	3psme___pi	Chryseolinea_serpens
227	4abz	dhpt	4abz___dhpt	Chryseolinea_serpens
228	4abz	h2o	4abz___h2o	Chryseolinea_serpens
229	4adcho	4abz	4adcho___4abz	Chryseolinea_serpens
230	4adcho	h	4adcho___h	Chryseolinea_serpens
231	4adcho	pyr	4adcho___pyr	Chryseolinea_serpens
232	4ahmmp	4ampm	4ahmmp___4ampm	Chryseolinea_serpens
233	4ahmmp	adp	4ahmmp___adp	Chryseolinea_serpens
234	4ahmmp	cdp	4ahmmp___cdp	Chryseolinea_serpens
235	4ahmmp	gdp	4ahmmp___gdp	Chryseolinea_serpens
236	4ahmmp	h	4ahmmp___h	Chryseolinea_serpens
237	4ahmmp	udp	4ahmmp___udp	Chryseolinea_serpens
238	4ampm	2mahmp	4ampm___2mahmp	Chryseolinea_serpens
239	4ampm	adp	4ampm___adp	Chryseolinea_serpens
240	4c2me	2p4c2me	4c2me___2p4c2me	Chryseolinea_serpens
241	4c2me	adp	4c2me___adp	Chryseolinea_serpens
242	4c2me	h	4c2me___h	Chryseolinea_serpens
243	4cml	5odhf2a	4cml___5odhf2a	Chryseolinea_serpens
244	4cml	co2	4cml___co2	Chryseolinea_serpens
245	4fe4s	2fe2s	4fe4s___2fe2s	Chryseolinea_serpens
246	4fe4s	dad_5	4fe4s___dad_5	Chryseolinea_serpens
247	4fe4s	fe2	4fe4s___fe2	Chryseolinea_serpens
248	4fe4s	lipopb	4fe4s___lipopb	Chryseolinea_serpens
249	4fe4s	met__L	4fe4s___met__L	Chryseolinea_serpens
250	4fe4s	nadh	4fe4s___nadh	Chryseolinea_serpens
251	4h2kpi	pyr	4h2kpi___pyr	Chryseolinea_serpens
252	4h2kpi	sucsal	4h2kpi___sucsal	Chryseolinea_serpens
253	4hthr	adp	4hthr___adp	Chryseolinea_serpens
254	4hthr	h	4hthr___h	Chryseolinea_serpens
255	4hthr	phthr	4hthr___phthr	Chryseolinea_serpens
256	4mhetz	4mpetz	4mhetz___4mpetz	Chryseolinea_serpens
257	4mhetz	adp	4mhetz___adp	Chryseolinea_serpens
258	4mhetz	h	4mhetz___h	Chryseolinea_serpens
259	4mop	akg	4mop___akg	Chryseolinea_serpens
260	4mop	co2	4mop___co2	Chryseolinea_serpens
261	4mop	ivcoa	4mop___ivcoa	Chryseolinea_serpens
262	4mop	leu__L	4mop___leu__L	Chryseolinea_serpens
263	4mop	nadh	4mop___nadh	Chryseolinea_serpens
264	4mpetz	ppi	4mpetz___ppi	Chryseolinea_serpens
265	4mpetz	thmmp	4mpetz___thmmp	Chryseolinea_serpens
266	4pasp	aspsa	4pasp___aspsa	Chryseolinea_serpens
267	4pasp	nadp	4pasp___nadp	Chryseolinea_serpens
268	4pasp	pi	4pasp___pi	Chryseolinea_serpens
269	4ppan	4ppcys	4ppan___4ppcys	Chryseolinea_serpens
270	4ppan	cdp	4ppan___cdp	Chryseolinea_serpens
271	4ppan	cmp	4ppan___cmp	Chryseolinea_serpens
272	4ppan	h	4ppan___h	Chryseolinea_serpens
273	4ppan	pi	4ppan___pi	Chryseolinea_serpens
274	4ppan	ppi	4ppan___ppi	Chryseolinea_serpens
275	4ppcys	co2	4ppcys___co2	Chryseolinea_serpens
276	4ppcys	pan4p	4ppcys___pan4p	Chryseolinea_serpens
277	4r5au	dmlz	4r5au___dmlz	Chryseolinea_serpens
278	4r5au	h2o	4r5au___h2o	Chryseolinea_serpens
279	4r5au	pi	4r5au___pi	Chryseolinea_serpens
280	5aizc	25aics	5aizc___25aics	Chryseolinea_serpens
281	5aizc	adp	5aizc___adp	Chryseolinea_serpens
282	5aizc	h	5aizc___h	Chryseolinea_serpens
283	5aizc	pi	5aizc___pi	Chryseolinea_serpens
284	5aop	h	5aop___h	Chryseolinea_serpens
285	5aop	h2o	5aop___h2o	Chryseolinea_serpens
286	5aop	ppbng	5aop___ppbng	Chryseolinea_serpens
287	5aprbu	4r5au	5aprbu___4r5au	Chryseolinea_serpens
288	5aprbu	pi	5aprbu___pi	Chryseolinea_serpens
289	5apru	5aprbu	5apru___5aprbu	Chryseolinea_serpens
290	5apru	nadp	5apru___nadp	Chryseolinea_serpens
291	5cmhm	5cohe	5cmhm___5cohe	Chryseolinea_serpens
292	5cmhmsa	5cmhm	5cmhmsa___5cmhm	Chryseolinea_serpens
293	5cmhmsa	h	5cmhmsa___h	Chryseolinea_serpens
294	5cmhmsa	nadh	5cmhmsa___nadh	Chryseolinea_serpens
295	5cohe	2hh24dd	5cohe___2hh24dd	Chryseolinea_serpens
296	5cohe	co2	5cohe___co2	Chryseolinea_serpens
297	5dglcn	glcn	5dglcn___glcn	Chryseolinea_serpens
298	5dglcn	nadp	5dglcn___nadp	Chryseolinea_serpens
299	5fthf	adp	5fthf___adp	Chryseolinea_serpens
300	5fthf	methf	5fthf___methf	Chryseolinea_serpens
