substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Coprococcus_eutactus
2	10fthf	thf	10fthf___thf	Coprococcus_eutactus
3	12dgr160	adp	12dgr160___adp	Coprococcus_eutactus
4	12dgr160	h	12dgr160___h	Coprococcus_eutactus
5	12dgr160	pa160	12dgr160___pa160	Coprococcus_eutactus
6	12dgr180	adp	12dgr180___adp	Coprococcus_eutactus
7	12dgr180	h	12dgr180___h	Coprococcus_eutactus
8	12dgr180	pa180	12dgr180___pa180	Coprococcus_eutactus
9	13dpg	3pg	13dpg___3pg	Coprococcus_eutactus
10	13dpg	atp	13dpg___atp	Coprococcus_eutactus
11	14glucan	malthx	14glucan___malthx	Coprococcus_eutactus
12	1ddecg3p	ACP	1ddecg3p___ACP	Coprococcus_eutactus
13	1ddecg3p	pa120	1ddecg3p___pa120	Coprococcus_eutactus
14	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Coprococcus_eutactus
15	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Coprococcus_eutactus
16	1hdecg3p	ACP	1hdecg3p___ACP	Coprococcus_eutactus
17	1hdecg3p	pa160	1hdecg3p___pa160	Coprococcus_eutactus
18	1odec11eg3p	ACP	1odec11eg3p___ACP	Coprococcus_eutactus
19	1odec11eg3p	pa181	1odec11eg3p___pa181	Coprococcus_eutactus
20	1odecg3p	ACP	1odecg3p___ACP	Coprococcus_eutactus
21	1odecg3p	pa180	1odecg3p___pa180	Coprococcus_eutactus
22	1pyr5c	nad	1pyr5c___nad	Coprococcus_eutactus
23	1pyr5c	nadp	1pyr5c___nadp	Coprococcus_eutactus
24	1pyr5c	pro__L	1pyr5c___pro__L	Coprococcus_eutactus
25	1tdecg3p	ACP	1tdecg3p___ACP	Coprococcus_eutactus
26	1tdecg3p	pa140	1tdecg3p___pa140	Coprococcus_eutactus
27	23dhdp	nadp	23dhdp___nadp	Coprococcus_eutactus
28	23dhdp	thdp	23dhdp___thdp	Coprococcus_eutactus
29	23dhmb	alac__S	23dhmb___alac__S	Coprococcus_eutactus
30	23dhmb	h	23dhmb___h	Coprococcus_eutactus
31	23dhmb	nadph	23dhmb___nadph	Coprococcus_eutactus
32	23dhmp	3mop	23dhmp___3mop	Coprococcus_eutactus
33	23dhmp	h2o	23dhmp___h2o	Coprococcus_eutactus
34	25aics	aicar	25aics___aicar	Coprococcus_eutactus
35	25aics	fum	25aics___fum	Coprococcus_eutactus
36	25dhpp	5apru	25dhpp___5apru	Coprococcus_eutactus
37	25dhpp	nh4	25dhpp___nh4	Coprococcus_eutactus
38	26dap_	adp	26dap____adp	Coprococcus_eutactus
39	26dap_	co2	26dap____co2	Coprococcus_eutactus
40	26dap_	h	26dap____h	Coprococcus_eutactus
41	26dap_	lys__L	26dap____lys__L	Coprococcus_eutactus
42	26dap_	pi	26dap____pi	Coprococcus_eutactus
43	26dap_	ugmd	26dap____ugmd	Coprococcus_eutactus
44	26dap_LL	26dap_	26dap_LL___26dap_	Coprococcus_eutactus
45	2agpe120	amp	2agpe120___amp	Coprococcus_eutactus
46	2agpe120	pe120	2agpe120___pe120	Coprococcus_eutactus
47	2agpe120	ppi	2agpe120___ppi	Coprococcus_eutactus
48	2agpe140	amp	2agpe140___amp	Coprococcus_eutactus
49	2agpe140	pe140	2agpe140___pe140	Coprococcus_eutactus
50	2agpe140	ppi	2agpe140___ppi	Coprococcus_eutactus
51	2agpe141	amp	2agpe141___amp	Coprococcus_eutactus
52	2agpe141	pe141	2agpe141___pe141	Coprococcus_eutactus
53	2agpe141	ppi	2agpe141___ppi	Coprococcus_eutactus
54	2agpe181	amp	2agpe181___amp	Coprococcus_eutactus
55	2agpe181	pe181	2agpe181___pe181	Coprococcus_eutactus
56	2agpe181	ppi	2agpe181___ppi	Coprococcus_eutactus
57	2agpg120	amp	2agpg120___amp	Coprococcus_eutactus
58	2agpg120	ddca	2agpg120___ddca	Coprococcus_eutactus
59	2agpg120	g3pg	2agpg120___g3pg	Coprococcus_eutactus
60	2agpg120	h	2agpg120___h	Coprococcus_eutactus
61	2agpg120	pg120	2agpg120___pg120	Coprococcus_eutactus
62	2agpg120	ppi	2agpg120___ppi	Coprococcus_eutactus
63	2agpg140	amp	2agpg140___amp	Coprococcus_eutactus
64	2agpg140	g3pg	2agpg140___g3pg	Coprococcus_eutactus
65	2agpg140	h	2agpg140___h	Coprococcus_eutactus
66	2agpg140	pg140	2agpg140___pg140	Coprococcus_eutactus
67	2agpg140	ppi	2agpg140___ppi	Coprococcus_eutactus
68	2agpg140	ttdca	2agpg140___ttdca	Coprococcus_eutactus
69	2agpg141	amp	2agpg141___amp	Coprococcus_eutactus
70	2agpg141	pg141	2agpg141___pg141	Coprococcus_eutactus
71	2agpg141	ppi	2agpg141___ppi	Coprococcus_eutactus
72	2agpg160	amp	2agpg160___amp	Coprococcus_eutactus
73	2agpg160	g3pg	2agpg160___g3pg	Coprococcus_eutactus
74	2agpg160	h	2agpg160___h	Coprococcus_eutactus
75	2agpg160	hdca	2agpg160___hdca	Coprococcus_eutactus
76	2agpg160	pg160	2agpg160___pg160	Coprococcus_eutactus
77	2agpg160	ppi	2agpg160___ppi	Coprococcus_eutactus
78	2agpg161	amp	2agpg161___amp	Coprococcus_eutactus
79	2agpg161	g3pg	2agpg161___g3pg	Coprococcus_eutactus
80	2agpg161	h	2agpg161___h	Coprococcus_eutactus
81	2agpg161	hdcea	2agpg161___hdcea	Coprococcus_eutactus
82	2agpg161	pg161	2agpg161___pg161	Coprococcus_eutactus
83	2agpg161	ppi	2agpg161___ppi	Coprococcus_eutactus
84	2agpg180	amp	2agpg180___amp	Coprococcus_eutactus
85	2agpg180	g3pg	2agpg180___g3pg	Coprococcus_eutactus
86	2agpg180	h	2agpg180___h	Coprococcus_eutactus
87	2agpg180	ocdca	2agpg180___ocdca	Coprococcus_eutactus
88	2agpg180	pg180	2agpg180___pg180	Coprococcus_eutactus
89	2agpg180	ppi	2agpg180___ppi	Coprococcus_eutactus
90	2agpg181	amp	2agpg181___amp	Coprococcus_eutactus
91	2agpg181	g3pg	2agpg181___g3pg	Coprococcus_eutactus
92	2agpg181	h	2agpg181___h	Coprococcus_eutactus
93	2agpg181	ocdcea	2agpg181___ocdcea	Coprococcus_eutactus
94	2agpg181	pg181	2agpg181___pg181	Coprococcus_eutactus
95	2agpg181	ppi	2agpg181___ppi	Coprococcus_eutactus
96	2ahbut	23dhmp	2ahbut___23dhmp	Coprococcus_eutactus
97	2ahbut	nadp	2ahbut___nadp	Coprococcus_eutactus
98	2ahhmp	dhpt	2ahhmp___dhpt	Coprococcus_eutactus
99	2ahhmp	h2o	2ahhmp___h2o	Coprococcus_eutactus
100	2amsa	nadp	2amsa___nadp	Coprococcus_eutactus
101	2amsa	ser__L	2amsa___ser__L	Coprococcus_eutactus
102	2aobut	athr__L	2aobut___athr__L	Coprococcus_eutactus
103	2aobut	nadp	2aobut___nadp	Coprococcus_eutactus
104	2cpr5p	3ig3p	2cpr5p___3ig3p	Coprococcus_eutactus
105	2cpr5p	co2	2cpr5p___co2	Coprococcus_eutactus
