substrate	product	rxn	taxon
1	10fthf	thf	10fthf___thf	Coraliomargarita_akajimensis
2	12dgr120	adp	12dgr120___adp	Coraliomargarita_akajimensis
3	12dgr120	h	12dgr120___h	Coraliomargarita_akajimensis
4	12dgr120	pa120	12dgr120___pa120	Coraliomargarita_akajimensis
5	12dgr140	adp	12dgr140___adp	Coraliomargarita_akajimensis
6	12dgr140	h	12dgr140___h	Coraliomargarita_akajimensis
7	12dgr140	pa140	12dgr140___pa140	Coraliomargarita_akajimensis
8	12dgr141	adp	12dgr141___adp	Coraliomargarita_akajimensis
9	12dgr141	h	12dgr141___h	Coraliomargarita_akajimensis
10	12dgr141	pa141	12dgr141___pa141	Coraliomargarita_akajimensis
11	12dgr160	adp	12dgr160___adp	Coraliomargarita_akajimensis
12	12dgr160	h	12dgr160___h	Coraliomargarita_akajimensis
13	12dgr160	pa160	12dgr160___pa160	Coraliomargarita_akajimensis
14	12dgr161	adp	12dgr161___adp	Coraliomargarita_akajimensis
15	12dgr161	h	12dgr161___h	Coraliomargarita_akajimensis
16	12dgr161	pa161	12dgr161___pa161	Coraliomargarita_akajimensis
17	12dgr180	adp	12dgr180___adp	Coraliomargarita_akajimensis
18	12dgr180	h	12dgr180___h	Coraliomargarita_akajimensis
19	12dgr180	pa180	12dgr180___pa180	Coraliomargarita_akajimensis
20	12dgr181	adp	12dgr181___adp	Coraliomargarita_akajimensis
21	12dgr181	h	12dgr181___h	Coraliomargarita_akajimensis
22	12dgr181	pa181	12dgr181___pa181	Coraliomargarita_akajimensis
23	13dpg	3pg	13dpg___3pg	Coraliomargarita_akajimensis
24	13dpg	atp	13dpg___atp	Coraliomargarita_akajimensis
25	14glucan	malthx	14glucan___malthx	Coraliomargarita_akajimensis
26	1ddecg3p	ACP	1ddecg3p___ACP	Coraliomargarita_akajimensis
27	1ddecg3p	pa120	1ddecg3p___pa120	Coraliomargarita_akajimensis
28	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Coraliomargarita_akajimensis
29	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Coraliomargarita_akajimensis
30	1hdecg3p	ACP	1hdecg3p___ACP	Coraliomargarita_akajimensis
31	1hdecg3p	pa160	1hdecg3p___pa160	Coraliomargarita_akajimensis
32	1odec11eg3p	ACP	1odec11eg3p___ACP	Coraliomargarita_akajimensis
33	1odec11eg3p	pa181	1odec11eg3p___pa181	Coraliomargarita_akajimensis
34	1odecg3p	ACP	1odecg3p___ACP	Coraliomargarita_akajimensis
35	1odecg3p	pa180	1odecg3p___pa180	Coraliomargarita_akajimensis
36	1pyr5c	nad	1pyr5c___nad	Coraliomargarita_akajimensis
37	1pyr5c	nadp	1pyr5c___nadp	Coraliomargarita_akajimensis
38	1pyr5c	pro__L	1pyr5c___pro__L	Coraliomargarita_akajimensis
39	1tdecg3p	ACP	1tdecg3p___ACP	Coraliomargarita_akajimensis
