substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Cucumibacter_marinus
2	10fthf	thf	10fthf___thf	Cucumibacter_marinus
3	13dpg	3pg	13dpg___3pg	Cucumibacter_marinus
4	13dpg	atp	13dpg___atp	Cucumibacter_marinus
5	1ddecg3p	ACP	1ddecg3p___ACP	Cucumibacter_marinus
6	1ddecg3p	pa120	1ddecg3p___pa120	Cucumibacter_marinus
7	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Cucumibacter_marinus
8	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Cucumibacter_marinus
9	1hdecg3p	ACP	1hdecg3p___ACP	Cucumibacter_marinus
10	1hdecg3p	pa160	1hdecg3p___pa160	Cucumibacter_marinus
11	1odec11eg3p	ACP	1odec11eg3p___ACP	Cucumibacter_marinus
12	1odec11eg3p	pa181	1odec11eg3p___pa181	Cucumibacter_marinus
13	1odecg3p	ACP	1odecg3p___ACP	Cucumibacter_marinus
14	1odecg3p	pa180	1odecg3p___pa180	Cucumibacter_marinus
15	1pyr5c	nadp	1pyr5c___nadp	Cucumibacter_marinus
16	1pyr5c	pro__L	1pyr5c___pro__L	Cucumibacter_marinus
17	1tdecg3p	ACP	1tdecg3p___ACP	Cucumibacter_marinus
18	1tdecg3p	pa140	1tdecg3p___pa140	Cucumibacter_marinus
19	23dhdp	nadp	23dhdp___nadp	Cucumibacter_marinus
20	23dhdp	thdp	23dhdp___thdp	Cucumibacter_marinus
21	23dhmp	3mop	23dhmp___3mop	Cucumibacter_marinus
22	23dhmp	h2o	23dhmp___h2o	Cucumibacter_marinus
23	25aics	aicar	25aics___aicar	Cucumibacter_marinus
24	25aics	fum	25aics___fum	Cucumibacter_marinus
25	25dhpp	5apru	25dhpp___5apru	Cucumibacter_marinus
26	25dhpp	nh4	25dhpp___nh4	Cucumibacter_marinus
27	26dap_	adp	26dap____adp	Cucumibacter_marinus
28	26dap_	co2	26dap____co2	Cucumibacter_marinus
29	26dap_	h	26dap____h	Cucumibacter_marinus
30	26dap_	lys__L	26dap____lys__L	Cucumibacter_marinus
31	26dap_	pi	26dap____pi	Cucumibacter_marinus
32	26dap_	ugmd	26dap____ugmd	Cucumibacter_marinus
33	26dap_LL	26dap_	26dap_LL___26dap_	Cucumibacter_marinus
34	2agpe120	amp	2agpe120___amp	Cucumibacter_marinus
35	2agpe120	pe120	2agpe120___pe120	Cucumibacter_marinus
36	2agpe120	ppi	2agpe120___ppi	Cucumibacter_marinus
37	2agpe140	amp	2agpe140___amp	Cucumibacter_marinus
38	2agpe140	pe140	2agpe140___pe140	Cucumibacter_marinus
39	2agpe140	ppi	2agpe140___ppi	Cucumibacter_marinus
40	2agpe141	amp	2agpe141___amp	Cucumibacter_marinus
41	2agpe141	pe141	2agpe141___pe141	Cucumibacter_marinus
42	2agpe141	ppi	2agpe141___ppi	Cucumibacter_marinus
43	2agpe181	amp	2agpe181___amp	Cucumibacter_marinus
44	2agpe181	pe181	2agpe181___pe181	Cucumibacter_marinus
45	2agpe181	ppi	2agpe181___ppi	Cucumibacter_marinus
46	2agpg140	amp	2agpg140___amp	Cucumibacter_marinus
47	2agpg140	g3pg	2agpg140___g3pg	Cucumibacter_marinus
48	2agpg140	h	2agpg140___h	Cucumibacter_marinus
49	2agpg140	pg140	2agpg140___pg140	Cucumibacter_marinus
50	2agpg140	ppi	2agpg140___ppi	Cucumibacter_marinus
51	2agpg140	ttdca	2agpg140___ttdca	Cucumibacter_marinus
52	2ahbut	23dhmp	2ahbut___23dhmp	Cucumibacter_marinus
53	2ahbut	nadp	2ahbut___nadp	Cucumibacter_marinus
54	2ahhmp	dhpt	2ahhmp___dhpt	Cucumibacter_marinus
55	2ahhmp	h2o	2ahhmp___h2o	Cucumibacter_marinus
56	2amsa	nadp	2amsa___nadp	Cucumibacter_marinus
57	2aobut	athr__L	2aobut___athr__L	Cucumibacter_marinus
58	2aobut	nadp	2aobut___nadp	Cucumibacter_marinus
59	2cpr5p	3ig3p	2cpr5p___3ig3p	Cucumibacter_marinus
60	2cpr5p	co2	2cpr5p___co2	Cucumibacter_marinus
61	2cpr5p	h2o	2cpr5p___h2o	Cucumibacter_marinus
62	2dda7p	3dhq	2dda7p___3dhq	Cucumibacter_marinus
63	2dda7p	pi	2dda7p___pi	Cucumibacter_marinus
64	2ddg6p	g3p	2ddg6p___g3p	Cucumibacter_marinus
65	2ddg6p	pyr	2ddg6p___pyr	Cucumibacter_marinus
66	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Cucumibacter_marinus
67	2ddglcn	adp	2ddglcn___adp	Cucumibacter_marinus
68	2ddglcn	h	2ddglcn___h	Cucumibacter_marinus
69	2dhp	nadp	2dhp___nadp	Cucumibacter_marinus
70	2dhp	pant__R	2dhp___pant__R	Cucumibacter_marinus
71	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Cucumibacter_marinus
72	2dmmq8	nad	2dmmq8___nad	Cucumibacter_marinus
73	2dmmql8	ahcys	2dmmql8___ahcys	Cucumibacter_marinus
74	2dmmql8	h	2dmmql8___h	Cucumibacter_marinus
75	2dmmql8	mql8	2dmmql8___mql8	Cucumibacter_marinus
76	2dr1p	2dr5p	2dr1p___2dr5p	Cucumibacter_marinus
77	2dr5p	acald	2dr5p___acald	Cucumibacter_marinus
78	2dr5p	g3p	2dr5p___g3p	Cucumibacter_marinus
79	2fe1s	adp	2fe1s___adp	Cucumibacter_marinus
80	2fe1s	h	2fe1s___h	Cucumibacter_marinus
81	2fe1s	iscs	2fe1s___iscs	Cucumibacter_marinus
82	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Cucumibacter_marinus
83	2fe1s	pi	2fe1s___pi	Cucumibacter_marinus
84	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Cucumibacter_marinus
85	2fe1s	sufse	2fe1s___sufse	Cucumibacter_marinus
86	2fe2s	2fe1s	2fe2s___2fe1s	Cucumibacter_marinus
87	2fe2s	btn	2fe2s___btn	Cucumibacter_marinus
88	2fe2s	dad_5	2fe2s___dad_5	Cucumibacter_marinus
89	2fe2s	h	2fe2s___h	Cucumibacter_marinus
90	2fe2s	met__L	2fe2s___met__L	Cucumibacter_marinus
91	2hh24dd	4h2kpi	2hh24dd___4h2kpi	Cucumibacter_marinus
92	2ins	adp	2ins___adp	Cucumibacter_marinus
93	2ins	dhap	2ins___dhap	Cucumibacter_marinus
94	2ins	h	2ins___h	Cucumibacter_marinus
95	2ins	msa	2ins___msa	Cucumibacter_marinus
96	2ippm	3c2hmp	2ippm___3c2hmp	Cucumibacter_marinus
97	2mbcoa	3mop	2mbcoa___3mop	Cucumibacter_marinus
98	2mbcoa	coa	2mbcoa___coa	Cucumibacter_marinus
99	2mbcoa	fdxo_42	2mbcoa___fdxo_42	Cucumibacter_marinus
100	2me4p	4c2me	2me4p___4c2me	Cucumibacter_marinus
101	2me4p	ppi	2me4p___ppi	Cucumibacter_marinus
102	2mecdp	h2mb4p	2mecdp___h2mb4p	Cucumibacter_marinus
103	2mecdp	h2o	2mecdp___h2o	Cucumibacter_marinus
104	2obut	2ahbut	2obut___2ahbut	Cucumibacter_marinus
105	2obut	co2	2obut___co2	Cucumibacter_marinus
106	2obut	nadh	2obut___nadh	Cucumibacter_marinus
107	2obut	ppcoa	2obut___ppcoa	Cucumibacter_marinus
108	2p4c2me	2mecdp	2p4c2me___2mecdp	Cucumibacter_marinus
109	2p4c2me	cmp	2p4c2me___cmp	Cucumibacter_marinus
110	2pg	h2o	2pg___h2o	Cucumibacter_marinus
111	2pg	pep	2pg___pep	Cucumibacter_marinus
112	2pglyc	glyclt	2pglyc___glyclt	Cucumibacter_marinus
113	2pglyc	pi	2pglyc___pi	Cucumibacter_marinus
114	2shchc	h2o	2shchc___h2o	Cucumibacter_marinus
115	2shchc	sucbz	2shchc___sucbz	Cucumibacter_marinus
116	34dhbz	CCbuttc	34dhbz___CCbuttc	Cucumibacter_marinus
