substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Culturomica_massiliensis
2	10fthf	thf	10fthf___thf	Culturomica_massiliensis
3	12dgr120	adp	12dgr120___adp	Culturomica_massiliensis
4	12dgr120	h	12dgr120___h	Culturomica_massiliensis
5	12dgr120	pa120	12dgr120___pa120	Culturomica_massiliensis
6	12dgr140	adp	12dgr140___adp	Culturomica_massiliensis
7	12dgr140	h	12dgr140___h	Culturomica_massiliensis
8	12dgr140	pa140	12dgr140___pa140	Culturomica_massiliensis
9	12dgr161	adp	12dgr161___adp	Culturomica_massiliensis
10	12dgr161	h	12dgr161___h	Culturomica_massiliensis
11	12dgr161	pa161	12dgr161___pa161	Culturomica_massiliensis
12	13dpg	3pg	13dpg___3pg	Culturomica_massiliensis
13	13dpg	atp	13dpg___atp	Culturomica_massiliensis
14	14glucan	malthx	14glucan___malthx	Culturomica_massiliensis
15	1ddecg3p	ACP	1ddecg3p___ACP	Culturomica_massiliensis
16	1ddecg3p	pa120	1ddecg3p___pa120	Culturomica_massiliensis
17	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Culturomica_massiliensis
18	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Culturomica_massiliensis
19	1hdecg3p	ACP	1hdecg3p___ACP	Culturomica_massiliensis
20	1hdecg3p	pa160	1hdecg3p___pa160	Culturomica_massiliensis
21	1odec11eg3p	ACP	1odec11eg3p___ACP	Culturomica_massiliensis
22	1odec11eg3p	pa181	1odec11eg3p___pa181	Culturomica_massiliensis
23	1odecg3p	ACP	1odecg3p___ACP	Culturomica_massiliensis
24	1odecg3p	pa180	1odecg3p___pa180	Culturomica_massiliensis
25	1pyr5c	nad	1pyr5c___nad	Culturomica_massiliensis
26	1pyr5c	nadp	1pyr5c___nadp	Culturomica_massiliensis
27	1pyr5c	pro__L	1pyr5c___pro__L	Culturomica_massiliensis
28	1tdecg3p	ACP	1tdecg3p___ACP	Culturomica_massiliensis
29	1tdecg3p	pa140	1tdecg3p___pa140	Culturomica_massiliensis
30	23dhdp	thdp	23dhdp___thdp	Culturomica_massiliensis
31	23dhmp	3mop	23dhmp___3mop	Culturomica_massiliensis
32	23dhmp	h2o	23dhmp___h2o	Culturomica_massiliensis
33	25aics	aicar	25aics___aicar	Culturomica_massiliensis
34	25aics	fum	25aics___fum	Culturomica_massiliensis
35	25dhpp	5apru	25dhpp___5apru	Culturomica_massiliensis
36	25dhpp	nh4	25dhpp___nh4	Culturomica_massiliensis
37	26dap_	adp	26dap____adp	Culturomica_massiliensis
38	26dap_	co2	26dap____co2	Culturomica_massiliensis
