substrate	product	rxn	taxon
1	10fthf	thf	10fthf___thf	Desulfarculus_baarsii
2	12dgr141	adp	12dgr141___adp	Desulfarculus_baarsii
3	12dgr141	h	12dgr141___h	Desulfarculus_baarsii
4	12dgr141	pa141	12dgr141___pa141	Desulfarculus_baarsii
5	12dgr161	adp	12dgr161___adp	Desulfarculus_baarsii
6	12dgr161	h	12dgr161___h	Desulfarculus_baarsii
7	12dgr161	pa161	12dgr161___pa161	Desulfarculus_baarsii
8	12ppd__S	h	12ppd__S___h	Desulfarculus_baarsii
9	12ppd__S	lald__L	12ppd__S___lald__L	Desulfarculus_baarsii
10	12ppd__S	nadh	12ppd__S___nadh	Desulfarculus_baarsii
11	13dpg	3pg	13dpg___3pg	Desulfarculus_baarsii
12	13dpg	atp	13dpg___atp	Desulfarculus_baarsii
13	1ddecg3p	ACP	1ddecg3p___ACP	Desulfarculus_baarsii
14	1ddecg3p	pa120	1ddecg3p___pa120	Desulfarculus_baarsii
15	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Desulfarculus_baarsii
16	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Desulfarculus_baarsii
17	1hdecg3p	ACP	1hdecg3p___ACP	Desulfarculus_baarsii
18	1hdecg3p	pa160	1hdecg3p___pa160	Desulfarculus_baarsii
19	1odec11eg3p	ACP	1odec11eg3p___ACP	Desulfarculus_baarsii
20	1odec11eg3p	pa181	1odec11eg3p___pa181	Desulfarculus_baarsii
21	1odecg3p	ACP	1odecg3p___ACP	Desulfarculus_baarsii
22	1odecg3p	pa180	1odecg3p___pa180	Desulfarculus_baarsii
23	1pyr5c	nad	1pyr5c___nad	Desulfarculus_baarsii
24	1pyr5c	nadp	1pyr5c___nadp	Desulfarculus_baarsii
25	1pyr5c	pro__L	1pyr5c___pro__L	Desulfarculus_baarsii
26	1tdecg3p	ACP	1tdecg3p___ACP	Desulfarculus_baarsii
27	1tdecg3p	pa140	1tdecg3p___pa140	Desulfarculus_baarsii
28	23dhdp	nadp	23dhdp___nadp	Desulfarculus_baarsii
29	23dhdp	thdp	23dhdp___thdp	Desulfarculus_baarsii
30	23dhmb	alac__S	23dhmb___alac__S	Desulfarculus_baarsii
31	23dhmb	h	23dhmb___h	Desulfarculus_baarsii
32	23dhmb	nadph	23dhmb___nadph	Desulfarculus_baarsii
33	23dhmp	3mop	23dhmp___3mop	Desulfarculus_baarsii
34	23dhmp	h2o	23dhmp___h2o	Desulfarculus_baarsii
35	25aics	aicar	25aics___aicar	Desulfarculus_baarsii
36	25aics	fum	25aics___fum	Desulfarculus_baarsii
37	26dap_	adp	26dap____adp	Desulfarculus_baarsii
38	26dap_	co2	26dap____co2	Desulfarculus_baarsii
39	26dap_	h	26dap____h	Desulfarculus_baarsii
40	26dap_	lys__L	26dap____lys__L	Desulfarculus_baarsii
41	26dap_	pi	26dap____pi	Desulfarculus_baarsii
42	26dap_	ugmd	26dap____ugmd	Desulfarculus_baarsii
43	26dap_LL	26dap_	26dap_LL___26dap_	Desulfarculus_baarsii
44	2agpg140	amp	2agpg140___amp	Desulfarculus_baarsii
45	2agpg140	pg140	2agpg140___pg140	Desulfarculus_baarsii
46	2agpg140	ppi	2agpg140___ppi	Desulfarculus_baarsii
47	2ahbut	23dhmp	2ahbut___23dhmp	Desulfarculus_baarsii
48	2ahbut	nadp	2ahbut___nadp	Desulfarculus_baarsii
49	2ahhmp	dhpt	2ahhmp___dhpt	Desulfarculus_baarsii
50	2ahhmp	h2o	2ahhmp___h2o	Desulfarculus_baarsii
51	2cpr5p	3ig3p	2cpr5p___3ig3p	Desulfarculus_baarsii
52	2cpr5p	co2	2cpr5p___co2	Desulfarculus_baarsii
53	2cpr5p	h2o	2cpr5p___h2o	Desulfarculus_baarsii
54	2dda7p	3dhq	2dda7p___3dhq	Desulfarculus_baarsii
55	2dda7p	pi	2dda7p___pi	Desulfarculus_baarsii
56	2dhp	nadp	2dhp___nadp	Desulfarculus_baarsii
57	2dhp	pant__R	2dhp___pant__R	Desulfarculus_baarsii
58	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Desulfarculus_baarsii
59	2dmmq8	dhap	2dmmq8___dhap	Desulfarculus_baarsii
60	2dmmql8	2dmmq8	2dmmql8___2dmmq8	Desulfarculus_baarsii
61	2dmmql8	ahcys	2dmmql8___ahcys	Desulfarculus_baarsii
62	2dmmql8	h	2dmmql8___h	Desulfarculus_baarsii
63	2dmmql8	mql8	2dmmql8___mql8	Desulfarculus_baarsii
64	2dmmql8	succ	2dmmql8___succ	Desulfarculus_baarsii
65	2dr1p	2dr5p	2dr1p___2dr5p	Desulfarculus_baarsii
66	2dr5p	acald	2dr5p___acald	Desulfarculus_baarsii
67	2dr5p	g3p	2dr5p___g3p	Desulfarculus_baarsii
68	2fe1s	h	2fe1s___h	Desulfarculus_baarsii
69	2fe1s	iscs	2fe1s___iscs	Desulfarculus_baarsii
70	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Desulfarculus_baarsii
71	2fe2s	2fe1s	2fe2s___2fe1s	Desulfarculus_baarsii
72	2fe2s	btn	2fe2s___btn	Desulfarculus_baarsii
73	2fe2s	dad_5	2fe2s___dad_5	Desulfarculus_baarsii
74	2fe2s	h	2fe2s___h	Desulfarculus_baarsii
75	2fe2s	met__L	2fe2s___met__L	Desulfarculus_baarsii
76	2ippm	3c2hmp	2ippm___3c2hmp	Desulfarculus_baarsii
77	2kmb	akg	2kmb___akg	Desulfarculus_baarsii
78	2kmb	met__L	2kmb___met__L	Desulfarculus_baarsii
79	2mahmp	ppi	2mahmp___ppi	Desulfarculus_baarsii
80	2mahmp	thmmp	2mahmp___thmmp	Desulfarculus_baarsii
