substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Desulfococcus_multivorans
2	10fthf	thf	10fthf___thf	Desulfococcus_multivorans
3	12dgr120	adp	12dgr120___adp	Desulfococcus_multivorans
4	12dgr120	h	12dgr120___h	Desulfococcus_multivorans
5	12dgr120	pa120	12dgr120___pa120	Desulfococcus_multivorans
6	12dgr140	adp	12dgr140___adp	Desulfococcus_multivorans
7	12dgr140	h	12dgr140___h	Desulfococcus_multivorans
8	12dgr140	pa140	12dgr140___pa140	Desulfococcus_multivorans
9	12dgr141	adp	12dgr141___adp	Desulfococcus_multivorans
10	12dgr141	h	12dgr141___h	Desulfococcus_multivorans
11	12dgr141	pa141	12dgr141___pa141	Desulfococcus_multivorans
12	12dgr160	adp	12dgr160___adp	Desulfococcus_multivorans
13	12dgr160	h	12dgr160___h	Desulfococcus_multivorans
14	12dgr160	pa160	12dgr160___pa160	Desulfococcus_multivorans
15	12dgr161	adp	12dgr161___adp	Desulfococcus_multivorans
16	12dgr161	h	12dgr161___h	Desulfococcus_multivorans
17	12dgr161	pa161	12dgr161___pa161	Desulfococcus_multivorans
18	12dgr180	adp	12dgr180___adp	Desulfococcus_multivorans
19	12dgr180	h	12dgr180___h	Desulfococcus_multivorans
20	12dgr180	pa180	12dgr180___pa180	Desulfococcus_multivorans
21	12dgr181	adp	12dgr181___adp	Desulfococcus_multivorans
22	12dgr181	h	12dgr181___h	Desulfococcus_multivorans
23	12dgr181	pa181	12dgr181___pa181	Desulfococcus_multivorans
24	13dpg	3pg	13dpg___3pg	Desulfococcus_multivorans
25	13dpg	atp	13dpg___atp	Desulfococcus_multivorans
26	1ddecg3p	ACP	1ddecg3p___ACP	Desulfococcus_multivorans
27	1ddecg3p	pa120	1ddecg3p___pa120	Desulfococcus_multivorans
28	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Desulfococcus_multivorans
29	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Desulfococcus_multivorans
30	1hdecg3p	ACP	1hdecg3p___ACP	Desulfococcus_multivorans
31	1hdecg3p	pa160	1hdecg3p___pa160	Desulfococcus_multivorans
32	1odec11eg3p	ACP	1odec11eg3p___ACP	Desulfococcus_multivorans
33	1odec11eg3p	pa181	1odec11eg3p___pa181	Desulfococcus_multivorans
34	1odecg3p	ACP	1odecg3p___ACP	Desulfococcus_multivorans
35	1odecg3p	pa180	1odecg3p___pa180	Desulfococcus_multivorans
36	1pyr5c	nad	1pyr5c___nad	Desulfococcus_multivorans
37	1pyr5c	nadp	1pyr5c___nadp	Desulfococcus_multivorans
38	1pyr5c	pro__L	1pyr5c___pro__L	Desulfococcus_multivorans
39	1tdecg3p	ACP	1tdecg3p___ACP	Desulfococcus_multivorans
40	1tdecg3p	pa140	1tdecg3p___pa140	Desulfococcus_multivorans
41	23dhdp	nadp	23dhdp___nadp	Desulfococcus_multivorans
42	23dhdp	thdp	23dhdp___thdp	Desulfococcus_multivorans
43	23dhmp	3mop	23dhmp___3mop	Desulfococcus_multivorans
44	23dhmp	h2o	23dhmp___h2o	Desulfococcus_multivorans
45	25aics	aicar	25aics___aicar	Desulfococcus_multivorans
46	25aics	fum	25aics___fum	Desulfococcus_multivorans
47	25dhpp	5apru	25dhpp___5apru	Desulfococcus_multivorans
48	25dhpp	nh4	25dhpp___nh4	Desulfococcus_multivorans
49	26dap_	adp	26dap____adp	Desulfococcus_multivorans
50	26dap_	co2	26dap____co2	Desulfococcus_multivorans
51	26dap_	h	26dap____h	Desulfococcus_multivorans
52	26dap_	lys__L	26dap____lys__L	Desulfococcus_multivorans
53	26dap_	pi	26dap____pi	Desulfococcus_multivorans
54	26dap_	ugmd	26dap____ugmd	Desulfococcus_multivorans
55	26dap_LL	26dap_	26dap_LL___26dap_	Desulfococcus_multivorans
56	26dapime	26dap_LL	26dapime___26dap_LL	Desulfococcus_multivorans
57	26dapime	ac	26dapime___ac	Desulfococcus_multivorans
58	2agpe120	amp	2agpe120___amp	Desulfococcus_multivorans
