substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Dickeya_zeae
2	10fthf	thf	10fthf___thf	Dickeya_zeae
3	12dgr120	adp	12dgr120___adp	Dickeya_zeae
4	12dgr120	h	12dgr120___h	Dickeya_zeae
5	12dgr120	pa120	12dgr120___pa120	Dickeya_zeae
6	12dgr140	adp	12dgr140___adp	Dickeya_zeae
7	12dgr140	h	12dgr140___h	Dickeya_zeae
8	12dgr140	pa140	12dgr140___pa140	Dickeya_zeae
9	12dgr141	adp	12dgr141___adp	Dickeya_zeae
10	12dgr141	h	12dgr141___h	Dickeya_zeae
11	12dgr141	pa141	12dgr141___pa141	Dickeya_zeae
12	12dgr160	adp	12dgr160___adp	Dickeya_zeae
13	12dgr160	h	12dgr160___h	Dickeya_zeae
14	12dgr160	pa160	12dgr160___pa160	Dickeya_zeae
15	12dgr161	adp	12dgr161___adp	Dickeya_zeae
16	12dgr161	h	12dgr161___h	Dickeya_zeae
17	12dgr161	pa161	12dgr161___pa161	Dickeya_zeae
18	12dgr180	adp	12dgr180___adp	Dickeya_zeae
19	12dgr180	h	12dgr180___h	Dickeya_zeae
20	12dgr180	pa180	12dgr180___pa180	Dickeya_zeae
21	12dgr181	adp	12dgr181___adp	Dickeya_zeae
22	12dgr181	h	12dgr181___h	Dickeya_zeae
23	12dgr181	pa181	12dgr181___pa181	Dickeya_zeae
24	13dpg	3pg	13dpg___3pg	Dickeya_zeae
25	13dpg	atp	13dpg___atp	Dickeya_zeae
26	14glucan	malthx	14glucan___malthx	Dickeya_zeae
27	1ddecg3p	ACP	1ddecg3p___ACP	Dickeya_zeae
28	1ddecg3p	pa120	1ddecg3p___pa120	Dickeya_zeae
29	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Dickeya_zeae
30	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Dickeya_zeae
31	1hdecg3p	ACP	1hdecg3p___ACP	Dickeya_zeae
32	1hdecg3p	pa160	1hdecg3p___pa160	Dickeya_zeae
33	1odec11eg3p	ACP	1odec11eg3p___ACP	Dickeya_zeae
34	1odec11eg3p	pa181	1odec11eg3p___pa181	Dickeya_zeae
35	1odecg3p	ACP	1odecg3p___ACP	Dickeya_zeae
36	1odecg3p	pa180	1odecg3p___pa180	Dickeya_zeae
37	1pyr5c	nad	1pyr5c___nad	Dickeya_zeae
38	1pyr5c	nadp	1pyr5c___nadp	Dickeya_zeae
39	1pyr5c	pro__L	1pyr5c___pro__L	Dickeya_zeae
40	1tdecg3p	ACP	1tdecg3p___ACP	Dickeya_zeae
41	1tdecg3p	pa140	1tdecg3p___pa140	Dickeya_zeae
42	23dhdp	nadp	23dhdp___nadp	Dickeya_zeae
43	23dhdp	thdp	23dhdp___thdp	Dickeya_zeae
44	23dhmb	alac__S	23dhmb___alac__S	Dickeya_zeae
45	23dhmb	h	23dhmb___h	Dickeya_zeae
46	23dhmb	nadph	23dhmb___nadph	Dickeya_zeae
47	23dhmp	3mop	23dhmp___3mop	Dickeya_zeae
48	23dhmp	h2o	23dhmp___h2o	Dickeya_zeae
49	25aics	aicar	25aics___aicar	Dickeya_zeae
50	25aics	fum	25aics___fum	Dickeya_zeae
51	26dap_	adp	26dap____adp	Dickeya_zeae
52	26dap_	co2	26dap____co2	Dickeya_zeae
53	26dap_	h	26dap____h	Dickeya_zeae
54	26dap_	lys__L	26dap____lys__L	Dickeya_zeae
55	26dap_	pi	26dap____pi	Dickeya_zeae
56	26dap_	ugmd	26dap____ugmd	Dickeya_zeae
57	26dap_LL	26dap_	26dap_LL___26dap_	Dickeya_zeae
58	2agpe120	amp	2agpe120___amp	Dickeya_zeae
59	2agpe120	pe120	2agpe120___pe120	Dickeya_zeae
60	2agpe120	ppi	2agpe120___ppi	Dickeya_zeae
61	2agpe140	amp	2agpe140___amp	Dickeya_zeae
62	2agpe140	pe140	2agpe140___pe140	Dickeya_zeae
63	2agpe140	ppi	2agpe140___ppi	Dickeya_zeae
64	2agpe141	amp	2agpe141___amp	Dickeya_zeae
65	2agpe141	pe141	2agpe141___pe141	Dickeya_zeae
66	2agpe141	ppi	2agpe141___ppi	Dickeya_zeae
67	2agpe160	amp	2agpe160___amp	Dickeya_zeae
68	2agpe160	pe160	2agpe160___pe160	Dickeya_zeae
69	2agpe160	ppi	2agpe160___ppi	Dickeya_zeae
70	2agpe180	amp	2agpe180___amp	Dickeya_zeae
71	2agpe180	pe180	2agpe180___pe180	Dickeya_zeae
72	2agpe180	ppi	2agpe180___ppi	Dickeya_zeae
73	2agpe181	amp	2agpe181___amp	Dickeya_zeae
74	2agpe181	g3pe	2agpe181___g3pe	Dickeya_zeae
75	2agpe181	h	2agpe181___h	Dickeya_zeae
76	2agpe181	ocdcea	2agpe181___ocdcea	Dickeya_zeae
77	2agpe181	pe181	2agpe181___pe181	Dickeya_zeae
78	2agpe181	ppi	2agpe181___ppi	Dickeya_zeae
79	2agpg120	amp	2agpg120___amp	Dickeya_zeae
80	2agpg120	ddca	2agpg120___ddca	Dickeya_zeae
81	2agpg120	g3pg	2agpg120___g3pg	Dickeya_zeae
82	2agpg120	h	2agpg120___h	Dickeya_zeae
83	2agpg120	pg120	2agpg120___pg120	Dickeya_zeae
84	2agpg120	ppi	2agpg120___ppi	Dickeya_zeae
85	2agpg140	amp	2agpg140___amp	Dickeya_zeae
86	2agpg140	g3pg	2agpg140___g3pg	Dickeya_zeae
87	2agpg140	h	2agpg140___h	Dickeya_zeae
88	2agpg140	pg140	2agpg140___pg140	Dickeya_zeae
89	2agpg140	ppi	2agpg140___ppi	Dickeya_zeae
90	2agpg140	ttdca	2agpg140___ttdca	Dickeya_zeae
91	2agpg141	amp	2agpg141___amp	Dickeya_zeae
92	2agpg141	pg141	2agpg141___pg141	Dickeya_zeae
93	2agpg141	ppi	2agpg141___ppi	Dickeya_zeae
94	2agpg160	amp	2agpg160___amp	Dickeya_zeae
95	2agpg160	g3pg	2agpg160___g3pg	Dickeya_zeae
96	2agpg160	h	2agpg160___h	Dickeya_zeae
97	2agpg160	hdca	2agpg160___hdca	Dickeya_zeae
98	2agpg160	pg160	2agpg160___pg160	Dickeya_zeae
99	2agpg160	ppi	2agpg160___ppi	Dickeya_zeae
100	2agpg161	amp	2agpg161___amp	Dickeya_zeae
101	2agpg161	g3pg	2agpg161___g3pg	Dickeya_zeae
102	2agpg161	h	2agpg161___h	Dickeya_zeae
103	2agpg161	hdcea	2agpg161___hdcea	Dickeya_zeae
104	2agpg161	pg161	2agpg161___pg161	Dickeya_zeae
105	2agpg161	ppi	2agpg161___ppi	Dickeya_zeae
106	2agpg180	amp	2agpg180___amp	Dickeya_zeae
107	2agpg180	g3pg	2agpg180___g3pg	Dickeya_zeae
108	2agpg180	h	2agpg180___h	Dickeya_zeae
109	2agpg180	ocdca	2agpg180___ocdca	Dickeya_zeae
110	2agpg180	pg180	2agpg180___pg180	Dickeya_zeae
111	2agpg180	ppi	2agpg180___ppi	Dickeya_zeae
112	2agpg181	amp	2agpg181___amp	Dickeya_zeae
113	2agpg181	g3pg	2agpg181___g3pg	Dickeya_zeae
114	2agpg181	h	2agpg181___h	Dickeya_zeae
115	2agpg181	ocdcea	2agpg181___ocdcea	Dickeya_zeae
116	2agpg181	pg181	2agpg181___pg181	Dickeya_zeae
117	2agpg181	ppi	2agpg181___ppi	Dickeya_zeae
118	2ahbut	23dhmp	2ahbut___23dhmp	Dickeya_zeae
119	2ahbut	nadp	2ahbut___nadp	Dickeya_zeae
120	2amsa	nadp	2amsa___nadp	Dickeya_zeae
121	2amsa	ser__L	2amsa___ser__L	Dickeya_zeae
122	2aobut	athr__L	2aobut___athr__L	Dickeya_zeae
123	2aobut	nadp	2aobut___nadp	Dickeya_zeae
124	2cpr5p	3ig3p	2cpr5p___3ig3p	Dickeya_zeae
125	2cpr5p	co2	2cpr5p___co2	Dickeya_zeae
126	2cpr5p	h2o	2cpr5p___h2o	Dickeya_zeae
127	2dda7p	3dhq	2dda7p___3dhq	Dickeya_zeae
128	2dda7p	pi	2dda7p___pi	Dickeya_zeae
129	2ddg6p	g3p	2ddg6p___g3p	Dickeya_zeae
130	2ddg6p	pyr	2ddg6p___pyr	Dickeya_zeae
131	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Dickeya_zeae
132	2ddglcn	adp	2ddglcn___adp	Dickeya_zeae
133	2ddglcn	h	2ddglcn___h	Dickeya_zeae
134	2dhp	nadp	2dhp___nadp	Dickeya_zeae
135	2dhp	pant__R	2dhp___pant__R	Dickeya_zeae
136	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Dickeya_zeae
137	2dmmq8	dhap	2dmmq8___dhap	Dickeya_zeae
138	2dmmq8	nad	2dmmq8___nad	Dickeya_zeae
139	2dmmql8	2dmmq8	2dmmql8___2dmmq8	Dickeya_zeae
140	2dmmql8	ahcys	2dmmql8___ahcys	Dickeya_zeae
141	2dmmql8	h	2dmmql8___h	Dickeya_zeae
142	2dmmql8	mql8	2dmmql8___mql8	Dickeya_zeae
143	2dmmql8	succ	2dmmql8___succ	Dickeya_zeae
144	2dr1p	2dr5p	2dr1p___2dr5p	Dickeya_zeae
145	2dr5p	acald	2dr5p___acald	Dickeya_zeae
146	2dr5p	g3p	2dr5p___g3p	Dickeya_zeae
147	2fe1s	adp	2fe1s___adp	Dickeya_zeae
