substrate	product	rxn	taxon
1	10fthf	thf	10fthf___thf	Dietzia_alimentaria
2	12dgr120	adp	12dgr120___adp	Dietzia_alimentaria
3	12dgr120	h	12dgr120___h	Dietzia_alimentaria
4	12dgr120	pa120	12dgr120___pa120	Dietzia_alimentaria
5	12dgr140	adp	12dgr140___adp	Dietzia_alimentaria
6	12dgr140	h	12dgr140___h	Dietzia_alimentaria
7	12dgr140	pa140	12dgr140___pa140	Dietzia_alimentaria
8	12dgr141	adp	12dgr141___adp	Dietzia_alimentaria
9	12dgr141	h	12dgr141___h	Dietzia_alimentaria
10	12dgr141	pa141	12dgr141___pa141	Dietzia_alimentaria
11	12dgr160	adp	12dgr160___adp	Dietzia_alimentaria
12	12dgr160	h	12dgr160___h	Dietzia_alimentaria
13	12dgr160	pa160	12dgr160___pa160	Dietzia_alimentaria
14	12dgr161	adp	12dgr161___adp	Dietzia_alimentaria
15	12dgr161	h	12dgr161___h	Dietzia_alimentaria
16	12dgr161	pa161	12dgr161___pa161	Dietzia_alimentaria
17	12dgr180	adp	12dgr180___adp	Dietzia_alimentaria
18	12dgr180	h	12dgr180___h	Dietzia_alimentaria
19	12dgr180	pa180	12dgr180___pa180	Dietzia_alimentaria
20	12dgr181	adp	12dgr181___adp	Dietzia_alimentaria
21	12dgr181	h	12dgr181___h	Dietzia_alimentaria
22	12dgr181	pa181	12dgr181___pa181	Dietzia_alimentaria
23	13dpg	3pg	13dpg___3pg	Dietzia_alimentaria
24	13dpg	atp	13dpg___atp	Dietzia_alimentaria
25	1ddecg3p	ACP	1ddecg3p___ACP	Dietzia_alimentaria
26	1ddecg3p	pa120	1ddecg3p___pa120	Dietzia_alimentaria
27	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Dietzia_alimentaria
28	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Dietzia_alimentaria
29	1hdecg3p	ACP	1hdecg3p___ACP	Dietzia_alimentaria
30	1hdecg3p	pa160	1hdecg3p___pa160	Dietzia_alimentaria
31	1odec11eg3p	ACP	1odec11eg3p___ACP	Dietzia_alimentaria
32	1odec11eg3p	pa181	1odec11eg3p___pa181	Dietzia_alimentaria
33	1odecg3p	ACP	1odecg3p___ACP	Dietzia_alimentaria
34	1odecg3p	pa180	1odecg3p___pa180	Dietzia_alimentaria
35	1pyr5c	nadp	1pyr5c___nadp	Dietzia_alimentaria
36	1pyr5c	pro__L	1pyr5c___pro__L	Dietzia_alimentaria
37	1tdecg3p	ACP	1tdecg3p___ACP	Dietzia_alimentaria
38	1tdecg3p	pa140	1tdecg3p___pa140	Dietzia_alimentaria
39	23dhdp	nadp	23dhdp___nadp	Dietzia_alimentaria
40	23dhdp	thdp	23dhdp___thdp	Dietzia_alimentaria
41	23dhmp	3mop	23dhmp___3mop	Dietzia_alimentaria
42	23dhmp	h2o	23dhmp___h2o	Dietzia_alimentaria
43	25aics	aicar	25aics___aicar	Dietzia_alimentaria
44	25aics	fum	25aics___fum	Dietzia_alimentaria
45	25dhpp	5apru	25dhpp___5apru	Dietzia_alimentaria
46	25dhpp	nh4	25dhpp___nh4	Dietzia_alimentaria
47	26dap_	adp	26dap____adp	Dietzia_alimentaria
48	26dap_	co2	26dap____co2	Dietzia_alimentaria
49	26dap_	h	26dap____h	Dietzia_alimentaria
50	26dap_	lys__L	26dap____lys__L	Dietzia_alimentaria
51	26dap_	pi	26dap____pi	Dietzia_alimentaria
52	26dap_	ugmd	26dap____ugmd	Dietzia_alimentaria
53	26dap_LL	26dap_	26dap_LL___26dap_	Dietzia_alimentaria
54	2agpe120	amp	2agpe120___amp	Dietzia_alimentaria
55	2agpe120	pe120	2agpe120___pe120	Dietzia_alimentaria
56	2agpe120	ppi	2agpe120___ppi	Dietzia_alimentaria
57	2agpe140	amp	2agpe140___amp	Dietzia_alimentaria
58	2agpe140	pe140	2agpe140___pe140	Dietzia_alimentaria
59	2agpe140	ppi	2agpe140___ppi	Dietzia_alimentaria
60	2agpe141	amp	2agpe141___amp	Dietzia_alimentaria
61	2agpe141	pe141	2agpe141___pe141	Dietzia_alimentaria
62	2agpe141	ppi	2agpe141___ppi	Dietzia_alimentaria
63	2agpe160	amp	2agpe160___amp	Dietzia_alimentaria
64	2agpe160	pe160	2agpe160___pe160	Dietzia_alimentaria
65	2agpe160	ppi	2agpe160___ppi	Dietzia_alimentaria
66	2agpe180	amp	2agpe180___amp	Dietzia_alimentaria
67	2agpe180	pe180	2agpe180___pe180	Dietzia_alimentaria
68	2agpe180	ppi	2agpe180___ppi	Dietzia_alimentaria
69	2agpe181	amp	2agpe181___amp	Dietzia_alimentaria
70	2agpe181	pe181	2agpe181___pe181	Dietzia_alimentaria
71	2agpe181	ppi	2agpe181___ppi	Dietzia_alimentaria
72	2agpg120	amp	2agpg120___amp	Dietzia_alimentaria
73	2agpg120	pg120	2agpg120___pg120	Dietzia_alimentaria
74	2agpg120	ppi	2agpg120___ppi	Dietzia_alimentaria
75	2agpg140	amp	2agpg140___amp	Dietzia_alimentaria
76	2agpg140	pg140	2agpg140___pg140	Dietzia_alimentaria
77	2agpg140	ppi	2agpg140___ppi	Dietzia_alimentaria
78	2agpg141	amp	2agpg141___amp	Dietzia_alimentaria
79	2agpg141	pg141	2agpg141___pg141	Dietzia_alimentaria
80	2agpg141	ppi	2agpg141___ppi	Dietzia_alimentaria
81	2agpg160	amp	2agpg160___amp	Dietzia_alimentaria
82	2agpg160	pg160	2agpg160___pg160	Dietzia_alimentaria
83	2agpg160	ppi	2agpg160___ppi	Dietzia_alimentaria
84	2agpg161	amp	2agpg161___amp	Dietzia_alimentaria
85	2agpg161	g3pg	2agpg161___g3pg	Dietzia_alimentaria
86	2agpg161	h	2agpg161___h	Dietzia_alimentaria
87	2agpg161	hdcea	2agpg161___hdcea	Dietzia_alimentaria
88	2agpg161	pg161	2agpg161___pg161	Dietzia_alimentaria
89	2agpg161	ppi	2agpg161___ppi	Dietzia_alimentaria
