substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Dolosicoccus_paucivorans
2	10fthf	thf	10fthf___thf	Dolosicoccus_paucivorans
3	12dgr181	adp	12dgr181___adp	Dolosicoccus_paucivorans
4	12dgr181	h	12dgr181___h	Dolosicoccus_paucivorans
5	12dgr181	pa181	12dgr181___pa181	Dolosicoccus_paucivorans
6	13dpg	3pg	13dpg___3pg	Dolosicoccus_paucivorans
7	13dpg	atp	13dpg___atp	Dolosicoccus_paucivorans
8	14glucan	malthx	14glucan___malthx	Dolosicoccus_paucivorans
9	1ddecg3p	ACP	1ddecg3p___ACP	Dolosicoccus_paucivorans
10	1ddecg3p	pa120	1ddecg3p___pa120	Dolosicoccus_paucivorans
11	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Dolosicoccus_paucivorans
12	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Dolosicoccus_paucivorans
13	1hdecg3p	ACP	1hdecg3p___ACP	Dolosicoccus_paucivorans
14	1hdecg3p	pa160	1hdecg3p___pa160	Dolosicoccus_paucivorans
15	1odec11eg3p	ACP	1odec11eg3p___ACP	Dolosicoccus_paucivorans
16	1odec11eg3p	pa181	1odec11eg3p___pa181	Dolosicoccus_paucivorans
17	1odecg3p	ACP	1odecg3p___ACP	Dolosicoccus_paucivorans
18	1odecg3p	pa180	1odecg3p___pa180	Dolosicoccus_paucivorans
19	1pyr5c	nad	1pyr5c___nad	Dolosicoccus_paucivorans
20	1pyr5c	nadp	1pyr5c___nadp	Dolosicoccus_paucivorans
21	1pyr5c	pro__L	1pyr5c___pro__L	Dolosicoccus_paucivorans
22	1tdecg3p	ACP	1tdecg3p___ACP	Dolosicoccus_paucivorans
23	1tdecg3p	pa140	1tdecg3p___pa140	Dolosicoccus_paucivorans
24	23dhdp	nadp	23dhdp___nadp	Dolosicoccus_paucivorans
25	23dhdp	thdp	23dhdp___thdp	Dolosicoccus_paucivorans
26	23dhmb	alac__S	23dhmb___alac__S	Dolosicoccus_paucivorans
27	23dhmb	h	23dhmb___h	Dolosicoccus_paucivorans
28	23dhmb	nadph	23dhmb___nadph	Dolosicoccus_paucivorans
29	23dhmp	3mop	23dhmp___3mop	Dolosicoccus_paucivorans
30	23dhmp	h2o	23dhmp___h2o	Dolosicoccus_paucivorans
31	25aics	aicar	25aics___aicar	Dolosicoccus_paucivorans
32	25aics	fum	25aics___fum	Dolosicoccus_paucivorans
33	26dap_	adp	26dap____adp	Dolosicoccus_paucivorans
34	26dap_	co2	26dap____co2	Dolosicoccus_paucivorans
35	26dap_	h	26dap____h	Dolosicoccus_paucivorans
36	26dap_	lys__L	26dap____lys__L	Dolosicoccus_paucivorans
37	26dap_	pi	26dap____pi	Dolosicoccus_paucivorans
38	26dap_	ugmd	26dap____ugmd	Dolosicoccus_paucivorans
39	26dap_LL	26dap_	26dap_LL___26dap_	Dolosicoccus_paucivorans
40	2agpe120	amp	2agpe120___amp	Dolosicoccus_paucivorans
