substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Dysgonomonas_gadei
2	10fthf	thf	10fthf___thf	Dysgonomonas_gadei
3	13dpg	3pg	13dpg___3pg	Dysgonomonas_gadei
4	13dpg	atp	13dpg___atp	Dysgonomonas_gadei
5	14glucan	malthx	14glucan___malthx	Dysgonomonas_gadei
6	1ddecg3p	ACP	1ddecg3p___ACP	Dysgonomonas_gadei
7	1ddecg3p	pa120	1ddecg3p___pa120	Dysgonomonas_gadei
8	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Dysgonomonas_gadei
9	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Dysgonomonas_gadei
10	1hdecg3p	ACP	1hdecg3p___ACP	Dysgonomonas_gadei
11	1hdecg3p	pa160	1hdecg3p___pa160	Dysgonomonas_gadei
12	1odec11eg3p	ACP	1odec11eg3p___ACP	Dysgonomonas_gadei
13	1odec11eg3p	pa181	1odec11eg3p___pa181	Dysgonomonas_gadei
14	1odecg3p	ACP	1odecg3p___ACP	Dysgonomonas_gadei
15	1odecg3p	pa180	1odecg3p___pa180	Dysgonomonas_gadei
16	1pyr5c	nad	1pyr5c___nad	Dysgonomonas_gadei
17	1pyr5c	nadp	1pyr5c___nadp	Dysgonomonas_gadei
18	1pyr5c	pro__L	1pyr5c___pro__L	Dysgonomonas_gadei
19	1tdecg3p	ACP	1tdecg3p___ACP	Dysgonomonas_gadei
20	1tdecg3p	pa140	1tdecg3p___pa140	Dysgonomonas_gadei
21	23dhdp	nadp	23dhdp___nadp	Dysgonomonas_gadei
22	23dhdp	thdp	23dhdp___thdp	Dysgonomonas_gadei
23	23dhmp	3mop	23dhmp___3mop	Dysgonomonas_gadei
24	23dhmp	h2o	23dhmp___h2o	Dysgonomonas_gadei
25	25aics	aicar	25aics___aicar	Dysgonomonas_gadei
26	25aics	fum	25aics___fum	Dysgonomonas_gadei
27	25dhpp	5apru	25dhpp___5apru	Dysgonomonas_gadei
28	25dhpp	nh4	25dhpp___nh4	Dysgonomonas_gadei
29	26dap_	adp	26dap____adp	Dysgonomonas_gadei
30	26dap_	co2	26dap____co2	Dysgonomonas_gadei
31	26dap_	h	26dap____h	Dysgonomonas_gadei
32	26dap_	lys__L	26dap____lys__L	Dysgonomonas_gadei
33	26dap_	pi	26dap____pi	Dysgonomonas_gadei
34	26dap_	ugmd	26dap____ugmd	Dysgonomonas_gadei
35	26dap_LL	26dap_	26dap_LL___26dap_	Dysgonomonas_gadei
36	2agpe120	amp	2agpe120___amp	Dysgonomonas_gadei
37	2agpe120	pe120	2agpe120___pe120	Dysgonomonas_gadei
38	2agpe120	ppi	2agpe120___ppi	Dysgonomonas_gadei
39	2agpe140	amp	2agpe140___amp	Dysgonomonas_gadei
40	2agpe140	pe140	2agpe140___pe140	Dysgonomonas_gadei
41	2agpe140	ppi	2agpe140___ppi	Dysgonomonas_gadei
42	2agpe141	amp	2agpe141___amp	Dysgonomonas_gadei
43	2agpe141	pe141	2agpe141___pe141	Dysgonomonas_gadei
44	2agpe141	ppi	2agpe141___ppi	Dysgonomonas_gadei
45	2agpe160	amp	2agpe160___amp	Dysgonomonas_gadei
46	2agpe160	pe160	2agpe160___pe160	Dysgonomonas_gadei
47	2agpe160	ppi	2agpe160___ppi	Dysgonomonas_gadei
48	2agpe180	amp	2agpe180___amp	Dysgonomonas_gadei
49	2agpe180	pe180	2agpe180___pe180	Dysgonomonas_gadei
50	2agpe180	ppi	2agpe180___ppi	Dysgonomonas_gadei
51	2agpe181	amp	2agpe181___amp	Dysgonomonas_gadei
52	2agpe181	pe181	2agpe181___pe181	Dysgonomonas_gadei
53	2agpe181	ppi	2agpe181___ppi	Dysgonomonas_gadei
54	2agpg120	amp	2agpg120___amp	Dysgonomonas_gadei
55	2agpg120	pg120	2agpg120___pg120	Dysgonomonas_gadei
56	2agpg120	ppi	2agpg120___ppi	Dysgonomonas_gadei
57	2agpg140	amp	2agpg140___amp	Dysgonomonas_gadei
58	2agpg140	pg140	2agpg140___pg140	Dysgonomonas_gadei
59	2agpg140	ppi	2agpg140___ppi	Dysgonomonas_gadei
60	2agpg141	amp	2agpg141___amp	Dysgonomonas_gadei
61	2agpg141	pg141	2agpg141___pg141	Dysgonomonas_gadei
62	2agpg141	ppi	2agpg141___ppi	Dysgonomonas_gadei
63	2agpg160	amp	2agpg160___amp	Dysgonomonas_gadei
64	2agpg160	pg160	2agpg160___pg160	Dysgonomonas_gadei
65	2agpg160	ppi	2agpg160___ppi	Dysgonomonas_gadei
66	2agpg161	amp	2agpg161___amp	Dysgonomonas_gadei
67	2agpg161	pg161	2agpg161___pg161	Dysgonomonas_gadei
68	2agpg161	ppi	2agpg161___ppi	Dysgonomonas_gadei
69	2agpg180	amp	2agpg180___amp	Dysgonomonas_gadei
70	2agpg180	pg180	2agpg180___pg180	Dysgonomonas_gadei
71	2agpg180	ppi	2agpg180___ppi	Dysgonomonas_gadei
72	2agpg181	amp	2agpg181___amp	Dysgonomonas_gadei
73	2agpg181	pg181	2agpg181___pg181	Dysgonomonas_gadei
74	2agpg181	ppi	2agpg181___ppi	Dysgonomonas_gadei
75	2ahbut	23dhmp	2ahbut___23dhmp	Dysgonomonas_gadei
76	2ahbut	nadp	2ahbut___nadp	Dysgonomonas_gadei
77	2ahhmp	dhpt	2ahhmp___dhpt	Dysgonomonas_gadei
78	2ahhmp	h2o	2ahhmp___h2o	Dysgonomonas_gadei
79	2amsa	nadp	2amsa___nadp	Dysgonomonas_gadei
80	2amsa	ser__L	2amsa___ser__L	Dysgonomonas_gadei
81	2aobut	athr__L	2aobut___athr__L	Dysgonomonas_gadei
82	2aobut	nadp	2aobut___nadp	Dysgonomonas_gadei
83	2cpr5p	3ig3p	2cpr5p___3ig3p	Dysgonomonas_gadei
84	2cpr5p	co2	2cpr5p___co2	Dysgonomonas_gadei
85	2cpr5p	h2o	2cpr5p___h2o	Dysgonomonas_gadei
86	2dda7p	3dhq	2dda7p___3dhq	Dysgonomonas_gadei
87	2dda7p	pi	2dda7p___pi	Dysgonomonas_gadei
88	2ddg6p	g3p	2ddg6p___g3p	Dysgonomonas_gadei
89	2ddg6p	pyr	2ddg6p___pyr	Dysgonomonas_gadei
90	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Dysgonomonas_gadei
