substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Eggerthia_catenaformis
2	10fthf	thf	10fthf___thf	Eggerthia_catenaformis
3	12dgr120	adp	12dgr120___adp	Eggerthia_catenaformis
4	12dgr120	h	12dgr120___h	Eggerthia_catenaformis
5	12dgr120	pa120	12dgr120___pa120	Eggerthia_catenaformis
6	12dgr140	adp	12dgr140___adp	Eggerthia_catenaformis
7	12dgr140	h	12dgr140___h	Eggerthia_catenaformis
8	12dgr140	pa140	12dgr140___pa140	Eggerthia_catenaformis
9	12dgr141	adp	12dgr141___adp	Eggerthia_catenaformis
10	12dgr141	h	12dgr141___h	Eggerthia_catenaformis
11	12dgr141	pa141	12dgr141___pa141	Eggerthia_catenaformis
12	12dgr160	adp	12dgr160___adp	Eggerthia_catenaformis
13	12dgr160	h	12dgr160___h	Eggerthia_catenaformis
14	12dgr160	pa160	12dgr160___pa160	Eggerthia_catenaformis
15	12dgr161	adp	12dgr161___adp	Eggerthia_catenaformis
16	12dgr161	h	12dgr161___h	Eggerthia_catenaformis
17	12dgr161	pa161	12dgr161___pa161	Eggerthia_catenaformis
18	12dgr180	adp	12dgr180___adp	Eggerthia_catenaformis
19	12dgr180	h	12dgr180___h	Eggerthia_catenaformis
20	12dgr180	pa180	12dgr180___pa180	Eggerthia_catenaformis
21	12dgr181	adp	12dgr181___adp	Eggerthia_catenaformis
22	12dgr181	h	12dgr181___h	Eggerthia_catenaformis
23	12dgr181	pa181	12dgr181___pa181	Eggerthia_catenaformis
24	13dpg	3pg	13dpg___3pg	Eggerthia_catenaformis
25	13dpg	atp	13dpg___atp	Eggerthia_catenaformis
26	1ddecg3p	ACP	1ddecg3p___ACP	Eggerthia_catenaformis
27	1ddecg3p	pa120	1ddecg3p___pa120	Eggerthia_catenaformis
28	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Eggerthia_catenaformis
29	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Eggerthia_catenaformis
30	1hdecg3p	ACP	1hdecg3p___ACP	Eggerthia_catenaformis
31	1hdecg3p	pa160	1hdecg3p___pa160	Eggerthia_catenaformis
32	1odec11eg3p	ACP	1odec11eg3p___ACP	Eggerthia_catenaformis
33	1odec11eg3p	pa181	1odec11eg3p___pa181	Eggerthia_catenaformis
34	1odecg3p	ACP	1odecg3p___ACP	Eggerthia_catenaformis
35	1odecg3p	pa180	1odecg3p___pa180	Eggerthia_catenaformis
36	1pyr5c	nad	1pyr5c___nad	Eggerthia_catenaformis
37	1pyr5c	nadp	1pyr5c___nadp	Eggerthia_catenaformis
38	1pyr5c	pro__L	1pyr5c___pro__L	Eggerthia_catenaformis
39	1tdecg3p	ACP	1tdecg3p___ACP	Eggerthia_catenaformis
40	1tdecg3p	pa140	1tdecg3p___pa140	Eggerthia_catenaformis
41	23dhdp	nadp	23dhdp___nadp	Eggerthia_catenaformis
42	23dhdp	thdp	23dhdp___thdp	Eggerthia_catenaformis
43	25aics	aicar	25aics___aicar	Eggerthia_catenaformis
44	25aics	fum	25aics___fum	Eggerthia_catenaformis
45	26dap_	adp	26dap____adp	Eggerthia_catenaformis
46	26dap_	co2	26dap____co2	Eggerthia_catenaformis
47	26dap_	h	26dap____h	Eggerthia_catenaformis
48	26dap_	lys__L	26dap____lys__L	Eggerthia_catenaformis
49	26dap_	pi	26dap____pi	Eggerthia_catenaformis
50	26dap_	ugmd	26dap____ugmd	Eggerthia_catenaformis
51	26dap_LL	26dap_	26dap_LL___26dap_	Eggerthia_catenaformis
