substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Eisenibacter_elegans
2	10fthf	thf	10fthf___thf	Eisenibacter_elegans
3	12dgr120	adp	12dgr120___adp	Eisenibacter_elegans
4	12dgr120	h	12dgr120___h	Eisenibacter_elegans
5	12dgr120	pa120	12dgr120___pa120	Eisenibacter_elegans
6	12dgr140	adp	12dgr140___adp	Eisenibacter_elegans
7	12dgr140	h	12dgr140___h	Eisenibacter_elegans
8	12dgr140	pa140	12dgr140___pa140	Eisenibacter_elegans
9	12dgr141	adp	12dgr141___adp	Eisenibacter_elegans
10	12dgr141	h	12dgr141___h	Eisenibacter_elegans
11	12dgr141	pa141	12dgr141___pa141	Eisenibacter_elegans
12	12dgr160	adp	12dgr160___adp	Eisenibacter_elegans
13	12dgr160	h	12dgr160___h	Eisenibacter_elegans
14	12dgr160	pa160	12dgr160___pa160	Eisenibacter_elegans
15	12dgr161	adp	12dgr161___adp	Eisenibacter_elegans
16	12dgr161	h	12dgr161___h	Eisenibacter_elegans
17	12dgr161	pa161	12dgr161___pa161	Eisenibacter_elegans
18	12dgr180	adp	12dgr180___adp	Eisenibacter_elegans
19	12dgr180	h	12dgr180___h	Eisenibacter_elegans
20	12dgr180	pa180	12dgr180___pa180	Eisenibacter_elegans
21	12dgr181	adp	12dgr181___adp	Eisenibacter_elegans
22	12dgr181	h	12dgr181___h	Eisenibacter_elegans
23	12dgr181	pa181	12dgr181___pa181	Eisenibacter_elegans
24	12ppd__S	h	12ppd__S___h	Eisenibacter_elegans
25	12ppd__S	lald__L	12ppd__S___lald__L	Eisenibacter_elegans
26	12ppd__S	nadh	12ppd__S___nadh	Eisenibacter_elegans
27	13dpg	3pg	13dpg___3pg	Eisenibacter_elegans
28	13dpg	atp	13dpg___atp	Eisenibacter_elegans
29	1ddecg3p	ACP	1ddecg3p___ACP	Eisenibacter_elegans
30	1ddecg3p	pa120	1ddecg3p___pa120	Eisenibacter_elegans
31	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Eisenibacter_elegans
32	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Eisenibacter_elegans
33	1hdecg3p	ACP	1hdecg3p___ACP	Eisenibacter_elegans
34	1hdecg3p	pa160	1hdecg3p___pa160	Eisenibacter_elegans
35	1odec11eg3p	ACP	1odec11eg3p___ACP	Eisenibacter_elegans
36	1odec11eg3p	pa181	1odec11eg3p___pa181	Eisenibacter_elegans
37	1odecg3p	ACP	1odecg3p___ACP	Eisenibacter_elegans
38	1odecg3p	pa180	1odecg3p___pa180	Eisenibacter_elegans
39	1pyr5c	nadp	1pyr5c___nadp	Eisenibacter_elegans
40	1pyr5c	pro__L	1pyr5c___pro__L	Eisenibacter_elegans
41	1tdecg3p	ACP	1tdecg3p___ACP	Eisenibacter_elegans
42	1tdecg3p	pa140	1tdecg3p___pa140	Eisenibacter_elegans
43	23dhdp	nadp	23dhdp___nadp	Eisenibacter_elegans
44	23dhdp	thdp	23dhdp___thdp	Eisenibacter_elegans
45	23dhmp	h2o	23dhmp___h2o	Eisenibacter_elegans
46	25aics	aicar	25aics___aicar	Eisenibacter_elegans
47	25aics	fum	25aics___fum	Eisenibacter_elegans
48	25dhpp	5apru	25dhpp___5apru	Eisenibacter_elegans
49	25dhpp	nh4	25dhpp___nh4	Eisenibacter_elegans
50	26dap_	adp	26dap____adp	Eisenibacter_elegans
51	26dap_	co2	26dap____co2	Eisenibacter_elegans
52	26dap_	h	26dap____h	Eisenibacter_elegans
53	26dap_	lys__L	26dap____lys__L	Eisenibacter_elegans
54	26dap_	pi	26dap____pi	Eisenibacter_elegans
55	26dap_	ugmd	26dap____ugmd	Eisenibacter_elegans
56	26dap_LL	26dap_	26dap_LL___26dap_	Eisenibacter_elegans
57	2ahbut	23dhmp	2ahbut___23dhmp	Eisenibacter_elegans
58	2ahbut	nadp	2ahbut___nadp	Eisenibacter_elegans
59	2ahhmp	dhpt	2ahhmp___dhpt	Eisenibacter_elegans
60	2ahhmp	h2o	2ahhmp___h2o	Eisenibacter_elegans
61	2amsa	nadp	2amsa___nadp	Eisenibacter_elegans
62	2amsa	ser__L	2amsa___ser__L	Eisenibacter_elegans
63	2aobut	athr__L	2aobut___athr__L	Eisenibacter_elegans
64	2aobut	nadp	2aobut___nadp	Eisenibacter_elegans
65	2cpr5p	3ig3p	2cpr5p___3ig3p	Eisenibacter_elegans
66	2cpr5p	co2	2cpr5p___co2	Eisenibacter_elegans
67	2cpr5p	h2o	2cpr5p___h2o	Eisenibacter_elegans
68	2dda7p	3dhq	2dda7p___3dhq	Eisenibacter_elegans
69	2dda7p	pi	2dda7p___pi	Eisenibacter_elegans
70	2dhp	nadp	2dhp___nadp	Eisenibacter_elegans
71	2dhp	pant__R	2dhp___pant__R	Eisenibacter_elegans
72	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Eisenibacter_elegans
73	2dmmq8	nad	2dmmq8___nad	Eisenibacter_elegans
74	2dmmql8	ahcys	2dmmql8___ahcys	Eisenibacter_elegans
75	2dmmql8	h	2dmmql8___h	Eisenibacter_elegans
76	2dmmql8	mql8	2dmmql8___mql8	Eisenibacter_elegans
77	2dr1p	2dr5p	2dr1p___2dr5p	Eisenibacter_elegans
78	2dr5p	acald	2dr5p___acald	Eisenibacter_elegans
79	2dr5p	g3p	2dr5p___g3p	Eisenibacter_elegans
