substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Enorma_massiliensis
2	10fthf	thf	10fthf___thf	Enorma_massiliensis
3	12dgr120	adp	12dgr120___adp	Enorma_massiliensis
4	12dgr120	h	12dgr120___h	Enorma_massiliensis
5	12dgr120	pa120	12dgr120___pa120	Enorma_massiliensis
6	12dgr140	adp	12dgr140___adp	Enorma_massiliensis
7	12dgr140	h	12dgr140___h	Enorma_massiliensis
8	12dgr140	pa140	12dgr140___pa140	Enorma_massiliensis
9	12dgr141	adp	12dgr141___adp	Enorma_massiliensis
10	12dgr141	h	12dgr141___h	Enorma_massiliensis
11	12dgr141	pa141	12dgr141___pa141	Enorma_massiliensis
12	12dgr160	adp	12dgr160___adp	Enorma_massiliensis
13	12dgr160	h	12dgr160___h	Enorma_massiliensis
14	12dgr160	pa160	12dgr160___pa160	Enorma_massiliensis
15	12dgr161	adp	12dgr161___adp	Enorma_massiliensis
16	12dgr161	h	12dgr161___h	Enorma_massiliensis
17	12dgr161	pa161	12dgr161___pa161	Enorma_massiliensis
18	12dgr180	adp	12dgr180___adp	Enorma_massiliensis
19	12dgr180	h	12dgr180___h	Enorma_massiliensis
20	12dgr180	pa180	12dgr180___pa180	Enorma_massiliensis
21	12dgr181	adp	12dgr181___adp	Enorma_massiliensis
22	12dgr181	h	12dgr181___h	Enorma_massiliensis
23	12dgr181	pa181	12dgr181___pa181	Enorma_massiliensis
24	12ppd__S	h	12ppd__S___h	Enorma_massiliensis
25	12ppd__S	lald__L	12ppd__S___lald__L	Enorma_massiliensis
26	12ppd__S	nadh	12ppd__S___nadh	Enorma_massiliensis
27	13dpg	3pg	13dpg___3pg	Enorma_massiliensis
28	13dpg	atp	13dpg___atp	Enorma_massiliensis
29	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Enorma_massiliensis
30	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Enorma_massiliensis
31	1hdecg3p	ACP	1hdecg3p___ACP	Enorma_massiliensis
32	1hdecg3p	pa160	1hdecg3p___pa160	Enorma_massiliensis
33	1odec11eg3p	ACP	1odec11eg3p___ACP	Enorma_massiliensis
34	1odec11eg3p	pa181	1odec11eg3p___pa181	Enorma_massiliensis
35	1odecg3p	ACP	1odecg3p___ACP	Enorma_massiliensis
36	1odecg3p	pa180	1odecg3p___pa180	Enorma_massiliensis
37	1pyr5c	nad	1pyr5c___nad	Enorma_massiliensis
