substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Erythrobacter_atlanticus
2	10fthf	thf	10fthf___thf	Erythrobacter_atlanticus
3	12dgr120	adp	12dgr120___adp	Erythrobacter_atlanticus
4	12dgr120	h	12dgr120___h	Erythrobacter_atlanticus
5	12dgr120	pa120	12dgr120___pa120	Erythrobacter_atlanticus
6	12dgr140	adp	12dgr140___adp	Erythrobacter_atlanticus
7	12dgr140	h	12dgr140___h	Erythrobacter_atlanticus
8	12dgr140	pa140	12dgr140___pa140	Erythrobacter_atlanticus
9	12dgr141	adp	12dgr141___adp	Erythrobacter_atlanticus
10	12dgr141	h	12dgr141___h	Erythrobacter_atlanticus
11	12dgr141	pa141	12dgr141___pa141	Erythrobacter_atlanticus
12	12dgr160	adp	12dgr160___adp	Erythrobacter_atlanticus
13	12dgr160	h	12dgr160___h	Erythrobacter_atlanticus
14	12dgr160	pa160	12dgr160___pa160	Erythrobacter_atlanticus
15	12dgr161	adp	12dgr161___adp	Erythrobacter_atlanticus
16	12dgr161	h	12dgr161___h	Erythrobacter_atlanticus
17	12dgr161	pa161	12dgr161___pa161	Erythrobacter_atlanticus
18	12dgr180	adp	12dgr180___adp	Erythrobacter_atlanticus
19	12dgr180	h	12dgr180___h	Erythrobacter_atlanticus
20	12dgr180	pa180	12dgr180___pa180	Erythrobacter_atlanticus
21	12dgr181	adp	12dgr181___adp	Erythrobacter_atlanticus
22	12dgr181	h	12dgr181___h	Erythrobacter_atlanticus
23	12dgr181	pa181	12dgr181___pa181	Erythrobacter_atlanticus
24	12ppd__S	h	12ppd__S___h	Erythrobacter_atlanticus
25	12ppd__S	lald__L	12ppd__S___lald__L	Erythrobacter_atlanticus
26	12ppd__S	nadh	12ppd__S___nadh	Erythrobacter_atlanticus
27	13dpg	3pg	13dpg___3pg	Erythrobacter_atlanticus
28	13dpg	atp	13dpg___atp	Erythrobacter_atlanticus
29	1ddecg3p	ACP	1ddecg3p___ACP	Erythrobacter_atlanticus
30	1ddecg3p	pa120	1ddecg3p___pa120	Erythrobacter_atlanticus
31	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Erythrobacter_atlanticus
32	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Erythrobacter_atlanticus
33	1hdecg3p	ACP	1hdecg3p___ACP	Erythrobacter_atlanticus
34	1hdecg3p	pa160	1hdecg3p___pa160	Erythrobacter_atlanticus
35	1odec11eg3p	ACP	1odec11eg3p___ACP	Erythrobacter_atlanticus
36	1odec11eg3p	pa181	1odec11eg3p___pa181	Erythrobacter_atlanticus
37	1odecg3p	ACP	1odecg3p___ACP	Erythrobacter_atlanticus
38	1odecg3p	pa180	1odecg3p___pa180	Erythrobacter_atlanticus
39	1pyr5c	nad	1pyr5c___nad	Erythrobacter_atlanticus
40	1pyr5c	nadp	1pyr5c___nadp	Erythrobacter_atlanticus
41	1pyr5c	pro__L	1pyr5c___pro__L	Erythrobacter_atlanticus
42	1tdecg3p	ACP	1tdecg3p___ACP	Erythrobacter_atlanticus
43	1tdecg3p	pa140	1tdecg3p___pa140	Erythrobacter_atlanticus
44	23dhdp	nadp	23dhdp___nadp	Erythrobacter_atlanticus
45	23dhdp	thdp	23dhdp___thdp	Erythrobacter_atlanticus
46	23dhmb	alac__S	23dhmb___alac__S	Erythrobacter_atlanticus
47	23dhmb	h	23dhmb___h	Erythrobacter_atlanticus
48	23dhmb	nadph	23dhmb___nadph	Erythrobacter_atlanticus
49	23dhmp	3mop	23dhmp___3mop	Erythrobacter_atlanticus
50	23dhmp	h2o	23dhmp___h2o	Erythrobacter_atlanticus
51	25aics	aicar	25aics___aicar	Erythrobacter_atlanticus
52	25aics	fum	25aics___fum	Erythrobacter_atlanticus
53	25dhpp	5apru	25dhpp___5apru	Erythrobacter_atlanticus
54	25dhpp	nh4	25dhpp___nh4	Erythrobacter_atlanticus
55	26dap_	adp	26dap____adp	Erythrobacter_atlanticus
56	26dap_	co2	26dap____co2	Erythrobacter_atlanticus
57	26dap_	h	26dap____h	Erythrobacter_atlanticus
58	26dap_	lys__L	26dap____lys__L	Erythrobacter_atlanticus
59	26dap_	pi	26dap____pi	Erythrobacter_atlanticus
60	26dap_	ugmd	26dap____ugmd	Erythrobacter_atlanticus
61	26dap_LL	26dap_	26dap_LL___26dap_	Erythrobacter_atlanticus
62	2agpe120	amp	2agpe120___amp	Erythrobacter_atlanticus
63	2agpe120	pe120	2agpe120___pe120	Erythrobacter_atlanticus
64	2agpe120	ppi	2agpe120___ppi	Erythrobacter_atlanticus
65	2agpe140	amp	2agpe140___amp	Erythrobacter_atlanticus
66	2agpe140	pe140	2agpe140___pe140	Erythrobacter_atlanticus
67	2agpe140	ppi	2agpe140___ppi	Erythrobacter_atlanticus
68	2agpe141	amp	2agpe141___amp	Erythrobacter_atlanticus
69	2agpe141	pe141	2agpe141___pe141	Erythrobacter_atlanticus
70	2agpe141	ppi	2agpe141___ppi	Erythrobacter_atlanticus
71	2agpe160	amp	2agpe160___amp	Erythrobacter_atlanticus
72	2agpe160	pe160	2agpe160___pe160	Erythrobacter_atlanticus
73	2agpe160	ppi	2agpe160___ppi	Erythrobacter_atlanticus
74	2agpe180	amp	2agpe180___amp	Erythrobacter_atlanticus
75	2agpe180	pe180	2agpe180___pe180	Erythrobacter_atlanticus
76	2agpe180	ppi	2agpe180___ppi	Erythrobacter_atlanticus
77	2agpe181	amp	2agpe181___amp	Erythrobacter_atlanticus
78	2agpe181	g3pe	2agpe181___g3pe	Erythrobacter_atlanticus
79	2agpe181	h	2agpe181___h	Erythrobacter_atlanticus
80	2agpe181	ocdcea	2agpe181___ocdcea	Erythrobacter_atlanticus
81	2agpe181	pe181	2agpe181___pe181	Erythrobacter_atlanticus
82	2agpe181	ppi	2agpe181___ppi	Erythrobacter_atlanticus
83	2agpg120	amp	2agpg120___amp	Erythrobacter_atlanticus
84	2agpg120	ddca	2agpg120___ddca	Erythrobacter_atlanticus
85	2agpg120	g3pg	2agpg120___g3pg	Erythrobacter_atlanticus
86	2agpg120	h	2agpg120___h	Erythrobacter_atlanticus
87	2agpg120	pg120	2agpg120___pg120	Erythrobacter_atlanticus
88	2agpg120	ppi	2agpg120___ppi	Erythrobacter_atlanticus
89	2agpg140	amp	2agpg140___amp	Erythrobacter_atlanticus
90	2agpg140	g3pg	2agpg140___g3pg	Erythrobacter_atlanticus
91	2agpg140	h	2agpg140___h	Erythrobacter_atlanticus
92	2agpg140	pg140	2agpg140___pg140	Erythrobacter_atlanticus
93	2agpg140	ppi	2agpg140___ppi	Erythrobacter_atlanticus
94	2agpg140	ttdca	2agpg140___ttdca	Erythrobacter_atlanticus
95	2agpg141	amp	2agpg141___amp	Erythrobacter_atlanticus
96	2agpg141	pg141	2agpg141___pg141	Erythrobacter_atlanticus
97	2agpg141	ppi	2agpg141___ppi	Erythrobacter_atlanticus
98	2agpg160	amp	2agpg160___amp	Erythrobacter_atlanticus
99	2agpg160	g3pg	2agpg160___g3pg	Erythrobacter_atlanticus
100	2agpg160	h	2agpg160___h	Erythrobacter_atlanticus
101	2agpg160	hdca	2agpg160___hdca	Erythrobacter_atlanticus
102	2agpg160	pg160	2agpg160___pg160	Erythrobacter_atlanticus
103	2agpg160	ppi	2agpg160___ppi	Erythrobacter_atlanticus
104	2agpg161	amp	2agpg161___amp	Erythrobacter_atlanticus
105	2agpg161	g3pg	2agpg161___g3pg	Erythrobacter_atlanticus
106	2agpg161	h	2agpg161___h	Erythrobacter_atlanticus
107	2agpg161	hdcea	2agpg161___hdcea	Erythrobacter_atlanticus
108	2agpg161	pg161	2agpg161___pg161	Erythrobacter_atlanticus
109	2agpg161	ppi	2agpg161___ppi	Erythrobacter_atlanticus
110	2agpg180	amp	2agpg180___amp	Erythrobacter_atlanticus
111	2agpg180	g3pg	2agpg180___g3pg	Erythrobacter_atlanticus
112	2agpg180	h	2agpg180___h	Erythrobacter_atlanticus
113	2agpg180	ocdca	2agpg180___ocdca	Erythrobacter_atlanticus
114	2agpg180	pg180	2agpg180___pg180	Erythrobacter_atlanticus
115	2agpg180	ppi	2agpg180___ppi	Erythrobacter_atlanticus
116	2agpg181	amp	2agpg181___amp	Erythrobacter_atlanticus
117	2agpg181	g3pg	2agpg181___g3pg	Erythrobacter_atlanticus
118	2agpg181	h	2agpg181___h	Erythrobacter_atlanticus
119	2agpg181	ocdcea	2agpg181___ocdcea	Erythrobacter_atlanticus
120	2agpg181	pg181	2agpg181___pg181	Erythrobacter_atlanticus
121	2agpg181	ppi	2agpg181___ppi	Erythrobacter_atlanticus
122	2ahbut	23dhmp	2ahbut___23dhmp	Erythrobacter_atlanticus
123	2ahbut	nadp	2ahbut___nadp	Erythrobacter_atlanticus
124	2ahhmp	dhpt	2ahhmp___dhpt	Erythrobacter_atlanticus
125	2ahhmp	h2o	2ahhmp___h2o	Erythrobacter_atlanticus
126	2amsa	nadp	2amsa___nadp	Erythrobacter_atlanticus
127	2amsa	ser__L	2amsa___ser__L	Erythrobacter_atlanticus
128	2aobut	athr__L	2aobut___athr__L	Erythrobacter_atlanticus
129	2aobut	nadp	2aobut___nadp	Erythrobacter_atlanticus
130	2cpr5p	3ig3p	2cpr5p___3ig3p	Erythrobacter_atlanticus
131	2cpr5p	co2	2cpr5p___co2	Erythrobacter_atlanticus
132	2cpr5p	h2o	2cpr5p___h2o	Erythrobacter_atlanticus
133	2dda7p	3dhq	2dda7p___3dhq	Erythrobacter_atlanticus
134	2dda7p	pi	2dda7p___pi	Erythrobacter_atlanticus
135	2ddg6p	g3p	2ddg6p___g3p	Erythrobacter_atlanticus
136	2ddg6p	pyr	2ddg6p___pyr	Erythrobacter_atlanticus
137	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Erythrobacter_atlanticus
138	2ddglcn	adp	2ddglcn___adp	Erythrobacter_atlanticus
139	2ddglcn	h	2ddglcn___h	Erythrobacter_atlanticus
140	2dhp	nadp	2dhp___nadp	Erythrobacter_atlanticus
141	2dhp	pant__R	2dhp___pant__R	Erythrobacter_atlanticus
142	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Erythrobacter_atlanticus
143	2dmmq8	nad	2dmmq8___nad	Erythrobacter_atlanticus
144	2dmmql8	ahcys	2dmmql8___ahcys	Erythrobacter_atlanticus
145	2dmmql8	h	2dmmql8___h	Erythrobacter_atlanticus
146	2dmmql8	mql8	2dmmql8___mql8	Erythrobacter_atlanticus
147	2fe1s	adp	2fe1s___adp	Erythrobacter_atlanticus
148	2fe1s	h	2fe1s___h	Erythrobacter_atlanticus
149	2fe1s	iscs	2fe1s___iscs	Erythrobacter_atlanticus
150	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Erythrobacter_atlanticus
151	2fe1s	pi	2fe1s___pi	Erythrobacter_atlanticus
152	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Erythrobacter_atlanticus
153	2fe1s	sufse	2fe1s___sufse	Erythrobacter_atlanticus
154	2fe2s	2fe1s	2fe2s___2fe1s	Erythrobacter_atlanticus
155	2fe2s	btn	2fe2s___btn	Erythrobacter_atlanticus
156	2fe2s	dad_5	2fe2s___dad_5	Erythrobacter_atlanticus
157	2fe2s	h	2fe2s___h	Erythrobacter_atlanticus
158	2fe2s	met__L	2fe2s___met__L	Erythrobacter_atlanticus
159	2h3opp	glyc__R	2h3opp___glyc__R	Erythrobacter_atlanticus
160	2h3opp	nad	2h3opp___nad	Erythrobacter_atlanticus
161	2hh24dd	4h2kpi	2hh24dd___4h2kpi	Erythrobacter_atlanticus
162	2ippm	3c2hmp	2ippm___3c2hmp	Erythrobacter_atlanticus
163	2kmb	met__L	2kmb___met__L	Erythrobacter_atlanticus
164	2mahmp	ppi	2mahmp___ppi	Erythrobacter_atlanticus
165	2mahmp	thmmp	2mahmp___thmmp	Erythrobacter_atlanticus
166	2me4p	4c2me	2me4p___4c2me	Erythrobacter_atlanticus
167	2me4p	ppi	2me4p___ppi	Erythrobacter_atlanticus
168	2mecdp	h2mb4p	2mecdp___h2mb4p	Erythrobacter_atlanticus
169	2mecdp	h2o	2mecdp___h2o	Erythrobacter_atlanticus
170	2obut	2ahbut	2obut___2ahbut	Erythrobacter_atlanticus
171	2obut	co2	2obut___co2	Erythrobacter_atlanticus
172	2obut	nadh	2obut___nadh	Erythrobacter_atlanticus
173	2obut	ppcoa	2obut___ppcoa	Erythrobacter_atlanticus
174	2p4c2me	2mecdp	2p4c2me___2mecdp	Erythrobacter_atlanticus
175	2p4c2me	cmp	2p4c2me___cmp	Erythrobacter_atlanticus
176	2pg	h2o	2pg___h2o	Erythrobacter_atlanticus
177	2pg	pep	2pg___pep	Erythrobacter_atlanticus
178	2pglyc	glyclt	2pglyc___glyclt	Erythrobacter_atlanticus
179	2pglyc	pi	2pglyc___pi	Erythrobacter_atlanticus
180	34dhbz	CCbuttc	34dhbz___CCbuttc	Erythrobacter_atlanticus
