substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Fimbriimonas_ginsengisoli
2	10fthf	thf	10fthf___thf	Fimbriimonas_ginsengisoli
3	12dgr120	adp	12dgr120___adp	Fimbriimonas_ginsengisoli
4	12dgr120	h	12dgr120___h	Fimbriimonas_ginsengisoli
5	12dgr120	pa120	12dgr120___pa120	Fimbriimonas_ginsengisoli
6	12dgr140	adp	12dgr140___adp	Fimbriimonas_ginsengisoli
7	12dgr140	h	12dgr140___h	Fimbriimonas_ginsengisoli
8	12dgr140	pa140	12dgr140___pa140	Fimbriimonas_ginsengisoli
9	12dgr141	adp	12dgr141___adp	Fimbriimonas_ginsengisoli
10	12dgr141	h	12dgr141___h	Fimbriimonas_ginsengisoli
11	12dgr141	pa141	12dgr141___pa141	Fimbriimonas_ginsengisoli
12	12dgr160	adp	12dgr160___adp	Fimbriimonas_ginsengisoli
13	12dgr160	h	12dgr160___h	Fimbriimonas_ginsengisoli
14	12dgr160	pa160	12dgr160___pa160	Fimbriimonas_ginsengisoli
15	12dgr180	adp	12dgr180___adp	Fimbriimonas_ginsengisoli
16	12dgr180	h	12dgr180___h	Fimbriimonas_ginsengisoli
17	12dgr180	pa180	12dgr180___pa180	Fimbriimonas_ginsengisoli
18	12ppd__S	h	12ppd__S___h	Fimbriimonas_ginsengisoli
19	12ppd__S	lald__L	12ppd__S___lald__L	Fimbriimonas_ginsengisoli
20	12ppd__S	nadh	12ppd__S___nadh	Fimbriimonas_ginsengisoli
21	13dpg	3pg	13dpg___3pg	Fimbriimonas_ginsengisoli
22	13dpg	atp	13dpg___atp	Fimbriimonas_ginsengisoli
23	1ddecg3p	ACP	1ddecg3p___ACP	Fimbriimonas_ginsengisoli
24	1ddecg3p	pa120	1ddecg3p___pa120	Fimbriimonas_ginsengisoli
25	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Fimbriimonas_ginsengisoli
26	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Fimbriimonas_ginsengisoli
27	1hdecg3p	ACP	1hdecg3p___ACP	Fimbriimonas_ginsengisoli
28	1hdecg3p	pa160	1hdecg3p___pa160	Fimbriimonas_ginsengisoli
29	1odec11eg3p	ACP	1odec11eg3p___ACP	Fimbriimonas_ginsengisoli
30	1odec11eg3p	pa181	1odec11eg3p___pa181	Fimbriimonas_ginsengisoli
31	1odecg3p	ACP	1odecg3p___ACP	Fimbriimonas_ginsengisoli
32	1odecg3p	pa180	1odecg3p___pa180	Fimbriimonas_ginsengisoli
33	1tdecg3p	ACP	1tdecg3p___ACP	Fimbriimonas_ginsengisoli
34	1tdecg3p	pa140	1tdecg3p___pa140	Fimbriimonas_ginsengisoli
35	23dhdp	nadp	23dhdp___nadp	Fimbriimonas_ginsengisoli
36	23dhdp	thdp	23dhdp___thdp	Fimbriimonas_ginsengisoli
37	23dhmb	alac__S	23dhmb___alac__S	Fimbriimonas_ginsengisoli
38	23dhmb	h	23dhmb___h	Fimbriimonas_ginsengisoli
39	23dhmb	nadph	23dhmb___nadph	Fimbriimonas_ginsengisoli
40	23dhmp	3mop	23dhmp___3mop	Fimbriimonas_ginsengisoli
41	23dhmp	h2o	23dhmp___h2o	Fimbriimonas_ginsengisoli
42	25aics	aicar	25aics___aicar	Fimbriimonas_ginsengisoli
43	25aics	fum	25aics___fum	Fimbriimonas_ginsengisoli
44	25dhpp	5apru	25dhpp___5apru	Fimbriimonas_ginsengisoli
45	25dhpp	nh4	25dhpp___nh4	Fimbriimonas_ginsengisoli
46	26dap_	adp	26dap____adp	Fimbriimonas_ginsengisoli
47	26dap_	co2	26dap____co2	Fimbriimonas_ginsengisoli
48	26dap_	h	26dap____h	Fimbriimonas_ginsengisoli
49	26dap_	lys__L	26dap____lys__L	Fimbriimonas_ginsengisoli
50	26dap_	pi	26dap____pi	Fimbriimonas_ginsengisoli
51	26dap_	ugmd	26dap____ugmd	Fimbriimonas_ginsengisoli
52	26dap_LL	26dap_	26dap_LL___26dap_	Fimbriimonas_ginsengisoli
53	2ahbut	23dhmp	2ahbut___23dhmp	Fimbriimonas_ginsengisoli
54	2ahbut	nadp	2ahbut___nadp	Fimbriimonas_ginsengisoli
55	2ahhmp	dhpt	2ahhmp___dhpt	Fimbriimonas_ginsengisoli
56	2ahhmp	h2o	2ahhmp___h2o	Fimbriimonas_ginsengisoli
57	2aobut	athr__L	2aobut___athr__L	Fimbriimonas_ginsengisoli
