substrate	product	rxn	taxon
1	10fthf	thf	10fthf___thf	Fischerella_thermalis
2	12dgr120	adp	12dgr120___adp	Fischerella_thermalis
3	12dgr120	h	12dgr120___h	Fischerella_thermalis
4	12dgr120	pa120	12dgr120___pa120	Fischerella_thermalis
5	12dgr140	adp	12dgr140___adp	Fischerella_thermalis
6	12dgr140	h	12dgr140___h	Fischerella_thermalis
7	12dgr140	pa140	12dgr140___pa140	Fischerella_thermalis
8	12dgr181	adp	12dgr181___adp	Fischerella_thermalis
9	12dgr181	h	12dgr181___h	Fischerella_thermalis
10	12dgr181	pa181	12dgr181___pa181	Fischerella_thermalis
11	12ppd__S	h	12ppd__S___h	Fischerella_thermalis
12	12ppd__S	lald__L	12ppd__S___lald__L	Fischerella_thermalis
13	12ppd__S	nadh	12ppd__S___nadh	Fischerella_thermalis
14	13dpg	3pg	13dpg___3pg	Fischerella_thermalis
15	13dpg	atp	13dpg___atp	Fischerella_thermalis
16	1ddecg3p	ACP	1ddecg3p___ACP	Fischerella_thermalis
17	1ddecg3p	pa120	1ddecg3p___pa120	Fischerella_thermalis
18	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Fischerella_thermalis
19	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Fischerella_thermalis
20	1hdecg3p	ACP	1hdecg3p___ACP	Fischerella_thermalis
21	1hdecg3p	pa160	1hdecg3p___pa160	Fischerella_thermalis
22	1odec11eg3p	ACP	1odec11eg3p___ACP	Fischerella_thermalis
23	1odec11eg3p	pa181	1odec11eg3p___pa181	Fischerella_thermalis
24	1odecg3p	ACP	1odecg3p___ACP	Fischerella_thermalis
25	1odecg3p	pa180	1odecg3p___pa180	Fischerella_thermalis
26	1pyr5c	nad	1pyr5c___nad	Fischerella_thermalis
27	1pyr5c	nadp	1pyr5c___nadp	Fischerella_thermalis
28	1pyr5c	pro__L	1pyr5c___pro__L	Fischerella_thermalis
29	1tdecg3p	ACP	1tdecg3p___ACP	Fischerella_thermalis
30	1tdecg3p	pa140	1tdecg3p___pa140	Fischerella_thermalis
31	23dhdp	nadp	23dhdp___nadp	Fischerella_thermalis
32	23dhdp	thdp	23dhdp___thdp	Fischerella_thermalis
33	23dhmb	alac__S	23dhmb___alac__S	Fischerella_thermalis
34	23dhmb	h	23dhmb___h	Fischerella_thermalis
35	23dhmb	nadph	23dhmb___nadph	Fischerella_thermalis
36	23dhmp	3mop	23dhmp___3mop	Fischerella_thermalis
37	23dhmp	h2o	23dhmp___h2o	Fischerella_thermalis
38	25aics	aicar	25aics___aicar	Fischerella_thermalis
39	25aics	fum	25aics___fum	Fischerella_thermalis
40	25dhpp	5apru	25dhpp___5apru	Fischerella_thermalis
41	25dhpp	nh4	25dhpp___nh4	Fischerella_thermalis
42	26dap_	adp	26dap____adp	Fischerella_thermalis
43	26dap_	co2	26dap____co2	Fischerella_thermalis
44	26dap_	h	26dap____h	Fischerella_thermalis
45	26dap_	lys__L	26dap____lys__L	Fischerella_thermalis
46	26dap_	pi	26dap____pi	Fischerella_thermalis
47	26dap_	ugmd	26dap____ugmd	Fischerella_thermalis
48	26dap_LL	26dap_	26dap_LL___26dap_	Fischerella_thermalis
49	2agpe120	amp	2agpe120___amp	Fischerella_thermalis
50	2agpe120	pe120	2agpe120___pe120	Fischerella_thermalis
51	2agpe120	ppi	2agpe120___ppi	Fischerella_thermalis
52	2agpe140	amp	2agpe140___amp	Fischerella_thermalis
53	2agpe140	pe140	2agpe140___pe140	Fischerella_thermalis
54	2agpe140	ppi	2agpe140___ppi	Fischerella_thermalis
55	2agpg180	amp	2agpg180___amp	Fischerella_thermalis
56	2agpg180	pg180	2agpg180___pg180	Fischerella_thermalis
57	2agpg180	ppi	2agpg180___ppi	Fischerella_thermalis
58	2agpg181	amp	2agpg181___amp	Fischerella_thermalis
59	2agpg181	pg181	2agpg181___pg181	Fischerella_thermalis
60	2agpg181	ppi	2agpg181___ppi	Fischerella_thermalis
61	2ahbut	23dhmp	2ahbut___23dhmp	Fischerella_thermalis
62	2ahbut	nadp	2ahbut___nadp	Fischerella_thermalis
63	2amsa	nadp	2amsa___nadp	Fischerella_thermalis
64	2amsa	ser__L	2amsa___ser__L	Fischerella_thermalis
65	2aobut	athr__L	2aobut___athr__L	Fischerella_thermalis
66	2aobut	nadp	2aobut___nadp	Fischerella_thermalis
67	2cpr5p	3ig3p	2cpr5p___3ig3p	Fischerella_thermalis
68	2cpr5p	co2	2cpr5p___co2	Fischerella_thermalis
69	2cpr5p	h2o	2cpr5p___h2o	Fischerella_thermalis
70	2dda7p	3dhq	2dda7p___3dhq	Fischerella_thermalis
71	2dda7p	pi	2dda7p___pi	Fischerella_thermalis
72	2dhp	nadp	2dhp___nadp	Fischerella_thermalis
73	2dhp	pant__R	2dhp___pant__R	Fischerella_thermalis
74	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Fischerella_thermalis
75	2dmmql8	ahcys	2dmmql8___ahcys	Fischerella_thermalis
76	2dmmql8	h	2dmmql8___h	Fischerella_thermalis
77	2dmmql8	mql8	2dmmql8___mql8	Fischerella_thermalis
78	2dr5p	acald	2dr5p___acald	Fischerella_thermalis
79	2dr5p	g3p	2dr5p___g3p	Fischerella_thermalis
80	2fe1s	adp	2fe1s___adp	Fischerella_thermalis
81	2fe1s	h	2fe1s___h	Fischerella_thermalis
82	2fe1s	iscs	2fe1s___iscs	Fischerella_thermalis
83	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Fischerella_thermalis
84	2fe1s	pi	2fe1s___pi	Fischerella_thermalis
85	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Fischerella_thermalis
86	2fe1s	sufse	2fe1s___sufse	Fischerella_thermalis
87	2fe2s	2fe1s	2fe2s___2fe1s	Fischerella_thermalis
88	2fe2s	btn	2fe2s___btn	Fischerella_thermalis
89	2fe2s	dad_5	2fe2s___dad_5	Fischerella_thermalis
90	2fe2s	h	2fe2s___h	Fischerella_thermalis
91	2fe2s	met__L	2fe2s___met__L	Fischerella_thermalis
92	2hh24dd	4h2kpi	2hh24dd___4h2kpi	Fischerella_thermalis
93	2ippm	3c2hmp	2ippm___3c2hmp	Fischerella_thermalis
94	2kmb	met__L	2kmb___met__L	Fischerella_thermalis
95	2mahmp	ppi	2mahmp___ppi	Fischerella_thermalis
96	2mahmp	thmmp	2mahmp___thmmp	Fischerella_thermalis
97	2me4p	4c2me	2me4p___4c2me	Fischerella_thermalis
98	2me4p	ppi	2me4p___ppi	Fischerella_thermalis
99	2mecdp	h2mb4p	2mecdp___h2mb4p	Fischerella_thermalis
100	2mecdp	h2o	2mecdp___h2o	Fischerella_thermalis
101	2obut	2ahbut	2obut___2ahbut	Fischerella_thermalis
102	2obut	co2	2obut___co2	Fischerella_thermalis
103	2obut	nadh	2obut___nadh	Fischerella_thermalis
104	2obut	ppcoa	2obut___ppcoa	Fischerella_thermalis
105	2p4c2me	2mecdp	2p4c2me___2mecdp	Fischerella_thermalis
106	2p4c2me	cmp	2p4c2me___cmp	Fischerella_thermalis
107	2pg	h2o	2pg___h2o	Fischerella_thermalis
108	2pg	pep	2pg___pep	Fischerella_thermalis
109	2pglyc	glyclt	2pglyc___glyclt	Fischerella_thermalis
110	2pglyc	pi	2pglyc___pi	Fischerella_thermalis
111	2shchc	h2o	2shchc___h2o	Fischerella_thermalis
112	2shchc	sucbz	2shchc___sucbz	Fischerella_thermalis
113	34dhbz	CCbuttc	34dhbz___CCbuttc	Fischerella_thermalis
114	34dhbz	h	34dhbz___h	Fischerella_thermalis
115	34dhpha	5cmhmsa	34dhpha___5cmhmsa	Fischerella_thermalis
116	34dhpha	h	34dhpha___h	Fischerella_thermalis
117	34hpp	akg	34hpp___akg	Fischerella_thermalis
118	34hpp	tyr__L	34hpp___tyr__L	Fischerella_thermalis
119	3c2hmp	3c4mop	3c2hmp___3c4mop	Fischerella_thermalis
120	3c2hmp	h	3c2hmp___h	Fischerella_thermalis
121	3c2hmp	nadh	3c2hmp___nadh	Fischerella_thermalis
122	3c3hmp	2ippm	3c3hmp___2ippm	Fischerella_thermalis
123	3c3hmp	h2o	3c3hmp___h2o	Fischerella_thermalis
124	3c4mop	4mop	3c4mop___4mop	Fischerella_thermalis
125	3c4mop	co2	3c4mop___co2	Fischerella_thermalis
126	3dhq	3dhsk	3dhq___3dhsk	Fischerella_thermalis
127	3dhq	h2o	3dhq___h2o	Fischerella_thermalis
128	3dhsk	nadp	3dhsk___nadp	Fischerella_thermalis
129	3dhsk	skm	3dhsk___skm	Fischerella_thermalis
130	3haACP	but2eACP	3haACP___but2eACP	Fischerella_thermalis
131	3haACP	h2o	3haACP___h2o	Fischerella_thermalis
132	3hcddec5eACP	h2o	3hcddec5eACP___h2o	Fischerella_thermalis
133	3hcddec5eACP	t3c5ddeceACP	3hcddec5eACP___t3c5ddeceACP	Fischerella_thermalis
134	3hcmrs7eACP	h2o	3hcmrs7eACP___h2o	Fischerella_thermalis
135	3hcmrs7eACP	t3c7mrseACP	3hcmrs7eACP___t3c7mrseACP	Fischerella_thermalis
136	3hcpalm9eACP	h2o	3hcpalm9eACP___h2o	Fischerella_thermalis
137	3hcpalm9eACP	t3c9palmeACP	3hcpalm9eACP___t3c9palmeACP	Fischerella_thermalis
138	3hcvac11eACP	h2o	3hcvac11eACP___h2o	Fischerella_thermalis
139	3hcvac11eACP	t3c11vaceACP	3hcvac11eACP___t3c11vaceACP	Fischerella_thermalis
140	3hddecACP	h2o	3hddecACP___h2o	Fischerella_thermalis
141	3hddecACP	tddec2eACP	3hddecACP___tddec2eACP	Fischerella_thermalis
142	3hdecACP	h2o	3hdecACP___h2o	Fischerella_thermalis
143	3hdecACP	tdec2eACP	3hdecACP___tdec2eACP	Fischerella_thermalis
144	3hhexACP	h2o	3hhexACP___h2o	Fischerella_thermalis
145	3hhexACP	thex2eACP	3hhexACP___thex2eACP	Fischerella_thermalis
146	3hmrsACP	h2o	3hmrsACP___h2o	Fischerella_thermalis
147	3hmrsACP	tmrs2eACP	3hmrsACP___tmrs2eACP	Fischerella_thermalis
148	3hoctaACP	h2o	3hoctaACP___h2o	Fischerella_thermalis
149	3hoctaACP	toctd2eACP	3hoctaACP___toctd2eACP	Fischerella_thermalis
