substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Gabonibacter_massiliensis
2	10fthf	thf	10fthf___thf	Gabonibacter_massiliensis
3	12dgr120	adp	12dgr120___adp	Gabonibacter_massiliensis
4	12dgr120	h	12dgr120___h	Gabonibacter_massiliensis
5	12dgr120	pa120	12dgr120___pa120	Gabonibacter_massiliensis
6	12dgr140	adp	12dgr140___adp	Gabonibacter_massiliensis
7	12dgr140	h	12dgr140___h	Gabonibacter_massiliensis
8	12dgr140	pa140	12dgr140___pa140	Gabonibacter_massiliensis
9	12dgr141	adp	12dgr141___adp	Gabonibacter_massiliensis
10	12dgr141	h	12dgr141___h	Gabonibacter_massiliensis
11	12dgr141	pa141	12dgr141___pa141	Gabonibacter_massiliensis
12	12dgr161	adp	12dgr161___adp	Gabonibacter_massiliensis
13	12dgr161	h	12dgr161___h	Gabonibacter_massiliensis
14	12dgr161	pa161	12dgr161___pa161	Gabonibacter_massiliensis
15	12dgr180	adp	12dgr180___adp	Gabonibacter_massiliensis
16	12dgr180	h	12dgr180___h	Gabonibacter_massiliensis
17	12dgr180	pa180	12dgr180___pa180	Gabonibacter_massiliensis
18	12dgr181	adp	12dgr181___adp	Gabonibacter_massiliensis
19	12dgr181	h	12dgr181___h	Gabonibacter_massiliensis
20	12dgr181	pa181	12dgr181___pa181	Gabonibacter_massiliensis
21	12ppd__S	h	12ppd__S___h	Gabonibacter_massiliensis
22	12ppd__S	lald__L	12ppd__S___lald__L	Gabonibacter_massiliensis
23	12ppd__S	nadh	12ppd__S___nadh	Gabonibacter_massiliensis
24	13dpg	3pg	13dpg___3pg	Gabonibacter_massiliensis
25	13dpg	atp	13dpg___atp	Gabonibacter_massiliensis
26	1ddecg3p	ACP	1ddecg3p___ACP	Gabonibacter_massiliensis
27	1ddecg3p	pa120	1ddecg3p___pa120	Gabonibacter_massiliensis
28	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Gabonibacter_massiliensis
29	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Gabonibacter_massiliensis
30	1hdecg3p	ACP	1hdecg3p___ACP	Gabonibacter_massiliensis
31	1hdecg3p	pa160	1hdecg3p___pa160	Gabonibacter_massiliensis
32	1odec11eg3p	ACP	1odec11eg3p___ACP	Gabonibacter_massiliensis
33	1odec11eg3p	pa181	1odec11eg3p___pa181	Gabonibacter_massiliensis
34	1odecg3p	ACP	1odecg3p___ACP	Gabonibacter_massiliensis
35	1odecg3p	pa180	1odecg3p___pa180	Gabonibacter_massiliensis
36	1tdecg3p	ACP	1tdecg3p___ACP	Gabonibacter_massiliensis
37	1tdecg3p	pa140	1tdecg3p___pa140	Gabonibacter_massiliensis
38	23dhdp	thdp	23dhdp___thdp	Gabonibacter_massiliensis
39	25dhpp	5apru	25dhpp___5apru	Gabonibacter_massiliensis
