substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Galbibacter_marinus
2	10fthf	thf	10fthf___thf	Galbibacter_marinus
3	12dgr120	adp	12dgr120___adp	Galbibacter_marinus
4	12dgr120	h	12dgr120___h	Galbibacter_marinus
5	12dgr120	pa120	12dgr120___pa120	Galbibacter_marinus
6	12dgr140	adp	12dgr140___adp	Galbibacter_marinus
7	12dgr140	h	12dgr140___h	Galbibacter_marinus
8	12dgr140	pa140	12dgr140___pa140	Galbibacter_marinus
9	12dgr141	adp	12dgr141___adp	Galbibacter_marinus
10	12dgr141	h	12dgr141___h	Galbibacter_marinus
11	12dgr141	pa141	12dgr141___pa141	Galbibacter_marinus
12	12dgr161	adp	12dgr161___adp	Galbibacter_marinus
13	12dgr161	h	12dgr161___h	Galbibacter_marinus
14	12dgr161	pa161	12dgr161___pa161	Galbibacter_marinus
15	12dgr180	adp	12dgr180___adp	Galbibacter_marinus
16	12dgr180	h	12dgr180___h	Galbibacter_marinus
17	12dgr180	pa180	12dgr180___pa180	Galbibacter_marinus
18	12dgr181	adp	12dgr181___adp	Galbibacter_marinus
19	12dgr181	h	12dgr181___h	Galbibacter_marinus
20	12dgr181	pa181	12dgr181___pa181	Galbibacter_marinus
21	12ppd__S	h	12ppd__S___h	Galbibacter_marinus
22	12ppd__S	lald__L	12ppd__S___lald__L	Galbibacter_marinus
23	12ppd__S	nadh	12ppd__S___nadh	Galbibacter_marinus
24	13dpg	3pg	13dpg___3pg	Galbibacter_marinus
25	13dpg	atp	13dpg___atp	Galbibacter_marinus
26	1ddecg3p	ACP	1ddecg3p___ACP	Galbibacter_marinus
27	1ddecg3p	pa120	1ddecg3p___pa120	Galbibacter_marinus
28	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Galbibacter_marinus
29	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Galbibacter_marinus
30	1hdecg3p	ACP	1hdecg3p___ACP	Galbibacter_marinus
31	1hdecg3p	pa160	1hdecg3p___pa160	Galbibacter_marinus
32	1odec11eg3p	ACP	1odec11eg3p___ACP	Galbibacter_marinus
33	1odec11eg3p	pa181	1odec11eg3p___pa181	Galbibacter_marinus
34	1odecg3p	ACP	1odecg3p___ACP	Galbibacter_marinus
35	1odecg3p	pa180	1odecg3p___pa180	Galbibacter_marinus
36	1pyr5c	nad	1pyr5c___nad	Galbibacter_marinus
37	1pyr5c	nadp	1pyr5c___nadp	Galbibacter_marinus
38	1pyr5c	pro__L	1pyr5c___pro__L	Galbibacter_marinus
39	1tdecg3p	ACP	1tdecg3p___ACP	Galbibacter_marinus
40	1tdecg3p	pa140	1tdecg3p___pa140	Galbibacter_marinus
41	23dhdp	nadp	23dhdp___nadp	Galbibacter_marinus
42	23dhdp	thdp	23dhdp___thdp	Galbibacter_marinus
43	23dhmb	alac__S	23dhmb___alac__S	Galbibacter_marinus
44	23dhmb	h	23dhmb___h	Galbibacter_marinus
45	23dhmb	nadph	23dhmb___nadph	Galbibacter_marinus
46	23dhmp	3mop	23dhmp___3mop	Galbibacter_marinus
47	23dhmp	h2o	23dhmp___h2o	Galbibacter_marinus
48	25aics	aicar	25aics___aicar	Galbibacter_marinus
49	25aics	fum	25aics___fum	Galbibacter_marinus
50	25dhpp	5apru	25dhpp___5apru	Galbibacter_marinus
51	25dhpp	nh4	25dhpp___nh4	Galbibacter_marinus
52	26dap_	adp	26dap____adp	Galbibacter_marinus
