substrate	product	rxn	taxon
1	10fthf	thf	10fthf___thf	Gallaecimonas_xiamenensis
2	12dgr120	adp	12dgr120___adp	Gallaecimonas_xiamenensis
3	12dgr120	h	12dgr120___h	Gallaecimonas_xiamenensis
4	12dgr120	pa120	12dgr120___pa120	Gallaecimonas_xiamenensis
5	12dgr140	adp	12dgr140___adp	Gallaecimonas_xiamenensis
6	12dgr140	h	12dgr140___h	Gallaecimonas_xiamenensis
7	12dgr140	pa140	12dgr140___pa140	Gallaecimonas_xiamenensis
8	12dgr141	adp	12dgr141___adp	Gallaecimonas_xiamenensis
9	12dgr141	h	12dgr141___h	Gallaecimonas_xiamenensis
10	12dgr141	pa141	12dgr141___pa141	Gallaecimonas_xiamenensis
11	12dgr160	adp	12dgr160___adp	Gallaecimonas_xiamenensis
12	12dgr160	h	12dgr160___h	Gallaecimonas_xiamenensis
13	12dgr160	pa160	12dgr160___pa160	Gallaecimonas_xiamenensis
14	12dgr161	adp	12dgr161___adp	Gallaecimonas_xiamenensis
15	12dgr161	h	12dgr161___h	Gallaecimonas_xiamenensis
16	12dgr161	pa161	12dgr161___pa161	Gallaecimonas_xiamenensis
17	12dgr180	adp	12dgr180___adp	Gallaecimonas_xiamenensis
18	12dgr180	h	12dgr180___h	Gallaecimonas_xiamenensis
19	12dgr180	pa180	12dgr180___pa180	Gallaecimonas_xiamenensis
20	12dgr181	adp	12dgr181___adp	Gallaecimonas_xiamenensis
21	12dgr181	h	12dgr181___h	Gallaecimonas_xiamenensis
22	12dgr181	pa181	12dgr181___pa181	Gallaecimonas_xiamenensis
23	12ppd__S	h	12ppd__S___h	Gallaecimonas_xiamenensis
24	12ppd__S	lald__L	12ppd__S___lald__L	Gallaecimonas_xiamenensis
25	12ppd__S	nadh	12ppd__S___nadh	Gallaecimonas_xiamenensis
26	13dpg	3pg	13dpg___3pg	Gallaecimonas_xiamenensis
27	13dpg	atp	13dpg___atp	Gallaecimonas_xiamenensis
28	1ddecg3p	ACP	1ddecg3p___ACP	Gallaecimonas_xiamenensis
29	1ddecg3p	pa120	1ddecg3p___pa120	Gallaecimonas_xiamenensis
30	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Gallaecimonas_xiamenensis
31	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Gallaecimonas_xiamenensis
32	1hdecg3p	ACP	1hdecg3p___ACP	Gallaecimonas_xiamenensis
33	1hdecg3p	pa160	1hdecg3p___pa160	Gallaecimonas_xiamenensis
34	1odec11eg3p	ACP	1odec11eg3p___ACP	Gallaecimonas_xiamenensis
35	1odec11eg3p	pa181	1odec11eg3p___pa181	Gallaecimonas_xiamenensis
36	1odecg3p	ACP	1odecg3p___ACP	Gallaecimonas_xiamenensis
37	1odecg3p	pa180	1odecg3p___pa180	Gallaecimonas_xiamenensis
38	1pyr5c	nadp	1pyr5c___nadp	Gallaecimonas_xiamenensis
39	1pyr5c	pro__L	1pyr5c___pro__L	Gallaecimonas_xiamenensis
40	1tdecg3p	ACP	1tdecg3p___ACP	Gallaecimonas_xiamenensis
41	1tdecg3p	pa140	1tdecg3p___pa140	Gallaecimonas_xiamenensis
42	23dhdp	nadp	23dhdp___nadp	Gallaecimonas_xiamenensis
43	23dhdp	thdp	23dhdp___thdp	Gallaecimonas_xiamenensis
44	23dhmb	alac__S	23dhmb___alac__S	Gallaecimonas_xiamenensis
45	23dhmb	h	23dhmb___h	Gallaecimonas_xiamenensis
46	23dhmb	nadph	23dhmb___nadph	Gallaecimonas_xiamenensis
47	23dhmp	3mop	23dhmp___3mop	Gallaecimonas_xiamenensis
48	23dhmp	h2o	23dhmp___h2o	Gallaecimonas_xiamenensis
49	25aics	aicar	25aics___aicar	Gallaecimonas_xiamenensis
50	25aics	fum	25aics___fum	Gallaecimonas_xiamenensis
51	25dhpp	5apru	25dhpp___5apru	Gallaecimonas_xiamenensis
52	25dhpp	nh4	25dhpp___nh4	Gallaecimonas_xiamenensis
53	26dap_	adp	26dap____adp	Gallaecimonas_xiamenensis
54	26dap_	co2	26dap____co2	Gallaecimonas_xiamenensis
55	26dap_	h	26dap____h	Gallaecimonas_xiamenensis
56	26dap_	lys__L	26dap____lys__L	Gallaecimonas_xiamenensis
57	26dap_	pi	26dap____pi	Gallaecimonas_xiamenensis
58	26dap_	ugmd	26dap____ugmd	Gallaecimonas_xiamenensis
59	26dap_LL	26dap_	26dap_LL___26dap_	Gallaecimonas_xiamenensis
60	2agpe120	amp	2agpe120___amp	Gallaecimonas_xiamenensis
61	2agpe120	pe120	2agpe120___pe120	Gallaecimonas_xiamenensis
62	2agpe120	ppi	2agpe120___ppi	Gallaecimonas_xiamenensis
63	2agpe140	amp	2agpe140___amp	Gallaecimonas_xiamenensis
64	2agpe140	pe140	2agpe140___pe140	Gallaecimonas_xiamenensis
65	2agpe140	ppi	2agpe140___ppi	Gallaecimonas_xiamenensis
66	2agpe141	amp	2agpe141___amp	Gallaecimonas_xiamenensis
67	2agpe141	pe141	2agpe141___pe141	Gallaecimonas_xiamenensis
68	2agpe141	ppi	2agpe141___ppi	Gallaecimonas_xiamenensis
69	2agpe160	amp	2agpe160___amp	Gallaecimonas_xiamenensis
70	2agpe160	pe160	2agpe160___pe160	Gallaecimonas_xiamenensis
71	2agpe160	ppi	2agpe160___ppi	Gallaecimonas_xiamenensis
72	2agpe180	amp	2agpe180___amp	Gallaecimonas_xiamenensis
73	2agpe180	pe180	2agpe180___pe180	Gallaecimonas_xiamenensis
74	2agpe180	ppi	2agpe180___ppi	Gallaecimonas_xiamenensis
75	2agpe181	amp	2agpe181___amp	Gallaecimonas_xiamenensis
76	2agpe181	g3pe	2agpe181___g3pe	Gallaecimonas_xiamenensis
77	2agpe181	h	2agpe181___h	Gallaecimonas_xiamenensis
78	2agpe181	ocdcea	2agpe181___ocdcea	Gallaecimonas_xiamenensis
79	2agpe181	pe181	2agpe181___pe181	Gallaecimonas_xiamenensis
80	2agpe181	ppi	2agpe181___ppi	Gallaecimonas_xiamenensis
81	2agpg120	amp	2agpg120___amp	Gallaecimonas_xiamenensis
82	2agpg120	ddca	2agpg120___ddca	Gallaecimonas_xiamenensis
83	2agpg120	g3pg	2agpg120___g3pg	Gallaecimonas_xiamenensis
84	2agpg120	h	2agpg120___h	Gallaecimonas_xiamenensis
85	2agpg120	pg120	2agpg120___pg120	Gallaecimonas_xiamenensis
86	2agpg120	ppi	2agpg120___ppi	Gallaecimonas_xiamenensis
87	2agpg140	amp	2agpg140___amp	Gallaecimonas_xiamenensis
88	2agpg140	g3pg	2agpg140___g3pg	Gallaecimonas_xiamenensis
89	2agpg140	h	2agpg140___h	Gallaecimonas_xiamenensis
90	2agpg140	pg140	2agpg140___pg140	Gallaecimonas_xiamenensis
91	2agpg140	ppi	2agpg140___ppi	Gallaecimonas_xiamenensis
92	2agpg140	ttdca	2agpg140___ttdca	Gallaecimonas_xiamenensis
93	2agpg141	amp	2agpg141___amp	Gallaecimonas_xiamenensis
94	2agpg141	pg141	2agpg141___pg141	Gallaecimonas_xiamenensis
95	2agpg141	ppi	2agpg141___ppi	Gallaecimonas_xiamenensis
96	2agpg160	amp	2agpg160___amp	Gallaecimonas_xiamenensis
97	2agpg160	g3pg	2agpg160___g3pg	Gallaecimonas_xiamenensis
98	2agpg160	h	2agpg160___h	Gallaecimonas_xiamenensis
99	2agpg160	hdca	2agpg160___hdca	Gallaecimonas_xiamenensis
100	2agpg160	pg160	2agpg160___pg160	Gallaecimonas_xiamenensis
101	2agpg160	ppi	2agpg160___ppi	Gallaecimonas_xiamenensis
102	2agpg161	amp	2agpg161___amp	Gallaecimonas_xiamenensis
103	2agpg161	g3pg	2agpg161___g3pg	Gallaecimonas_xiamenensis
104	2agpg161	h	2agpg161___h	Gallaecimonas_xiamenensis
105	2agpg161	hdcea	2agpg161___hdcea	Gallaecimonas_xiamenensis
106	2agpg161	pg161	2agpg161___pg161	Gallaecimonas_xiamenensis
107	2agpg161	ppi	2agpg161___ppi	Gallaecimonas_xiamenensis
108	2agpg180	amp	2agpg180___amp	Gallaecimonas_xiamenensis
109	2agpg180	g3pg	2agpg180___g3pg	Gallaecimonas_xiamenensis
110	2agpg180	h	2agpg180___h	Gallaecimonas_xiamenensis
111	2agpg180	ocdca	2agpg180___ocdca	Gallaecimonas_xiamenensis
112	2agpg180	pg180	2agpg180___pg180	Gallaecimonas_xiamenensis
113	2agpg180	ppi	2agpg180___ppi	Gallaecimonas_xiamenensis
114	2agpg181	amp	2agpg181___amp	Gallaecimonas_xiamenensis
115	2agpg181	g3pg	2agpg181___g3pg	Gallaecimonas_xiamenensis
116	2agpg181	h	2agpg181___h	Gallaecimonas_xiamenensis
117	2agpg181	ocdcea	2agpg181___ocdcea	Gallaecimonas_xiamenensis
118	2agpg181	pg181	2agpg181___pg181	Gallaecimonas_xiamenensis
119	2agpg181	ppi	2agpg181___ppi	Gallaecimonas_xiamenensis
120	2ahbut	23dhmp	2ahbut___23dhmp	Gallaecimonas_xiamenensis
121	2ahbut	nadp	2ahbut___nadp	Gallaecimonas_xiamenensis
122	2amsa	nadp	2amsa___nadp	Gallaecimonas_xiamenensis
123	2amsa	ser__L	2amsa___ser__L	Gallaecimonas_xiamenensis
124	2aobut	athr__L	2aobut___athr__L	Gallaecimonas_xiamenensis
125	2aobut	nadp	2aobut___nadp	Gallaecimonas_xiamenensis
126	2cpr5p	3ig3p	2cpr5p___3ig3p	Gallaecimonas_xiamenensis
127	2cpr5p	co2	2cpr5p___co2	Gallaecimonas_xiamenensis
128	2cpr5p	h2o	2cpr5p___h2o	Gallaecimonas_xiamenensis
129	2dda7p	3dhq	2dda7p___3dhq	Gallaecimonas_xiamenensis
130	2dda7p	pi	2dda7p___pi	Gallaecimonas_xiamenensis
131	2ddg6p	g3p	2ddg6p___g3p	Gallaecimonas_xiamenensis
132	2ddg6p	pyr	2ddg6p___pyr	Gallaecimonas_xiamenensis
133	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Gallaecimonas_xiamenensis
134	2ddglcn	adp	2ddglcn___adp	Gallaecimonas_xiamenensis
135	2ddglcn	h	2ddglcn___h	Gallaecimonas_xiamenensis
136	2dhglcn	6p2dhglcn	2dhglcn___6p2dhglcn	Gallaecimonas_xiamenensis
137	2dhglcn	adp	2dhglcn___adp	Gallaecimonas_xiamenensis
138	2dhp	nadp	2dhp___nadp	Gallaecimonas_xiamenensis
139	2dhp	pant__R	2dhp___pant__R	Gallaecimonas_xiamenensis
140	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Gallaecimonas_xiamenensis
141	2dmmq8	nad	2dmmq8___nad	Gallaecimonas_xiamenensis
142	2dmmql8	ahcys	2dmmql8___ahcys	Gallaecimonas_xiamenensis
143	2dmmql8	h	2dmmql8___h	Gallaecimonas_xiamenensis
144	2dmmql8	mql8	2dmmql8___mql8	Gallaecimonas_xiamenensis
145	2dr1p	2dr5p	2dr1p___2dr5p	Gallaecimonas_xiamenensis
146	2dr5p	acald	2dr5p___acald	Gallaecimonas_xiamenensis
147	2dr5p	g3p	2dr5p___g3p	Gallaecimonas_xiamenensis
148	2fe1s	adp	2fe1s___adp	Gallaecimonas_xiamenensis
149	2fe1s	h	2fe1s___h	Gallaecimonas_xiamenensis
150	2fe1s	iscs	2fe1s___iscs	Gallaecimonas_xiamenensis
151	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Gallaecimonas_xiamenensis
152	2fe1s	pi	2fe1s___pi	Gallaecimonas_xiamenensis
153	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Gallaecimonas_xiamenensis
154	2fe1s	sufse	2fe1s___sufse	Gallaecimonas_xiamenensis
155	2fe2s	2fe1s	2fe2s___2fe1s	Gallaecimonas_xiamenensis
156	2fe2s	btn	2fe2s___btn	Gallaecimonas_xiamenensis
157	2fe2s	dad_5	2fe2s___dad_5	Gallaecimonas_xiamenensis
158	2fe2s	h	2fe2s___h	Gallaecimonas_xiamenensis
159	2fe2s	met__L	2fe2s___met__L	Gallaecimonas_xiamenensis
160	2h3opp	glyc__R	2h3opp___glyc__R	Gallaecimonas_xiamenensis
161	2h3opp	nad	2h3opp___nad	Gallaecimonas_xiamenensis
162	2hh24dd	4h2kpi	2hh24dd___4h2kpi	Gallaecimonas_xiamenensis
163	2ippm	3c2hmp	2ippm___3c2hmp	Gallaecimonas_xiamenensis
164	2kmb	akg	2kmb___akg	Gallaecimonas_xiamenensis
165	2kmb	met__L	2kmb___met__L	Gallaecimonas_xiamenensis
166	2mahmp	4ampm	2mahmp___4ampm	Gallaecimonas_xiamenensis
167	2mahmp	h	2mahmp___h	Gallaecimonas_xiamenensis
168	2mahmp	pi	2mahmp___pi	Gallaecimonas_xiamenensis
169	2mahmp	ppi	2mahmp___ppi	Gallaecimonas_xiamenensis
