substrate	product	rxn	taxon
1	10fthf	thf	10fthf___thf	Glaciecola_punicea
2	12ppd__S	h	12ppd__S___h	Glaciecola_punicea
3	12ppd__S	lald__L	12ppd__S___lald__L	Glaciecola_punicea
4	12ppd__S	nadh	12ppd__S___nadh	Glaciecola_punicea
5	13dpg	3pg	13dpg___3pg	Glaciecola_punicea
6	13dpg	atp	13dpg___atp	Glaciecola_punicea
7	1ddecg3p	ACP	1ddecg3p___ACP	Glaciecola_punicea
8	1ddecg3p	pa120	1ddecg3p___pa120	Glaciecola_punicea
9	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Glaciecola_punicea
10	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Glaciecola_punicea
11	1hdecg3p	ACP	1hdecg3p___ACP	Glaciecola_punicea
12	1hdecg3p	pa160	1hdecg3p___pa160	Glaciecola_punicea
13	1odec11eg3p	ACP	1odec11eg3p___ACP	Glaciecola_punicea
14	1odec11eg3p	pa181	1odec11eg3p___pa181	Glaciecola_punicea
15	1odecg3p	ACP	1odecg3p___ACP	Glaciecola_punicea
16	1odecg3p	pa180	1odecg3p___pa180	Glaciecola_punicea
17	1pyr5c	nadp	1pyr5c___nadp	Glaciecola_punicea
18	1pyr5c	pro__L	1pyr5c___pro__L	Glaciecola_punicea
19	1tdecg3p	ACP	1tdecg3p___ACP	Glaciecola_punicea
20	1tdecg3p	pa140	1tdecg3p___pa140	Glaciecola_punicea
21	23dhdp	nadp	23dhdp___nadp	Glaciecola_punicea
22	23dhdp	thdp	23dhdp___thdp	Glaciecola_punicea
23	23dhmb	alac__S	23dhmb___alac__S	Glaciecola_punicea
24	23dhmb	h	23dhmb___h	Glaciecola_punicea
25	23dhmb	nadph	23dhmb___nadph	Glaciecola_punicea
26	23dhmp	3mop	23dhmp___3mop	Glaciecola_punicea
27	23dhmp	h2o	23dhmp___h2o	Glaciecola_punicea
28	25aics	aicar	25aics___aicar	Glaciecola_punicea
29	25aics	fum	25aics___fum	Glaciecola_punicea
30	25dhpp	5apru	25dhpp___5apru	Glaciecola_punicea
31	25dhpp	nh4	25dhpp___nh4	Glaciecola_punicea
32	26dap_	adp	26dap____adp	Glaciecola_punicea
33	26dap_	co2	26dap____co2	Glaciecola_punicea
34	26dap_	h	26dap____h	Glaciecola_punicea
35	26dap_	lys__L	26dap____lys__L	Glaciecola_punicea
36	26dap_	pi	26dap____pi	Glaciecola_punicea
37	26dap_	ugmd	26dap____ugmd	Glaciecola_punicea
38	26dap_LL	26dap_	26dap_LL___26dap_	Glaciecola_punicea
39	2agpe181	g3pe	2agpe181___g3pe	Glaciecola_punicea
40	2agpe181	h	2agpe181___h	Glaciecola_punicea
41	2agpe181	ocdcea	2agpe181___ocdcea	Glaciecola_punicea
42	2agpg120	ddca	2agpg120___ddca	Glaciecola_punicea
43	2agpg120	g3pg	2agpg120___g3pg	Glaciecola_punicea
44	2agpg120	h	2agpg120___h	Glaciecola_punicea
45	2agpg140	g3pg	2agpg140___g3pg	Glaciecola_punicea
46	2agpg140	h	2agpg140___h	Glaciecola_punicea
47	2agpg140	ttdca	2agpg140___ttdca	Glaciecola_punicea
48	2agpg160	g3pg	2agpg160___g3pg	Glaciecola_punicea
49	2agpg160	h	2agpg160___h	Glaciecola_punicea
50	2agpg160	hdca	2agpg160___hdca	Glaciecola_punicea
51	2agpg161	g3pg	2agpg161___g3pg	Glaciecola_punicea
52	2agpg161	h	2agpg161___h	Glaciecola_punicea
53	2agpg161	hdcea	2agpg161___hdcea	Glaciecola_punicea
54	2agpg180	g3pg	2agpg180___g3pg	Glaciecola_punicea
55	2agpg180	h	2agpg180___h	Glaciecola_punicea
56	2agpg180	ocdca	2agpg180___ocdca	Glaciecola_punicea
57	2agpg181	g3pg	2agpg181___g3pg	Glaciecola_punicea
58	2agpg181	h	2agpg181___h	Glaciecola_punicea
59	2agpg181	ocdcea	2agpg181___ocdcea	Glaciecola_punicea
60	2ahbut	23dhmp	2ahbut___23dhmp	Glaciecola_punicea
61	2ahbut	nadp	2ahbut___nadp	Glaciecola_punicea
62	2amsa	nadp	2amsa___nadp	Glaciecola_punicea
63	2amsa	ser__L	2amsa___ser__L	Glaciecola_punicea
64	2aobut	athr__L	2aobut___athr__L	Glaciecola_punicea
65	2aobut	nadp	2aobut___nadp	Glaciecola_punicea
66	2cpr5p	3ig3p	2cpr5p___3ig3p	Glaciecola_punicea
67	2cpr5p	co2	2cpr5p___co2	Glaciecola_punicea
68	2cpr5p	h2o	2cpr5p___h2o	Glaciecola_punicea
69	2dda7p	3dhq	2dda7p___3dhq	Glaciecola_punicea
70	2dda7p	pi	2dda7p___pi	Glaciecola_punicea
71	2ddg6p	g3p	2ddg6p___g3p	Glaciecola_punicea
72	2ddg6p	pyr	2ddg6p___pyr	Glaciecola_punicea
73	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Glaciecola_punicea
74	2ddglcn	adp	2ddglcn___adp	Glaciecola_punicea
75	2ddglcn	h	2ddglcn___h	Glaciecola_punicea
76	2dhp	nadp	2dhp___nadp	Glaciecola_punicea
77	2dhp	pant__R	2dhp___pant__R	Glaciecola_punicea
78	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Glaciecola_punicea
79	2dmmq8	nad	2dmmq8___nad	Glaciecola_punicea
80	2dmmql8	ahcys	2dmmql8___ahcys	Glaciecola_punicea
81	2dmmql8	h	2dmmql8___h	Glaciecola_punicea
82	2dmmql8	mql8	2dmmql8___mql8	Glaciecola_punicea
83	2fe1s	adp	2fe1s___adp	Glaciecola_punicea
84	2fe1s	h	2fe1s___h	Glaciecola_punicea
85	2fe1s	iscs	2fe1s___iscs	Glaciecola_punicea
