substrate	product	rxn	taxon
1	10fthf	thf	10fthf___thf	Gottschalkia_acidurici
2	12dgr120	adp	12dgr120___adp	Gottschalkia_acidurici
3	12dgr120	h	12dgr120___h	Gottschalkia_acidurici
4	12dgr120	pa120	12dgr120___pa120	Gottschalkia_acidurici
5	12dgr140	adp	12dgr140___adp	Gottschalkia_acidurici
6	12dgr140	h	12dgr140___h	Gottschalkia_acidurici
7	12dgr140	pa140	12dgr140___pa140	Gottschalkia_acidurici
8	12dgr141	adp	12dgr141___adp	Gottschalkia_acidurici
9	12dgr141	h	12dgr141___h	Gottschalkia_acidurici
10	12dgr141	pa141	12dgr141___pa141	Gottschalkia_acidurici
11	12dgr160	adp	12dgr160___adp	Gottschalkia_acidurici
12	12dgr160	h	12dgr160___h	Gottschalkia_acidurici
13	12dgr160	pa160	12dgr160___pa160	Gottschalkia_acidurici
14	12dgr161	adp	12dgr161___adp	Gottschalkia_acidurici
15	12dgr161	h	12dgr161___h	Gottschalkia_acidurici
16	12dgr161	pa161	12dgr161___pa161	Gottschalkia_acidurici
17	12dgr180	adp	12dgr180___adp	Gottschalkia_acidurici
18	12dgr180	h	12dgr180___h	Gottschalkia_acidurici
19	12dgr180	pa180	12dgr180___pa180	Gottschalkia_acidurici
20	12dgr181	adp	12dgr181___adp	Gottschalkia_acidurici
21	12dgr181	h	12dgr181___h	Gottschalkia_acidurici
22	12dgr181	pa181	12dgr181___pa181	Gottschalkia_acidurici
23	13dpg	3pg	13dpg___3pg	Gottschalkia_acidurici
24	13dpg	atp	13dpg___atp	Gottschalkia_acidurici
25	1ddecg3p	ACP	1ddecg3p___ACP	Gottschalkia_acidurici
26	1ddecg3p	pa120	1ddecg3p___pa120	Gottschalkia_acidurici
27	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Gottschalkia_acidurici
28	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Gottschalkia_acidurici
29	1hdecg3p	ACP	1hdecg3p___ACP	Gottschalkia_acidurici
30	1hdecg3p	pa160	1hdecg3p___pa160	Gottschalkia_acidurici
31	1odec11eg3p	ACP	1odec11eg3p___ACP	Gottschalkia_acidurici
32	1odec11eg3p	pa181	1odec11eg3p___pa181	Gottschalkia_acidurici
33	1odecg3p	ACP	1odecg3p___ACP	Gottschalkia_acidurici
34	1odecg3p	pa180	1odecg3p___pa180	Gottschalkia_acidurici
35	1pyr5c	nad	1pyr5c___nad	Gottschalkia_acidurici
36	1pyr5c	nadp	1pyr5c___nadp	Gottschalkia_acidurici
37	1pyr5c	pro__L	1pyr5c___pro__L	Gottschalkia_acidurici
38	1tdecg3p	ACP	1tdecg3p___ACP	Gottschalkia_acidurici
39	1tdecg3p	pa140	1tdecg3p___pa140	Gottschalkia_acidurici
40	23dhdp	nadp	23dhdp___nadp	Gottschalkia_acidurici
41	23dhdp	thdp	23dhdp___thdp	Gottschalkia_acidurici
42	23dhmb	alac__S	23dhmb___alac__S	Gottschalkia_acidurici
43	23dhmb	h	23dhmb___h	Gottschalkia_acidurici
44	23dhmb	nadph	23dhmb___nadph	Gottschalkia_acidurici
45	23dhmp	3mop	23dhmp___3mop	Gottschalkia_acidurici
46	23dhmp	h2o	23dhmp___h2o	Gottschalkia_acidurici
47	25dhpp	5apru	25dhpp___5apru	Gottschalkia_acidurici
48	25dhpp	nh4	25dhpp___nh4	Gottschalkia_acidurici
49	26dap_	adp	26dap____adp	Gottschalkia_acidurici
50	26dap_	co2	26dap____co2	Gottschalkia_acidurici
51	26dap_	h	26dap____h	Gottschalkia_acidurici
52	26dap_	lys__L	26dap____lys__L	Gottschalkia_acidurici
53	26dap_	pi	26dap____pi	Gottschalkia_acidurici
54	26dap_	ugmd	26dap____ugmd	Gottschalkia_acidurici
55	26dap_LL	26dap_	26dap_LL___26dap_	Gottschalkia_acidurici
56	2agpg160	amp	2agpg160___amp	Gottschalkia_acidurici
57	2agpg160	pg160	2agpg160___pg160	Gottschalkia_acidurici
58	2agpg160	ppi	2agpg160___ppi	Gottschalkia_acidurici
59	2ahbut	23dhmp	2ahbut___23dhmp	Gottschalkia_acidurici
60	2ahbut	nadp	2ahbut___nadp	Gottschalkia_acidurici
61	2ahhmp	dhpt	2ahhmp___dhpt	Gottschalkia_acidurici
62	2ahhmp	h2o	2ahhmp___h2o	Gottschalkia_acidurici
63	2aobut	athr__L	2aobut___athr__L	Gottschalkia_acidurici
64	2aobut	nadp	2aobut___nadp	Gottschalkia_acidurici
65	2cpr5p	3ig3p	2cpr5p___3ig3p	Gottschalkia_acidurici
66	2cpr5p	co2	2cpr5p___co2	Gottschalkia_acidurici
67	2cpr5p	h2o	2cpr5p___h2o	Gottschalkia_acidurici
68	2dda7p	3dhq	2dda7p___3dhq	Gottschalkia_acidurici
69	2dda7p	pi	2dda7p___pi	Gottschalkia_acidurici
70	2dhp	nadp	2dhp___nadp	Gottschalkia_acidurici
71	2dhp	pant__R	2dhp___pant__R	Gottschalkia_acidurici
72	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Gottschalkia_acidurici
73	2dmmql8	2dmmq8	2dmmql8___2dmmq8	Gottschalkia_acidurici
74	2dmmql8	ahcys	2dmmql8___ahcys	Gottschalkia_acidurici
75	2dmmql8	h	2dmmql8___h	Gottschalkia_acidurici
76	2dmmql8	mql8	2dmmql8___mql8	Gottschalkia_acidurici
77	2dmmql8	succ	2dmmql8___succ	Gottschalkia_acidurici
78	2dr1p	2dr5p	2dr1p___2dr5p	Gottschalkia_acidurici
79	2dr5p	acald	2dr5p___acald	Gottschalkia_acidurici
80	2dr5p	g3p	2dr5p___g3p	Gottschalkia_acidurici
81	2fe1s	adp	2fe1s___adp	Gottschalkia_acidurici
82	2fe1s	h	2fe1s___h	Gottschalkia_acidurici
83	2fe1s	iscs	2fe1s___iscs	Gottschalkia_acidurici
84	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Gottschalkia_acidurici
85	2fe1s	pi	2fe1s___pi	Gottschalkia_acidurici
86	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Gottschalkia_acidurici
87	2fe1s	sufse	2fe1s___sufse	Gottschalkia_acidurici
88	2fe2s	2fe1s	2fe2s___2fe1s	Gottschalkia_acidurici
89	2fe2s	btn	2fe2s___btn	Gottschalkia_acidurici
90	2fe2s	dad_5	2fe2s___dad_5	Gottschalkia_acidurici
91	2fe2s	h	2fe2s___h	Gottschalkia_acidurici
92	2fe2s	met__L	2fe2s___met__L	Gottschalkia_acidurici
93	2ippm	3c2hmp	2ippm___3c2hmp	Gottschalkia_acidurici
94	2kmb	akg	2kmb___akg	Gottschalkia_acidurici
95	2kmb	met__L	2kmb___met__L	Gottschalkia_acidurici
96	2mahmp	ppi	2mahmp___ppi	Gottschalkia_acidurici
97	2mahmp	thmmp	2mahmp___thmmp	Gottschalkia_acidurici
98	2mbcoa	3mop	2mbcoa___3mop	Gottschalkia_acidurici
99	2mbcoa	coa	2mbcoa___coa	Gottschalkia_acidurici
100	2mbcoa	fdxo_42	2mbcoa___fdxo_42	Gottschalkia_acidurici
101	2me4p	4c2me	2me4p___4c2me	Gottschalkia_acidurici
102	2me4p	ppi	2me4p___ppi	Gottschalkia_acidurici
103	2mecdp	h2mb4p	2mecdp___h2mb4p	Gottschalkia_acidurici
104	2mecdp	h2o	2mecdp___h2o	Gottschalkia_acidurici
105	2obut	2ahbut	2obut___2ahbut	Gottschalkia_acidurici
106	2obut	co2	2obut___co2	Gottschalkia_acidurici
107	2obut	nadh	2obut___nadh	Gottschalkia_acidurici
108	2obut	ppcoa	2obut___ppcoa	Gottschalkia_acidurici
109	2p4c2me	2mecdp	2p4c2me___2mecdp	Gottschalkia_acidurici
110	2p4c2me	cmp	2p4c2me___cmp	Gottschalkia_acidurici
111	2pg	h2o	2pg___h2o	Gottschalkia_acidurici
112	2pg	pep	2pg___pep	Gottschalkia_acidurici
113	34hpp	akg	34hpp___akg	Gottschalkia_acidurici
114	34hpp	tyr__L	34hpp___tyr__L	Gottschalkia_acidurici
115	3amp	adn	3amp___adn	Gottschalkia_acidurici
116	3amp	pi	3amp___pi	Gottschalkia_acidurici
117	3c2hmp	3c4mop	3c2hmp___3c4mop	Gottschalkia_acidurici
118	3c2hmp	h	3c2hmp___h	Gottschalkia_acidurici
119	3c2hmp	nadh	3c2hmp___nadh	Gottschalkia_acidurici
120	3c3hmp	2ippm	3c3hmp___2ippm	Gottschalkia_acidurici
121	3c3hmp	h2o	3c3hmp___h2o	Gottschalkia_acidurici
122	3c4mop	4mop	3c4mop___4mop	Gottschalkia_acidurici
123	3c4mop	co2	3c4mop___co2	Gottschalkia_acidurici
124	3cmp	cytd	3cmp___cytd	Gottschalkia_acidurici
125	3cmp	pi	3cmp___pi	Gottschalkia_acidurici
126	3dhq	3dhsk	3dhq___3dhsk	Gottschalkia_acidurici
127	3dhq	h2o	3dhq___h2o	Gottschalkia_acidurici
128	3dhsk	nadp	3dhsk___nadp	Gottschalkia_acidurici
129	3dhsk	skm	3dhsk___skm	Gottschalkia_acidurici
130	3gmp	gsn	3gmp___gsn	Gottschalkia_acidurici
131	3gmp	pi	3gmp___pi	Gottschalkia_acidurici
132	3haACP	but2eACP	3haACP___but2eACP	Gottschalkia_acidurici
133	3haACP	h2o	3haACP___h2o	Gottschalkia_acidurici
134	3hcddec5eACP	h2o	3hcddec5eACP___h2o	Gottschalkia_acidurici
135	3hcddec5eACP	t3c5ddeceACP	3hcddec5eACP___t3c5ddeceACP	Gottschalkia_acidurici
136	3hcmrs7eACP	h2o	3hcmrs7eACP___h2o	Gottschalkia_acidurici
137	3hcmrs7eACP	t3c7mrseACP	3hcmrs7eACP___t3c7mrseACP	Gottschalkia_acidurici
138	3hcpalm9eACP	h2o	3hcpalm9eACP___h2o	Gottschalkia_acidurici
139	3hcpalm9eACP	t3c9palmeACP	3hcpalm9eACP___t3c9palmeACP	Gottschalkia_acidurici
140	3hcvac11eACP	h2o	3hcvac11eACP___h2o	Gottschalkia_acidurici
141	3hcvac11eACP	t3c11vaceACP	3hcvac11eACP___t3c11vaceACP	Gottschalkia_acidurici
142	3hddecACP	h2o	3hddecACP___h2o	Gottschalkia_acidurici
143	3hddecACP	tddec2eACP	3hddecACP___tddec2eACP	Gottschalkia_acidurici
144	3hdecACP	h2o	3hdecACP___h2o	Gottschalkia_acidurici
145	3hdecACP	tdec2eACP	3hdecACP___tdec2eACP	Gottschalkia_acidurici
146	3hhexACP	h2o	3hhexACP___h2o	Gottschalkia_acidurici
147	3hhexACP	thex2eACP	3hhexACP___thex2eACP	Gottschalkia_acidurici
148	3hmrsACP	h2o	3hmrsACP___h2o	Gottschalkia_acidurici
149	3hmrsACP	tmrs2eACP	3hmrsACP___tmrs2eACP	Gottschalkia_acidurici
150	3hoctaACP	h2o	3hoctaACP___h2o	Gottschalkia_acidurici
151	3hoctaACP	toctd2eACP	3hoctaACP___toctd2eACP	Gottschalkia_acidurici
152	3hoctACP	h2o	3hoctACP___h2o	Gottschalkia_acidurici
153	3hoctACP	toct2eACP	3hoctACP___toct2eACP	Gottschalkia_acidurici
154	3hpalmACP	h2o	3hpalmACP___h2o	Gottschalkia_acidurici
155	3hpalmACP	tpalm2eACP	3hpalmACP___tpalm2eACP	Gottschalkia_acidurici
156	3ig3p	g3p	3ig3p___g3p	Gottschalkia_acidurici
