substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Granulicoccus_phenolivorans
2	10fthf	thf	10fthf___thf	Granulicoccus_phenolivorans
3	12dgr120	adp	12dgr120___adp	Granulicoccus_phenolivorans
4	12dgr120	h	12dgr120___h	Granulicoccus_phenolivorans
5	12dgr120	pa120	12dgr120___pa120	Granulicoccus_phenolivorans
6	12dgr140	adp	12dgr140___adp	Granulicoccus_phenolivorans
7	12dgr140	h	12dgr140___h	Granulicoccus_phenolivorans
8	12dgr140	pa140	12dgr140___pa140	Granulicoccus_phenolivorans
9	12dgr141	adp	12dgr141___adp	Granulicoccus_phenolivorans
10	12dgr141	h	12dgr141___h	Granulicoccus_phenolivorans
11	12dgr141	pa141	12dgr141___pa141	Granulicoccus_phenolivorans
12	12dgr161	adp	12dgr161___adp	Granulicoccus_phenolivorans
13	12dgr161	h	12dgr161___h	Granulicoccus_phenolivorans
14	12dgr161	pa161	12dgr161___pa161	Granulicoccus_phenolivorans
15	12dgr180	adp	12dgr180___adp	Granulicoccus_phenolivorans
16	12dgr180	h	12dgr180___h	Granulicoccus_phenolivorans
17	12dgr180	pa180	12dgr180___pa180	Granulicoccus_phenolivorans
18	12dgr181	adp	12dgr181___adp	Granulicoccus_phenolivorans
19	12dgr181	h	12dgr181___h	Granulicoccus_phenolivorans
20	12dgr181	pa181	12dgr181___pa181	Granulicoccus_phenolivorans
21	13dpg	3pg	13dpg___3pg	Granulicoccus_phenolivorans
22	13dpg	atp	13dpg___atp	Granulicoccus_phenolivorans
23	1hdecg3p	ACP	1hdecg3p___ACP	Granulicoccus_phenolivorans
24	1hdecg3p	pa160	1hdecg3p___pa160	Granulicoccus_phenolivorans
25	1odec11eg3p	ACP	1odec11eg3p___ACP	Granulicoccus_phenolivorans
26	1odec11eg3p	pa181	1odec11eg3p___pa181	Granulicoccus_phenolivorans
27	1odecg3p	ACP	1odecg3p___ACP	Granulicoccus_phenolivorans
28	1odecg3p	pa180	1odecg3p___pa180	Granulicoccus_phenolivorans
29	1pyr5c	nad	1pyr5c___nad	Granulicoccus_phenolivorans
30	1pyr5c	nadp	1pyr5c___nadp	Granulicoccus_phenolivorans
31	1pyr5c	pro__L	1pyr5c___pro__L	Granulicoccus_phenolivorans
32	23dhdp	nadp	23dhdp___nadp	Granulicoccus_phenolivorans
33	23dhdp	thdp	23dhdp___thdp	Granulicoccus_phenolivorans
34	23dhmb	alac__S	23dhmb___alac__S	Granulicoccus_phenolivorans
35	23dhmb	h	23dhmb___h	Granulicoccus_phenolivorans
36	23dhmb	nadph	23dhmb___nadph	Granulicoccus_phenolivorans
37	23dhmp	3mop	23dhmp___3mop	Granulicoccus_phenolivorans
38	23dhmp	h2o	23dhmp___h2o	Granulicoccus_phenolivorans
39	25aics	aicar	25aics___aicar	Granulicoccus_phenolivorans
40	25aics	fum	25aics___fum	Granulicoccus_phenolivorans
41	25dhpp	5apru	25dhpp___5apru	Granulicoccus_phenolivorans
42	25dhpp	nh4	25dhpp___nh4	Granulicoccus_phenolivorans
43	26dap_	adp	26dap____adp	Granulicoccus_phenolivorans
44	26dap_	co2	26dap____co2	Granulicoccus_phenolivorans
45	26dap_	h	26dap____h	Granulicoccus_phenolivorans
46	26dap_	lys__L	26dap____lys__L	Granulicoccus_phenolivorans
47	26dap_	pi	26dap____pi	Granulicoccus_phenolivorans
48	26dap_	ugmd	26dap____ugmd	Granulicoccus_phenolivorans
49	26dap_LL	26dap_	26dap_LL___26dap_	Granulicoccus_phenolivorans
50	2agpe120	amp	2agpe120___amp	Granulicoccus_phenolivorans
51	2agpe120	pe120	2agpe120___pe120	Granulicoccus_phenolivorans
52	2agpe120	ppi	2agpe120___ppi	Granulicoccus_phenolivorans
53	2agpe140	amp	2agpe140___amp	Granulicoccus_phenolivorans
54	2agpe140	pe140	2agpe140___pe140	Granulicoccus_phenolivorans
55	2agpe140	ppi	2agpe140___ppi	Granulicoccus_phenolivorans
56	2agpe141	amp	2agpe141___amp	Granulicoccus_phenolivorans
57	2agpe141	pe141	2agpe141___pe141	Granulicoccus_phenolivorans
58	2agpe141	ppi	2agpe141___ppi	Granulicoccus_phenolivorans
59	2agpe160	amp	2agpe160___amp	Granulicoccus_phenolivorans
60	2agpe160	pe160	2agpe160___pe160	Granulicoccus_phenolivorans
61	2agpe160	ppi	2agpe160___ppi	Granulicoccus_phenolivorans
62	2agpe180	amp	2agpe180___amp	Granulicoccus_phenolivorans
63	2agpe180	pe180	2agpe180___pe180	Granulicoccus_phenolivorans
64	2agpe180	ppi	2agpe180___ppi	Granulicoccus_phenolivorans
65	2agpe181	amp	2agpe181___amp	Granulicoccus_phenolivorans
66	2agpe181	pe181	2agpe181___pe181	Granulicoccus_phenolivorans
67	2agpe181	ppi	2agpe181___ppi	Granulicoccus_phenolivorans
68	2agpg141	amp	2agpg141___amp	Granulicoccus_phenolivorans
69	2agpg141	pg141	2agpg141___pg141	Granulicoccus_phenolivorans
70	2agpg141	ppi	2agpg141___ppi	Granulicoccus_phenolivorans
71	2ahbut	23dhmp	2ahbut___23dhmp	Granulicoccus_phenolivorans
72	2ahbut	nadp	2ahbut___nadp	Granulicoccus_phenolivorans
73	2amsa	nadp	2amsa___nadp	Granulicoccus_phenolivorans
74	2aobut	athr__L	2aobut___athr__L	Granulicoccus_phenolivorans
75	2aobut	nadp	2aobut___nadp	Granulicoccus_phenolivorans
76	2cpr5p	3ig3p	2cpr5p___3ig3p	Granulicoccus_phenolivorans
77	2cpr5p	co2	2cpr5p___co2	Granulicoccus_phenolivorans
78	2cpr5p	h2o	2cpr5p___h2o	Granulicoccus_phenolivorans
79	2dda7p	3dhq	2dda7p___3dhq	Granulicoccus_phenolivorans
80	2dda7p	pi	2dda7p___pi	Granulicoccus_phenolivorans
81	2dhp	nadp	2dhp___nadp	Granulicoccus_phenolivorans
82	2dhp	pant__R	2dhp___pant__R	Granulicoccus_phenolivorans
83	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Granulicoccus_phenolivorans
84	2dmmq8	nad	2dmmq8___nad	Granulicoccus_phenolivorans
85	2dmmql8	2dmmq8	2dmmql8___2dmmq8	Granulicoccus_phenolivorans
86	2dmmql8	succ	2dmmql8___succ	Granulicoccus_phenolivorans
87	2dr5p	acald	2dr5p___acald	Granulicoccus_phenolivorans
88	2dr5p	g3p	2dr5p___g3p	Granulicoccus_phenolivorans
89	2fe1s	adp	2fe1s___adp	Granulicoccus_phenolivorans
90	2fe1s	h	2fe1s___h	Granulicoccus_phenolivorans
91	2fe1s	iscs	2fe1s___iscs	Granulicoccus_phenolivorans
92	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Granulicoccus_phenolivorans
93	2fe1s	pi	2fe1s___pi	Granulicoccus_phenolivorans
94	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Granulicoccus_phenolivorans
95	2fe1s	sufse	2fe1s___sufse	Granulicoccus_phenolivorans
96	2fe2s	2fe1s	2fe2s___2fe1s	Granulicoccus_phenolivorans
97	2fe2s	btn	2fe2s___btn	Granulicoccus_phenolivorans
98	2fe2s	dad_5	2fe2s___dad_5	Granulicoccus_phenolivorans
99	2fe2s	h	2fe2s___h	Granulicoccus_phenolivorans
100	2fe2s	met__L	2fe2s___met__L	Granulicoccus_phenolivorans
101	2h3opp	glyc__R	2h3opp___glyc__R	Granulicoccus_phenolivorans
102	2h3opp	nad	2h3opp___nad	Granulicoccus_phenolivorans
103	2hh24dd	4h2kpi	2hh24dd___4h2kpi	Granulicoccus_phenolivorans
104	2ippm	3c2hmp	2ippm___3c2hmp	Granulicoccus_phenolivorans
105	2mahmp	ppi	2mahmp___ppi	Granulicoccus_phenolivorans
106	2mahmp	thmmp	2mahmp___thmmp	Granulicoccus_phenolivorans
107	2me4p	4c2me	2me4p___4c2me	Granulicoccus_phenolivorans
108	2me4p	ppi	2me4p___ppi	Granulicoccus_phenolivorans
109	2mecdp	h2mb4p	2mecdp___h2mb4p	Granulicoccus_phenolivorans
110	2mecdp	h2o	2mecdp___h2o	Granulicoccus_phenolivorans
111	2obut	2ahbut	2obut___2ahbut	Granulicoccus_phenolivorans
112	2obut	co2	2obut___co2	Granulicoccus_phenolivorans
113	2obut	nadh	2obut___nadh	Granulicoccus_phenolivorans
114	2obut	ppcoa	2obut___ppcoa	Granulicoccus_phenolivorans
115	2p4c2me	2mecdp	2p4c2me___2mecdp	Granulicoccus_phenolivorans
116	2p4c2me	cmp	2p4c2me___cmp	Granulicoccus_phenolivorans
117	2pg	h2o	2pg___h2o	Granulicoccus_phenolivorans
118	2pg	pep	2pg___pep	Granulicoccus_phenolivorans
119	2pglyc	glyclt	2pglyc___glyclt	Granulicoccus_phenolivorans
120	2pglyc	pi	2pglyc___pi	Granulicoccus_phenolivorans
121	2shchc	h2o	2shchc___h2o	Granulicoccus_phenolivorans
122	2shchc	sucbz	2shchc___sucbz	Granulicoccus_phenolivorans
123	34dhbz	CCbuttc	34dhbz___CCbuttc	Granulicoccus_phenolivorans
124	34dhbz	h	34dhbz___h	Granulicoccus_phenolivorans
125	34dhpha	5cmhmsa	34dhpha___5cmhmsa	Granulicoccus_phenolivorans
126	34dhpha	h	34dhpha___h	Granulicoccus_phenolivorans
127	34hpp	akg	34hpp___akg	Granulicoccus_phenolivorans
128	34hpp	tyr__L	34hpp___tyr__L	Granulicoccus_phenolivorans
129	3c2hmp	3c4mop	3c2hmp___3c4mop	Granulicoccus_phenolivorans
130	3c2hmp	h	3c2hmp___h	Granulicoccus_phenolivorans
131	3c2hmp	nadh	3c2hmp___nadh	Granulicoccus_phenolivorans
132	3c3hmp	2ippm	3c3hmp___2ippm	Granulicoccus_phenolivorans
133	3c3hmp	h2o	3c3hmp___h2o	Granulicoccus_phenolivorans
134	3c4mop	4mop	3c4mop___4mop	Granulicoccus_phenolivorans
135	3c4mop	co2	3c4mop___co2	Granulicoccus_phenolivorans
136	3dhq	3dhsk	3dhq___3dhsk	Granulicoccus_phenolivorans
137	3dhq	h2o	3dhq___h2o	Granulicoccus_phenolivorans
138	3dhsk	nadp	3dhsk___nadp	Granulicoccus_phenolivorans
139	3dhsk	skm	3dhsk___skm	Granulicoccus_phenolivorans
140	3haACP	but2eACP	3haACP___but2eACP	Granulicoccus_phenolivorans
141	3haACP	h2o	3haACP___h2o	Granulicoccus_phenolivorans
142	3hcvac11eACP	h2o	3hcvac11eACP___h2o	Granulicoccus_phenolivorans
143	3hcvac11eACP	t3c11vaceACP	3hcvac11eACP___t3c11vaceACP	Granulicoccus_phenolivorans
144	3hddecACP	h2o	3hddecACP___h2o	Granulicoccus_phenolivorans
145	3hddecACP	tddec2eACP	3hddecACP___tddec2eACP	Granulicoccus_phenolivorans
146	3hdecACP	h2o	3hdecACP___h2o	Granulicoccus_phenolivorans
147	3hdecACP	tdec2eACP	3hdecACP___tdec2eACP	Granulicoccus_phenolivorans
148	3hhexACP	h2o	3hhexACP___h2o	Granulicoccus_phenolivorans
149	3hhexACP	thex2eACP	3hhexACP___thex2eACP	Granulicoccus_phenolivorans
150	3hmrsACP	h2o	3hmrsACP___h2o	Granulicoccus_phenolivorans
151	3hmrsACP	tmrs2eACP	3hmrsACP___tmrs2eACP	Granulicoccus_phenolivorans
152	3hoctaACP	h2o	3hoctaACP___h2o	Granulicoccus_phenolivorans
153	3hoctaACP	toctd2eACP	3hoctaACP___toctd2eACP	Granulicoccus_phenolivorans
154	3hoctACP	h2o	3hoctACP___h2o	Granulicoccus_phenolivorans
155	3hoctACP	toct2eACP	3hoctACP___toct2eACP	Granulicoccus_phenolivorans
156	3hoxpac	34dhpha	3hoxpac___34dhpha	Granulicoccus_phenolivorans
157	3hoxpac	h2o	3hoxpac___h2o	Granulicoccus_phenolivorans
158	3hoxpac	nad	3hoxpac___nad	Granulicoccus_phenolivorans
159	3hpalmACP	h2o	3hpalmACP___h2o	Granulicoccus_phenolivorans
160	3hpalmACP	tpalm2eACP	3hpalmACP___tpalm2eACP	Granulicoccus_phenolivorans
161	3ig3p	g3p	3ig3p___g3p	Granulicoccus_phenolivorans
162	3ig3p	h2o	3ig3p___h2o	Granulicoccus_phenolivorans
163	3ig3p	indole	3ig3p___indole	Granulicoccus_phenolivorans
164	3ig3p	trp__L	3ig3p___trp__L	Granulicoccus_phenolivorans
165	3mob	2dhp	3mob___2dhp	Granulicoccus_phenolivorans
166	3mob	3c3hmp	3mob___3c3hmp	Granulicoccus_phenolivorans
167	3mob	co2	3mob___co2	Granulicoccus_phenolivorans
168	3mob	coa	3mob___coa	Granulicoccus_phenolivorans
169	3mob	h	3mob___h	Granulicoccus_phenolivorans
170	3mob	ibcoa	3mob___ibcoa	Granulicoccus_phenolivorans
171	3mob	nadh	3mob___nadh	Granulicoccus_phenolivorans
172	3mob	thf	3mob___thf	Granulicoccus_phenolivorans
173	3mop	2mbcoa	3mop___2mbcoa	Granulicoccus_phenolivorans
174	3mop	akg	3mop___akg	Granulicoccus_phenolivorans
175	3mop	co2	3mop___co2	Granulicoccus_phenolivorans
176	3mop	ile__L	3mop___ile__L	Granulicoccus_phenolivorans
177	3mop	nadh	3mop___nadh	Granulicoccus_phenolivorans
178	3ocvac11eACP	3hcvac11eACP	3ocvac11eACP___3hcvac11eACP	Granulicoccus_phenolivorans
179	3ocvac11eACP	nadp	3ocvac11eACP___nadp	Granulicoccus_phenolivorans
180	3oddcoa	accoa	3oddcoa___accoa	Granulicoccus_phenolivorans
181	3oddcoa	dccoa	3oddcoa___dccoa	Granulicoccus_phenolivorans
182	3oddecACP	3hddecACP	3oddecACP___3hddecACP	Granulicoccus_phenolivorans
183	3oddecACP	nadp	3oddecACP___nadp	Granulicoccus_phenolivorans
184	3odecACP	3hdecACP	3odecACP___3hdecACP	Granulicoccus_phenolivorans
185	3odecACP	nadp	3odecACP___nadp	Granulicoccus_phenolivorans
186	3ohcoa	accoa	3ohcoa___accoa	Granulicoccus_phenolivorans
187	3ohcoa	btcoa	3ohcoa___btcoa	Granulicoccus_phenolivorans
188	3ohdcoa	accoa	3ohdcoa___accoa	Granulicoccus_phenolivorans
189	3ohdcoa	tdcoa	3ohdcoa___tdcoa	Granulicoccus_phenolivorans
190	3ohexACP	3hhexACP	3ohexACP___3hhexACP	Granulicoccus_phenolivorans
191	3ohexACP	nadp	3ohexACP___nadp	Granulicoccus_phenolivorans
192	3omrsACP	3hmrsACP	3omrsACP___3hmrsACP	Granulicoccus_phenolivorans
193	3omrsACP	nadp	3omrsACP___nadp	Granulicoccus_phenolivorans
194	3ooctACP	3hoctACP	3ooctACP___3hoctACP	Granulicoccus_phenolivorans
195	3ooctACP	nadp	3ooctACP___nadp	Granulicoccus_phenolivorans
196	3ooctdACP	3hoctaACP	3ooctdACP___3hoctaACP	Granulicoccus_phenolivorans
197	3ooctdACP	nadp	3ooctdACP___nadp	Granulicoccus_phenolivorans
198	3opalmACP	3hpalmACP	3opalmACP___3hpalmACP	Granulicoccus_phenolivorans
199	3opalmACP	nadp	3opalmACP___nadp	Granulicoccus_phenolivorans
200	3pg	2pg	3pg___2pg	Granulicoccus_phenolivorans
201	3pg	3php	3pg___3php	Granulicoccus_phenolivorans
202	3pg	h	3pg___h	Granulicoccus_phenolivorans
203	3pg	nadh	3pg___nadh	Granulicoccus_phenolivorans
204	3php	akg	3php___akg	Granulicoccus_phenolivorans
205	3php	pser__L	3php___pser__L	Granulicoccus_phenolivorans
206	3psme	chor	3psme___chor	Granulicoccus_phenolivorans
207	3psme	pi	3psme___pi	Granulicoccus_phenolivorans
208	4abz	dhpt	4abz___dhpt	Granulicoccus_phenolivorans
209	4adcho	4abz	4adcho___4abz	Granulicoccus_phenolivorans
210	4adcho	h	4adcho___h	Granulicoccus_phenolivorans
211	4adcho	pyr	4adcho___pyr	Granulicoccus_phenolivorans
212	4ahmmp	4ampm	4ahmmp___4ampm	Granulicoccus_phenolivorans
213	4ahmmp	adp	4ahmmp___adp	Granulicoccus_phenolivorans
214	4ahmmp	h	4ahmmp___h	Granulicoccus_phenolivorans
215	4ampm	2mahmp	4ampm___2mahmp	Granulicoccus_phenolivorans
216	4ampm	adp	4ampm___adp	Granulicoccus_phenolivorans
217	4c2me	2p4c2me	4c2me___2p4c2me	Granulicoccus_phenolivorans
218	4c2me	adp	4c2me___adp	Granulicoccus_phenolivorans
