substrate	product	rxn	taxon
1	10fthf	thf	10fthf___thf	Hallella_seregens
2	12dgr120	adp	12dgr120___adp	Hallella_seregens
3	12dgr120	h	12dgr120___h	Hallella_seregens
4	12dgr120	pa120	12dgr120___pa120	Hallella_seregens
5	12dgr140	adp	12dgr140___adp	Hallella_seregens
6	12dgr140	h	12dgr140___h	Hallella_seregens
7	12dgr140	pa140	12dgr140___pa140	Hallella_seregens
8	12dgr141	adp	12dgr141___adp	Hallella_seregens
9	12dgr141	h	12dgr141___h	Hallella_seregens
10	12dgr141	pa141	12dgr141___pa141	Hallella_seregens
11	12dgr161	adp	12dgr161___adp	Hallella_seregens
12	12dgr161	h	12dgr161___h	Hallella_seregens
13	12dgr161	pa161	12dgr161___pa161	Hallella_seregens
14	12dgr180	adp	12dgr180___adp	Hallella_seregens
15	12dgr180	h	12dgr180___h	Hallella_seregens
16	12dgr180	pa180	12dgr180___pa180	Hallella_seregens
17	12dgr181	adp	12dgr181___adp	Hallella_seregens
18	12dgr181	h	12dgr181___h	Hallella_seregens
19	12dgr181	pa181	12dgr181___pa181	Hallella_seregens
20	13dpg	3pg	13dpg___3pg	Hallella_seregens
21	13dpg	atp	13dpg___atp	Hallella_seregens
22	1ddecg3p	ACP	1ddecg3p___ACP	Hallella_seregens
23	1ddecg3p	pa120	1ddecg3p___pa120	Hallella_seregens
24	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Hallella_seregens
25	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Hallella_seregens
26	1hdecg3p	ACP	1hdecg3p___ACP	Hallella_seregens
27	1hdecg3p	pa160	1hdecg3p___pa160	Hallella_seregens
28	1odec11eg3p	ACP	1odec11eg3p___ACP	Hallella_seregens
29	1odec11eg3p	pa181	1odec11eg3p___pa181	Hallella_seregens
30	1odecg3p	ACP	1odecg3p___ACP	Hallella_seregens
31	1odecg3p	pa180	1odecg3p___pa180	Hallella_seregens
32	1pyr5c	nad	1pyr5c___nad	Hallella_seregens
33	1pyr5c	nadp	1pyr5c___nadp	Hallella_seregens
34	1pyr5c	pro__L	1pyr5c___pro__L	Hallella_seregens
35	1tdecg3p	ACP	1tdecg3p___ACP	Hallella_seregens
36	1tdecg3p	pa140	1tdecg3p___pa140	Hallella_seregens
37	23dhdp	thdp	23dhdp___thdp	Hallella_seregens
38	23dhmp	3mop	23dhmp___3mop	Hallella_seregens
