substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Halothermothrix_orenii
2	10fthf	thf	10fthf___thf	Halothermothrix_orenii
3	12dgr120	adp	12dgr120___adp	Halothermothrix_orenii
4	12dgr120	h	12dgr120___h	Halothermothrix_orenii
5	12dgr120	pa120	12dgr120___pa120	Halothermothrix_orenii
6	12dgr140	adp	12dgr140___adp	Halothermothrix_orenii
7	12dgr140	h	12dgr140___h	Halothermothrix_orenii
8	12dgr140	pa140	12dgr140___pa140	Halothermothrix_orenii
9	12dgr141	adp	12dgr141___adp	Halothermothrix_orenii
10	12dgr141	h	12dgr141___h	Halothermothrix_orenii
11	12dgr141	pa141	12dgr141___pa141	Halothermothrix_orenii
12	12dgr160	adp	12dgr160___adp	Halothermothrix_orenii
13	12dgr160	h	12dgr160___h	Halothermothrix_orenii
14	12dgr160	pa160	12dgr160___pa160	Halothermothrix_orenii
15	12dgr161	adp	12dgr161___adp	Halothermothrix_orenii
16	12dgr161	h	12dgr161___h	Halothermothrix_orenii
17	12dgr161	pa161	12dgr161___pa161	Halothermothrix_orenii
18	12dgr180	adp	12dgr180___adp	Halothermothrix_orenii
19	12dgr180	h	12dgr180___h	Halothermothrix_orenii
20	12dgr180	pa180	12dgr180___pa180	Halothermothrix_orenii
21	12dgr181	adp	12dgr181___adp	Halothermothrix_orenii
22	12dgr181	h	12dgr181___h	Halothermothrix_orenii
23	12dgr181	pa181	12dgr181___pa181	Halothermothrix_orenii
24	13dpg	3pg	13dpg___3pg	Halothermothrix_orenii
25	13dpg	atp	13dpg___atp	Halothermothrix_orenii
26	14glucan	malthx	14glucan___malthx	Halothermothrix_orenii
27	1ddecg3p	ACP	1ddecg3p___ACP	Halothermothrix_orenii
28	1ddecg3p	pa120	1ddecg3p___pa120	Halothermothrix_orenii
29	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Halothermothrix_orenii
30	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Halothermothrix_orenii
31	1hdecg3p	ACP	1hdecg3p___ACP	Halothermothrix_orenii
32	1hdecg3p	pa160	1hdecg3p___pa160	Halothermothrix_orenii
33	1odec11eg3p	ACP	1odec11eg3p___ACP	Halothermothrix_orenii
34	1odec11eg3p	pa181	1odec11eg3p___pa181	Halothermothrix_orenii
35	1odecg3p	ACP	1odecg3p___ACP	Halothermothrix_orenii
36	1odecg3p	pa180	1odecg3p___pa180	Halothermothrix_orenii
37	1pyr5c	nad	1pyr5c___nad	Halothermothrix_orenii
38	1pyr5c	nadp	1pyr5c___nadp	Halothermothrix_orenii
39	1pyr5c	pro__L	1pyr5c___pro__L	Halothermothrix_orenii
40	1tdecg3p	ACP	1tdecg3p___ACP	Halothermothrix_orenii
41	1tdecg3p	pa140	1tdecg3p___pa140	Halothermothrix_orenii
42	23dhdp	nadp	23dhdp___nadp	Halothermothrix_orenii
43	23dhdp	thdp	23dhdp___thdp	Halothermothrix_orenii
44	23dhmb	alac__S	23dhmb___alac__S	Halothermothrix_orenii
45	23dhmb	h	23dhmb___h	Halothermothrix_orenii
46	23dhmb	nadph	23dhmb___nadph	Halothermothrix_orenii
47	23dhmp	3mop	23dhmp___3mop	Halothermothrix_orenii
48	23dhmp	h2o	23dhmp___h2o	Halothermothrix_orenii
49	25aics	aicar	25aics___aicar	Halothermothrix_orenii
50	25aics	fum	25aics___fum	Halothermothrix_orenii
51	25dhpp	5apru	25dhpp___5apru	Halothermothrix_orenii
52	25dhpp	nh4	25dhpp___nh4	Halothermothrix_orenii
53	26dap_	adp	26dap____adp	Halothermothrix_orenii
54	26dap_	co2	26dap____co2	Halothermothrix_orenii
55	26dap_	h	26dap____h	Halothermothrix_orenii
56	26dap_	lys__L	26dap____lys__L	Halothermothrix_orenii
57	26dap_	pi	26dap____pi	Halothermothrix_orenii
58	26dap_	ugmd	26dap____ugmd	Halothermothrix_orenii
59	26dap_LL	26dap_	26dap_LL___26dap_	Halothermothrix_orenii
60	2agpe120	amp	2agpe120___amp	Halothermothrix_orenii
61	2agpe120	pe120	2agpe120___pe120	Halothermothrix_orenii
62	2agpe120	ppi	2agpe120___ppi	Halothermothrix_orenii
63	2agpe140	amp	2agpe140___amp	Halothermothrix_orenii
64	2agpe140	pe140	2agpe140___pe140	Halothermothrix_orenii
65	2agpe140	ppi	2agpe140___ppi	Halothermothrix_orenii
66	2agpe141	amp	2agpe141___amp	Halothermothrix_orenii
67	2agpe141	pe141	2agpe141___pe141	Halothermothrix_orenii
68	2agpe141	ppi	2agpe141___ppi	Halothermothrix_orenii
69	2agpe180	amp	2agpe180___amp	Halothermothrix_orenii
70	2agpe180	pe180	2agpe180___pe180	Halothermothrix_orenii
71	2agpe180	ppi	2agpe180___ppi	Halothermothrix_orenii
72	2agpe181	amp	2agpe181___amp	Halothermothrix_orenii
73	2agpe181	pe181	2agpe181___pe181	Halothermothrix_orenii
74	2agpe181	ppi	2agpe181___ppi	Halothermothrix_orenii
75	2agpg160	g3pg	2agpg160___g3pg	Halothermothrix_orenii
76	2agpg160	h	2agpg160___h	Halothermothrix_orenii
77	2agpg160	hdca	2agpg160___hdca	Halothermothrix_orenii
78	2agpg161	g3pg	2agpg161___g3pg	Halothermothrix_orenii
79	2agpg161	h	2agpg161___h	Halothermothrix_orenii
80	2agpg161	hdcea	2agpg161___hdcea	Halothermothrix_orenii
81	2ahbut	23dhmp	2ahbut___23dhmp	Halothermothrix_orenii
82	2ahbut	nadp	2ahbut___nadp	Halothermothrix_orenii
83	2aobut	athr__L	2aobut___athr__L	Halothermothrix_orenii
84	2aobut	nadp	2aobut___nadp	Halothermothrix_orenii
85	2dda7p	3dhq	2dda7p___3dhq	Halothermothrix_orenii
86	2dda7p	pi	2dda7p___pi	Halothermothrix_orenii
87	2dhp	nadp	2dhp___nadp	Halothermothrix_orenii
88	2dhp	pant__R	2dhp___pant__R	Halothermothrix_orenii
89	2dmmql8	ahcys	2dmmql8___ahcys	Halothermothrix_orenii
90	2dmmql8	h	2dmmql8___h	Halothermothrix_orenii
91	2dmmql8	mql8	2dmmql8___mql8	Halothermothrix_orenii
92	2dr5p	acald	2dr5p___acald	Halothermothrix_orenii
93	2dr5p	g3p	2dr5p___g3p	Halothermothrix_orenii
94	2fe1s	adp	2fe1s___adp	Halothermothrix_orenii
95	2fe1s	h	2fe1s___h	Halothermothrix_orenii
96	2fe1s	iscs	2fe1s___iscs	Halothermothrix_orenii
97	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Halothermothrix_orenii
98	2fe1s	pi	2fe1s___pi	Halothermothrix_orenii
99	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Halothermothrix_orenii
100	2fe1s	sufse	2fe1s___sufse	Halothermothrix_orenii
101	2fe2s	2fe1s	2fe2s___2fe1s	Halothermothrix_orenii
102	2fe2s	btn	2fe2s___btn	Halothermothrix_orenii
103	2fe2s	dad_5	2fe2s___dad_5	Halothermothrix_orenii
104	2fe2s	h	2fe2s___h	Halothermothrix_orenii
105	2fe2s	met__L	2fe2s___met__L	Halothermothrix_orenii
106	2h3opp	glyc__R	2h3opp___glyc__R	Halothermothrix_orenii
107	2h3opp	nad	2h3opp___nad	Halothermothrix_orenii
108	2ins	adp	2ins___adp	Halothermothrix_orenii
109	2ins	dhap	2ins___dhap	Halothermothrix_orenii
110	2ins	h	2ins___h	Halothermothrix_orenii
111	2ins	msa	2ins___msa	Halothermothrix_orenii
112	2ippm	3c2hmp	2ippm___3c2hmp	Halothermothrix_orenii
113	2kmb	met__L	2kmb___met__L	Halothermothrix_orenii
114	2mahmp	ppi	2mahmp___ppi	Halothermothrix_orenii
115	2mahmp	thmmp	2mahmp___thmmp	Halothermothrix_orenii
116	2mbcoa	3mop	2mbcoa___3mop	Halothermothrix_orenii
117	2mbcoa	coa	2mbcoa___coa	Halothermothrix_orenii
118	2mbcoa	fdxo_42	2mbcoa___fdxo_42	Halothermothrix_orenii
119	2me4p	4c2me	2me4p___4c2me	Halothermothrix_orenii
120	2me4p	ppi	2me4p___ppi	Halothermothrix_orenii
121	2mecdp	h2mb4p	2mecdp___h2mb4p	Halothermothrix_orenii
122	2mecdp	h2o	2mecdp___h2o	Halothermothrix_orenii
123	2obut	2ahbut	2obut___2ahbut	Halothermothrix_orenii
124	2obut	co2	2obut___co2	Halothermothrix_orenii
125	2obut	for	2obut___for	Halothermothrix_orenii
126	2obut	ppcoa	2obut___ppcoa	Halothermothrix_orenii
127	2p4c2me	2mecdp	2p4c2me___2mecdp	Halothermothrix_orenii
128	2p4c2me	cmp	2p4c2me___cmp	Halothermothrix_orenii
129	2pg	h2o	2pg___h2o	Halothermothrix_orenii
130	2pg	pep	2pg___pep	Halothermothrix_orenii
131	34dhpha	5cmhmsa	34dhpha___5cmhmsa	Halothermothrix_orenii
132	34dhpha	h	34dhpha___h	Halothermothrix_orenii
133	34hpp	akg	34hpp___akg	Halothermothrix_orenii
134	34hpp	tyr__L	34hpp___tyr__L	Halothermothrix_orenii
135	3c2hmp	3c4mop	3c2hmp___3c4mop	Halothermothrix_orenii
136	3c2hmp	h	3c2hmp___h	Halothermothrix_orenii
137	3c2hmp	nadh	3c2hmp___nadh	Halothermothrix_orenii
138	3c3hmp	2ippm	3c3hmp___2ippm	Halothermothrix_orenii
139	3c3hmp	h2o	3c3hmp___h2o	Halothermothrix_orenii
140	3c4mop	4mop	3c4mop___4mop	Halothermothrix_orenii
141	3c4mop	co2	3c4mop___co2	Halothermothrix_orenii
142	3dhq	3dhsk	3dhq___3dhsk	Halothermothrix_orenii
143	3dhq	h2o	3dhq___h2o	Halothermothrix_orenii
144	3dhsk	nadp	3dhsk___nadp	Halothermothrix_orenii
145	3dhsk	skm	3dhsk___skm	Halothermothrix_orenii
146	3haACP	but2eACP	3haACP___but2eACP	Halothermothrix_orenii
147	3haACP	h2o	3haACP___h2o	Halothermothrix_orenii
148	3hcddec5eACP	h2o	3hcddec5eACP___h2o	Halothermothrix_orenii
149	3hcddec5eACP	t3c5ddeceACP	3hcddec5eACP___t3c5ddeceACP	Halothermothrix_orenii
150	3hcmrs7eACP	h2o	3hcmrs7eACP___h2o	Halothermothrix_orenii
151	3hcmrs7eACP	t3c7mrseACP	3hcmrs7eACP___t3c7mrseACP	Halothermothrix_orenii
152	3hcpalm9eACP	h2o	3hcpalm9eACP___h2o	Halothermothrix_orenii
153	3hcpalm9eACP	t3c9palmeACP	3hcpalm9eACP___t3c9palmeACP	Halothermothrix_orenii
154	3hcvac11eACP	h2o	3hcvac11eACP___h2o	Halothermothrix_orenii
155	3hcvac11eACP	t3c11vaceACP	3hcvac11eACP___t3c11vaceACP	Halothermothrix_orenii
156	3hddecACP	h2o	3hddecACP___h2o	Halothermothrix_orenii
157	3hddecACP	tddec2eACP	3hddecACP___tddec2eACP	Halothermothrix_orenii
158	3hdecACP	h2o	3hdecACP___h2o	Halothermothrix_orenii
159	3hdecACP	tdec2eACP	3hdecACP___tdec2eACP	Halothermothrix_orenii
160	3hhexACP	h2o	3hhexACP___h2o	Halothermothrix_orenii
161	3hhexACP	thex2eACP	3hhexACP___thex2eACP	Halothermothrix_orenii
162	3hmrsACP	ACP	3hmrsACP___ACP	Halothermothrix_orenii
163	3hmrsACP	h	3hmrsACP___h	Halothermothrix_orenii
164	3hmrsACP	h2o	3hmrsACP___h2o	Halothermothrix_orenii
165	3hmrsACP	tmrs2eACP	3hmrsACP___tmrs2eACP	Halothermothrix_orenii
166	3hmrsACP	u23ga	3hmrsACP___u23ga	Halothermothrix_orenii
167	3hmrsACP	u3aga	3hmrsACP___u3aga	Halothermothrix_orenii
168	3hoctaACP	h2o	3hoctaACP___h2o	Halothermothrix_orenii
169	3hoctaACP	toctd2eACP	3hoctaACP___toctd2eACP	Halothermothrix_orenii
170	3hoctACP	h2o	3hoctACP___h2o	Halothermothrix_orenii
171	3hoctACP	toct2eACP	3hoctACP___toct2eACP	Halothermothrix_orenii
172	3hpalmACP	h2o	3hpalmACP___h2o	Halothermothrix_orenii
173	3hpalmACP	tpalm2eACP	3hpalmACP___tpalm2eACP	Halothermothrix_orenii
174	3mob	2dhp	3mob___2dhp	Halothermothrix_orenii
175	3mob	3c3hmp	3mob___3c3hmp	Halothermothrix_orenii
176	3mob	co2	3mob___co2	Halothermothrix_orenii
177	3mob	coa	3mob___coa	Halothermothrix_orenii
178	3mob	h	3mob___h	Halothermothrix_orenii
179	3mob	ibcoa	3mob___ibcoa	Halothermothrix_orenii
180	3mob	nadh	3mob___nadh	Halothermothrix_orenii
181	3mob	thf	3mob___thf	Halothermothrix_orenii
182	3mop	2mbcoa	3mop___2mbcoa	Halothermothrix_orenii
