substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Hasllibacter_halocynthiae
2	10fthf	thf	10fthf___thf	Hasllibacter_halocynthiae
3	12ppd__S	h	12ppd__S___h	Hasllibacter_halocynthiae
4	12ppd__S	lald__L	12ppd__S___lald__L	Hasllibacter_halocynthiae
5	12ppd__S	nadh	12ppd__S___nadh	Hasllibacter_halocynthiae
6	13dpg	3pg	13dpg___3pg	Hasllibacter_halocynthiae
7	13dpg	atp	13dpg___atp	Hasllibacter_halocynthiae
8	1ddecg3p	ACP	1ddecg3p___ACP	Hasllibacter_halocynthiae
9	1ddecg3p	pa120	1ddecg3p___pa120	Hasllibacter_halocynthiae
10	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Hasllibacter_halocynthiae
11	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Hasllibacter_halocynthiae
12	1hdecg3p	ACP	1hdecg3p___ACP	Hasllibacter_halocynthiae
13	1hdecg3p	pa160	1hdecg3p___pa160	Hasllibacter_halocynthiae
14	1odec11eg3p	ACP	1odec11eg3p___ACP	Hasllibacter_halocynthiae
15	1odec11eg3p	pa181	1odec11eg3p___pa181	Hasllibacter_halocynthiae
16	1odecg3p	ACP	1odecg3p___ACP	Hasllibacter_halocynthiae
17	1odecg3p	pa180	1odecg3p___pa180	Hasllibacter_halocynthiae
18	1pyr5c	nad	1pyr5c___nad	Hasllibacter_halocynthiae
19	1pyr5c	nadp	1pyr5c___nadp	Hasllibacter_halocynthiae
20	1pyr5c	pro__L	1pyr5c___pro__L	Hasllibacter_halocynthiae
21	1tdecg3p	ACP	1tdecg3p___ACP	Hasllibacter_halocynthiae
22	1tdecg3p	pa140	1tdecg3p___pa140	Hasllibacter_halocynthiae
23	23dhdp	nadp	23dhdp___nadp	Hasllibacter_halocynthiae
24	23dhdp	thdp	23dhdp___thdp	Hasllibacter_halocynthiae
25	23dhmb	alac__S	23dhmb___alac__S	Hasllibacter_halocynthiae
26	23dhmb	h	23dhmb___h	Hasllibacter_halocynthiae
27	23dhmb	nadph	23dhmb___nadph	Hasllibacter_halocynthiae
28	23dhmp	3mop	23dhmp___3mop	Hasllibacter_halocynthiae
29	23dhmp	h2o	23dhmp___h2o	Hasllibacter_halocynthiae
30	25aics	aicar	25aics___aicar	Hasllibacter_halocynthiae
31	25aics	fum	25aics___fum	Hasllibacter_halocynthiae
32	25dhpp	5apru	25dhpp___5apru	Hasllibacter_halocynthiae
33	25dhpp	nh4	25dhpp___nh4	Hasllibacter_halocynthiae
34	26dap_	adp	26dap____adp	Hasllibacter_halocynthiae
35	26dap_	co2	26dap____co2	Hasllibacter_halocynthiae
36	26dap_	h	26dap____h	Hasllibacter_halocynthiae
37	26dap_	lys__L	26dap____lys__L	Hasllibacter_halocynthiae
38	26dap_	pi	26dap____pi	Hasllibacter_halocynthiae
39	26dap_	ugmd	26dap____ugmd	Hasllibacter_halocynthiae
40	26dap_LL	26dap_	26dap_LL___26dap_	Hasllibacter_halocynthiae
41	2agpe120	amp	2agpe120___amp	Hasllibacter_halocynthiae
42	2agpe120	pe120	2agpe120___pe120	Hasllibacter_halocynthiae
43	2agpe120	ppi	2agpe120___ppi	Hasllibacter_halocynthiae
44	2agpe140	amp	2agpe140___amp	Hasllibacter_halocynthiae
45	2agpe140	pe140	2agpe140___pe140	Hasllibacter_halocynthiae
46	2agpe140	ppi	2agpe140___ppi	Hasllibacter_halocynthiae
47	2agpe141	amp	2agpe141___amp	Hasllibacter_halocynthiae
48	2agpe141	pe141	2agpe141___pe141	Hasllibacter_halocynthiae
49	2agpe141	ppi	2agpe141___ppi	Hasllibacter_halocynthiae
50	2agpe160	amp	2agpe160___amp	Hasllibacter_halocynthiae
51	2agpe160	pe160	2agpe160___pe160	Hasllibacter_halocynthiae
52	2agpe160	ppi	2agpe160___ppi	Hasllibacter_halocynthiae
53	2agpe180	amp	2agpe180___amp	Hasllibacter_halocynthiae
54	2agpe180	pe180	2agpe180___pe180	Hasllibacter_halocynthiae
55	2agpe180	ppi	2agpe180___ppi	Hasllibacter_halocynthiae
56	2agpe181	amp	2agpe181___amp	Hasllibacter_halocynthiae
57	2agpe181	pe181	2agpe181___pe181	Hasllibacter_halocynthiae
58	2agpe181	ppi	2agpe181___ppi	Hasllibacter_halocynthiae
59	2ahbut	23dhmp	2ahbut___23dhmp	Hasllibacter_halocynthiae
60	2ahbut	nadp	2ahbut___nadp	Hasllibacter_halocynthiae
61	2ahhmp	dhpt	2ahhmp___dhpt	Hasllibacter_halocynthiae
62	2ahhmp	h2o	2ahhmp___h2o	Hasllibacter_halocynthiae
63	2aobut	athr__L	2aobut___athr__L	Hasllibacter_halocynthiae
64	2aobut	nadp	2aobut___nadp	Hasllibacter_halocynthiae
65	2cpr5p	3ig3p	2cpr5p___3ig3p	Hasllibacter_halocynthiae
66	2cpr5p	co2	2cpr5p___co2	Hasllibacter_halocynthiae
67	2cpr5p	h2o	2cpr5p___h2o	Hasllibacter_halocynthiae
68	2dda7p	3dhq	2dda7p___3dhq	Hasllibacter_halocynthiae
69	2dda7p	pi	2dda7p___pi	Hasllibacter_halocynthiae
70	2ddg6p	g3p	2ddg6p___g3p	Hasllibacter_halocynthiae
71	2ddg6p	pyr	2ddg6p___pyr	Hasllibacter_halocynthiae
72	2dhp	nadp	2dhp___nadp	Hasllibacter_halocynthiae
73	2dhp	pant__R	2dhp___pant__R	Hasllibacter_halocynthiae
74	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Hasllibacter_halocynthiae
75	2dmmq8	nad	2dmmq8___nad	Hasllibacter_halocynthiae
76	2dmmql8	ahcys	2dmmql8___ahcys	Hasllibacter_halocynthiae
77	2dmmql8	h	2dmmql8___h	Hasllibacter_halocynthiae
78	2dmmql8	mql8	2dmmql8___mql8	Hasllibacter_halocynthiae
79	2dr5p	acald	2dr5p___acald	Hasllibacter_halocynthiae
80	2dr5p	g3p	2dr5p___g3p	Hasllibacter_halocynthiae
81	2fe1s	adp	2fe1s___adp	Hasllibacter_halocynthiae
82	2fe1s	h	2fe1s___h	Hasllibacter_halocynthiae
83	2fe1s	iscs	2fe1s___iscs	Hasllibacter_halocynthiae
84	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Hasllibacter_halocynthiae
85	2fe1s	pi	2fe1s___pi	Hasllibacter_halocynthiae
86	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Hasllibacter_halocynthiae
87	2fe1s	sufse	2fe1s___sufse	Hasllibacter_halocynthiae
88	2fe2s	2fe1s	2fe2s___2fe1s	Hasllibacter_halocynthiae
89	2fe2s	btn	2fe2s___btn	Hasllibacter_halocynthiae
90	2fe2s	dad_5	2fe2s___dad_5	Hasllibacter_halocynthiae
91	2fe2s	h	2fe2s___h	Hasllibacter_halocynthiae
92	2fe2s	met__L	2fe2s___met__L	Hasllibacter_halocynthiae
93	2h3opp	glyc__R	2h3opp___glyc__R	Hasllibacter_halocynthiae
94	2h3opp	nad	2h3opp___nad	Hasllibacter_halocynthiae
95	2ins	adp	2ins___adp	Hasllibacter_halocynthiae
96	2ins	dhap	2ins___dhap	Hasllibacter_halocynthiae
97	2ins	h	2ins___h	Hasllibacter_halocynthiae
98	2ins	msa	2ins___msa	Hasllibacter_halocynthiae
99	2ippm	3c2hmp	2ippm___3c2hmp	Hasllibacter_halocynthiae
100	2me4p	4c2me	2me4p___4c2me	Hasllibacter_halocynthiae
101	2me4p	ppi	2me4p___ppi	Hasllibacter_halocynthiae
102	2mecdp	h2mb4p	2mecdp___h2mb4p	Hasllibacter_halocynthiae
103	2mecdp	h2o	2mecdp___h2o	Hasllibacter_halocynthiae
104	2obut	2ahbut	2obut___2ahbut	Hasllibacter_halocynthiae
105	2obut	co2	2obut___co2	Hasllibacter_halocynthiae
106	2obut	nadh	2obut___nadh	Hasllibacter_halocynthiae
107	2obut	ppcoa	2obut___ppcoa	Hasllibacter_halocynthiae
108	2p4c2me	2mecdp	2p4c2me___2mecdp	Hasllibacter_halocynthiae
109	2p4c2me	cmp	2p4c2me___cmp	Hasllibacter_halocynthiae
110	2pg	h2o	2pg___h2o	Hasllibacter_halocynthiae
111	2pg	pep	2pg___pep	Hasllibacter_halocynthiae
112	2pglyc	glyclt	2pglyc___glyclt	Hasllibacter_halocynthiae
113	2pglyc	pi	2pglyc___pi	Hasllibacter_halocynthiae
114	34dhbz	CCbuttc	34dhbz___CCbuttc	Hasllibacter_halocynthiae
115	34dhbz	h	34dhbz___h	Hasllibacter_halocynthiae
116	34dhpha	5cmhmsa	34dhpha___5cmhmsa	Hasllibacter_halocynthiae
117	34dhpha	h	34dhpha___h	Hasllibacter_halocynthiae
118	34hpp	akg	34hpp___akg	Hasllibacter_halocynthiae
119	34hpp	tyr__L	34hpp___tyr__L	Hasllibacter_halocynthiae
120	3amp	adn	3amp___adn	Hasllibacter_halocynthiae
121	3amp	pi	3amp___pi	Hasllibacter_halocynthiae
122	3c2hmp	3c4mop	3c2hmp___3c4mop	Hasllibacter_halocynthiae
123	3c2hmp	h	3c2hmp___h	Hasllibacter_halocynthiae
124	3c2hmp	nadh	3c2hmp___nadh	Hasllibacter_halocynthiae
125	3c3hmp	2ippm	3c3hmp___2ippm	Hasllibacter_halocynthiae
126	3c3hmp	h2o	3c3hmp___h2o	Hasllibacter_halocynthiae
127	3c4mop	4mop	3c4mop___4mop	Hasllibacter_halocynthiae
128	3c4mop	co2	3c4mop___co2	Hasllibacter_halocynthiae
129	3cmp	cytd	3cmp___cytd	Hasllibacter_halocynthiae
130	3cmp	pi	3cmp___pi	Hasllibacter_halocynthiae
131	3dhq	3dhsk	3dhq___3dhsk	Hasllibacter_halocynthiae
132	3dhq	h2o	3dhq___h2o	Hasllibacter_halocynthiae
133	3dhsk	nadp	3dhsk___nadp	Hasllibacter_halocynthiae
134	3dhsk	skm	3dhsk___skm	Hasllibacter_halocynthiae
135	3gmp	gsn	3gmp___gsn	Hasllibacter_halocynthiae
136	3gmp	pi	3gmp___pi	Hasllibacter_halocynthiae
137	3haACP	but2eACP	3haACP___but2eACP	Hasllibacter_halocynthiae
138	3haACP	h2o	3haACP___h2o	Hasllibacter_halocynthiae
139	3hcddec5eACP	h2o	3hcddec5eACP___h2o	Hasllibacter_halocynthiae
140	3hcddec5eACP	t3c5ddeceACP	3hcddec5eACP___t3c5ddeceACP	Hasllibacter_halocynthiae
