substrate	product	rxn	taxon
1	10fthf	thf	10fthf___thf	Hydrogenophaga_palleronii
2	12dgr120	adp	12dgr120___adp	Hydrogenophaga_palleronii
3	12dgr120	h	12dgr120___h	Hydrogenophaga_palleronii
4	12dgr120	pa120	12dgr120___pa120	Hydrogenophaga_palleronii
5	12dgr140	adp	12dgr140___adp	Hydrogenophaga_palleronii
6	12dgr140	h	12dgr140___h	Hydrogenophaga_palleronii
7	12dgr140	pa140	12dgr140___pa140	Hydrogenophaga_palleronii
8	12dgr141	adp	12dgr141___adp	Hydrogenophaga_palleronii
9	12dgr141	h	12dgr141___h	Hydrogenophaga_palleronii
10	12dgr141	pa141	12dgr141___pa141	Hydrogenophaga_palleronii
11	12dgr160	adp	12dgr160___adp	Hydrogenophaga_palleronii
12	12dgr160	h	12dgr160___h	Hydrogenophaga_palleronii
13	12dgr160	pa160	12dgr160___pa160	Hydrogenophaga_palleronii
14	12dgr161	adp	12dgr161___adp	Hydrogenophaga_palleronii
15	12dgr161	h	12dgr161___h	Hydrogenophaga_palleronii
16	12dgr161	pa161	12dgr161___pa161	Hydrogenophaga_palleronii
17	12dgr180	adp	12dgr180___adp	Hydrogenophaga_palleronii
18	12dgr180	h	12dgr180___h	Hydrogenophaga_palleronii
19	12dgr180	pa180	12dgr180___pa180	Hydrogenophaga_palleronii
20	12dgr181	adp	12dgr181___adp	Hydrogenophaga_palleronii
21	12dgr181	h	12dgr181___h	Hydrogenophaga_palleronii
22	12dgr181	pa181	12dgr181___pa181	Hydrogenophaga_palleronii
23	12ppd__S	h	12ppd__S___h	Hydrogenophaga_palleronii
24	12ppd__S	lald__L	12ppd__S___lald__L	Hydrogenophaga_palleronii
25	12ppd__S	nadh	12ppd__S___nadh	Hydrogenophaga_palleronii
26	13dpg	3pg	13dpg___3pg	Hydrogenophaga_palleronii
27	13dpg	atp	13dpg___atp	Hydrogenophaga_palleronii
28	14glucan	malthx	14glucan___malthx	Hydrogenophaga_palleronii
29	1ddecg3p	ACP	1ddecg3p___ACP	Hydrogenophaga_palleronii
30	1ddecg3p	pa120	1ddecg3p___pa120	Hydrogenophaga_palleronii
31	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Hydrogenophaga_palleronii
32	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Hydrogenophaga_palleronii
