substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Kineococcus_radiotolerans
2	10fthf	thf	10fthf___thf	Kineococcus_radiotolerans
3	12dgr120	adp	12dgr120___adp	Kineococcus_radiotolerans
4	12dgr120	h	12dgr120___h	Kineococcus_radiotolerans
5	12dgr120	pa120	12dgr120___pa120	Kineococcus_radiotolerans
6	12dgr140	adp	12dgr140___adp	Kineococcus_radiotolerans
7	12dgr140	h	12dgr140___h	Kineococcus_radiotolerans
8	12dgr140	pa140	12dgr140___pa140	Kineococcus_radiotolerans
9	12dgr141	adp	12dgr141___adp	Kineococcus_radiotolerans
10	12dgr141	h	12dgr141___h	Kineococcus_radiotolerans
11	12dgr141	pa141	12dgr141___pa141	Kineococcus_radiotolerans
12	12dgr160	adp	12dgr160___adp	Kineococcus_radiotolerans
13	12dgr160	h	12dgr160___h	Kineococcus_radiotolerans
14	12dgr160	pa160	12dgr160___pa160	Kineococcus_radiotolerans
15	12dgr161	adp	12dgr161___adp	Kineococcus_radiotolerans
16	12dgr161	h	12dgr161___h	Kineococcus_radiotolerans
17	12dgr161	pa161	12dgr161___pa161	Kineococcus_radiotolerans
18	12dgr180	adp	12dgr180___adp	Kineococcus_radiotolerans
19	12dgr180	h	12dgr180___h	Kineococcus_radiotolerans
20	12dgr180	pa180	12dgr180___pa180	Kineococcus_radiotolerans
21	12dgr181	adp	12dgr181___adp	Kineococcus_radiotolerans
22	12dgr181	h	12dgr181___h	Kineococcus_radiotolerans
23	12dgr181	pa181	12dgr181___pa181	Kineococcus_radiotolerans
24	13dpg	3pg	13dpg___3pg	Kineococcus_radiotolerans
25	13dpg	atp	13dpg___atp	Kineococcus_radiotolerans
26	1hdecg3p	ACP	1hdecg3p___ACP	Kineococcus_radiotolerans
27	1hdecg3p	pa160	1hdecg3p___pa160	Kineococcus_radiotolerans
28	1odec11eg3p	ACP	1odec11eg3p___ACP	Kineococcus_radiotolerans
29	1odec11eg3p	pa181	1odec11eg3p___pa181	Kineococcus_radiotolerans
30	1odecg3p	ACP	1odecg3p___ACP	Kineococcus_radiotolerans
31	1odecg3p	pa180	1odecg3p___pa180	Kineococcus_radiotolerans
32	1pyr5c	nad	1pyr5c___nad	Kineococcus_radiotolerans
33	1pyr5c	nadp	1pyr5c___nadp	Kineococcus_radiotolerans
34	1pyr5c	pro__L	1pyr5c___pro__L	Kineococcus_radiotolerans
35	23dhdp	nadp	23dhdp___nadp	Kineococcus_radiotolerans
36	23dhdp	thdp	23dhdp___thdp	Kineococcus_radiotolerans
37	23dhmb	alac__S	23dhmb___alac__S	Kineococcus_radiotolerans
38	23dhmb	h	23dhmb___h	Kineococcus_radiotolerans
39	23dhmb	nadph	23dhmb___nadph	Kineococcus_radiotolerans
40	23dhmp	3mop	23dhmp___3mop	Kineococcus_radiotolerans
41	23dhmp	h2o	23dhmp___h2o	Kineococcus_radiotolerans
42	25aics	aicar	25aics___aicar	Kineococcus_radiotolerans
43	25aics	fum	25aics___fum	Kineococcus_radiotolerans
44	25dhpp	5apru	25dhpp___5apru	Kineococcus_radiotolerans
45	25dhpp	nh4	25dhpp___nh4	Kineococcus_radiotolerans
46	26dap_	adp	26dap____adp	Kineococcus_radiotolerans
47	26dap_	co2	26dap____co2	Kineococcus_radiotolerans
48	26dap_	h	26dap____h	Kineococcus_radiotolerans
49	26dap_	lys__L	26dap____lys__L	Kineococcus_radiotolerans
