substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Kiritimatiella_glycovorans
2	10fthf	thf	10fthf___thf	Kiritimatiella_glycovorans
3	12dgr120	adp	12dgr120___adp	Kiritimatiella_glycovorans
4	12dgr120	h	12dgr120___h	Kiritimatiella_glycovorans
5	12dgr120	pa120	12dgr120___pa120	Kiritimatiella_glycovorans
6	12dgr140	adp	12dgr140___adp	Kiritimatiella_glycovorans
7	12dgr140	h	12dgr140___h	Kiritimatiella_glycovorans
8	12dgr140	pa140	12dgr140___pa140	Kiritimatiella_glycovorans
9	12dgr161	adp	12dgr161___adp	Kiritimatiella_glycovorans
10	12dgr161	h	12dgr161___h	Kiritimatiella_glycovorans
11	12dgr161	pa161	12dgr161___pa161	Kiritimatiella_glycovorans
12	12dgr180	adp	12dgr180___adp	Kiritimatiella_glycovorans
13	12dgr180	h	12dgr180___h	Kiritimatiella_glycovorans
14	12dgr180	pa180	12dgr180___pa180	Kiritimatiella_glycovorans
15	12dgr181	adp	12dgr181___adp	Kiritimatiella_glycovorans
16	12dgr181	h	12dgr181___h	Kiritimatiella_glycovorans
17	12dgr181	pa181	12dgr181___pa181	Kiritimatiella_glycovorans
18	13dpg	3pg	13dpg___3pg	Kiritimatiella_glycovorans
19	13dpg	atp	13dpg___atp	Kiritimatiella_glycovorans
20	1ddecg3p	ACP	1ddecg3p___ACP	Kiritimatiella_glycovorans
21	1ddecg3p	pa120	1ddecg3p___pa120	Kiritimatiella_glycovorans
22	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Kiritimatiella_glycovorans
23	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Kiritimatiella_glycovorans
24	1hdecg3p	ACP	1hdecg3p___ACP	Kiritimatiella_glycovorans
25	1hdecg3p	pa160	1hdecg3p___pa160	Kiritimatiella_glycovorans
26	1odec11eg3p	ACP	1odec11eg3p___ACP	Kiritimatiella_glycovorans
27	1odec11eg3p	pa181	1odec11eg3p___pa181	Kiritimatiella_glycovorans
28	1odecg3p	ACP	1odecg3p___ACP	Kiritimatiella_glycovorans
29	1odecg3p	pa180	1odecg3p___pa180	Kiritimatiella_glycovorans
30	1pyr5c	nad	1pyr5c___nad	Kiritimatiella_glycovorans
31	1pyr5c	nadp	1pyr5c___nadp	Kiritimatiella_glycovorans
32	1pyr5c	pro__L	1pyr5c___pro__L	Kiritimatiella_glycovorans
33	1tdecg3p	ACP	1tdecg3p___ACP	Kiritimatiella_glycovorans
34	1tdecg3p	pa140	1tdecg3p___pa140	Kiritimatiella_glycovorans
35	23dhdp	nadp	23dhdp___nadp	Kiritimatiella_glycovorans
36	23dhdp	thdp	23dhdp___thdp	Kiritimatiella_glycovorans
37	23dhmp	3mop	23dhmp___3mop	Kiritimatiella_glycovorans
38	23dhmp	h2o	23dhmp___h2o	Kiritimatiella_glycovorans
39	25aics	aicar	25aics___aicar	Kiritimatiella_glycovorans
40	25aics	fum	25aics___fum	Kiritimatiella_glycovorans
41	25dhpp	5apru	25dhpp___5apru	Kiritimatiella_glycovorans
42	25dhpp	nh4	25dhpp___nh4	Kiritimatiella_glycovorans
43	26dap_	adp	26dap____adp	Kiritimatiella_glycovorans
44	26dap_	co2	26dap____co2	Kiritimatiella_glycovorans
45	26dap_	h	26dap____h	Kiritimatiella_glycovorans
46	26dap_	lys__L	26dap____lys__L	Kiritimatiella_glycovorans
47	26dap_	pi	26dap____pi	Kiritimatiella_glycovorans
48	26dap_	ugmd	26dap____ugmd	Kiritimatiella_glycovorans
49	26dap_LL	26dap_	26dap_LL___26dap_	Kiritimatiella_glycovorans
50	2agpe120	amp	2agpe120___amp	Kiritimatiella_glycovorans
51	2agpe120	pe120	2agpe120___pe120	Kiritimatiella_glycovorans
52	2agpe120	ppi	2agpe120___ppi	Kiritimatiella_glycovorans
53	2agpe140	amp	2agpe140___amp	Kiritimatiella_glycovorans
54	2agpe140	pe140	2agpe140___pe140	Kiritimatiella_glycovorans
55	2agpe140	ppi	2agpe140___ppi	Kiritimatiella_glycovorans
56	2agpe141	amp	2agpe141___amp	Kiritimatiella_glycovorans
57	2agpe141	pe141	2agpe141___pe141	Kiritimatiella_glycovorans
58	2agpe141	ppi	2agpe141___ppi	Kiritimatiella_glycovorans
59	2agpe160	amp	2agpe160___amp	Kiritimatiella_glycovorans
60	2agpe160	pe160	2agpe160___pe160	Kiritimatiella_glycovorans
61	2agpe160	ppi	2agpe160___ppi	Kiritimatiella_glycovorans
62	2agpe180	amp	2agpe180___amp	Kiritimatiella_glycovorans
63	2agpe180	pe180	2agpe180___pe180	Kiritimatiella_glycovorans
64	2agpe180	ppi	2agpe180___ppi	Kiritimatiella_glycovorans
65	2agpe181	amp	2agpe181___amp	Kiritimatiella_glycovorans
66	2agpe181	pe181	2agpe181___pe181	Kiritimatiella_glycovorans
67	2agpe181	ppi	2agpe181___ppi	Kiritimatiella_glycovorans
68	2ahbut	23dhmp	2ahbut___23dhmp	Kiritimatiella_glycovorans
69	2ahbut	nadp	2ahbut___nadp	Kiritimatiella_glycovorans
70	2ahhmp	dhpt	2ahhmp___dhpt	Kiritimatiella_glycovorans
71	2ahhmp	h2o	2ahhmp___h2o	Kiritimatiella_glycovorans
72	2aobut	athr__L	2aobut___athr__L	Kiritimatiella_glycovorans
73	2aobut	nadp	2aobut___nadp	Kiritimatiella_glycovorans
74	2cpr5p	3ig3p	2cpr5p___3ig3p	Kiritimatiella_glycovorans
75	2cpr5p	co2	2cpr5p___co2	Kiritimatiella_glycovorans
76	2cpr5p	h2o	2cpr5p___h2o	Kiritimatiella_glycovorans
77	2dda7p	3dhq	2dda7p___3dhq	Kiritimatiella_glycovorans
78	2dda7p	pi	2dda7p___pi	Kiritimatiella_glycovorans
79	2ddg6p	g3p	2ddg6p___g3p	Kiritimatiella_glycovorans
80	2ddg6p	pyr	2ddg6p___pyr	Kiritimatiella_glycovorans
81	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Kiritimatiella_glycovorans
82	2ddglcn	adp	2ddglcn___adp	Kiritimatiella_glycovorans
83	2ddglcn	h	2ddglcn___h	Kiritimatiella_glycovorans
84	2dhp	nadp	2dhp___nadp	Kiritimatiella_glycovorans
85	2dhp	pant__R	2dhp___pant__R	Kiritimatiella_glycovorans
86	2dmmql8	ahcys	2dmmql8___ahcys	Kiritimatiella_glycovorans
87	2dmmql8	h	2dmmql8___h	Kiritimatiella_glycovorans
88	2dmmql8	mql8	2dmmql8___mql8	Kiritimatiella_glycovorans
89	2fe1s	h	2fe1s___h	Kiritimatiella_glycovorans
90	2fe1s	iscs	2fe1s___iscs	Kiritimatiella_glycovorans
91	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Kiritimatiella_glycovorans
92	2fe2s	2fe1s	2fe2s___2fe1s	Kiritimatiella_glycovorans
93	2fe2s	btn	2fe2s___btn	Kiritimatiella_glycovorans
94	2fe2s	dad_5	2fe2s___dad_5	Kiritimatiella_glycovorans
95	2fe2s	h	2fe2s___h	Kiritimatiella_glycovorans
96	2fe2s	met__L	2fe2s___met__L	Kiritimatiella_glycovorans
97	2hh24dd	4h2kpi	2hh24dd___4h2kpi	Kiritimatiella_glycovorans
98	2ins	adp	2ins___adp	Kiritimatiella_glycovorans
99	2ins	dhap	2ins___dhap	Kiritimatiella_glycovorans
100	2ins	h	2ins___h	Kiritimatiella_glycovorans
101	2ins	msa	2ins___msa	Kiritimatiella_glycovorans
102	2ippm	3c2hmp	2ippm___3c2hmp	Kiritimatiella_glycovorans
103	2mahmp	ppi	2mahmp___ppi	Kiritimatiella_glycovorans
104	2mahmp	thmmp	2mahmp___thmmp	Kiritimatiella_glycovorans
105	2mbcoa	3mop	2mbcoa___3mop	Kiritimatiella_glycovorans
106	2mbcoa	coa	2mbcoa___coa	Kiritimatiella_glycovorans
107	2mbcoa	fdxo_42	2mbcoa___fdxo_42	Kiritimatiella_glycovorans
108	2obut	2ahbut	2obut___2ahbut	Kiritimatiella_glycovorans
109	2obut	co2	2obut___co2	Kiritimatiella_glycovorans
110	2obut	for	2obut___for	Kiritimatiella_glycovorans
111	2obut	ppcoa	2obut___ppcoa	Kiritimatiella_glycovorans
112	2pg	h2o	2pg___h2o	Kiritimatiella_glycovorans
113	2pg	pep	2pg___pep	Kiritimatiella_glycovorans
114	2pglyc	glyclt	2pglyc___glyclt	Kiritimatiella_glycovorans
115	2pglyc	pi	2pglyc___pi	Kiritimatiella_glycovorans
116	34dhpha	5cmhmsa	34dhpha___5cmhmsa	Kiritimatiella_glycovorans
117	34dhpha	h	34dhpha___h	Kiritimatiella_glycovorans
118	34hpp	akg	34hpp___akg	Kiritimatiella_glycovorans
119	34hpp	tyr__L	34hpp___tyr__L	Kiritimatiella_glycovorans
120	3c2hmp	3c4mop	3c2hmp___3c4mop	Kiritimatiella_glycovorans
121	3c2hmp	h	3c2hmp___h	Kiritimatiella_glycovorans
122	3c2hmp	nadh	3c2hmp___nadh	Kiritimatiella_glycovorans
123	3c3hmp	2ippm	3c3hmp___2ippm	Kiritimatiella_glycovorans
124	3c3hmp	h2o	3c3hmp___h2o	Kiritimatiella_glycovorans
125	3c4mop	4mop	3c4mop___4mop	Kiritimatiella_glycovorans
126	3c4mop	co2	3c4mop___co2	Kiritimatiella_glycovorans
127	3dhq	3dhsk	3dhq___3dhsk	Kiritimatiella_glycovorans
128	3dhq	h2o	3dhq___h2o	Kiritimatiella_glycovorans
