substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Kroppenstedtia_eburnea
2	10fthf	thf	10fthf___thf	Kroppenstedtia_eburnea
3	12dgr120	adp	12dgr120___adp	Kroppenstedtia_eburnea
4	12dgr120	h	12dgr120___h	Kroppenstedtia_eburnea
5	12dgr120	pa120	12dgr120___pa120	Kroppenstedtia_eburnea
6	12dgr140	adp	12dgr140___adp	Kroppenstedtia_eburnea
7	12dgr140	h	12dgr140___h	Kroppenstedtia_eburnea
8	12dgr140	pa140	12dgr140___pa140	Kroppenstedtia_eburnea
9	12dgr160	adp	12dgr160___adp	Kroppenstedtia_eburnea
10	12dgr160	h	12dgr160___h	Kroppenstedtia_eburnea
11	12dgr160	pa160	12dgr160___pa160	Kroppenstedtia_eburnea
12	12dgr161	adp	12dgr161___adp	Kroppenstedtia_eburnea
13	12dgr161	h	12dgr161___h	Kroppenstedtia_eburnea
14	12dgr161	pa161	12dgr161___pa161	Kroppenstedtia_eburnea
15	12dgr180	adp	12dgr180___adp	Kroppenstedtia_eburnea
16	12dgr180	h	12dgr180___h	Kroppenstedtia_eburnea
17	12dgr180	pa180	12dgr180___pa180	Kroppenstedtia_eburnea
18	12dgr181	adp	12dgr181___adp	Kroppenstedtia_eburnea
19	12dgr181	h	12dgr181___h	Kroppenstedtia_eburnea
20	12dgr181	pa181	12dgr181___pa181	Kroppenstedtia_eburnea
21	12ppd__S	h	12ppd__S___h	Kroppenstedtia_eburnea
22	12ppd__S	lald__L	12ppd__S___lald__L	Kroppenstedtia_eburnea
23	12ppd__S	nadh	12ppd__S___nadh	Kroppenstedtia_eburnea
24	13dpg	3pg	13dpg___3pg	Kroppenstedtia_eburnea
25	13dpg	atp	13dpg___atp	Kroppenstedtia_eburnea
26	1ddecg3p	ACP	1ddecg3p___ACP	Kroppenstedtia_eburnea
27	1ddecg3p	pa120	1ddecg3p___pa120	Kroppenstedtia_eburnea
28	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Kroppenstedtia_eburnea
29	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Kroppenstedtia_eburnea
30	1hdecg3p	ACP	1hdecg3p___ACP	Kroppenstedtia_eburnea
31	1hdecg3p	pa160	1hdecg3p___pa160	Kroppenstedtia_eburnea
32	1odec11eg3p	ACP	1odec11eg3p___ACP	Kroppenstedtia_eburnea
33	1odec11eg3p	pa181	1odec11eg3p___pa181	Kroppenstedtia_eburnea
34	1odecg3p	ACP	1odecg3p___ACP	Kroppenstedtia_eburnea
35	1odecg3p	pa180	1odecg3p___pa180	Kroppenstedtia_eburnea
36	1pyr5c	nad	1pyr5c___nad	Kroppenstedtia_eburnea
37	1pyr5c	nadp	1pyr5c___nadp	Kroppenstedtia_eburnea
38	1pyr5c	pro__L	1pyr5c___pro__L	Kroppenstedtia_eburnea
39	1tdecg3p	ACP	1tdecg3p___ACP	Kroppenstedtia_eburnea
40	1tdecg3p	pa140	1tdecg3p___pa140	Kroppenstedtia_eburnea
41	23dhdp	nadp	23dhdp___nadp	Kroppenstedtia_eburnea
42	23dhdp	thdp	23dhdp___thdp	Kroppenstedtia_eburnea
43	23dhmb	alac__S	23dhmb___alac__S	Kroppenstedtia_eburnea
44	23dhmb	h	23dhmb___h	Kroppenstedtia_eburnea
45	23dhmb	nadph	23dhmb___nadph	Kroppenstedtia_eburnea
46	23dhmp	3mop	23dhmp___3mop	Kroppenstedtia_eburnea
47	23dhmp	h2o	23dhmp___h2o	Kroppenstedtia_eburnea
48	25aics	aicar	25aics___aicar	Kroppenstedtia_eburnea
49	25aics	fum	25aics___fum	Kroppenstedtia_eburnea
50	25dhpp	5apru	25dhpp___5apru	Kroppenstedtia_eburnea
51	25dhpp	nh4	25dhpp___nh4	Kroppenstedtia_eburnea
52	26dap_	adp	26dap____adp	Kroppenstedtia_eburnea
53	26dap_	co2	26dap____co2	Kroppenstedtia_eburnea
54	26dap_	h	26dap____h	Kroppenstedtia_eburnea
55	26dap_	lys__L	26dap____lys__L	Kroppenstedtia_eburnea
56	26dap_	pi	26dap____pi	Kroppenstedtia_eburnea
57	26dap_	ugmd	26dap____ugmd	Kroppenstedtia_eburnea
58	26dap_LL	26dap_	26dap_LL___26dap_	Kroppenstedtia_eburnea
59	26dapime	26dap_LL	26dapime___26dap_LL	Kroppenstedtia_eburnea
60	26dapime	ac	26dapime___ac	Kroppenstedtia_eburnea
61	2agpe120	amp	2agpe120___amp	Kroppenstedtia_eburnea
62	2agpe120	pe120	2agpe120___pe120	Kroppenstedtia_eburnea
63	2agpe120	ppi	2agpe120___ppi	Kroppenstedtia_eburnea
64	2agpe141	amp	2agpe141___amp	Kroppenstedtia_eburnea
65	2agpe141	pe141	2agpe141___pe141	Kroppenstedtia_eburnea
66	2agpe141	ppi	2agpe141___ppi	Kroppenstedtia_eburnea
67	2agpe181	amp	2agpe181___amp	Kroppenstedtia_eburnea
68	2agpe181	pe181	2agpe181___pe181	Kroppenstedtia_eburnea
69	2agpe181	ppi	2agpe181___ppi	Kroppenstedtia_eburnea
70	2agpg120	amp	2agpg120___amp	Kroppenstedtia_eburnea
71	2agpg120	ddca	2agpg120___ddca	Kroppenstedtia_eburnea
72	2agpg120	g3pg	2agpg120___g3pg	Kroppenstedtia_eburnea
73	2agpg120	h	2agpg120___h	Kroppenstedtia_eburnea
74	2agpg120	pg120	2agpg120___pg120	Kroppenstedtia_eburnea
75	2agpg120	ppi	2agpg120___ppi	Kroppenstedtia_eburnea
76	2agpg141	amp	2agpg141___amp	Kroppenstedtia_eburnea
77	2agpg141	pg141	2agpg141___pg141	Kroppenstedtia_eburnea
78	2agpg141	ppi	2agpg141___ppi	Kroppenstedtia_eburnea
79	2agpg160	amp	2agpg160___amp	Kroppenstedtia_eburnea
80	2agpg160	g3pg	2agpg160___g3pg	Kroppenstedtia_eburnea
81	2agpg160	h	2agpg160___h	Kroppenstedtia_eburnea
82	2agpg160	hdca	2agpg160___hdca	Kroppenstedtia_eburnea
83	2agpg160	pg160	2agpg160___pg160	Kroppenstedtia_eburnea
84	2agpg160	ppi	2agpg160___ppi	Kroppenstedtia_eburnea
85	2agpg161	amp	2agpg161___amp	Kroppenstedtia_eburnea
86	2agpg161	g3pg	2agpg161___g3pg	Kroppenstedtia_eburnea
87	2agpg161	h	2agpg161___h	Kroppenstedtia_eburnea
88	2agpg161	hdcea	2agpg161___hdcea	Kroppenstedtia_eburnea
89	2agpg161	pg161	2agpg161___pg161	Kroppenstedtia_eburnea
90	2agpg161	ppi	2agpg161___ppi	Kroppenstedtia_eburnea
91	2agpg180	amp	2agpg180___amp	Kroppenstedtia_eburnea
92	2agpg180	g3pg	2agpg180___g3pg	Kroppenstedtia_eburnea
93	2agpg180	h	2agpg180___h	Kroppenstedtia_eburnea
94	2agpg180	ocdca	2agpg180___ocdca	Kroppenstedtia_eburnea
95	2agpg180	pg180	2agpg180___pg180	Kroppenstedtia_eburnea
96	2agpg180	ppi	2agpg180___ppi	Kroppenstedtia_eburnea
97	2agpg181	amp	2agpg181___amp	Kroppenstedtia_eburnea
98	2agpg181	g3pg	2agpg181___g3pg	Kroppenstedtia_eburnea
99	2agpg181	h	2agpg181___h	Kroppenstedtia_eburnea
100	2agpg181	ocdcea	2agpg181___ocdcea	Kroppenstedtia_eburnea
101	2agpg181	pg181	2agpg181___pg181	Kroppenstedtia_eburnea
102	2agpg181	ppi	2agpg181___ppi	Kroppenstedtia_eburnea
103	2ahbut	23dhmp	2ahbut___23dhmp	Kroppenstedtia_eburnea
104	2ahbut	nadp	2ahbut___nadp	Kroppenstedtia_eburnea
105	2ahhmp	dhpt	2ahhmp___dhpt	Kroppenstedtia_eburnea
106	2ahhmp	h2o	2ahhmp___h2o	Kroppenstedtia_eburnea
107	2amsa	nadp	2amsa___nadp	Kroppenstedtia_eburnea
108	2aobut	athr__L	2aobut___athr__L	Kroppenstedtia_eburnea
109	2aobut	nadp	2aobut___nadp	Kroppenstedtia_eburnea
110	2cpr5p	3ig3p	2cpr5p___3ig3p	Kroppenstedtia_eburnea
111	2cpr5p	co2	2cpr5p___co2	Kroppenstedtia_eburnea
112	2cpr5p	h2o	2cpr5p___h2o	Kroppenstedtia_eburnea
