substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Labrys_okinawensis
2	10fthf	thf	10fthf___thf	Labrys_okinawensis
3	12dgr120	adp	12dgr120___adp	Labrys_okinawensis
4	12dgr120	h	12dgr120___h	Labrys_okinawensis
5	12dgr120	pa120	12dgr120___pa120	Labrys_okinawensis
6	12dgr140	adp	12dgr140___adp	Labrys_okinawensis
7	12dgr140	h	12dgr140___h	Labrys_okinawensis
8	12dgr140	pa140	12dgr140___pa140	Labrys_okinawensis
9	12dgr141	adp	12dgr141___adp	Labrys_okinawensis
10	12dgr141	h	12dgr141___h	Labrys_okinawensis
11	12dgr141	pa141	12dgr141___pa141	Labrys_okinawensis
12	12dgr160	adp	12dgr160___adp	Labrys_okinawensis
13	12dgr160	h	12dgr160___h	Labrys_okinawensis
14	12dgr160	pa160	12dgr160___pa160	Labrys_okinawensis
15	12dgr161	adp	12dgr161___adp	Labrys_okinawensis
16	12dgr161	h	12dgr161___h	Labrys_okinawensis
17	12dgr161	pa161	12dgr161___pa161	Labrys_okinawensis
18	12dgr180	adp	12dgr180___adp	Labrys_okinawensis
19	12dgr180	h	12dgr180___h	Labrys_okinawensis
20	12dgr180	pa180	12dgr180___pa180	Labrys_okinawensis
21	12dgr181	adp	12dgr181___adp	Labrys_okinawensis
22	12dgr181	h	12dgr181___h	Labrys_okinawensis
23	12dgr181	pa181	12dgr181___pa181	Labrys_okinawensis
24	13dpg	3pg	13dpg___3pg	Labrys_okinawensis
25	13dpg	atp	13dpg___atp	Labrys_okinawensis
26	1ddecg3p	ACP	1ddecg3p___ACP	Labrys_okinawensis
27	1ddecg3p	pa120	1ddecg3p___pa120	Labrys_okinawensis
28	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Labrys_okinawensis
29	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Labrys_okinawensis
30	1hdecg3p	ACP	1hdecg3p___ACP	Labrys_okinawensis
31	1hdecg3p	pa160	1hdecg3p___pa160	Labrys_okinawensis
32	1odec11eg3p	ACP	1odec11eg3p___ACP	Labrys_okinawensis
33	1odec11eg3p	pa181	1odec11eg3p___pa181	Labrys_okinawensis
34	1odecg3p	ACP	1odecg3p___ACP	Labrys_okinawensis
35	1odecg3p	pa180	1odecg3p___pa180	Labrys_okinawensis
