substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Lentibacter_algarum
2	10fthf	thf	10fthf___thf	Lentibacter_algarum
3	12dgr120	adp	12dgr120___adp	Lentibacter_algarum
4	12dgr120	h	12dgr120___h	Lentibacter_algarum
5	12dgr120	pa120	12dgr120___pa120	Lentibacter_algarum
6	12dgr140	adp	12dgr140___adp	Lentibacter_algarum
7	12dgr140	h	12dgr140___h	Lentibacter_algarum
8	12dgr140	pa140	12dgr140___pa140	Lentibacter_algarum
9	12dgr141	adp	12dgr141___adp	Lentibacter_algarum
10	12dgr141	h	12dgr141___h	Lentibacter_algarum
11	12dgr141	pa141	12dgr141___pa141	Lentibacter_algarum
12	12dgr160	adp	12dgr160___adp	Lentibacter_algarum
13	12dgr160	h	12dgr160___h	Lentibacter_algarum
14	12dgr160	pa160	12dgr160___pa160	Lentibacter_algarum
15	12dgr161	adp	12dgr161___adp	Lentibacter_algarum
16	12dgr161	h	12dgr161___h	Lentibacter_algarum
17	12dgr161	pa161	12dgr161___pa161	Lentibacter_algarum
18	12dgr180	adp	12dgr180___adp	Lentibacter_algarum
19	12dgr180	h	12dgr180___h	Lentibacter_algarum
20	12dgr180	pa180	12dgr180___pa180	Lentibacter_algarum
21	12dgr181	adp	12dgr181___adp	Lentibacter_algarum
22	12dgr181	h	12dgr181___h	Lentibacter_algarum
23	12dgr181	pa181	12dgr181___pa181	Lentibacter_algarum
24	13dpg	3pg	13dpg___3pg	Lentibacter_algarum
25	13dpg	atp	13dpg___atp	Lentibacter_algarum
26	1ddecg3p	ACP	1ddecg3p___ACP	Lentibacter_algarum
27	1ddecg3p	pa120	1ddecg3p___pa120	Lentibacter_algarum
28	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Lentibacter_algarum
29	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Lentibacter_algarum
30	1hdecg3p	ACP	1hdecg3p___ACP	Lentibacter_algarum
31	1hdecg3p	pa160	1hdecg3p___pa160	Lentibacter_algarum
32	1odec11eg3p	ACP	1odec11eg3p___ACP	Lentibacter_algarum
33	1odec11eg3p	pa181	1odec11eg3p___pa181	Lentibacter_algarum
34	1odecg3p	ACP	1odecg3p___ACP	Lentibacter_algarum
35	1odecg3p	pa180	1odecg3p___pa180	Lentibacter_algarum
36	1pyr5c	nad	1pyr5c___nad	Lentibacter_algarum
37	1pyr5c	nadp	1pyr5c___nadp	Lentibacter_algarum
38	1pyr5c	pro__L	1pyr5c___pro__L	Lentibacter_algarum
39	1tdecg3p	ACP	1tdecg3p___ACP	Lentibacter_algarum
40	1tdecg3p	pa140	1tdecg3p___pa140	Lentibacter_algarum
41	23dhdp	nadp	23dhdp___nadp	Lentibacter_algarum
42	23dhdp	thdp	23dhdp___thdp	Lentibacter_algarum
43	23dhmb	alac__S	23dhmb___alac__S	Lentibacter_algarum
44	23dhmb	h	23dhmb___h	Lentibacter_algarum
45	23dhmb	nadph	23dhmb___nadph	Lentibacter_algarum
46	23dhmp	3mop	23dhmp___3mop	Lentibacter_algarum
47	23dhmp	h2o	23dhmp___h2o	Lentibacter_algarum
48	25aics	aicar	25aics___aicar	Lentibacter_algarum
49	25aics	fum	25aics___fum	Lentibacter_algarum
50	25dhpp	5apru	25dhpp___5apru	Lentibacter_algarum
51	25dhpp	nh4	25dhpp___nh4	Lentibacter_algarum
52	26dap_	adp	26dap____adp	Lentibacter_algarum
53	26dap_	co2	26dap____co2	Lentibacter_algarum
54	26dap_	h	26dap____h	Lentibacter_algarum
55	26dap_	lys__L	26dap____lys__L	Lentibacter_algarum
56	26dap_	pi	26dap____pi	Lentibacter_algarum
57	26dap_	ugmd	26dap____ugmd	Lentibacter_algarum
58	26dap_LL	26dap_	26dap_LL___26dap_	Lentibacter_algarum
59	2agpe181	g3pe	2agpe181___g3pe	Lentibacter_algarum
60	2agpe181	h	2agpe181___h	Lentibacter_algarum
61	2agpe181	ocdcea	2agpe181___ocdcea	Lentibacter_algarum
62	2agpg120	ddca	2agpg120___ddca	Lentibacter_algarum
63	2agpg120	g3pg	2agpg120___g3pg	Lentibacter_algarum
64	2agpg120	h	2agpg120___h	Lentibacter_algarum
65	2agpg140	g3pg	2agpg140___g3pg	Lentibacter_algarum
66	2agpg140	h	2agpg140___h	Lentibacter_algarum
67	2agpg140	ttdca	2agpg140___ttdca	Lentibacter_algarum
68	2agpg160	g3pg	2agpg160___g3pg	Lentibacter_algarum
69	2agpg160	h	2agpg160___h	Lentibacter_algarum
70	2agpg160	hdca	2agpg160___hdca	Lentibacter_algarum
71	2agpg161	g3pg	2agpg161___g3pg	Lentibacter_algarum
72	2agpg161	h	2agpg161___h	Lentibacter_algarum
73	2agpg161	hdcea	2agpg161___hdcea	Lentibacter_algarum
74	2agpg180	g3pg	2agpg180___g3pg	Lentibacter_algarum
75	2agpg180	h	2agpg180___h	Lentibacter_algarum
76	2agpg180	ocdca	2agpg180___ocdca	Lentibacter_algarum
77	2agpg181	g3pg	2agpg181___g3pg	Lentibacter_algarum
78	2agpg181	h	2agpg181___h	Lentibacter_algarum
79	2agpg181	ocdcea	2agpg181___ocdcea	Lentibacter_algarum
80	2ahbut	23dhmp	2ahbut___23dhmp	Lentibacter_algarum
81	2ahbut	nadp	2ahbut___nadp	Lentibacter_algarum
82	2ahhmp	dhpt	2ahhmp___dhpt	Lentibacter_algarum
83	2ahhmp	h2o	2ahhmp___h2o	Lentibacter_algarum
84	2aobut	athr__L	2aobut___athr__L	Lentibacter_algarum
85	2aobut	nadp	2aobut___nadp	Lentibacter_algarum
86	2cpr5p	3ig3p	2cpr5p___3ig3p	Lentibacter_algarum
87	2cpr5p	co2	2cpr5p___co2	Lentibacter_algarum
88	2cpr5p	h2o	2cpr5p___h2o	Lentibacter_algarum
89	2dda7p	3dhq	2dda7p___3dhq	Lentibacter_algarum
90	2dda7p	pi	2dda7p___pi	Lentibacter_algarum
91	2ddg6p	g3p	2ddg6p___g3p	Lentibacter_algarum
92	2ddg6p	pyr	2ddg6p___pyr	Lentibacter_algarum
93	2dhglcn	6p2dhglcn	2dhglcn___6p2dhglcn	Lentibacter_algarum
94	2dhglcn	adp	2dhglcn___adp	Lentibacter_algarum
95	2dhp	nadp	2dhp___nadp	Lentibacter_algarum
96	2dhp	pant__R	2dhp___pant__R	Lentibacter_algarum
97	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Lentibacter_algarum
98	2dmmq8	dhap	2dmmq8___dhap	Lentibacter_algarum
99	2dmmq8	nad	2dmmq8___nad	Lentibacter_algarum
100	2dmmql8	ahcys	2dmmql8___ahcys	Lentibacter_algarum
101	2dmmql8	h	2dmmql8___h	Lentibacter_algarum
102	2dmmql8	mql8	2dmmql8___mql8	Lentibacter_algarum
103	2dr5p	acald	2dr5p___acald	Lentibacter_algarum
104	2dr5p	g3p	2dr5p___g3p	Lentibacter_algarum
105	2fe1s	adp	2fe1s___adp	Lentibacter_algarum
106	2fe1s	h	2fe1s___h	Lentibacter_algarum
107	2fe1s	iscs	2fe1s___iscs	Lentibacter_algarum
108	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Lentibacter_algarum
109	2fe1s	pi	2fe1s___pi	Lentibacter_algarum
110	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Lentibacter_algarum
111	2fe1s	sufse	2fe1s___sufse	Lentibacter_algarum
112	2fe2s	2fe1s	2fe2s___2fe1s	Lentibacter_algarum
113	2fe2s	btn	2fe2s___btn	Lentibacter_algarum
114	2fe2s	dad_5	2fe2s___dad_5	Lentibacter_algarum
115	2fe2s	h	2fe2s___h	Lentibacter_algarum
116	2fe2s	met__L	2fe2s___met__L	Lentibacter_algarum
117	2h3opp	glyc__R	2h3opp___glyc__R	Lentibacter_algarum
118	2h3opp	nad	2h3opp___nad	Lentibacter_algarum
119	2hh24dd	4h2kpi	2hh24dd___4h2kpi	Lentibacter_algarum
120	2ins	adp	2ins___adp	Lentibacter_algarum
121	2ins	dhap	2ins___dhap	Lentibacter_algarum
122	2ins	h	2ins___h	Lentibacter_algarum
