substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Leucobacter_chromiiresistens
2	10fthf	thf	10fthf___thf	Leucobacter_chromiiresistens
3	12dgr120	adp	12dgr120___adp	Leucobacter_chromiiresistens
4	12dgr120	h	12dgr120___h	Leucobacter_chromiiresistens
5	12dgr120	pa120	12dgr120___pa120	Leucobacter_chromiiresistens
6	12dgr140	adp	12dgr140___adp	Leucobacter_chromiiresistens
7	12dgr140	h	12dgr140___h	Leucobacter_chromiiresistens
8	12dgr140	pa140	12dgr140___pa140	Leucobacter_chromiiresistens
9	12dgr141	adp	12dgr141___adp	Leucobacter_chromiiresistens
10	12dgr141	h	12dgr141___h	Leucobacter_chromiiresistens
11	12dgr141	pa141	12dgr141___pa141	Leucobacter_chromiiresistens
12	12dgr160	adp	12dgr160___adp	Leucobacter_chromiiresistens
13	12dgr160	h	12dgr160___h	Leucobacter_chromiiresistens
14	12dgr160	pa160	12dgr160___pa160	Leucobacter_chromiiresistens
15	12dgr161	adp	12dgr161___adp	Leucobacter_chromiiresistens
16	12dgr161	h	12dgr161___h	Leucobacter_chromiiresistens
17	12dgr161	pa161	12dgr161___pa161	Leucobacter_chromiiresistens
18	12dgr180	adp	12dgr180___adp	Leucobacter_chromiiresistens
19	12dgr180	h	12dgr180___h	Leucobacter_chromiiresistens
20	12dgr180	pa180	12dgr180___pa180	Leucobacter_chromiiresistens
21	12dgr181	adp	12dgr181___adp	Leucobacter_chromiiresistens
22	12dgr181	h	12dgr181___h	Leucobacter_chromiiresistens
23	12dgr181	pa181	12dgr181___pa181	Leucobacter_chromiiresistens
24	13dpg	3pg	13dpg___3pg	Leucobacter_chromiiresistens
25	13dpg	atp	13dpg___atp	Leucobacter_chromiiresistens
26	1ddecg3p	ACP	1ddecg3p___ACP	Leucobacter_chromiiresistens
27	1ddecg3p	pa120	1ddecg3p___pa120	Leucobacter_chromiiresistens
28	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Leucobacter_chromiiresistens
29	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Leucobacter_chromiiresistens
