substrate	product	rxn	taxon
1	10fthf	thf	10fthf___thf	Marinicella_sediminis
2	12dgr120	adp	12dgr120___adp	Marinicella_sediminis
3	12dgr120	h	12dgr120___h	Marinicella_sediminis
4	12dgr120	pa120	12dgr120___pa120	Marinicella_sediminis
5	12dgr140	adp	12dgr140___adp	Marinicella_sediminis
6	12dgr140	h	12dgr140___h	Marinicella_sediminis
7	12dgr140	pa140	12dgr140___pa140	Marinicella_sediminis
8	12dgr141	adp	12dgr141___adp	Marinicella_sediminis
9	12dgr141	h	12dgr141___h	Marinicella_sediminis
10	12dgr141	pa141	12dgr141___pa141	Marinicella_sediminis
11	12dgr160	adp	12dgr160___adp	Marinicella_sediminis
12	12dgr160	h	12dgr160___h	Marinicella_sediminis
13	12dgr160	pa160	12dgr160___pa160	Marinicella_sediminis
14	12dgr161	adp	12dgr161___adp	Marinicella_sediminis
15	12dgr161	h	12dgr161___h	Marinicella_sediminis
16	12dgr161	pa161	12dgr161___pa161	Marinicella_sediminis
17	12dgr180	adp	12dgr180___adp	Marinicella_sediminis
18	12dgr180	h	12dgr180___h	Marinicella_sediminis
19	12dgr180	pa180	12dgr180___pa180	Marinicella_sediminis
20	12dgr181	adp	12dgr181___adp	Marinicella_sediminis
21	12dgr181	h	12dgr181___h	Marinicella_sediminis
22	12dgr181	pa181	12dgr181___pa181	Marinicella_sediminis
23	13dpg	3pg	13dpg___3pg	Marinicella_sediminis
24	13dpg	atp	13dpg___atp	Marinicella_sediminis
25	1ddecg3p	ACP	1ddecg3p___ACP	Marinicella_sediminis
26	1ddecg3p	pa120	1ddecg3p___pa120	Marinicella_sediminis
27	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Marinicella_sediminis
28	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Marinicella_sediminis
29	1hdecg3p	ACP	1hdecg3p___ACP	Marinicella_sediminis
30	1hdecg3p	pa160	1hdecg3p___pa160	Marinicella_sediminis
31	1odec11eg3p	ACP	1odec11eg3p___ACP	Marinicella_sediminis
32	1odec11eg3p	pa181	1odec11eg3p___pa181	Marinicella_sediminis
33	1odecg3p	ACP	1odecg3p___ACP	Marinicella_sediminis
34	1odecg3p	pa180	1odecg3p___pa180	Marinicella_sediminis
35	1pyr5c	nadp	1pyr5c___nadp	Marinicella_sediminis
36	1pyr5c	pro__L	1pyr5c___pro__L	Marinicella_sediminis
37	1tdecg3p	ACP	1tdecg3p___ACP	Marinicella_sediminis
38	1tdecg3p	pa140	1tdecg3p___pa140	Marinicella_sediminis
39	23dhdp	nadp	23dhdp___nadp	Marinicella_sediminis
40	23dhdp	thdp	23dhdp___thdp	Marinicella_sediminis
41	23dhmp	3mop	23dhmp___3mop	Marinicella_sediminis
42	23dhmp	h2o	23dhmp___h2o	Marinicella_sediminis
43	25aics	aicar	25aics___aicar	Marinicella_sediminis
44	25aics	fum	25aics___fum	Marinicella_sediminis
45	25dhpp	5apru	25dhpp___5apru	Marinicella_sediminis
46	25dhpp	nh4	25dhpp___nh4	Marinicella_sediminis
47	26dap_	adp	26dap____adp	Marinicella_sediminis
48	26dap_	co2	26dap____co2	Marinicella_sediminis
49	26dap_	h	26dap____h	Marinicella_sediminis
50	26dap_	lys__L	26dap____lys__L	Marinicella_sediminis
51	26dap_	pi	26dap____pi	Marinicella_sediminis
52	26dap_	ugmd	26dap____ugmd	Marinicella_sediminis
53	26dap_LL	26dap_	26dap_LL___26dap_	Marinicella_sediminis
54	2agpe141	amp	2agpe141___amp	Marinicella_sediminis
55	2agpe141	pe141	2agpe141___pe141	Marinicella_sediminis
56	2agpe141	ppi	2agpe141___ppi	Marinicella_sediminis
57	2agpe160	amp	2agpe160___amp	Marinicella_sediminis
58	2agpe160	pe160	2agpe160___pe160	Marinicella_sediminis
59	2agpe160	ppi	2agpe160___ppi	Marinicella_sediminis
60	2agpe180	amp	2agpe180___amp	Marinicella_sediminis
61	2agpe180	pe180	2agpe180___pe180	Marinicella_sediminis
62	2agpe180	ppi	2agpe180___ppi	Marinicella_sediminis
63	2agpe181	amp	2agpe181___amp	Marinicella_sediminis
64	2agpe181	pe181	2agpe181___pe181	Marinicella_sediminis
65	2agpe181	ppi	2agpe181___ppi	Marinicella_sediminis
66	2ahbut	23dhmp	2ahbut___23dhmp	Marinicella_sediminis
67	2ahbut	nadp	2ahbut___nadp	Marinicella_sediminis
68	2ahhmp	dhpt	2ahhmp___dhpt	Marinicella_sediminis
69	2ahhmp	h2o	2ahhmp___h2o	Marinicella_sediminis
70	2aobut	athr__L	2aobut___athr__L	Marinicella_sediminis
71	2aobut	nadp	2aobut___nadp	Marinicella_sediminis
72	2cpr5p	3ig3p	2cpr5p___3ig3p	Marinicella_sediminis
73	2cpr5p	co2	2cpr5p___co2	Marinicella_sediminis
74	2cpr5p	h2o	2cpr5p___h2o	Marinicella_sediminis
75	2dda7p	3dhq	2dda7p___3dhq	Marinicella_sediminis
76	2dda7p	pi	2dda7p___pi	Marinicella_sediminis
77	2dhp	nadp	2dhp___nadp	Marinicella_sediminis
78	2dhp	pant__R	2dhp___pant__R	Marinicella_sediminis
79	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Marinicella_sediminis
80	2dmmq8	nad	2dmmq8___nad	Marinicella_sediminis
81	2dmmql8	ahcys	2dmmql8___ahcys	Marinicella_sediminis
82	2dmmql8	h	2dmmql8___h	Marinicella_sediminis
83	2dmmql8	mql8	2dmmql8___mql8	Marinicella_sediminis
84	2dr1p	2dr5p	2dr1p___2dr5p	Marinicella_sediminis
85	2dr5p	acald	2dr5p___acald	Marinicella_sediminis
86	2dr5p	g3p	2dr5p___g3p	Marinicella_sediminis
87	2fe1s	adp	2fe1s___adp	Marinicella_sediminis
88	2fe1s	h	2fe1s___h	Marinicella_sediminis
89	2fe1s	pi	2fe1s___pi	Marinicella_sediminis
90	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Marinicella_sediminis
91	2fe1s	sufse	2fe1s___sufse	Marinicella_sediminis
92	2fe2s	2fe1s	2fe2s___2fe1s	Marinicella_sediminis
93	2fe2s	btn	2fe2s___btn	Marinicella_sediminis
94	2fe2s	dad_5	2fe2s___dad_5	Marinicella_sediminis
95	2fe2s	h	2fe2s___h	Marinicella_sediminis
96	2fe2s	met__L	2fe2s___met__L	Marinicella_sediminis
97	2hh24dd	4h2kpi	2hh24dd___4h2kpi	Marinicella_sediminis
98	2ippm	3c2hmp	2ippm___3c2hmp	Marinicella_sediminis
99	2me4p	4c2me	2me4p___4c2me	Marinicella_sediminis
