substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Methyloferula_stellata
2	10fthf	thf	10fthf___thf	Methyloferula_stellata
3	12dgr160	adp	12dgr160___adp	Methyloferula_stellata
4	12dgr160	h	12dgr160___h	Methyloferula_stellata
5	12dgr160	pa160	12dgr160___pa160	Methyloferula_stellata
6	12dgr161	adp	12dgr161___adp	Methyloferula_stellata
7	12dgr161	h	12dgr161___h	Methyloferula_stellata
8	12dgr161	pa161	12dgr161___pa161	Methyloferula_stellata
9	12ppd__S	h	12ppd__S___h	Methyloferula_stellata
10	12ppd__S	lald__L	12ppd__S___lald__L	Methyloferula_stellata
11	12ppd__S	nadh	12ppd__S___nadh	Methyloferula_stellata
12	13dpg	3pg	13dpg___3pg	Methyloferula_stellata
13	13dpg	atp	13dpg___atp	Methyloferula_stellata
14	1ddecg3p	ACP	1ddecg3p___ACP	Methyloferula_stellata
15	1ddecg3p	pa120	1ddecg3p___pa120	Methyloferula_stellata
16	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Methyloferula_stellata
17	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Methyloferula_stellata
18	1hdecg3p	ACP	1hdecg3p___ACP	Methyloferula_stellata
19	1hdecg3p	pa160	1hdecg3p___pa160	Methyloferula_stellata
20	1odec11eg3p	ACP	1odec11eg3p___ACP	Methyloferula_stellata
21	1odec11eg3p	pa181	1odec11eg3p___pa181	Methyloferula_stellata
22	1odecg3p	ACP	1odecg3p___ACP	Methyloferula_stellata
23	1odecg3p	pa180	1odecg3p___pa180	Methyloferula_stellata
24	1pyr5c	nadp	1pyr5c___nadp	Methyloferula_stellata
25	1pyr5c	pro__L	1pyr5c___pro__L	Methyloferula_stellata
26	1tdecg3p	ACP	1tdecg3p___ACP	Methyloferula_stellata
27	1tdecg3p	pa140	1tdecg3p___pa140	Methyloferula_stellata
28	23dhdp	nadp	23dhdp___nadp	Methyloferula_stellata
29	23dhdp	thdp	23dhdp___thdp	Methyloferula_stellata
30	23dhmb	alac__S	23dhmb___alac__S	Methyloferula_stellata
31	23dhmb	h	23dhmb___h	Methyloferula_stellata
32	23dhmb	nadph	23dhmb___nadph	Methyloferula_stellata
33	23dhmp	3mop	23dhmp___3mop	Methyloferula_stellata
34	23dhmp	h2o	23dhmp___h2o	Methyloferula_stellata
35	25aics	aicar	25aics___aicar	Methyloferula_stellata
36	25aics	fum	25aics___fum	Methyloferula_stellata
37	25dhpp	5apru	25dhpp___5apru	Methyloferula_stellata
38	25dhpp	nh4	25dhpp___nh4	Methyloferula_stellata
39	26dap_	adp	26dap____adp	Methyloferula_stellata
40	26dap_	co2	26dap____co2	Methyloferula_stellata
41	26dap_	h	26dap____h	Methyloferula_stellata
42	26dap_	lys__L	26dap____lys__L	Methyloferula_stellata
43	26dap_	pi	26dap____pi	Methyloferula_stellata
44	26dap_	ugmd	26dap____ugmd	Methyloferula_stellata
45	26dap_LL	26dap_	26dap_LL___26dap_	Methyloferula_stellata
46	2agpe120	amp	2agpe120___amp	Methyloferula_stellata
47	2agpe120	pe120	2agpe120___pe120	Methyloferula_stellata
48	2agpe120	ppi	2agpe120___ppi	Methyloferula_stellata
49	2agpe140	amp	2agpe140___amp	Methyloferula_stellata
50	2agpe140	pe140	2agpe140___pe140	Methyloferula_stellata
51	2agpe140	ppi	2agpe140___ppi	Methyloferula_stellata
52	2agpe141	amp	2agpe141___amp	Methyloferula_stellata
53	2agpe141	pe141	2agpe141___pe141	Methyloferula_stellata
54	2agpe141	ppi	2agpe141___ppi	Methyloferula_stellata
55	2agpe160	amp	2agpe160___amp	Methyloferula_stellata
56	2agpe160	pe160	2agpe160___pe160	Methyloferula_stellata
57	2agpe160	ppi	2agpe160___ppi	Methyloferula_stellata
