substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Methyloligella_halotolerans
2	10fthf	thf	10fthf___thf	Methyloligella_halotolerans
3	12dgr120	adp	12dgr120___adp	Methyloligella_halotolerans
4	12dgr120	h	12dgr120___h	Methyloligella_halotolerans
5	12dgr120	pa120	12dgr120___pa120	Methyloligella_halotolerans
6	12dgr140	adp	12dgr140___adp	Methyloligella_halotolerans
7	12dgr140	h	12dgr140___h	Methyloligella_halotolerans
8	12dgr140	pa140	12dgr140___pa140	Methyloligella_halotolerans
9	12dgr160	adp	12dgr160___adp	Methyloligella_halotolerans
10	12dgr160	h	12dgr160___h	Methyloligella_halotolerans
11	12dgr160	pa160	12dgr160___pa160	Methyloligella_halotolerans
12	12dgr161	adp	12dgr161___adp	Methyloligella_halotolerans
13	12dgr161	h	12dgr161___h	Methyloligella_halotolerans
14	12dgr161	pa161	12dgr161___pa161	Methyloligella_halotolerans
15	12dgr180	adp	12dgr180___adp	Methyloligella_halotolerans
16	12dgr180	h	12dgr180___h	Methyloligella_halotolerans
17	12dgr180	pa180	12dgr180___pa180	Methyloligella_halotolerans
18	12dgr181	adp	12dgr181___adp	Methyloligella_halotolerans
19	12dgr181	h	12dgr181___h	Methyloligella_halotolerans
20	12dgr181	pa181	12dgr181___pa181	Methyloligella_halotolerans
21	1ddecg3p	ACP	1ddecg3p___ACP	Methyloligella_halotolerans
22	1ddecg3p	pa120	1ddecg3p___pa120	Methyloligella_halotolerans
23	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Methyloligella_halotolerans
24	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Methyloligella_halotolerans
25	1hdecg3p	ACP	1hdecg3p___ACP	Methyloligella_halotolerans
26	1hdecg3p	pa160	1hdecg3p___pa160	Methyloligella_halotolerans
27	1odec11eg3p	ACP	1odec11eg3p___ACP	Methyloligella_halotolerans
28	1odec11eg3p	pa181	1odec11eg3p___pa181	Methyloligella_halotolerans
29	1odecg3p	ACP	1odecg3p___ACP	Methyloligella_halotolerans
30	1odecg3p	pa180	1odecg3p___pa180	Methyloligella_halotolerans
31	1pyr5c	nadp	1pyr5c___nadp	Methyloligella_halotolerans
32	1pyr5c	pro__L	1pyr5c___pro__L	Methyloligella_halotolerans
33	1tdecg3p	ACP	1tdecg3p___ACP	Methyloligella_halotolerans
34	1tdecg3p	pa140	1tdecg3p___pa140	Methyloligella_halotolerans
35	23dhdp	nadp	23dhdp___nadp	Methyloligella_halotolerans
36	23dhdp	thdp	23dhdp___thdp	Methyloligella_halotolerans
37	23dhmb	alac__S	23dhmb___alac__S	Methyloligella_halotolerans
38	23dhmb	h	23dhmb___h	Methyloligella_halotolerans
39	23dhmb	nadph	23dhmb___nadph	Methyloligella_halotolerans
40	23dhmp	3mop	23dhmp___3mop	Methyloligella_halotolerans
41	23dhmp	h2o	23dhmp___h2o	Methyloligella_halotolerans
42	25aics	aicar	25aics___aicar	Methyloligella_halotolerans
43	25aics	fum	25aics___fum	Methyloligella_halotolerans
44	25dhpp	5apru	25dhpp___5apru	Methyloligella_halotolerans
45	25dhpp	nh4	25dhpp___nh4	Methyloligella_halotolerans
46	26dap_	adp	26dap____adp	Methyloligella_halotolerans
47	26dap_	co2	26dap____co2	Methyloligella_halotolerans
48	26dap_	h	26dap____h	Methyloligella_halotolerans
49	26dap_	lys__L	26dap____lys__L	Methyloligella_halotolerans
50	26dap_	pi	26dap____pi	Methyloligella_halotolerans
51	26dap_	ugmd	26dap____ugmd	Methyloligella_halotolerans
52	26dap_LL	26dap_	26dap_LL___26dap_	Methyloligella_halotolerans
53	2agpe120	amp	2agpe120___amp	Methyloligella_halotolerans
54	2agpe120	pe120	2agpe120___pe120	Methyloligella_halotolerans
55	2agpe120	ppi	2agpe120___ppi	Methyloligella_halotolerans
56	2agpe140	amp	2agpe140___amp	Methyloligella_halotolerans
57	2agpe140	pe140	2agpe140___pe140	Methyloligella_halotolerans
