substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Microterricola_viridarii
2	10fthf	thf	10fthf___thf	Microterricola_viridarii
3	12dgr120	adp	12dgr120___adp	Microterricola_viridarii
4	12dgr120	h	12dgr120___h	Microterricola_viridarii
5	12dgr120	pa120	12dgr120___pa120	Microterricola_viridarii
6	12dgr140	adp	12dgr140___adp	Microterricola_viridarii
7	12dgr140	h	12dgr140___h	Microterricola_viridarii
8	12dgr140	pa140	12dgr140___pa140	Microterricola_viridarii
9	12dgr141	adp	12dgr141___adp	Microterricola_viridarii
10	12dgr141	h	12dgr141___h	Microterricola_viridarii
11	12dgr141	pa141	12dgr141___pa141	Microterricola_viridarii
12	12dgr160	adp	12dgr160___adp	Microterricola_viridarii
13	12dgr160	h	12dgr160___h	Microterricola_viridarii
14	12dgr160	pa160	12dgr160___pa160	Microterricola_viridarii
15	12dgr161	adp	12dgr161___adp	Microterricola_viridarii
16	12dgr161	h	12dgr161___h	Microterricola_viridarii
17	12dgr161	pa161	12dgr161___pa161	Microterricola_viridarii
18	12dgr180	adp	12dgr180___adp	Microterricola_viridarii
19	12dgr180	h	12dgr180___h	Microterricola_viridarii
20	12dgr180	pa180	12dgr180___pa180	Microterricola_viridarii
21	12dgr181	adp	12dgr181___adp	Microterricola_viridarii
22	12dgr181	h	12dgr181___h	Microterricola_viridarii
23	12dgr181	pa181	12dgr181___pa181	Microterricola_viridarii
24	13dpg	3pg	13dpg___3pg	Microterricola_viridarii
25	13dpg	atp	13dpg___atp	Microterricola_viridarii
26	1hdecg3p	ACP	1hdecg3p___ACP	Microterricola_viridarii
27	1hdecg3p	pa160	1hdecg3p___pa160	Microterricola_viridarii
28	1odec11eg3p	ACP	1odec11eg3p___ACP	Microterricola_viridarii
29	1odec11eg3p	pa181	1odec11eg3p___pa181	Microterricola_viridarii
30	1odecg3p	ACP	1odecg3p___ACP	Microterricola_viridarii
31	1odecg3p	pa180	1odecg3p___pa180	Microterricola_viridarii
32	1pyr5c	nad	1pyr5c___nad	Microterricola_viridarii
33	1pyr5c	nadp	1pyr5c___nadp	Microterricola_viridarii
34	1pyr5c	pro__L	1pyr5c___pro__L	Microterricola_viridarii
35	23dhdp	nadp	23dhdp___nadp	Microterricola_viridarii
36	23dhdp	thdp	23dhdp___thdp	Microterricola_viridarii
37	23dhmb	alac__S	23dhmb___alac__S	Microterricola_viridarii
38	23dhmb	h	23dhmb___h	Microterricola_viridarii
39	23dhmb	nadph	23dhmb___nadph	Microterricola_viridarii
40	23dhmp	3mop	23dhmp___3mop	Microterricola_viridarii
41	23dhmp	h2o	23dhmp___h2o	Microterricola_viridarii
42	25aics	aicar	25aics___aicar	Microterricola_viridarii
43	25aics	fum	25aics___fum	Microterricola_viridarii
44	25dhpp	5apru	25dhpp___5apru	Microterricola_viridarii
45	25dhpp	nh4	25dhpp___nh4	Microterricola_viridarii
46	26dap_	adp	26dap____adp	Microterricola_viridarii
47	26dap_	co2	26dap____co2	Microterricola_viridarii
48	26dap_	h	26dap____h	Microterricola_viridarii
49	26dap_	lys__L	26dap____lys__L	Microterricola_viridarii
50	26dap_	pi	26dap____pi	Microterricola_viridarii
51	26dap_	ugmd	26dap____ugmd	Microterricola_viridarii
52	26dap_LL	26dap_	26dap_LL___26dap_	Microterricola_viridarii
53	2agpe120	amp	2agpe120___amp	Microterricola_viridarii
54	2agpe120	pe120	2agpe120___pe120	Microterricola_viridarii
55	2agpe120	ppi	2agpe120___ppi	Microterricola_viridarii
56	2agpe140	amp	2agpe140___amp	Microterricola_viridarii
57	2agpe140	pe140	2agpe140___pe140	Microterricola_viridarii
