substrate	product	rxn	taxon
1	10fthf	thf	10fthf___thf	Morganella_psychrotolerans
2	12dgr120	adp	12dgr120___adp	Morganella_psychrotolerans
3	12dgr120	h	12dgr120___h	Morganella_psychrotolerans
4	12dgr120	pa120	12dgr120___pa120	Morganella_psychrotolerans
5	12dgr140	adp	12dgr140___adp	Morganella_psychrotolerans
6	12dgr140	h	12dgr140___h	Morganella_psychrotolerans
7	12dgr140	pa140	12dgr140___pa140	Morganella_psychrotolerans
8	12dgr141	adp	12dgr141___adp	Morganella_psychrotolerans
9	12dgr141	h	12dgr141___h	Morganella_psychrotolerans
10	12dgr141	pa141	12dgr141___pa141	Morganella_psychrotolerans
11	12dgr160	adp	12dgr160___adp	Morganella_psychrotolerans
12	12dgr160	h	12dgr160___h	Morganella_psychrotolerans
13	12dgr160	pa160	12dgr160___pa160	Morganella_psychrotolerans
14	12dgr161	adp	12dgr161___adp	Morganella_psychrotolerans
15	12dgr161	h	12dgr161___h	Morganella_psychrotolerans
16	12dgr161	pa161	12dgr161___pa161	Morganella_psychrotolerans
17	12dgr180	adp	12dgr180___adp	Morganella_psychrotolerans
18	12dgr180	h	12dgr180___h	Morganella_psychrotolerans
19	12dgr180	pa180	12dgr180___pa180	Morganella_psychrotolerans
20	12dgr181	adp	12dgr181___adp	Morganella_psychrotolerans
21	12dgr181	h	12dgr181___h	Morganella_psychrotolerans
22	12dgr181	pa181	12dgr181___pa181	Morganella_psychrotolerans
23	12ppd__S	h	12ppd__S___h	Morganella_psychrotolerans
24	12ppd__S	lald__L	12ppd__S___lald__L	Morganella_psychrotolerans
25	12ppd__S	nadh	12ppd__S___nadh	Morganella_psychrotolerans
26	1ddecg3p	ACP	1ddecg3p___ACP	Morganella_psychrotolerans
27	1ddecg3p	pa120	1ddecg3p___pa120	Morganella_psychrotolerans
28	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Morganella_psychrotolerans
29	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Morganella_psychrotolerans
30	1hdecg3p	ACP	1hdecg3p___ACP	Morganella_psychrotolerans
31	1hdecg3p	pa160	1hdecg3p___pa160	Morganella_psychrotolerans
