substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Murinocardiopsis_flavida
2	10fthf	thf	10fthf___thf	Murinocardiopsis_flavida
3	12dgr120	adp	12dgr120___adp	Murinocardiopsis_flavida
4	12dgr120	h	12dgr120___h	Murinocardiopsis_flavida
5	12dgr120	pa120	12dgr120___pa120	Murinocardiopsis_flavida
6	12dgr140	adp	12dgr140___adp	Murinocardiopsis_flavida
7	12dgr140	h	12dgr140___h	Murinocardiopsis_flavida
8	12dgr140	pa140	12dgr140___pa140	Murinocardiopsis_flavida
9	12dgr141	adp	12dgr141___adp	Murinocardiopsis_flavida
10	12dgr141	h	12dgr141___h	Murinocardiopsis_flavida
11	12dgr141	pa141	12dgr141___pa141	Murinocardiopsis_flavida
12	12dgr160	adp	12dgr160___adp	Murinocardiopsis_flavida
13	12dgr160	h	12dgr160___h	Murinocardiopsis_flavida
14	12dgr160	pa160	12dgr160___pa160	Murinocardiopsis_flavida
15	12dgr161	adp	12dgr161___adp	Murinocardiopsis_flavida
16	12dgr161	h	12dgr161___h	Murinocardiopsis_flavida
17	12dgr161	pa161	12dgr161___pa161	Murinocardiopsis_flavida
18	12dgr180	adp	12dgr180___adp	Murinocardiopsis_flavida
19	12dgr180	h	12dgr180___h	Murinocardiopsis_flavida
20	12dgr180	pa180	12dgr180___pa180	Murinocardiopsis_flavida
21	12dgr181	adp	12dgr181___adp	Murinocardiopsis_flavida
22	12dgr181	h	12dgr181___h	Murinocardiopsis_flavida
23	12dgr181	pa181	12dgr181___pa181	Murinocardiopsis_flavida
24	12ppd__S	h	12ppd__S___h	Murinocardiopsis_flavida
25	12ppd__S	lald__L	12ppd__S___lald__L	Murinocardiopsis_flavida
26	12ppd__S	nadh	12ppd__S___nadh	Murinocardiopsis_flavida
27	13dpg	3pg	13dpg___3pg	Murinocardiopsis_flavida
28	13dpg	atp	13dpg___atp	Murinocardiopsis_flavida
29	14glucan	malthx	14glucan___malthx	Murinocardiopsis_flavida
30	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Murinocardiopsis_flavida
31	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Murinocardiopsis_flavida
32	1hdecg3p	ACP	1hdecg3p___ACP	Murinocardiopsis_flavida
33	1hdecg3p	pa160	1hdecg3p___pa160	Murinocardiopsis_flavida
34	1odec11eg3p	ACP	1odec11eg3p___ACP	Murinocardiopsis_flavida
35	1odec11eg3p	pa181	1odec11eg3p___pa181	Murinocardiopsis_flavida
36	1odecg3p	ACP	1odecg3p___ACP	Murinocardiopsis_flavida
37	1odecg3p	pa180	1odecg3p___pa180	Murinocardiopsis_flavida
38	1pyr5c	nad	1pyr5c___nad	Murinocardiopsis_flavida
39	1pyr5c	nadp	1pyr5c___nadp	Murinocardiopsis_flavida
40	1pyr5c	pro__L	1pyr5c___pro__L	Murinocardiopsis_flavida
41	23dhdp	nadp	23dhdp___nadp	Murinocardiopsis_flavida
42	23dhdp	thdp	23dhdp___thdp	Murinocardiopsis_flavida
43	23dhmb	alac__S	23dhmb___alac__S	Murinocardiopsis_flavida
44	23dhmb	h	23dhmb___h	Murinocardiopsis_flavida
45	23dhmb	nadph	23dhmb___nadph	Murinocardiopsis_flavida
46	23dhmp	3mop	23dhmp___3mop	Murinocardiopsis_flavida
