substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Natronohydrobacter_thiooxidans
2	10fthf	thf	10fthf___thf	Natronohydrobacter_thiooxidans
3	12dgr161	adp	12dgr161___adp	Natronohydrobacter_thiooxidans
4	12dgr161	h	12dgr161___h	Natronohydrobacter_thiooxidans
5	12dgr161	pa161	12dgr161___pa161	Natronohydrobacter_thiooxidans
6	12ppd__S	h	12ppd__S___h	Natronohydrobacter_thiooxidans
7	12ppd__S	lald__L	12ppd__S___lald__L	Natronohydrobacter_thiooxidans
8	12ppd__S	nadh	12ppd__S___nadh	Natronohydrobacter_thiooxidans
9	13dpg	3pg	13dpg___3pg	Natronohydrobacter_thiooxidans
10	13dpg	atp	13dpg___atp	Natronohydrobacter_thiooxidans
11	1ddecg3p	ACP	1ddecg3p___ACP	Natronohydrobacter_thiooxidans
12	1ddecg3p	pa120	1ddecg3p___pa120	Natronohydrobacter_thiooxidans
13	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Natronohydrobacter_thiooxidans
14	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Natronohydrobacter_thiooxidans
15	1hdecg3p	ACP	1hdecg3p___ACP	Natronohydrobacter_thiooxidans
16	1hdecg3p	pa160	1hdecg3p___pa160	Natronohydrobacter_thiooxidans
17	1odec11eg3p	ACP	1odec11eg3p___ACP	Natronohydrobacter_thiooxidans
18	1odec11eg3p	pa181	1odec11eg3p___pa181	Natronohydrobacter_thiooxidans
19	1odecg3p	ACP	1odecg3p___ACP	Natronohydrobacter_thiooxidans
20	1odecg3p	pa180	1odecg3p___pa180	Natronohydrobacter_thiooxidans
21	1pyr5c	nadp	1pyr5c___nadp	Natronohydrobacter_thiooxidans
22	1pyr5c	pro__L	1pyr5c___pro__L	Natronohydrobacter_thiooxidans
23	1tdecg3p	ACP	1tdecg3p___ACP	Natronohydrobacter_thiooxidans
24	1tdecg3p	pa140	1tdecg3p___pa140	Natronohydrobacter_thiooxidans
25	23dhdp	nadp	23dhdp___nadp	Natronohydrobacter_thiooxidans
26	23dhdp	thdp	23dhdp___thdp	Natronohydrobacter_thiooxidans
27	23dhmb	alac__S	23dhmb___alac__S	Natronohydrobacter_thiooxidans
28	23dhmb	h	23dhmb___h	Natronohydrobacter_thiooxidans
29	23dhmb	nadph	23dhmb___nadph	Natronohydrobacter_thiooxidans
30	23dhmp	3mop	23dhmp___3mop	Natronohydrobacter_thiooxidans
31	23dhmp	h2o	23dhmp___h2o	Natronohydrobacter_thiooxidans
32	25aics	aicar	25aics___aicar	Natronohydrobacter_thiooxidans
33	25aics	fum	25aics___fum	Natronohydrobacter_thiooxidans
34	25dhpp	5apru	25dhpp___5apru	Natronohydrobacter_thiooxidans
35	25dhpp	nh4	25dhpp___nh4	Natronohydrobacter_thiooxidans
36	26dap_	adp	26dap____adp	Natronohydrobacter_thiooxidans
37	26dap_	co2	26dap____co2	Natronohydrobacter_thiooxidans
38	26dap_	h	26dap____h	Natronohydrobacter_thiooxidans
39	26dap_	lys__L	26dap____lys__L	Natronohydrobacter_thiooxidans
40	26dap_	pi	26dap____pi	Natronohydrobacter_thiooxidans
41	26dap_	ugmd	26dap____ugmd	Natronohydrobacter_thiooxidans
42	26dap_LL	26dap_	26dap_LL___26dap_	Natronohydrobacter_thiooxidans
43	2agpe120	amp	2agpe120___amp	Natronohydrobacter_thiooxidans
44	2agpe120	pe120	2agpe120___pe120	Natronohydrobacter_thiooxidans
45	2agpe120	ppi	2agpe120___ppi	Natronohydrobacter_thiooxidans
46	2agpe140	amp	2agpe140___amp	Natronohydrobacter_thiooxidans
47	2agpe140	pe140	2agpe140___pe140	Natronohydrobacter_thiooxidans
48	2agpe140	ppi	2agpe140___ppi	Natronohydrobacter_thiooxidans
49	2agpe141	amp	2agpe141___amp	Natronohydrobacter_thiooxidans
50	2agpe141	pe141	2agpe141___pe141	Natronohydrobacter_thiooxidans
51	2agpe141	ppi	2agpe141___ppi	Natronohydrobacter_thiooxidans
52	2agpe160	amp	2agpe160___amp	Natronohydrobacter_thiooxidans
53	2agpe160	pe160	2agpe160___pe160	Natronohydrobacter_thiooxidans
54	2agpe160	ppi	2agpe160___ppi	Natronohydrobacter_thiooxidans
55	2agpe180	amp	2agpe180___amp	Natronohydrobacter_thiooxidans
56	2agpe180	pe180	2agpe180___pe180	Natronohydrobacter_thiooxidans
57	2agpe180	ppi	2agpe180___ppi	Natronohydrobacter_thiooxidans
58	2agpe181	amp	2agpe181___amp	Natronohydrobacter_thiooxidans
59	2agpe181	g3pe	2agpe181___g3pe	Natronohydrobacter_thiooxidans
60	2agpe181	h	2agpe181___h	Natronohydrobacter_thiooxidans
61	2agpe181	ocdcea	2agpe181___ocdcea	Natronohydrobacter_thiooxidans
62	2agpe181	pe181	2agpe181___pe181	Natronohydrobacter_thiooxidans
63	2agpe181	ppi	2agpe181___ppi	Natronohydrobacter_thiooxidans
64	2agpg120	amp	2agpg120___amp	Natronohydrobacter_thiooxidans
65	2agpg120	ddca	2agpg120___ddca	Natronohydrobacter_thiooxidans
66	2agpg120	g3pg	2agpg120___g3pg	Natronohydrobacter_thiooxidans
67	2agpg120	h	2agpg120___h	Natronohydrobacter_thiooxidans
68	2agpg120	pg120	2agpg120___pg120	Natronohydrobacter_thiooxidans
69	2agpg120	ppi	2agpg120___ppi	Natronohydrobacter_thiooxidans
70	2agpg140	amp	2agpg140___amp	Natronohydrobacter_thiooxidans
71	2agpg140	g3pg	2agpg140___g3pg	Natronohydrobacter_thiooxidans
72	2agpg140	h	2agpg140___h	Natronohydrobacter_thiooxidans
73	2agpg140	pg140	2agpg140___pg140	Natronohydrobacter_thiooxidans
74	2agpg140	ppi	2agpg140___ppi	Natronohydrobacter_thiooxidans
75	2agpg140	ttdca	2agpg140___ttdca	Natronohydrobacter_thiooxidans
76	2agpg141	amp	2agpg141___amp	Natronohydrobacter_thiooxidans
77	2agpg141	pg141	2agpg141___pg141	Natronohydrobacter_thiooxidans
78	2agpg141	ppi	2agpg141___ppi	Natronohydrobacter_thiooxidans
79	2agpg160	amp	2agpg160___amp	Natronohydrobacter_thiooxidans
80	2agpg160	g3pg	2agpg160___g3pg	Natronohydrobacter_thiooxidans
81	2agpg160	h	2agpg160___h	Natronohydrobacter_thiooxidans
82	2agpg160	hdca	2agpg160___hdca	Natronohydrobacter_thiooxidans
83	2agpg160	pg160	2agpg160___pg160	Natronohydrobacter_thiooxidans
84	2agpg160	ppi	2agpg160___ppi	Natronohydrobacter_thiooxidans
85	2agpg161	amp	2agpg161___amp	Natronohydrobacter_thiooxidans
86	2agpg161	g3pg	2agpg161___g3pg	Natronohydrobacter_thiooxidans
87	2agpg161	h	2agpg161___h	Natronohydrobacter_thiooxidans
88	2agpg161	hdcea	2agpg161___hdcea	Natronohydrobacter_thiooxidans
89	2agpg161	pg161	2agpg161___pg161	Natronohydrobacter_thiooxidans
90	2agpg161	ppi	2agpg161___ppi	Natronohydrobacter_thiooxidans
91	2agpg180	amp	2agpg180___amp	Natronohydrobacter_thiooxidans
92	2agpg180	g3pg	2agpg180___g3pg	Natronohydrobacter_thiooxidans
93	2agpg180	h	2agpg180___h	Natronohydrobacter_thiooxidans
94	2agpg180	ocdca	2agpg180___ocdca	Natronohydrobacter_thiooxidans
95	2agpg180	pg180	2agpg180___pg180	Natronohydrobacter_thiooxidans
96	2agpg180	ppi	2agpg180___ppi	Natronohydrobacter_thiooxidans
97	2agpg181	amp	2agpg181___amp	Natronohydrobacter_thiooxidans
98	2agpg181	g3pg	2agpg181___g3pg	Natronohydrobacter_thiooxidans
99	2agpg181	h	2agpg181___h	Natronohydrobacter_thiooxidans
100	2agpg181	ocdcea	2agpg181___ocdcea	Natronohydrobacter_thiooxidans
101	2agpg181	pg181	2agpg181___pg181	Natronohydrobacter_thiooxidans
102	2agpg181	ppi	2agpg181___ppi	Natronohydrobacter_thiooxidans
