substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Ndongobacter_massiliensis
2	10fthf	thf	10fthf___thf	Ndongobacter_massiliensis
3	12dgr120	adp	12dgr120___adp	Ndongobacter_massiliensis
4	12dgr120	h	12dgr120___h	Ndongobacter_massiliensis
5	12dgr120	pa120	12dgr120___pa120	Ndongobacter_massiliensis
6	12dgr140	adp	12dgr140___adp	Ndongobacter_massiliensis
7	12dgr140	h	12dgr140___h	Ndongobacter_massiliensis
8	12dgr140	pa140	12dgr140___pa140	Ndongobacter_massiliensis
9	12dgr141	adp	12dgr141___adp	Ndongobacter_massiliensis
10	12dgr141	h	12dgr141___h	Ndongobacter_massiliensis
11	12dgr141	pa141	12dgr141___pa141	Ndongobacter_massiliensis
12	12dgr160	adp	12dgr160___adp	Ndongobacter_massiliensis
13	12dgr160	h	12dgr160___h	Ndongobacter_massiliensis
14	12dgr160	pa160	12dgr160___pa160	Ndongobacter_massiliensis
15	12dgr161	adp	12dgr161___adp	Ndongobacter_massiliensis
16	12dgr161	h	12dgr161___h	Ndongobacter_massiliensis
17	12dgr161	pa161	12dgr161___pa161	Ndongobacter_massiliensis
18	12dgr180	adp	12dgr180___adp	Ndongobacter_massiliensis
19	12dgr180	h	12dgr180___h	Ndongobacter_massiliensis
20	12dgr180	pa180	12dgr180___pa180	Ndongobacter_massiliensis
21	12dgr181	adp	12dgr181___adp	Ndongobacter_massiliensis
22	12dgr181	h	12dgr181___h	Ndongobacter_massiliensis
23	12dgr181	pa181	12dgr181___pa181	Ndongobacter_massiliensis
24	13dpg	3pg	13dpg___3pg	Ndongobacter_massiliensis
25	13dpg	atp	13dpg___atp	Ndongobacter_massiliensis
26	14glucan	malthx	14glucan___malthx	Ndongobacter_massiliensis
27	1ddecg3p	ACP	1ddecg3p___ACP	Ndongobacter_massiliensis
28	1ddecg3p	pa120	1ddecg3p___pa120	Ndongobacter_massiliensis
29	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Ndongobacter_massiliensis
30	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Ndongobacter_massiliensis
31	1hdecg3p	ACP	1hdecg3p___ACP	Ndongobacter_massiliensis
32	1hdecg3p	pa160	1hdecg3p___pa160	Ndongobacter_massiliensis
33	1odec11eg3p	ACP	1odec11eg3p___ACP	Ndongobacter_massiliensis
34	1odec11eg3p	pa181	1odec11eg3p___pa181	Ndongobacter_massiliensis
35	1odecg3p	ACP	1odecg3p___ACP	Ndongobacter_massiliensis
36	1odecg3p	pa180	1odecg3p___pa180	Ndongobacter_massiliensis
37	1tdecg3p	ACP	1tdecg3p___ACP	Ndongobacter_massiliensis
38	1tdecg3p	pa140	1tdecg3p___pa140	Ndongobacter_massiliensis
39	23dhdp	thdp	23dhdp___thdp	Ndongobacter_massiliensis
40	23dhmp	3mop	23dhmp___3mop	Ndongobacter_massiliensis
41	23dhmp	h2o	23dhmp___h2o	Ndongobacter_massiliensis
42	26dap_	adp	26dap____adp	Ndongobacter_massiliensis
43	26dap_	co2	26dap____co2	Ndongobacter_massiliensis
44	26dap_	h	26dap____h	Ndongobacter_massiliensis
45	26dap_	lys__L	26dap____lys__L	Ndongobacter_massiliensis
46	26dap_	pi	26dap____pi	Ndongobacter_massiliensis
47	26dap_	ugmd	26dap____ugmd	Ndongobacter_massiliensis
48	26dap_LL	26dap_	26dap_LL___26dap_	Ndongobacter_massiliensis
49	2agpe141	amp	2agpe141___amp	Ndongobacter_massiliensis
50	2agpe141	pe141	2agpe141___pe141	Ndongobacter_massiliensis
51	2agpe141	ppi	2agpe141___ppi	Ndongobacter_massiliensis
52	2agpe181	amp	2agpe181___amp	Ndongobacter_massiliensis
53	2agpe181	pe181	2agpe181___pe181	Ndongobacter_massiliensis
54	2agpe181	ppi	2agpe181___ppi	Ndongobacter_massiliensis
55	2agpg161	g3pg	2agpg161___g3pg	Ndongobacter_massiliensis
56	2agpg161	h	2agpg161___h	Ndongobacter_massiliensis
57	2agpg161	hdcea	2agpg161___hdcea	Ndongobacter_massiliensis
58	2ahbut	23dhmp	2ahbut___23dhmp	Ndongobacter_massiliensis
59	2ahbut	nadp	2ahbut___nadp	Ndongobacter_massiliensis
60	2ddg6p	g3p	2ddg6p___g3p	Ndongobacter_massiliensis
61	2ddg6p	pyr	2ddg6p___pyr	Ndongobacter_massiliensis
62	2dhp	nadp	2dhp___nadp	Ndongobacter_massiliensis
63	2dhp	pant__R	2dhp___pant__R	Ndongobacter_massiliensis
64	2dmmql8	ahcys	2dmmql8___ahcys	Ndongobacter_massiliensis
65	2dmmql8	h	2dmmql8___h	Ndongobacter_massiliensis
66	2dmmql8	mql8	2dmmql8___mql8	Ndongobacter_massiliensis
67	2dr1p	2dr5p	2dr1p___2dr5p	Ndongobacter_massiliensis
68	2dr5p	acald	2dr5p___acald	Ndongobacter_massiliensis
69	2dr5p	g3p	2dr5p___g3p	Ndongobacter_massiliensis
70	2fe1s	adp	2fe1s___adp	Ndongobacter_massiliensis
71	2fe1s	h	2fe1s___h	Ndongobacter_massiliensis
72	2fe1s	iscs	2fe1s___iscs	Ndongobacter_massiliensis
73	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Ndongobacter_massiliensis
74	2fe1s	pi	2fe1s___pi	Ndongobacter_massiliensis
75	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Ndongobacter_massiliensis
76	2fe1s	sufse	2fe1s___sufse	Ndongobacter_massiliensis
77	2fe2s	2fe1s	2fe2s___2fe1s	Ndongobacter_massiliensis
78	2fe2s	btn	2fe2s___btn	Ndongobacter_massiliensis
79	2fe2s	dad_5	2fe2s___dad_5	Ndongobacter_massiliensis
80	2fe2s	h	2fe2s___h	Ndongobacter_massiliensis
81	2fe2s	met__L	2fe2s___met__L	Ndongobacter_massiliensis
82	2ins	adp	2ins___adp	Ndongobacter_massiliensis
83	2ins	dhap	2ins___dhap	Ndongobacter_massiliensis
84	2ins	h	2ins___h	Ndongobacter_massiliensis
85	2ins	msa	2ins___msa	Ndongobacter_massiliensis
86	2kmb	akg	2kmb___akg	Ndongobacter_massiliensis
87	2kmb	met__L	2kmb___met__L	Ndongobacter_massiliensis
88	2mahmp	ppi	2mahmp___ppi	Ndongobacter_massiliensis
89	2mahmp	thmmp	2mahmp___thmmp	Ndongobacter_massiliensis
90	2me4p	4c2me	2me4p___4c2me	Ndongobacter_massiliensis
91	2me4p	ppi	2me4p___ppi	Ndongobacter_massiliensis
92	2mecdp	h2mb4p	2mecdp___h2mb4p	Ndongobacter_massiliensis
93	2mecdp	h2o	2mecdp___h2o	Ndongobacter_massiliensis
94	2obut	2ahbut	2obut___2ahbut	Ndongobacter_massiliensis
95	2obut	co2	2obut___co2	Ndongobacter_massiliensis
96	2p4c2me	2mecdp	2p4c2me___2mecdp	Ndongobacter_massiliensis
97	2p4c2me	cmp	2p4c2me___cmp	Ndongobacter_massiliensis
98	2pg	h2o	2pg___h2o	Ndongobacter_massiliensis
99	2pg	pep	2pg___pep	Ndongobacter_massiliensis
100	34dhbz	CCbuttc	34dhbz___CCbuttc	Ndongobacter_massiliensis
101	34dhbz	h	34dhbz___h	Ndongobacter_massiliensis
102	3haACP	but2eACP	3haACP___but2eACP	Ndongobacter_massiliensis
103	3haACP	h2o	3haACP___h2o	Ndongobacter_massiliensis
104	3hhexACP	h2o	3hhexACP___h2o	Ndongobacter_massiliensis
105	3hhexACP	thex2eACP	3hhexACP___thex2eACP	Ndongobacter_massiliensis
106	3hmrsACP	ACP	3hmrsACP___ACP	Ndongobacter_massiliensis
107	3hoctACP	h2o	3hoctACP___h2o	Ndongobacter_massiliensis
108	3hoctACP	toct2eACP	3hoctACP___toct2eACP	Ndongobacter_massiliensis
109	3mob	2dhp	3mob___2dhp	Ndongobacter_massiliensis
110	3mob	thf	3mob___thf	Ndongobacter_massiliensis
111	3mop	2mbcoa	3mop___2mbcoa	Ndongobacter_massiliensis
112	3mop	akg	3mop___akg	Ndongobacter_massiliensis
113	3mop	co2	3mop___co2	Ndongobacter_massiliensis
114	3mop	ile__L	3mop___ile__L	Ndongobacter_massiliensis
115	3mop	nadh	3mop___nadh	Ndongobacter_massiliensis
116	3ohexACP	3hhexACP	3ohexACP___3hhexACP	Ndongobacter_massiliensis
117	3ohexACP	nadp	3ohexACP___nadp	Ndongobacter_massiliensis
118	3ooctACP	3hoctACP	3ooctACP___3hoctACP	Ndongobacter_massiliensis
119	3ooctACP	nadp	3ooctACP___nadp	Ndongobacter_massiliensis
120	3oxoadp	oxadpcoa	3oxoadp___oxadpcoa	Ndongobacter_massiliensis
121	3oxoadp	succ	3oxoadp___succ	Ndongobacter_massiliensis
122	3pg	2pg	3pg___2pg	Ndongobacter_massiliensis
123	3pg	3php	3pg___3php	Ndongobacter_massiliensis
124	3pg	h	3pg___h	Ndongobacter_massiliensis
125	3pg	nadh	3pg___nadh	Ndongobacter_massiliensis
126	3php	akg	3php___akg	Ndongobacter_massiliensis
127	3php	pser__L	3php___pser__L	Ndongobacter_massiliensis
128	4ahmmp	4ampm	4ahmmp___4ampm	Ndongobacter_massiliensis
129	4ahmmp	adp	4ahmmp___adp	Ndongobacter_massiliensis
130	4ahmmp	h	4ahmmp___h	Ndongobacter_massiliensis
131	4ampm	2mahmp	4ampm___2mahmp	Ndongobacter_massiliensis
132	4ampm	adp	4ampm___adp	Ndongobacter_massiliensis
133	4c2me	2p4c2me	4c2me___2p4c2me	Ndongobacter_massiliensis
134	4c2me	adp	4c2me___adp	Ndongobacter_massiliensis
135	4c2me	h	4c2me___h	Ndongobacter_massiliensis
136	4cml	5odhf2a	4cml___5odhf2a	Ndongobacter_massiliensis
137	4cml	co2	4cml___co2	Ndongobacter_massiliensis
138	4fe4s	2fe2s	4fe4s___2fe2s	Ndongobacter_massiliensis
139	4fe4s	dad_5	4fe4s___dad_5	Ndongobacter_massiliensis
140	4fe4s	fe2	4fe4s___fe2	Ndongobacter_massiliensis
141	4fe4s	lipopb	4fe4s___lipopb	Ndongobacter_massiliensis
142	4fe4s	met__L	4fe4s___met__L	Ndongobacter_massiliensis
143	4fe4s	nadh	4fe4s___nadh	Ndongobacter_massiliensis
144	4hthr	adp	4hthr___adp	Ndongobacter_massiliensis
145	4hthr	h	4hthr___h	Ndongobacter_massiliensis
146	4hthr	phthr	4hthr___phthr	Ndongobacter_massiliensis
147	4mpetz	ppi	4mpetz___ppi	Ndongobacter_massiliensis
