substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Neofamilia_massiliensis
2	10fthf	thf	10fthf___thf	Neofamilia_massiliensis
3	12dgr120	adp	12dgr120___adp	Neofamilia_massiliensis
4	12dgr120	h	12dgr120___h	Neofamilia_massiliensis
5	12dgr120	pa120	12dgr120___pa120	Neofamilia_massiliensis
6	12dgr140	adp	12dgr140___adp	Neofamilia_massiliensis
7	12dgr140	h	12dgr140___h	Neofamilia_massiliensis
8	12dgr140	pa140	12dgr140___pa140	Neofamilia_massiliensis
9	12dgr160	adp	12dgr160___adp	Neofamilia_massiliensis
10	12dgr160	h	12dgr160___h	Neofamilia_massiliensis
11	12dgr160	pa160	12dgr160___pa160	Neofamilia_massiliensis
12	12dgr161	adp	12dgr161___adp	Neofamilia_massiliensis
13	12dgr161	h	12dgr161___h	Neofamilia_massiliensis
14	12dgr161	pa161	12dgr161___pa161	Neofamilia_massiliensis
15	12dgr180	adp	12dgr180___adp	Neofamilia_massiliensis
16	12dgr180	h	12dgr180___h	Neofamilia_massiliensis
17	12dgr180	pa180	12dgr180___pa180	Neofamilia_massiliensis
18	12dgr181	adp	12dgr181___adp	Neofamilia_massiliensis
19	12dgr181	h	12dgr181___h	Neofamilia_massiliensis
20	12dgr181	pa181	12dgr181___pa181	Neofamilia_massiliensis
21	12ppd__S	h	12ppd__S___h	Neofamilia_massiliensis
22	12ppd__S	lald__L	12ppd__S___lald__L	Neofamilia_massiliensis
23	12ppd__S	nadh	12ppd__S___nadh	Neofamilia_massiliensis
24	13dpg	3pg	13dpg___3pg	Neofamilia_massiliensis
25	13dpg	atp	13dpg___atp	Neofamilia_massiliensis
26	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Neofamilia_massiliensis
27	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Neofamilia_massiliensis
28	1hdecg3p	ACP	1hdecg3p___ACP	Neofamilia_massiliensis
29	1hdecg3p	pa160	1hdecg3p___pa160	Neofamilia_massiliensis
30	1odec11eg3p	ACP	1odec11eg3p___ACP	Neofamilia_massiliensis
31	1odec11eg3p	pa181	1odec11eg3p___pa181	Neofamilia_massiliensis
32	1odecg3p	ACP	1odecg3p___ACP	Neofamilia_massiliensis
33	1odecg3p	pa180	1odecg3p___pa180	Neofamilia_massiliensis
34	1pyr5c	nad	1pyr5c___nad	Neofamilia_massiliensis
35	1pyr5c	nadp	1pyr5c___nadp	Neofamilia_massiliensis
36	1pyr5c	pro__L	1pyr5c___pro__L	Neofamilia_massiliensis
37	26dap_	adp	26dap____adp	Neofamilia_massiliensis
38	26dap_	h	26dap____h	Neofamilia_massiliensis
39	26dap_	pi	26dap____pi	Neofamilia_massiliensis
40	26dap_	ugmd	26dap____ugmd	Neofamilia_massiliensis
41	2agpe120	amp	2agpe120___amp	Neofamilia_massiliensis
42	2agpe120	pe120	2agpe120___pe120	Neofamilia_massiliensis
43	2agpe120	ppi	2agpe120___ppi	Neofamilia_massiliensis
