substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Neptuniibacter_marinus
2	10fthf	thf	10fthf___thf	Neptuniibacter_marinus
3	12dgr120	adp	12dgr120___adp	Neptuniibacter_marinus
4	12dgr120	h	12dgr120___h	Neptuniibacter_marinus
5	12dgr120	pa120	12dgr120___pa120	Neptuniibacter_marinus
6	12dgr140	adp	12dgr140___adp	Neptuniibacter_marinus
7	12dgr140	h	12dgr140___h	Neptuniibacter_marinus
8	12dgr140	pa140	12dgr140___pa140	Neptuniibacter_marinus
9	12dgr141	adp	12dgr141___adp	Neptuniibacter_marinus
10	12dgr141	h	12dgr141___h	Neptuniibacter_marinus
11	12dgr141	pa141	12dgr141___pa141	Neptuniibacter_marinus
12	12dgr160	adp	12dgr160___adp	Neptuniibacter_marinus
13	12dgr160	h	12dgr160___h	Neptuniibacter_marinus
14	12dgr160	pa160	12dgr160___pa160	Neptuniibacter_marinus
15	12dgr161	adp	12dgr161___adp	Neptuniibacter_marinus
16	12dgr161	h	12dgr161___h	Neptuniibacter_marinus
17	12dgr161	pa161	12dgr161___pa161	Neptuniibacter_marinus
18	12dgr180	adp	12dgr180___adp	Neptuniibacter_marinus
19	12dgr180	h	12dgr180___h	Neptuniibacter_marinus
20	12dgr180	pa180	12dgr180___pa180	Neptuniibacter_marinus
21	12dgr181	adp	12dgr181___adp	Neptuniibacter_marinus
22	12dgr181	h	12dgr181___h	Neptuniibacter_marinus
23	12dgr181	pa181	12dgr181___pa181	Neptuniibacter_marinus
24	12ppd__S	h	12ppd__S___h	Neptuniibacter_marinus
25	12ppd__S	lald__L	12ppd__S___lald__L	Neptuniibacter_marinus
26	12ppd__S	nadh	12ppd__S___nadh	Neptuniibacter_marinus
27	13dpg	3pg	13dpg___3pg	Neptuniibacter_marinus
28	13dpg	atp	13dpg___atp	Neptuniibacter_marinus
29	1ddecg3p	ACP	1ddecg3p___ACP	Neptuniibacter_marinus
30	1ddecg3p	pa120	1ddecg3p___pa120	Neptuniibacter_marinus
31	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Neptuniibacter_marinus
32	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Neptuniibacter_marinus
33	1hdecg3p	ACP	1hdecg3p___ACP	Neptuniibacter_marinus
34	1hdecg3p	pa160	1hdecg3p___pa160	Neptuniibacter_marinus
35	1odec11eg3p	ACP	1odec11eg3p___ACP	Neptuniibacter_marinus
36	1odec11eg3p	pa181	1odec11eg3p___pa181	Neptuniibacter_marinus
37	1odecg3p	ACP	1odecg3p___ACP	Neptuniibacter_marinus
38	1odecg3p	pa180	1odecg3p___pa180	Neptuniibacter_marinus
39	1pyr5c	nadp	1pyr5c___nadp	Neptuniibacter_marinus
40	1pyr5c	pro__L	1pyr5c___pro__L	Neptuniibacter_marinus
41	1tdecg3p	ACP	1tdecg3p___ACP	Neptuniibacter_marinus
42	1tdecg3p	pa140	1tdecg3p___pa140	Neptuniibacter_marinus
43	23dhdp	nadp	23dhdp___nadp	Neptuniibacter_marinus
44	23dhdp	thdp	23dhdp___thdp	Neptuniibacter_marinus
45	23dhmb	alac__S	23dhmb___alac__S	Neptuniibacter_marinus
46	23dhmb	h	23dhmb___h	Neptuniibacter_marinus
47	23dhmb	nadph	23dhmb___nadph	Neptuniibacter_marinus
48	23dhmp	3mop	23dhmp___3mop	Neptuniibacter_marinus
49	23dhmp	h2o	23dhmp___h2o	Neptuniibacter_marinus
50	25aics	aicar	25aics___aicar	Neptuniibacter_marinus
51	25aics	fum	25aics___fum	Neptuniibacter_marinus
52	25dhpp	5apru	25dhpp___5apru	Neptuniibacter_marinus
53	25dhpp	nh4	25dhpp___nh4	Neptuniibacter_marinus
54	26dap_	adp	26dap____adp	Neptuniibacter_marinus
55	26dap_	co2	26dap____co2	Neptuniibacter_marinus
56	26dap_	h	26dap____h	Neptuniibacter_marinus
57	26dap_	lys__L	26dap____lys__L	Neptuniibacter_marinus
58	26dap_	pi	26dap____pi	Neptuniibacter_marinus
59	26dap_	ugmd	26dap____ugmd	Neptuniibacter_marinus
60	26dap_LL	26dap_	26dap_LL___26dap_	Neptuniibacter_marinus
61	2agpe120	amp	2agpe120___amp	Neptuniibacter_marinus
62	2agpe120	pe120	2agpe120___pe120	Neptuniibacter_marinus
63	2agpe120	ppi	2agpe120___ppi	Neptuniibacter_marinus
64	2agpe140	amp	2agpe140___amp	Neptuniibacter_marinus
65	2agpe140	pe140	2agpe140___pe140	Neptuniibacter_marinus
66	2agpe140	ppi	2agpe140___ppi	Neptuniibacter_marinus
67	2agpe141	amp	2agpe141___amp	Neptuniibacter_marinus
68	2agpe141	pe141	2agpe141___pe141	Neptuniibacter_marinus
69	2agpe141	ppi	2agpe141___ppi	Neptuniibacter_marinus
70	2agpe160	amp	2agpe160___amp	Neptuniibacter_marinus
71	2agpe160	pe160	2agpe160___pe160	Neptuniibacter_marinus
72	2agpe160	ppi	2agpe160___ppi	Neptuniibacter_marinus
73	2agpe180	amp	2agpe180___amp	Neptuniibacter_marinus
74	2agpe180	pe180	2agpe180___pe180	Neptuniibacter_marinus
75	2agpe180	ppi	2agpe180___ppi	Neptuniibacter_marinus
76	2agpe181	amp	2agpe181___amp	Neptuniibacter_marinus
77	2agpe181	pe181	2agpe181___pe181	Neptuniibacter_marinus
78	2agpe181	ppi	2agpe181___ppi	Neptuniibacter_marinus
79	2agpg120	amp	2agpg120___amp	Neptuniibacter_marinus
80	2agpg120	pg120	2agpg120___pg120	Neptuniibacter_marinus
81	2agpg120	ppi	2agpg120___ppi	Neptuniibacter_marinus
82	2agpg140	amp	2agpg140___amp	Neptuniibacter_marinus
83	2agpg140	pg140	2agpg140___pg140	Neptuniibacter_marinus
84	2agpg140	ppi	2agpg140___ppi	Neptuniibacter_marinus
85	2agpg141	amp	2agpg141___amp	Neptuniibacter_marinus
86	2agpg141	pg141	2agpg141___pg141	Neptuniibacter_marinus
87	2agpg141	ppi	2agpg141___ppi	Neptuniibacter_marinus
88	2agpg160	amp	2agpg160___amp	Neptuniibacter_marinus
89	2agpg160	pg160	2agpg160___pg160	Neptuniibacter_marinus
90	2agpg160	ppi	2agpg160___ppi	Neptuniibacter_marinus
91	2agpg161	amp	2agpg161___amp	Neptuniibacter_marinus
92	2agpg161	pg161	2agpg161___pg161	Neptuniibacter_marinus
93	2agpg161	ppi	2agpg161___ppi	Neptuniibacter_marinus
94	2agpg180	amp	2agpg180___amp	Neptuniibacter_marinus
95	2agpg180	pg180	2agpg180___pg180	Neptuniibacter_marinus
96	2agpg180	ppi	2agpg180___ppi	Neptuniibacter_marinus
97	2agpg181	amp	2agpg181___amp	Neptuniibacter_marinus
98	2agpg181	pg181	2agpg181___pg181	Neptuniibacter_marinus
99	2agpg181	ppi	2agpg181___ppi	Neptuniibacter_marinus
100	2ahbut	23dhmp	2ahbut___23dhmp	Neptuniibacter_marinus
101	2ahbut	nadp	2ahbut___nadp	Neptuniibacter_marinus
102	2ahhmp	dhpt	2ahhmp___dhpt	Neptuniibacter_marinus
103	2ahhmp	h2o	2ahhmp___h2o	Neptuniibacter_marinus
104	2amsa	nadp	2amsa___nadp	Neptuniibacter_marinus
105	2amsa	ser__L	2amsa___ser__L	Neptuniibacter_marinus
106	2aobut	athr__L	2aobut___athr__L	Neptuniibacter_marinus
107	2aobut	nadp	2aobut___nadp	Neptuniibacter_marinus
108	2cpr5p	3ig3p	2cpr5p___3ig3p	Neptuniibacter_marinus
109	2cpr5p	co2	2cpr5p___co2	Neptuniibacter_marinus
110	2cpr5p	h2o	2cpr5p___h2o	Neptuniibacter_marinus
111	2dda7p	3dhq	2dda7p___3dhq	Neptuniibacter_marinus
112	2dda7p	pi	2dda7p___pi	Neptuniibacter_marinus
113	2dhp	nadp	2dhp___nadp	Neptuniibacter_marinus
114	2dhp	pant__R	2dhp___pant__R	Neptuniibacter_marinus
115	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Neptuniibacter_marinus
116	2dmmq8	nad	2dmmq8___nad	Neptuniibacter_marinus
117	2dmmql8	ahcys	2dmmql8___ahcys	Neptuniibacter_marinus
118	2dmmql8	h	2dmmql8___h	Neptuniibacter_marinus
119	2dmmql8	mql8	2dmmql8___mql8	Neptuniibacter_marinus
120	2fe1s	adp	2fe1s___adp	Neptuniibacter_marinus
121	2fe1s	h	2fe1s___h	Neptuniibacter_marinus
122	2fe1s	iscs	2fe1s___iscs	Neptuniibacter_marinus
123	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Neptuniibacter_marinus
124	2fe1s	pi	2fe1s___pi	Neptuniibacter_marinus
125	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Neptuniibacter_marinus
126	2fe1s	sufse	2fe1s___sufse	Neptuniibacter_marinus
127	2fe2s	2fe1s	2fe2s___2fe1s	Neptuniibacter_marinus
128	2fe2s	btn	2fe2s___btn	Neptuniibacter_marinus
129	2fe2s	dad_5	2fe2s___dad_5	Neptuniibacter_marinus
130	2fe2s	h	2fe2s___h	Neptuniibacter_marinus
131	2fe2s	met__L	2fe2s___met__L	Neptuniibacter_marinus
132	2h3opp	glyc__R	2h3opp___glyc__R	Neptuniibacter_marinus
133	2h3opp	nad	2h3opp___nad	Neptuniibacter_marinus
134	2hh24dd	4h2kpi	2hh24dd___4h2kpi	Neptuniibacter_marinus
135	2ippm	3c2hmp	2ippm___3c2hmp	Neptuniibacter_marinus
136	2kmb	met__L	2kmb___met__L	Neptuniibacter_marinus
137	2mahmp	4ampm	2mahmp___4ampm	Neptuniibacter_marinus
138	2mahmp	h	2mahmp___h	Neptuniibacter_marinus
139	2mahmp	pi	2mahmp___pi	Neptuniibacter_marinus
140	2mahmp	ppi	2mahmp___ppi	Neptuniibacter_marinus
141	2mahmp	thmmp	2mahmp___thmmp	Neptuniibacter_marinus
142	2me4p	4c2me	2me4p___4c2me	Neptuniibacter_marinus
143	2me4p	ppi	2me4p___ppi	Neptuniibacter_marinus
144	2mecdp	h2mb4p	2mecdp___h2mb4p	Neptuniibacter_marinus
145	2mecdp	h2o	2mecdp___h2o	Neptuniibacter_marinus
146	2obut	2ahbut	2obut___2ahbut	Neptuniibacter_marinus
147	2obut	co2	2obut___co2	Neptuniibacter_marinus
148	2obut	nadh	2obut___nadh	Neptuniibacter_marinus
149	2obut	ppcoa	2obut___ppcoa	Neptuniibacter_marinus
