substrate	product	rxn	taxon
1	10fthf	fgam	10fthf___fgam	Octadecabacter_temperatus
2	10fthf	thf	10fthf___thf	Octadecabacter_temperatus
3	12dgr120	adp	12dgr120___adp	Octadecabacter_temperatus
4	12dgr120	h	12dgr120___h	Octadecabacter_temperatus
5	12dgr120	pa120	12dgr120___pa120	Octadecabacter_temperatus
6	12dgr140	adp	12dgr140___adp	Octadecabacter_temperatus
7	12dgr140	h	12dgr140___h	Octadecabacter_temperatus
8	12dgr140	pa140	12dgr140___pa140	Octadecabacter_temperatus
9	12dgr141	adp	12dgr141___adp	Octadecabacter_temperatus
10	12dgr141	h	12dgr141___h	Octadecabacter_temperatus
11	12dgr141	pa141	12dgr141___pa141	Octadecabacter_temperatus
12	12dgr160	adp	12dgr160___adp	Octadecabacter_temperatus
13	12dgr160	h	12dgr160___h	Octadecabacter_temperatus
14	12dgr160	pa160	12dgr160___pa160	Octadecabacter_temperatus
15	12dgr161	adp	12dgr161___adp	Octadecabacter_temperatus
16	12dgr161	h	12dgr161___h	Octadecabacter_temperatus
17	12dgr161	pa161	12dgr161___pa161	Octadecabacter_temperatus
18	12dgr180	adp	12dgr180___adp	Octadecabacter_temperatus
19	12dgr180	h	12dgr180___h	Octadecabacter_temperatus
20	12dgr180	pa180	12dgr180___pa180	Octadecabacter_temperatus
21	12dgr181	adp	12dgr181___adp	Octadecabacter_temperatus
22	12dgr181	h	12dgr181___h	Octadecabacter_temperatus
23	12dgr181	pa181	12dgr181___pa181	Octadecabacter_temperatus
24	12ppd__S	h	12ppd__S___h	Octadecabacter_temperatus
25	12ppd__S	lald__L	12ppd__S___lald__L	Octadecabacter_temperatus
26	12ppd__S	nadh	12ppd__S___nadh	Octadecabacter_temperatus
27	13dpg	3pg	13dpg___3pg	Octadecabacter_temperatus
28	13dpg	atp	13dpg___atp	Octadecabacter_temperatus
29	1ddecg3p	ACP	1ddecg3p___ACP	Octadecabacter_temperatus
30	1ddecg3p	pa120	1ddecg3p___pa120	Octadecabacter_temperatus
31	1hdec9eg3p	ACP	1hdec9eg3p___ACP	Octadecabacter_temperatus
32	1hdec9eg3p	pa161	1hdec9eg3p___pa161	Octadecabacter_temperatus
33	1hdecg3p	ACP	1hdecg3p___ACP	Octadecabacter_temperatus
34	1hdecg3p	pa160	1hdecg3p___pa160	Octadecabacter_temperatus
35	1odec11eg3p	ACP	1odec11eg3p___ACP	Octadecabacter_temperatus
36	1odec11eg3p	pa181	1odec11eg3p___pa181	Octadecabacter_temperatus
37	1odecg3p	ACP	1odecg3p___ACP	Octadecabacter_temperatus
38	1odecg3p	pa180	1odecg3p___pa180	Octadecabacter_temperatus
39	1pyr5c	nad	1pyr5c___nad	Octadecabacter_temperatus
40	1pyr5c	nadp	1pyr5c___nadp	Octadecabacter_temperatus
41	1pyr5c	pro__L	1pyr5c___pro__L	Octadecabacter_temperatus
42	1tdecg3p	ACP	1tdecg3p___ACP	Octadecabacter_temperatus
43	1tdecg3p	pa140	1tdecg3p___pa140	Octadecabacter_temperatus
44	23dhdp	nadp	23dhdp___nadp	Octadecabacter_temperatus
45	23dhdp	thdp	23dhdp___thdp	Octadecabacter_temperatus
46	23dhmp	3mop	23dhmp___3mop	Octadecabacter_temperatus
47	23dhmp	h2o	23dhmp___h2o	Octadecabacter_temperatus
48	25aics	aicar	25aics___aicar	Octadecabacter_temperatus
49	25aics	fum	25aics___fum	Octadecabacter_temperatus
50	25dhpp	5apru	25dhpp___5apru	Octadecabacter_temperatus
51	25dhpp	nh4	25dhpp___nh4	Octadecabacter_temperatus
52	26dap_	adp	26dap____adp	Octadecabacter_temperatus
53	26dap_	co2	26dap____co2	Octadecabacter_temperatus
54	26dap_	h	26dap____h	Octadecabacter_temperatus
55	26dap_	lys__L	26dap____lys__L	Octadecabacter_temperatus
56	26dap_	pi	26dap____pi	Octadecabacter_temperatus
57	26dap_	ugmd	26dap____ugmd	Octadecabacter_temperatus
58	26dap_LL	26dap_	26dap_LL___26dap_	Octadecabacter_temperatus
59	2agpe120	amp	2agpe120___amp	Octadecabacter_temperatus
60	2agpe120	pe120	2agpe120___pe120	Octadecabacter_temperatus
61	2agpe120	ppi	2agpe120___ppi	Octadecabacter_temperatus
62	2agpe140	amp	2agpe140___amp	Octadecabacter_temperatus
63	2agpe140	pe140	2agpe140___pe140	Octadecabacter_temperatus
64	2agpe140	ppi	2agpe140___ppi	Octadecabacter_temperatus
65	2agpe141	amp	2agpe141___amp	Octadecabacter_temperatus
66	2agpe141	pe141	2agpe141___pe141	Octadecabacter_temperatus
67	2agpe141	ppi	2agpe141___ppi	Octadecabacter_temperatus
68	2agpe160	amp	2agpe160___amp	Octadecabacter_temperatus
69	2agpe160	pe160	2agpe160___pe160	Octadecabacter_temperatus
70	2agpe160	ppi	2agpe160___ppi	Octadecabacter_temperatus
71	2agpe180	amp	2agpe180___amp	Octadecabacter_temperatus
72	2agpe180	pe180	2agpe180___pe180	Octadecabacter_temperatus
73	2agpe180	ppi	2agpe180___ppi	Octadecabacter_temperatus
74	2agpg120	ddca	2agpg120___ddca	Octadecabacter_temperatus
75	2agpg120	g3pg	2agpg120___g3pg	Octadecabacter_temperatus
76	2agpg120	h	2agpg120___h	Octadecabacter_temperatus
77	2agpg140	g3pg	2agpg140___g3pg	Octadecabacter_temperatus
78	2agpg140	h	2agpg140___h	Octadecabacter_temperatus
79	2agpg140	ttdca	2agpg140___ttdca	Octadecabacter_temperatus
80	2agpg160	g3pg	2agpg160___g3pg	Octadecabacter_temperatus
81	2agpg160	h	2agpg160___h	Octadecabacter_temperatus
82	2agpg160	hdca	2agpg160___hdca	Octadecabacter_temperatus
83	2agpg161	g3pg	2agpg161___g3pg	Octadecabacter_temperatus
84	2agpg161	h	2agpg161___h	Octadecabacter_temperatus
85	2agpg161	hdcea	2agpg161___hdcea	Octadecabacter_temperatus
86	2ahbut	23dhmp	2ahbut___23dhmp	Octadecabacter_temperatus
87	2ahbut	nadp	2ahbut___nadp	Octadecabacter_temperatus
88	2ahhmp	dhpt	2ahhmp___dhpt	Octadecabacter_temperatus
89	2ahhmp	h2o	2ahhmp___h2o	Octadecabacter_temperatus
90	2aobut	athr__L	2aobut___athr__L	Octadecabacter_temperatus
91	2aobut	nadp	2aobut___nadp	Octadecabacter_temperatus
92	2cpr5p	3ig3p	2cpr5p___3ig3p	Octadecabacter_temperatus
93	2cpr5p	co2	2cpr5p___co2	Octadecabacter_temperatus
94	2cpr5p	h2o	2cpr5p___h2o	Octadecabacter_temperatus
95	2dda7p	3dhq	2dda7p___3dhq	Octadecabacter_temperatus
96	2dda7p	pi	2dda7p___pi	Octadecabacter_temperatus
97	2ddg6p	g3p	2ddg6p___g3p	Octadecabacter_temperatus
98	2ddg6p	pyr	2ddg6p___pyr	Octadecabacter_temperatus
99	2ddglcn	2ddg6p	2ddglcn___2ddg6p	Octadecabacter_temperatus
100	2ddglcn	adp	2ddglcn___adp	Octadecabacter_temperatus
101	2ddglcn	h	2ddglcn___h	Octadecabacter_temperatus
102	2dhglcn	6p2dhglcn	2dhglcn___6p2dhglcn	Octadecabacter_temperatus
103	2dhglcn	adp	2dhglcn___adp	Octadecabacter_temperatus
104	2dhp	nadp	2dhp___nadp	Octadecabacter_temperatus
105	2dhp	pant__R	2dhp___pant__R	Octadecabacter_temperatus
106	2dmmq8	2dmmql8	2dmmq8___2dmmql8	Octadecabacter_temperatus
107	2dmmq8	nad	2dmmq8___nad	Octadecabacter_temperatus
108	2dmmql8	2dmmq8	2dmmql8___2dmmq8	Octadecabacter_temperatus
109	2dmmql8	ahcys	2dmmql8___ahcys	Octadecabacter_temperatus
110	2dmmql8	h	2dmmql8___h	Octadecabacter_temperatus
111	2dmmql8	mql8	2dmmql8___mql8	Octadecabacter_temperatus
112	2dmmql8	succ	2dmmql8___succ	Octadecabacter_temperatus
113	2dr1p	2dr5p	2dr1p___2dr5p	Octadecabacter_temperatus
114	2dr5p	acald	2dr5p___acald	Octadecabacter_temperatus
115	2dr5p	g3p	2dr5p___g3p	Octadecabacter_temperatus
116	2fe1s	adp	2fe1s___adp	Octadecabacter_temperatus
117	2fe1s	h	2fe1s___h	Octadecabacter_temperatus
118	2fe1s	iscs	2fe1s___iscs	Octadecabacter_temperatus
119	2fe1s	iscu_2fe2s	2fe1s___iscu_2fe2s	Octadecabacter_temperatus
120	2fe1s	pi	2fe1s___pi	Octadecabacter_temperatus
121	2fe1s	sufbcd_2fe2s	2fe1s___sufbcd_2fe2s	Octadecabacter_temperatus
122	2fe1s	sufse	2fe1s___sufse	Octadecabacter_temperatus
123	2fe2s	2fe1s	2fe2s___2fe1s	Octadecabacter_temperatus
124	2fe2s	btn	2fe2s___btn	Octadecabacter_temperatus
125	2fe2s	dad_5	2fe2s___dad_5	Octadecabacter_temperatus
126	2fe2s	h	2fe2s___h	Octadecabacter_temperatus
127	2fe2s	met__L	2fe2s___met__L	Octadecabacter_temperatus
128	2h3opp	glyc__R	2h3opp___glyc__R	Octadecabacter_temperatus
129	2h3opp	nad	2h3opp___nad	Octadecabacter_temperatus
130	2ins	adp	2ins___adp	Octadecabacter_temperatus
131	2ins	dhap	2ins___dhap	Octadecabacter_temperatus
132	2ins	h	2ins___h	Octadecabacter_temperatus
133	2ins	msa	2ins___msa	Octadecabacter_temperatus
134	2ippm	3c2hmp	2ippm___3c2hmp	Octadecabacter_temperatus
135	2me4p	4c2me	2me4p___4c2me	Octadecabacter_temperatus
136	2me4p	ppi	2me4p___ppi	Octadecabacter_temperatus
137	2mecdp	h2mb4p	2mecdp___h2mb4p	Octadecabacter_temperatus
138	2mecdp	h2o	2mecdp___h2o	Octadecabacter_temperatus
139	2obut	2ahbut	2obut___2ahbut	Octadecabacter_temperatus
140	2obut	co2	2obut___co2	Octadecabacter_temperatus
141	2p4c2me	2mecdp	2p4c2me___2mecdp	Octadecabacter_temperatus
142	2p4c2me	cmp	2p4c2me___cmp	Octadecabacter_temperatus
143	2pg	h2o	2pg___h2o	Octadecabacter_temperatus
144	2pg	pep	2pg___pep	Octadecabacter_temperatus
145	2pglyc	glyclt	2pglyc___glyclt	Octadecabacter_temperatus
146	2pglyc	pi	2pglyc___pi	Octadecabacter_temperatus
147	34dhbz	CCbuttc	34dhbz___CCbuttc	Octadecabacter_temperatus
148	34dhbz	h	34dhbz___h	Octadecabacter_temperatus
149	34dhpha	5cmhmsa	34dhpha___5cmhmsa	Octadecabacter_temperatus
150	34dhpha	h	34dhpha___h	Octadecabacter_temperatus
151	34hpp	akg	34hpp___akg	Octadecabacter_temperatus
152	34hpp	tyr__L	34hpp___tyr__L	Octadecabacter_temperatus
153	3amp	adn	3amp___adn	Octadecabacter_temperatus
154	3amp	pi	3amp___pi	Octadecabacter_temperatus
155	3c2hmp	3c4mop	3c2hmp___3c4mop	Octadecabacter_temperatus
156	3c2hmp	h	3c2hmp___h	Octadecabacter_temperatus
157	3c2hmp	nadh	3c2hmp___nadh	Octadecabacter_temperatus
158	3c3hmp	2ippm	3c3hmp___2ippm	Octadecabacter_temperatus
159	3c3hmp	h2o	3c3hmp___h2o	Octadecabacter_temperatus
160	3c4mop	4mop	3c4mop___4mop	Octadecabacter_temperatus
161	3c4mop	co2	3c4mop___co2	Octadecabacter_temperatus
162	3cmp	cytd	3cmp___cytd	Octadecabacter_temperatus
163	3cmp	pi	3cmp___pi	Octadecabacter_temperatus
164	3dhq	3dhsk	3dhq___3dhsk	Octadecabacter_temperatus
165	3dhq	h2o	3dhq___h2o	Octadecabacter_temperatus
166	3dhsk	nadp	3dhsk___nadp	Octadecabacter_temperatus
167	3dhsk	skm	3dhsk___skm	Octadecabacter_temperatus
168	3gmp	gsn	3gmp___gsn	Octadecabacter_temperatus
169	3gmp	pi	3gmp___pi	Octadecabacter_temperatus
170	3haACP	but2eACP	3haACP___but2eACP	Octadecabacter_temperatus
171	3haACP	h2o	3haACP___h2o	Octadecabacter_temperatus
172	3hcddec5eACP	h2o	3hcddec5eACP___h2o	Octadecabacter_temperatus
173	3hcddec5eACP	t3c5ddeceACP	3hcddec5eACP___t3c5ddeceACP	Octadecabacter_temperatus
174	3hcmrs7eACP	h2o	3hcmrs7eACP___h2o	Octadecabacter_temperatus
175	3hcmrs7eACP	t3c7mrseACP	3hcmrs7eACP___t3c7mrseACP	Octadecabacter_temperatus
176	3hcpalm9eACP	h2o	3hcpalm9eACP___h2o	Octadecabacter_temperatus
177	3hcpalm9eACP	t3c9palmeACP	3hcpalm9eACP___t3c9palmeACP	Octadecabacter_temperatus
